cohort,compartment,label,ligand,source_label,focused_direction,matching_receptors,eligible_IPF_donors,donors,minimum_required
GSE136831,fibroblasts,Fibroblast,FGF10,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,cDC2,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,cMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,ncMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF10,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,ATII,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Aberrant_Basaloid,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Basal,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Ciliated,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Club,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Fibroblast,False,FGFR1;NRP1,10,010I;021I;022I;040I;041I;051I;135I;138I;174I;228I,3
GSE136831,fibroblasts,Fibroblast,FGF7,Goblet,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Macrophage,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Macrophage_Alveolar,True,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Myofibroblast,False,FGFR1;NRP1,6,021I;022I;040I;051I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,FGF7,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,Pericyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,SMC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,VE_Capillary_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,VE_Peribronchial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,cDC2,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,cMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,ncMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,FGF7,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,ATII,True,CD44;CD9;EGFR;ERBB4,1,022I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Aberrant_Basaloid,False,CD44;CD9;EGFR;ERBB4,1,135I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Basal,False,CD44;CD9;EGFR;ERBB4,2,022I;174I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Ciliated,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Club,False,CD44;CD9;EGFR;ERBB4,1,135I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Fibroblast,False,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,3,041I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Goblet,False,CD44;CD9;EGFR;ERBB2;ERBB4,4,010I;135I;138I;174I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Macrophage,True,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,10,010I;021I;022I;040I;041I;051I;135I;138I;174I;228I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Macrophage_Alveolar,True,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,9,010I;021I;022I;040I;041I;051I;135I;174I;228I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Myofibroblast,False,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,3,051I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,Pericyte,False,,0,,3
