accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Pparg,0.0121,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Mertk,0.0149,False
GSE247505,GSM7890832_Expt1_4dRFPr2,alveolar macrophage (Fig. 1h),Car4,0.028,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Msr1,0.0177,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Cdh1,0.3577,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Ch25h,0.0168,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Ear6,0.0121,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Fstl1,0.0061,False
GSE247505,GSM7890832_Expt1_4dRFPr2,reprogrammed AM (Fig. 1h),Cxcl2,0.084,False
GSE247505,GSM7890832_Expt1_4dRFPr2,monocyte/IM (Fig. 1h),Itgam,0.0159,False
GSE247505,GSM7890832_Expt1_4dRFPr2,monocyte/IM (Fig. 1h),Ly6c2,0.0513,False
GSE247505,GSM7890832_Expt1_4dRFPr2,monocyte/IM (Fig. 1h),Ccr2,0.0499,False
GSE247505,GSM7890832_Expt1_4dRFPr2,monocyte/IM (Fig. 1h),Cx3cr1,0.0182,False
GSE247505,GSM7890832_Expt1_4dRFPr2,monocyte/IM (Fig. 1h),Mmp19,0.0098,False
GSE247505,GSM7890832_Expt1_4dRFPr2,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0042,False
GSE247505,GSM7890832_Expt1_4dRFPr2,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.035,False
GSE247505,GSM7890832_Expt1_4dRFPr2,EGF axis (ED Fig. 5f-h),Areg,0.3811,False
GSE247505,GSM7890832_Expt1_4dRFPr2,EGF axis (ED Fig. 5f-h),Ereg,0.1059,False
GSE247505,GSM7890832_Expt1_4dRFPr2,EGF axis (ED Fig. 5f-h),Hbegf,0.2365,False
GSE247505,GSM7890832_Expt1_4dRFPr2,EGF axis (ED Fig. 5f-h),Tgfa,0.0886,False
GSE247505,GSM7890832_Expt1_4dRFPr2,EGF axis (ED Fig. 5f-h),Egfr,0.0145,False
GSE247505,GSM7890832_Expt1_4dRFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0014,False
GSE247505,GSM7890832_Expt1_4dRFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0093,False
GSE247505,GSM7890832_Expt1_4dRFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.1026,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Sftpc,0.6992,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Etv5,0.3615,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Lamp3,0.4762,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Cd177,0.0065,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Cldn4,0.209,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Itga2,0.1758,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Ndrg1,0.1973,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Sox9,0.0737,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Mki67,0.0662,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Ager,0.4552,False
GSE247505,GSM7890832_Expt1_4dRFPr2,mutant epithelial states (Fig. 4l),Hopx,0.0686,False
GSE247505,GSM7890832_Expt1_4dRFPr2,compartment,Epcam,0.5271,False
GSE247505,GSM7890832_Expt1_4dRFPr2,compartment,Ptprc,0.1096,False
GSE247505,GSM7890832_Expt1_4dRFPr2,compartment,Col1a1,0.0005,False
GSE247505,GSM7890832_Expt1_4dRFPr2,compartment,Pecam1,0.0084,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar fibroblast (Fig. 1d),Pdgfra,0.005,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar fibroblast (Fig. 1d),Col13a1,0.0031,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar fibroblast (Fig. 1d),Tcf21,0.0097,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar fibroblast (Fig. 1d),Npnt,0.2457,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar fibroblast (Fig. 1d),Scube2,0.0019,False
GSE247505,GSM7890833_Expt1_4dYFPr1,adventitial fibroblast (Fig. 1d),Col14a1,0.0046,False
GSE247505,GSM7890833_Expt1_4dYFPr1,adventitial fibroblast (Fig. 1d),Pi16,0.012,False
GSE247505,GSM7890833_Expt1_4dYFPr1,adventitial fibroblast (Fig. 1d),Dcn,0.0027,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0039,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0027,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.293,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0128,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0058,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0097,False
GSE247505,GSM7890833_Expt1_4dYFPr1,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.7465,False
GSE247505,GSM7890833_Expt1_4dYFPr1,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0019,False
GSE247505,GSM7890833_Expt1_4dYFPr1,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0012,False
GSE247505,GSM7890833_Expt1_4dYFPr1,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0267,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Itgax,0.0159,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Siglecf,0.0074,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Pparg,0.0132,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Mertk,0.0174,False
GSE247505,GSM7890833_Expt1_4dYFPr1,alveolar macrophage (Fig. 1h),Car4,0.0279,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Msr1,0.0043,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Cdh1,0.418,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Ch25h,0.0019,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Ear6,0.0,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Fstl1,0.0139,False
GSE247505,GSM7890833_Expt1_4dYFPr1,reprogrammed AM (Fig. 1h),Cxcl2,0.0561,False
GSE247505,GSM7890833_Expt1_4dYFPr1,monocyte/IM (Fig. 1h),Itgam,0.0139,False
GSE247505,GSM7890833_Expt1_4dYFPr1,monocyte/IM (Fig. 1h),Ly6c2,0.1018,False
GSE247505,GSM7890833_Expt1_4dYFPr1,monocyte/IM (Fig. 1h),Ccr2,0.0155,False
GSE247505,GSM7890833_Expt1_4dYFPr1,monocyte/IM (Fig. 1h),Cx3cr1,0.0081,False
GSE247505,GSM7890833_Expt1_4dYFPr1,monocyte/IM (Fig. 1h),Mmp19,0.0054,False
GSE247505,GSM7890833_Expt1_4dYFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0039,False
GSE247505,GSM7890833_Expt1_4dYFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0534,False
GSE247505,GSM7890833_Expt1_4dYFPr1,EGF axis (ED Fig. 5f-h),Areg,0.1904,False
GSE247505,GSM7890833_Expt1_4dYFPr1,EGF axis (ED Fig. 5f-h),Ereg,0.0031,False
GSE247505,GSM7890833_Expt1_4dYFPr1,EGF axis (ED Fig. 5f-h),Hbegf,0.1296,False
GSE247505,GSM7890833_Expt1_4dYFPr1,EGF axis (ED Fig. 5f-h),Tgfa,0.0426,False
GSE247505,GSM7890833_Expt1_4dYFPr1,EGF axis (ED Fig. 5f-h),Egfr,0.0197,False
GSE247505,GSM7890833_Expt1_4dYFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0027,False
GSE247505,GSM7890833_Expt1_4dYFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0077,False
GSE247505,GSM7890833_Expt1_4dYFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.019,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Sftpc,0.9899,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Etv5,0.6254,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Lamp3,0.7806,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Cd177,0.0043,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Cldn4,0.0093,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Itga2,0.0081,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Ndrg1,0.0255,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Sox9,0.0012,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Mki67,0.0302,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Ager,0.7713,False
GSE247505,GSM7890833_Expt1_4dYFPr1,mutant epithelial states (Fig. 4l),Hopx,0.1354,False
GSE247505,GSM7890833_Expt1_4dYFPr1,compartment,Epcam,0.5499,False
GSE247505,GSM7890833_Expt1_4dYFPr1,compartment,Ptprc,0.0743,False
GSE247505,GSM7890833_Expt1_4dYFPr1,compartment,Col1a1,0.0112,False
GSE247505,GSM7890833_Expt1_4dYFPr1,compartment,Pecam1,0.043,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar fibroblast (Fig. 1d),Pdgfra,0.0,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar fibroblast (Fig. 1d),Col13a1,0.0,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar fibroblast (Fig. 1d),Tcf21,0.0003,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar fibroblast (Fig. 1d),Npnt,0.1736,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar fibroblast (Fig. 1d),Scube2,0.0,False
GSE247505,GSM7890834_Expt1_4dYFPr2,adventitial fibroblast (Fig. 1d),Col14a1,0.0009,False
GSE247505,GSM7890834_Expt1_4dYFPr2,adventitial fibroblast (Fig. 1d),Pi16,0.002,False
GSE247505,GSM7890834_Expt1_4dYFPr2,adventitial fibroblast (Fig. 1d),Dcn,0.0003,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0003,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.2417,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0072,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0011,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0003,False
GSE247505,GSM7890834_Expt1_4dYFPr2,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.9095,False
GSE247505,GSM7890834_Expt1_4dYFPr2,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0129,False
GSE247505,GSM7890834_Expt1_4dYFPr2,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0009,False
GSE247505,GSM7890834_Expt1_4dYFPr2,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0034,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Itgax,0.0221,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Siglecf,0.0052,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Pparg,0.0095,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Mertk,0.0095,False
GSE247505,GSM7890834_Expt1_4dYFPr2,alveolar macrophage (Fig. 1h),Car4,0.0158,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Msr1,0.0121,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Cdh1,0.4756,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Ch25h,0.0089,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Ear6,0.0075,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Fstl1,0.0023,False
GSE247505,GSM7890834_Expt1_4dYFPr2,reprogrammed AM (Fig. 1h),Cxcl2,0.044,False
GSE247505,GSM7890834_Expt1_4dYFPr2,monocyte/IM (Fig. 1h),Itgam,0.0106,False
GSE247505,GSM7890834_Expt1_4dYFPr2,monocyte/IM (Fig. 1h),Ly6c2,0.0937,False
GSE247505,GSM7890834_Expt1_4dYFPr2,monocyte/IM (Fig. 1h),Ccr2,0.019,False
GSE247505,GSM7890834_Expt1_4dYFPr2,monocyte/IM (Fig. 1h),Cx3cr1,0.0055,False
GSE247505,GSM7890834_Expt1_4dYFPr2,monocyte/IM (Fig. 1h),Mmp19,0.0072,False
GSE247505,GSM7890834_Expt1_4dYFPr2,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0003,False
GSE247505,GSM7890834_Expt1_4dYFPr2,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0463,False
GSE247505,GSM7890834_Expt1_4dYFPr2,EGF axis (ED Fig. 5f-h),Areg,0.2589,False
GSE247505,GSM7890834_Expt1_4dYFPr2,EGF axis (ED Fig. 5f-h),Ereg,0.0011,False
GSE247505,GSM7890834_Expt1_4dYFPr2,EGF axis (ED Fig. 5f-h),Hbegf,0.1284,False
GSE247505,GSM7890834_Expt1_4dYFPr2,EGF axis (ED Fig. 5f-h),Tgfa,0.0359,False
GSE247505,GSM7890834_Expt1_4dYFPr2,EGF axis (ED Fig. 5f-h),Egfr,0.0161,False
GSE247505,GSM7890834_Expt1_4dYFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0009,False
GSE247505,GSM7890834_Expt1_4dYFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.004,False
GSE247505,GSM7890834_Expt1_4dYFPr2,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0155,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Sftpc,0.9825,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Etv5,0.7198,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Lamp3,0.8876,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Cd177,0.0023,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Cldn4,0.0112,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Itga2,0.0026,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Ndrg1,0.0213,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Sox9,0.0014,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Mki67,0.0733,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Ager,0.8739,False
GSE247505,GSM7890834_Expt1_4dYFPr2,mutant epithelial states (Fig. 4l),Hopx,0.0819,False
GSE247505,GSM7890834_Expt1_4dYFPr2,compartment,Epcam,0.6126,False
GSE247505,GSM7890834_Expt1_4dYFPr2,compartment,Ptprc,0.0514,False
GSE247505,GSM7890834_Expt1_4dYFPr2,compartment,Col1a1,0.0006,False
GSE247505,GSM7890834_Expt1_4dYFPr2,compartment,Pecam1,0.0055,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar fibroblast (Fig. 1d),Pdgfra,0.0006,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar fibroblast (Fig. 1d),Col13a1,0.0004,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar fibroblast (Fig. 1d),Tcf21,0.0023,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar fibroblast (Fig. 1d),Npnt,0.4941,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar fibroblast (Fig. 1d),Scube2,0.0019,False
GSE247505,GSM7890835_Expt1_2wRFPr1,adventitial fibroblast (Fig. 1d),Col14a1,0.0027,False
GSE247505,GSM7890835_Expt1_2wRFPr1,adventitial fibroblast (Fig. 1d),Pi16,0.0016,False
GSE247505,GSM7890835_Expt1_2wRFPr1,adventitial fibroblast (Fig. 1d),Dcn,0.0027,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0167,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.007,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.5483,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0317,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0074,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0039,False
GSE247505,GSM7890835_Expt1_2wRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.8755,False
GSE247505,GSM7890835_Expt1_2wRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0216,False
GSE247505,GSM7890835_Expt1_2wRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0021,False
GSE247505,GSM7890835_Expt1_2wRFPr1,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0068,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Itgax,0.0167,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Siglecf,0.0058,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Pparg,0.0333,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Mertk,0.0148,False
GSE247505,GSM7890835_Expt1_2wRFPr1,alveolar macrophage (Fig. 1h),Car4,0.014,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Msr1,0.0076,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Cdh1,0.6981,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Ch25h,0.0076,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Ear6,0.0033,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Fstl1,0.0078,False
GSE247505,GSM7890835_Expt1_2wRFPr1,reprogrammed AM (Fig. 1h),Cxcl2,0.179,False
GSE247505,GSM7890835_Expt1_2wRFPr1,monocyte/IM (Fig. 1h),Itgam,0.0097,False
GSE247505,GSM7890835_Expt1_2wRFPr1,monocyte/IM (Fig. 1h),Ly6c2,0.1292,False
GSE247505,GSM7890835_Expt1_2wRFPr1,monocyte/IM (Fig. 1h),Ccr2,0.0146,False
GSE247505,GSM7890835_Expt1_2wRFPr1,monocyte/IM (Fig. 1h),Cx3cr1,0.007,False
GSE247505,GSM7890835_Expt1_2wRFPr1,monocyte/IM (Fig. 1h),Mmp19,0.0132,False
GSE247505,GSM7890835_Expt1_2wRFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0167,False
GSE247505,GSM7890835_Expt1_2wRFPr1,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.1153,False
GSE247505,GSM7890835_Expt1_2wRFPr1,EGF axis (ED Fig. 5f-h),Areg,0.6915,False
GSE247505,GSM7890835_Expt1_2wRFPr1,EGF axis (ED Fig. 5f-h),Ereg,0.2554,False
GSE247505,GSM7890835_Expt1_2wRFPr1,EGF axis (ED Fig. 5f-h),Hbegf,0.6205,False
GSE247505,GSM7890835_Expt1_2wRFPr1,EGF axis (ED Fig. 5f-h),Tgfa,0.1819,False
GSE247505,GSM7890835_Expt1_2wRFPr1,EGF axis (ED Fig. 5f-h),Egfr,0.0263,False
GSE247505,GSM7890835_Expt1_2wRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0177,False
GSE247505,GSM7890835_Expt1_2wRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0033,False
GSE247505,GSM7890835_Expt1_2wRFPr1,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.3476,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Sftpc,0.9984,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Etv5,0.6258,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Lamp3,0.7835,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Cd177,0.0681,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Cldn4,0.32,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Itga2,0.2433,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Ndrg1,0.1963,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Sox9,0.1327,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Mki67,0.2072,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Ager,0.7765,False
GSE247505,GSM7890835_Expt1_2wRFPr1,mutant epithelial states (Fig. 4l),Hopx,0.199,False
GSE247505,GSM7890835_Expt1_2wRFPr1,compartment,Epcam,0.838,False
GSE247505,GSM7890835_Expt1_2wRFPr1,compartment,Ptprc,0.0403,False
GSE247505,GSM7890835_Expt1_2wRFPr1,compartment,Col1a1,0.0056,False
GSE247505,GSM7890835_Expt1_2wRFPr1,compartment,Pecam1,0.0253,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar fibroblast (Fig. 1d),Pdgfra,0.0007,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar fibroblast (Fig. 1d),Col13a1,0.0,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar fibroblast (Fig. 1d),Tcf21,0.0007,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar fibroblast (Fig. 1d),Npnt,0.277,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar fibroblast (Fig. 1d),Scube2,0.0,False
GSE247505,GSM7890836_Expt1_2wRFPr2,adventitial fibroblast (Fig. 1d),Col14a1,0.0029,False
GSE247505,GSM7890836_Expt1_2wRFPr2,adventitial fibroblast (Fig. 1d),Pi16,0.0099,False
GSE247505,GSM7890836_Expt1_2wRFPr2,adventitial fibroblast (Fig. 1d),Dcn,0.0106,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0029,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0032,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.5094,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0711,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.014,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0011,False
GSE247505,GSM7890836_Expt1_2wRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.5198,False
GSE247505,GSM7890836_Expt1_2wRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0088,False
GSE247505,GSM7890836_Expt1_2wRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0009,False
GSE247505,GSM7890836_Expt1_2wRFPr2,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0011,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Itgax,0.1301,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Siglecf,0.0788,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Pparg,0.1375,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Mertk,0.0953,False
GSE247505,GSM7890836_Expt1_2wRFPr2,alveolar macrophage (Fig. 1h),Car4,0.1375,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed AM (Fig. 1h),Msr1,0.0772,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed AM (Fig. 1h),Cdh1,0.4976,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed AM (Fig. 1h),Ch25h,0.0835,False
GSE247505,GSM7890836_Expt1_2wRFPr2,reprogrammed AM (Fig. 1h),Ear6,0.0395,False
