accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Mki67,0.0284,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Ager,0.0225,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,mutant epithelial states (Fig. 4l),Hopx,0.091,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,compartment,Epcam,0.0445,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,compartment,Ptprc,0.0711,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,compartment,Col1a1,0.7688,False
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,compartment,Pecam1,0.0842,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar fibroblast (Fig. 1d),Pdgfra,0.0445,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar fibroblast (Fig. 1d),Col13a1,0.0205,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar fibroblast (Fig. 1d),Tcf21,0.0598,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar fibroblast (Fig. 1d),Npnt,0.0487,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar fibroblast (Fig. 1d),Scube2,0.0087,False
GSE316243,GSM9447777_Expt2_Confetti_niche,adventitial fibroblast (Fig. 1d),Col14a1,0.0394,False
GSE316243,GSM9447777_Expt2_Confetti_niche,adventitial fibroblast (Fig. 1d),Pi16,0.0367,False
GSE316243,GSM9447777_Expt2_Confetti_niche,adventitial fibroblast (Fig. 1d),Dcn,0.0427,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0027,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0087,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.1114,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0313,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0589,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0325,False
GSE316243,GSM9447777_Expt2_Confetti_niche,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0276,False
GSE316243,GSM9447777_Expt2_Confetti_niche,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.002,False
GSE316243,GSM9447777_Expt2_Confetti_niche,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.012,False
GSE316243,GSM9447777_Expt2_Confetti_niche,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.1301,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Itgax,0.0734,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Siglecf,0.0313,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Pparg,0.0307,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Mertk,0.0574,False
GSE316243,GSM9447777_Expt2_Confetti_niche,alveolar macrophage (Fig. 1h),Car4,0.1221,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Msr1,0.0133,False
