gene	gene_group	mark	window_1kb	replicate	contrast	eligible_1kb	log2_ratio_difference_1kb	raw_mark_log2_ratio_1kb	H3_log2_ratio_1kb	window_5kb	eligible_5kb	log2_ratio_difference_5kb	raw_mark_log2_ratio_5kb	H3_log2_ratio_5kb	both_windows_eligible	same_direction_across_windows	H3_changes_direction_1kb	H3_changes_direction_5kb
CDKN1A	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	0.2356271857472398	0.5365250851312074	0.3008978993839677	broad_promoter	True	-0.1187373439984891	0.7618509397178717	0.8805882837163608	True	0.0	0.0	1.0
SFN	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.0380763378310791	0.6396738120722187	0.6015974742411393	broad_promoter	True	-0.0300811658194803	0.3571819985775725	0.3872631643970531	True	0.0	0.0	1.0
SFN	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.0796880904497405	0.6000027763838055	0.679690866833546	broad_promoter	True	-0.274332928498648	0.241650363013073	0.515983291511721	True	1.0	1.0	1.0
ITGB6	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.0111515556090875	0.8036804390291554	0.8148319946382433	broad_promoter	True	0.5786770735693589	0.7889077808253059	0.210230707255947	True	0.0	1.0	0.0
ITGB6	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	0.6700778353809742	0.4870372168276233	-0.1830406185533507	broad_promoter	True	0.3276477020812209	0.727571299761416	0.3999235976801948	True	1.0	0.0	0.0
KRT17	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	1.4059300942184385	2.0063323058183657	0.6004022115999271	broad_promoter	True	1.810492573440332	1.9825541766998047	0.1720616032594736	True	1.0	0.0	0.0
KRT17	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.3788381591340057	1.2639366492019568	1.6427748083359623	broad_promoter	True	0.5527605116250109	1.404832175473659	0.8520716638486479	True	0.0	1.0	0.0
TP63	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.5589883239834919	-0.5247806486079432	-1.0837689725914348	broad_promoter	True	1.0983669218428234	0.413819552767434	-0.68454736907539	True	1.0	1.0	0.0
TP63	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.9334345590511576	-1.4381402697777252	-0.504705710726567	broad_promoter	True	-0.4100830334167722	-0.5211352160329412	-0.1110521826161694	True	1.0	0.0	0.0
COL1A1	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.3265589016854586	0.7593712889950086	0.4328123873095503	broad_promoter	True	0.8443245064478115	1.0160817399654185	0.1717572335176072	True	1.0	0.0	0.0
