unit_id,gsm,treatment,compartment,label,cells
u160,GSM9057720,Control IgG,other,mural_pericyte,15
u161,GSM9057720,Control IgG,airway,neuroendocrine_candidate,46
u162,GSM9057720,Control IgG,other,neutrophil,916
u163,GSM9057720,Control IgG,other,pDC_candidate,33
u164,GSM9057720,Control IgG,other,plasma_cell,25
u165,GSM9057720,Control IgG,airway,secretory_airway,85
u166,GSM9057720,Control IgG,other,smooth_muscle,107
u167,GSM9057720,Control IgG,endothelial,vascular_endothelial,313
u168,GSM9057721,anti-IL-1β,other,APC_ambiguous,303
u169,GSM9057721,anti-IL-1β,alveolar,AT1_like,250
u170,GSM9057721,anti-IL-1β,other,B_cell,683
u171,GSM9057721,anti-IL-1β,myeloid,CSF1R_myeloid,522
u172,GSM9057721,anti-IL-1β,other,NK_cell,235
u173,GSM9057721,anti-IL-1β,other,T_cell,936
u174,GSM9057721,anti-IL-1β,other,basophil_mast_candidate,33
u175,GSM9057721,anti-IL-1β,endothelial,capillary_endothelial,232
u176,GSM9057721,anti-IL-1β,other,cardiac_muscle,10
u177,GSM9057721,anti-IL-1β,other,cytotoxic_T_cell,155
u178,GSM9057721,anti-IL-1β,fibroblast,fibroblast_Gsn,302
u179,GSM9057721,anti-IL-1β,fibroblast,fibroblast_Itga8,374
u180,GSM9057721,anti-IL-1β,fibroblast,fibroblast_Pi16,304
u181,GSM9057721,anti-IL-1β,myeloid,inflammatory_CSF1R_CSF3R_myeloid,177
u182,GSM9057721,anti-IL-1β,other,inflammatory_granulocyte_candidate,86
u183,GSM9057721,anti-IL-1β,myeloid,macrophage_candidate,4
u184,GSM9057721,anti-IL-1β,other,mesothelial_stromal_ambiguous,25
u185,GSM9057721,anti-IL-1β,alveolar,mixed_AT2_AT1_alveolar,124
u186,GSM9057721,anti-IL-1β,unassigned,mixed_fibroblast_myeloid,10
u187,GSM9057721,anti-IL-1β,unassigned,mixed_lineage,16
u188,GSM9057721,anti-IL-1β,unassigned,mixed_myeloid_B,5
u189,GSM9057721,anti-IL-1β,other,mural_pericyte,27
u190,GSM9057721,anti-IL-1β,airway,neuroendocrine_candidate,66
u191,GSM9057721,anti-IL-1β,other,neutrophil,590
u192,GSM9057721,anti-IL-1β,other,pDC_candidate,70
u193,GSM9057721,anti-IL-1β,other,plasma_cell,39
u194,GSM9057721,anti-IL-1β,airway,secretory_airway,26
u195,GSM9057721,anti-IL-1β,other,smooth_muscle,155
u196,GSM9057721,anti-IL-1β,endothelial,vascular_endothelial,501
