sample_id,author_celltype,n_cells,gsm,orig_ident,experimental_group,condition,sacrifice_day,tamoxifen_start_day,sex
EEM-scRNA-182,AT1_AT2,25,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-182,AT2,92,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-182,Alveolar_transitional,2,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-182,Ciliated,36,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-182,Krt5,68,GSM8181600,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,H1N1_infected,42.0,21.0,m
EEM-scRNA-236,AT1,75,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,AT1_AT2,16,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,AT2,114,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,Alveolar_transitional,5,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,Ciliated,41,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,Krt5,80,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-236,Secretory,33,GSM8181601,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,H1N1_infected,90.0,2.0,m
EEM-scRNA-237,AT1,46,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,AT1_AT2,4,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,AT2,100,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,Alveolar_transitional,1,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,Ciliated,41,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,Krt5,134,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-237,Secretory,7,GSM8181602,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,H1N1_infected,90.0,7.0,m
EEM-scRNA-238,AT1,125,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,AT1_AT2,19,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,AT2,221,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,Alveolar_transitional,1,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,Ciliated,33,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,Krt5,51,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-238,Secretory,29,GSM8181603,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,H1N1_infected,90.0,14.0,m
EEM-scRNA-239,AT1,64,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,AT1_AT2,9,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,AT2,278,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,Alveolar_transitional,1,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,Ciliated,83,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,Krt5,62,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-239,Secretory,20,GSM8181604,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,H1N1_infected,90.0,21.0,m
EEM-scRNA-310,AT1,117,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,AT1_AT2,42,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,AT2,252,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,Alveolar_transitional,1,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,Ciliated,94,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,Krt5,76,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-310,Secretory,2,GSM8181613,EEM-scRNA-310,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,m
EEM-scRNA-311,AT1,100,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,AT1_AT2,19,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,AT2,202,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,Alveolar_transitional,1,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,Ciliated,123,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,Krt5,72,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-311,Secretory,15,GSM8181614,EEM-scRNA-311,H1N1_tam14_sac366,H1N1_infected,366.0,14.0,f
EEM-scRNA-312,AT1,56,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,AT1_AT2,14,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,AT2,147,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,Alveolar_transitional,1,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,Ciliated,95,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,Krt5,34,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
EEM-scRNA-312,Secretory,8,GSM8181615,EEM-scRNA-312,H1N1_tam7_sac366,H1N1_infected,366.0,7.0,f
