"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE135893","macrophages","__broad__",30,"VUHD66","control",180,2626307,0.917771482991168
"GSE135893","macrophages","__broad__",30,"VUHD67","control",2082,26065162,0.942701049955567
"GSE135893","macrophages","__broad__",30,"VUHD68","control",4590,55712710,0.833195140851802
"GSE135893","macrophages","__broad__",30,"VUHD70","control",549,7396106,0.960643738623802
"GSE135893","macrophages","__broad__",30,"VUILD53","IPF",389,2606010,0.963190061503875
"GSE135893","macrophages","__broad__",30,"VUILD59","IPF",5869,71993642,0.824671844450388
"GSE135893","macrophages","__broad__",30,"VUILD60","IPF",1062,10265321,0.978516711356692
"GSE135893","macrophages","__broad__",30,"VUILD61","IPF",993,11005113,0.997955478053804
"GSE135893","macrophages","__broad__",30,"VUILD63","IPF",346,4378278,1.10168990183634
"GSE135893","macrophages","__broad__",30,"VUILD64","IPF",141,956663,1.06488115134836
"GSE135893","macrophages","__broad__",30,"VUILD65","IPF",847,6464473,1.02342012826484
"GSE135893","macrophages","__broad__",100,"THD0001","control",295,3189015,1.19881848859287
"GSE135893","macrophages","__broad__",100,"THD0002","control",755,6389034,1.06805769574698
"GSE135893","macrophages","__broad__",100,"THD0005","control",969,6688397,1.31488438923566
"GSE135893","macrophages","__broad__",100,"TILD001","IPF",435,3096555,1.1986808056394
"GSE135893","macrophages","__broad__",100,"TILD006","IPF",2200,14100148,0.64384595555379
"GSE135893","macrophages","__broad__",100,"TILD010","IPF",774,5317148,1.04010100495733
"GSE135893","macrophages","__broad__",100,"TILD015","IPF",2440,26556422,1.24905196709148
"GSE135893","macrophages","__broad__",100,"TILD028","IPF",1824,14822269,1.12640675495812
"GSE135893","macrophages","__broad__",100,"VUHD071","control",1934,7421823,0.859596562124668
"GSE135893","macrophages","__broad__",100,"VUHD65","control",830,15171513,0.94869836190046
"GSE135893","macrophages","__broad__",100,"VUHD66","control",180,2626307,0.917771482991168
"GSE135893","macrophages","__broad__",100,"VUHD67","control",2082,26065162,0.942701049955567
"GSE135893","macrophages","__broad__",100,"VUHD68","control",4590,55712710,0.833195140851802
"GSE135893","macrophages","__broad__",100,"VUHD70","control",549,7396106,0.960643738623802
"GSE135893","macrophages","__broad__",100,"VUILD53","IPF",389,2606010,0.963190061503875
"GSE135893","macrophages","__broad__",100,"VUILD59","IPF",5869,71993642,0.824671844450388
"GSE135893","macrophages","__broad__",100,"VUILD60","IPF",1062,10265321,0.978516711356692
"GSE135893","macrophages","__broad__",100,"VUILD61","IPF",993,11005113,0.997955478053804
"GSE135893","macrophages","__broad__",100,"VUILD63","IPF",346,4378278,1.10168990183634
"GSE135893","macrophages","__broad__",100,"VUILD64","IPF",141,956663,1.06488115134836
"GSE135893","macrophages","__broad__",100,"VUILD65","IPF",847,6464473,1.02342012826484
"GSE135893","macrophages","Macrophages",50,"THD0001","control",292,3158898,1.21779576698807
"GSE135893","macrophages","Macrophages",50,"THD0002","control",748,6311427,1.06090103990126
"GSE135893","macrophages","Macrophages",50,"THD0005","control",958,6607378,1.32579040290702
"GSE135893","macrophages","Macrophages",50,"TILD001","IPF",431,3039162,1.19147485669423
"GSE135893","macrophages","Macrophages",50,"TILD006","IPF",2122,13185016,0.643069382366262
"GSE135893","macrophages","Macrophages",50,"TILD010","IPF",741,5006411,1.03680355261852
"GSE135893","macrophages","Macrophages",50,"TILD015","IPF",2422,26232205,1.25838727633921
"GSE135893","macrophages","Macrophages",50,"TILD028","IPF",1799,14508554,1.13421904348314
"GSE135893","macrophages","Macrophages",50,"VUHD071","control",1923,7367400,0.872236574276082
"GSE135893","macrophages","Macrophages",50,"VUHD65","control",791,14111851,0.948750210770477
"GSE135893","macrophages","Macrophages",50,"VUHD66","control",169,2322725,0.893066812728638
"GSE135893","macrophages","Macrophages",50,"VUHD67","control",2073,25868711,0.95392500496961
"GSE135893","macrophages","Macrophages",50,"VUHD68","control",4492,54127245,0.838263505841424
"GSE135893","macrophages","Macrophages",50,"VUHD70","control",538,7197221,0.972970071831251
"GSE135893","macrophages","Macrophages",50,"VUILD53","IPF",380,2517932,0.970903249426843
"GSE135893","macrophages","Macrophages",50,"VUILD59","IPF",5372,64089980,0.811539203515158
"GSE135893","macrophages","Macrophages",50,"VUILD60","IPF",1011,9461370,0.968469855924718
"GSE135893","macrophages","Macrophages",50,"VUILD61","IPF",971,10596772,0.999636298519127
"GSE135893","macrophages","Macrophages",50,"VUILD63","IPF",322,3854116,1.09414939517086
"GSE135893","macrophages","Macrophages",50,"VUILD64","IPF",135,912290,1.0557822737028
"GSE135893","macrophages","Macrophages",50,"VUILD65","IPF",801,5985965,1.01624020020379
"GSE135893","macrophages","Macrophages",30,"THD0001","control",292,3158898,1.21779576698807
"GSE135893","macrophages","Macrophages",30,"THD0002","control",748,6311427,1.06090103990126
"GSE135893","macrophages","Macrophages",30,"THD0005","control",958,6607378,1.32579040290702
"GSE135893","macrophages","Macrophages",30,"TILD001","IPF",431,3039162,1.19147485669423
"GSE135893","macrophages","Macrophages",30,"TILD006","IPF",2122,13185016,0.643069382366262
"GSE135893","macrophages","Macrophages",30,"TILD010","IPF",741,5006411,1.03680355261852
"GSE135893","macrophages","Macrophages",30,"TILD015","IPF",2422,26232205,1.25838727633921
"GSE135893","macrophages","Macrophages",30,"TILD028","IPF",1799,14508554,1.13421904348314
"GSE135893","macrophages","Macrophages",30,"VUHD071","control",1923,7367400,0.872236574276082
"GSE135893","macrophages","Macrophages",30,"VUHD65","control",791,14111851,0.948750210770477
"GSE135893","macrophages","Macrophages",30,"VUHD66","control",169,2322725,0.893066812728638
"GSE135893","macrophages","Macrophages",30,"VUHD67","control",2073,25868711,0.95392500496961
"GSE135893","macrophages","Macrophages",30,"VUHD68","control",4492,54127245,0.838263505841424
"GSE135893","macrophages","Macrophages",30,"VUHD70","control",538,7197221,0.972970071831251
"GSE135893","macrophages","Macrophages",30,"VUILD53","IPF",380,2517932,0.970903249426843
