cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,primary_effect,eligible_configurations,sensitivity_min,sensitivity_max,all_available_same_sign
GSE136831,broad,consensus,core,TGFB1,ENG,macrophages,__broad__,fibroblasts,__broad__,-0.2370427424057384,9,-0.2433108865249691,-0.2362094621002821,True
GSE136831,broad,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,__broad__,fibroblasts,__broad__,-0.4424431899746679,9,-0.478067435227727,-0.3128916557542203,True
GSE136831,broad,consensus,core,TGFB1,ITGB1,macrophages,__broad__,fibroblasts,__broad__,0.0201941012694462,9,0.0200232928695189,0.1353562593770982,True
GSE136831,broad,consensus,core,TGFB1,ITGB3,macrophages,__broad__,fibroblasts,__broad__,-0.4095464026052742,9,-0.428833316156731,-0.3033242218693663,True
GSE136831,broad,consensus,core,TGFB1,ITGB5,macrophages,__broad__,fibroblasts,__broad__,0.0368800837812672,9,0.0232947542374892,0.0372964708722536,True
GSE136831,broad,consensus,core,TGFB1,ITGB8,macrophages,__broad__,fibroblasts,__broad__,0.2398999904052621,9,0.2328361271087331,0.312054501555095,True
GSE136831,broad,consensus,core,TGFB1,LPP,macrophages,__broad__,fibroblasts,__broad__,0.1035736023674047,9,0.1034014251703663,0.1161957560279063,True
GSE136831,broad,consensus,core,TGFB1,SDC2,macrophages,__broad__,fibroblasts,__broad__,-0.0522234547583089,9,-0.0522754279759745,-0.049419550601546,True
GSE136831,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,-0.2720983868735542,9,-0.2733097164320046,-0.224416659000302,True
GSE136831,broad,consensus,core,TGFB1,TGFBR3,macrophages,__broad__,fibroblasts,__broad__,-0.7399937313907143,9,-0.8775100736509636,-0.738814009372387,True
GSE136831,broad,consensus,core,TGFB1,VASN,macrophages,__broad__,fibroblasts,__broad__,-0.6187836237188211,9,-0.6209311384010929,-0.5581562478080508,True
GSE136831,broad,consensus,exploratory,CCL2,ACKR1,fibroblasts,__broad__,macrophages,__broad__,0.3647673577753361,9,0.3599523283813104,0.8476638293284031,True
GSE136831,broad,consensus,exploratory,CCL2,ACKR2,fibroblasts,__broad__,macrophages,__broad__,0.0620526752141845,9,0.0556357781660987,0.2221056968088866,True
GSE136831,broad,consensus,exploratory,CCL2,ACKR4,fibroblasts,__broad__,macrophages,__broad__,-0.0553351263158936,9,-0.0952410214096888,0.0535709142993652,False
GSE136831,broad,consensus,exploratory,CCL2,CCR1,fibroblasts,__broad__,macrophages,__broad__,0.2642971160179854,9,0.2641702506670018,0.4168223647792963,True
GSE136831,broad,consensus,exploratory,CCL2,CCR10,fibroblasts,__broad__,macrophages,__broad__,0.2079886649607107,9,0.1954509011643379,0.3226481252473405,True
GSE136831,broad,consensus,exploratory,CCL2,CCR2,fibroblasts,__broad__,macrophages,__broad__,0.5056523073732704,9,0.4875554379652271,0.5553687491166421,True
GSE136831,broad,consensus,exploratory,CCL2,CCR3,fibroblasts,__broad__,macrophages,__broad__,0.4733882550091737,9,0.4644254888521413,0.6859295299914683,True
GSE136831,broad,consensus,exploratory,CCL2,CCR4,fibroblasts,__broad__,macrophages,__broad__,0.1686842478829811,9,0.1422450106591681,0.4789006357627805,True
GSE136831,broad,consensus,exploratory,CCL2,CCR5,fibroblasts,__broad__,macrophages,__broad__,0.7822870118709213,9,0.769198744731618,0.9206648986162768,True
GSE136831,broad,consensus,exploratory,CXCL12,ACKR3,fibroblasts,__broad__,macrophages,__broad__,0.3979200810307413,9,0.3919799179923373,0.4009521330044299,True
GSE136831,broad,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,__broad__,macrophages,__broad__,0.4648870743083249,9,0.4238001648813378,0.5489091470465977,True
GSE136831,broad,consensus,exploratory,CXCL12,CCR4,fibroblasts,__broad__,macrophages,__broad__,0.8400206513211703,9,0.8170133555283259,1.0782141391098847,True
GSE136831,broad,consensus,exploratory,CXCL12,CD4,fibroblasts,__broad__,macrophages,__broad__,0.9181714211668828,9,0.9114192554287196,0.9758526057036896,True
GSE136831,broad,consensus,exploratory,CXCL12,CXCR3,fibroblasts,__broad__,macrophages,__broad__,0.8264905537185059,9,0.7935719432370285,0.8770606311173559,True
GSE136831,broad,consensus,exploratory,CXCL12,CXCR4,fibroblasts,__broad__,macrophages,__broad__,1.0069217310565133,9,1.0001744105314447,1.0934405029898588,True
GSE136831,broad,consensus,exploratory,CXCL12,DPP4,fibroblasts,__broad__,macrophages,__broad__,1.1519271463042218,9,1.078353294636309,1.1611701059925863,True
GSE136831,broad,consensus,exploratory,CXCL12,GRM7,fibroblasts,__broad__,macrophages,__broad__,0.9583156144874856,9,0.9495912793610292,1.028488357114087,True
GSE136831,broad,consensus,exploratory,CXCL12,ITGA4,fibroblasts,__broad__,macrophages,__broad__,1.171551766500447,9,1.1614158583378118,1.2722811496703432,True
GSE136831,broad,consensus,exploratory,CXCL12,ITGA5,fibroblasts,__broad__,macrophages,__broad__,0.5775661006626471,9,0.5710905844532261,0.6903314007496082,True
GSE136831,broad,consensus,exploratory,CXCL12,ITGAV,fibroblasts,__broad__,macrophages,__broad__,0.5568831878264611,9,0.5503577112360887,0.6406456379651528,True
GSE136831,broad,consensus,exploratory,CXCL12,ITGB1,fibroblasts,__broad__,macrophages,__broad__,0.560978296465807,9,0.5544544802593672,0.6459725048774958,True
GSE136831,broad,consensus,exploratory,CXCL12,ITGB3,fibroblasts,__broad__,macrophages,__broad__,1.274659006151774,9,1.255977913225415,1.3130375244686845,True
GSE136831,broad,consensus,exploratory,CXCL12,SDC4,fibroblasts,__broad__,macrophages,__broad__,0.6149775716934975,9,0.6084555116112353,0.6646085921697562,True
GSE136831,subtype,consensus,core,AREG,EGFR_ERBB2,macrophages,Macrophage,fibroblasts,Fibroblast,-0.3500097003309843,9,-0.5932568565685772,-0.1859517647426658,True
GSE136831,subtype,consensus,core,AREG,EGFR_ERBB2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.1078974517813131,9,-0.2479814004485909,0.0965512694028349,False
GSE136831,subtype,consensus,core,AREG,ERBB3,macrophages,Macrophage,fibroblasts,Fibroblast,-0.3974790810320066,9,-0.6436166207247487,0.0581966508301885,False
GSE136831,subtype,consensus,core,AREG,ERBB3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.1719311603684854,9,-0.2690351780781879,-0.0524655942401297,True
GSE136831,subtype,consensus,core,HBEGF,CD44,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0122605290373467,9,-0.047381906924758,0.077734329643178,False
GSE136831,subtype,consensus,core,HBEGF,CD44,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.030891642504133,9,-0.2030506320931655,-0.0308812856085669,True
GSE136831,subtype,consensus,core,HBEGF,CD82,macrophages,Macrophage,fibroblasts,Fibroblast,-0.3387109465600062,9,-0.4997880783655111,-0.1541198819300353,True
GSE136831,subtype,consensus,core,HBEGF,CD82,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2861025626978932,9,-0.4488968215747366,-0.2622708366796296,True
GSE136831,subtype,consensus,core,HBEGF,CD9,macrophages,Macrophage,fibroblasts,Fibroblast,0.2652242366716768,9,0.2328278822664069,0.4053803571041898,True
GSE136831,subtype,consensus,core,HBEGF,CD9,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.3270174297444663,9,0.2378523751607923,0.5571501148124138,True
GSE136831,subtype,consensus,core,HBEGF,EGFR_ERBB2,macrophages,Macrophage,fibroblasts,Fibroblast,0.0229639230423366,9,-0.1767547324566685,0.1155714633185951,False
GSE136831,subtype,consensus,core,HBEGF,EGFR_ERBB2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.0157590876546738,9,-0.1891544088390624,0.0416793571922919,False
