library	unit	target	fibroblast_total_counts	epithelial_count_fraction	activation_score	hallmark_tgf_beta_score	eligible
3-3_F11_BMP2	3-3	BMP2	102205	0.6843	9.2614	5.515	yes
3-3_G02_ERBB3	3-3	ERBB3	149605	0.4904	9.4815	5.6428	yes
3-3_G03_SOCS2	3-3	SOCS2	277755	0.7299	9.4169	5.7616	yes
3-3_G04_SOAT1	3-3	SOAT1	461522	0.6764	9.4708	5.8128	yes
3-3_G05_VANGL2	3-3	VANGL2	86221	0.6862	9.919	5.5825	no
3-3_G06_IRF4	3-3	IRF4	52587	0.6759	9.4906	5.6417	no
3-3_G07_ATP6V0E	3-3	ATP6V0E	429922	0.5605	9.5613	6.0117	yes
3-3_G08_MAP2K1	3-3	MAP2K1	445643	0.6845	9.4731	5.737	yes
3-3_G09_MAP3K2	3-3	MAP3K2	5349	0.6757	9.2521	2.6403	no
3-3_G10_TDTOMATO	3-3	TDTOMATO	17021	0.6566	9.8022	4.4322	no
3-3_G11_TIGIT	3-3	TIGIT	122242	0.6672	9.4173	5.2674	yes
3-4_B02_KIDINS220	3-4	KIDINS220	4409390	0.5279	9.1269	5.6327	yes
3-4_B03_CD81	3-4	CD81	1893552	0.7798	9.1977	5.7569	yes
3-4_B04_TIGIT	3-4	TIGIT	418856	0.7881	9.4782	5.5664	yes
3-4_B05_TDTOMATO	3-4	TDTOMATO	100609	0.9039	9.5333	5.0051	yes
3-4_B06_TGIF1	3-4	TGIF1	387886	0.8026	8.9428	5.8224	yes
3-4_B07_CELSR1	3-4	CELSR1	1778721	0.7794	9.9924	5.85	yes
3-4_B08_PI4K2B	3-4	PI4K2B	2109875	0.7629	9.8713	5.8283	yes
3-4_B09_MAP2K2	3-4	MAP2K2	2494568	0.743	9.7612	5.7118	yes
3-4_B10_MAP3K5	3-4	MAP3K5	880420	0.8872	9.7516	5.8163	yes
3-4_B11_MAPK3	3-4	MAPK3	1792829	0.7816	9.1945	5.6396	yes
3-4_C02_ITGB6	3-4	ITGB6	232512	0.8927	8.7677	5.6576	yes
3-4_C03_EGFR	3-4	EGFR	231560	0.8826	9.863	5.5843	yes
3-4_C04_DRAM1	3-4	DRAM1	77285	0.6084	8.721	3.6604	no
3-4_C05_CSNK1A1	3-4	CSNK1A1	20340	0.4691	8.9119	3.3463	no
3-4_C06_ADK	3-4	ADK	517028	0.7376	9.7992	5.4694	yes
3-4_C07_GNAI2	3-4	GNAI2	243818	0.8113	10.0999	5.8936	yes
3-4_C08_OCIAD2	3-4	OCIAD2	971570	0.7944	9.7252	5.8144	yes
3-4_C09_TIGIT	3-4	TIGIT	889529	0.8018	9.9544	5.8158	yes
3-4_C10_MAP3K7	3-4	MAP3K7	318572	0.8419	8.7118	5.5039	yes
3-4_C11_CISH	3-4	CISH	22794	0.7623	9.3975	4.6214	no
3-4_D02_SLC22A3	3-4	SLC22A3	694844	0.8187	9.7626	5.7796	yes
3-4_D03_ERBB2	3-4	ERBB2	1340076	0.6232	9.3326	5.667	yes
3-4_D04_EGFL6	3-4	EGFL6	778228	0.7963	10.1177	5.7213	yes
3-4_D05_CSNK2A1	3-4	CSNK2A1	1644301	0.7268	9.8224	5.8869	yes
3-4_D06_ANK3	3-4	ANK3	221122	0.7177	10.2105	5.549	yes
3-4_D07_TIGIT	3-4	TIGIT	1067038	0.7279	9.8927	5.8622	yes
3-4_D08_ELOVL1	3-4	ELOVL1	523631	0.8732	9.7654	5.8136	yes
3-4_D09_MAP2K3	3-4	MAP2K3	938875	0.7901	9.7109	5.5493	yes
3-4_D10_MAP4K3	3-4	MAP4K3	430981	0.8326	9.6186	5.5405	yes
3-4_D11_ELF5	3-4	ELF5	391680	0.8077	8.61	5.7669	yes
3-4_E02_TLR2	3-4	TLR2	594057	0.8262	9.3348	5.7056	yes
3-4_E03_TIGIT	3-4	TIGIT	576372	0.8265	9.6609	5.585	yes
3-4_E04_CTSH	3-4	CTSH	385131	0.8662	10.0986	5.7251	yes
3-4_E05_CSNK2A1	3-4	CSNK2A1	276968	0.8542	10.271	5.7678	yes
3-4_E06_MYO5C	3-4	MYO5C	369621	0.8472	9.5609	5.8206	yes
3-4_E07_GNAI1	3-4	GNAI1	364382	0.8631	10.1538	5.8699	yes
3-4_E08_ANTXR1	3-4	ANTXR1	1210292	0.7703	9.7494	5.7475	yes
3-4_E09_MAP2K4	3-4	MAP2K4	394007	0.8923	9.0393	5.7092	yes
3-4_E10_MAP4K4	3-4	MAP4K4	189276	0.8783	9.6192	5.3631	yes
3-4_E11_CCN2	3-4	CCN2	613708	0.8708	10.0307	5.8047	yes
3-4_F02_TIGIT	3-4	TIGIT	1406932	0.7602	9.4657	5.6737	yes
3-4_F03_ERBB4	3-4	ERBB4	163817	0.8414	9.8965	5.556	yes
3-4_F04_SLC39A8	3-4	SLC39A8	1219901	0.7621	9.9241	5.7323	yes
3-4_F05_VANGL1	3-4	VANGL1	898688	0.7882	9.6781	5.7613	yes
