gene	tss	gsm	mean_CPM	covered_fraction
CDKN1A	36499358	GSM8796446	0.15525517383217813	1.0
HOPX	60144363	GSM8796446	0.06588587156683207	1.0
KRT8	52869656	GSM8796446	0.052369129844009876	1.0
NKX2-1	30708839	GSM8796446	0.031972721219062805	1.0
PDPN	13027416	GSM8796446	0.03307522851973772	1.0
SFTPB	85670254	GSM8796446	0.12081285386532545	1.0
SFTPC	22435742	GSM8796446	0.04961284883320331	1.0
TP53	7579367	GSM8796446	0.04279934231936931	1.0
TP63	192606306	GSM8796446	0.020925592824816704	1.0
ATF3	211863906	GSM8833588	0.010549125168472529	1.0
CAV1	117841395	GSM8833588	0.11769154447130858	1.0
CDKN1A	36499358	GSM8833588	0.1837381896711886	1.0
HOPX	60144363	GSM8833588	0.07637562800198794	1.0
KRT8	52869656	GSM8833588	0.0357752806507051	1.0
NKX2-1	30708839	GSM8833588	0.0797146653458476	1.0
PDPN	13027416	GSM8833588	0.02601504625752568	1.0
SFTPB	85670254	GSM8833588	0.05136962798424065	1.0
SFTPC	22435742	GSM8833588	0.6172427048981189	1.0
TP53	7579367	GSM8833588	0.01040235229767859	1.0
TP63	192606306	GSM8833588	0.011448087649419904	1.0
ATF3	211863906	GSM8833589	0.015140435891225934	1.0
CAV1	117841395	GSM8833589	0.5074883341044187	1.0
CDKN1A	36499358	GSM8833589	0.06290847195126116	1.0
HOPX	60144363	GSM8833589	0.65272290757671	1.0
KRT8	52869656	GSM8833589	0.042582457140088084	1.0
NKX2-1	30708839	GSM8833589	0.22580047571472825	1.0
PDPN	13027416	GSM8833589	0.13705870824679733	1.0
SFTPB	85670254	GSM8833589	0.08469168017618359	1.0
SFTPC	22435742	GSM8833589	0.36357861590757967	1.0
TP53	7579367	GSM8833589	0.008043358521535992	1.0
TP63	192606306	GSM8833589	0.004485355222597718	1.0
ATF3	211863906	GSM8833587	0.01955948816612363	1.0
CAV1	117841395	GSM8833587	0.5044649392552674	1.0
CDKN1A	36499358	GSM8833587	0.2639001938700676	1.0
HOPX	60144363	GSM8833587	0.30733926524966954	1.0
KRT8	52869656	GSM8833587	0.027213200554251672	1.0
NKX2-1	30708839	GSM8833587	0.045820226460695265	1.0
PDPN	13027416	GSM8833587	0.10807042156532407	1.0
SFTPB	85670254	GSM8833587	0.034866913594305514	1.0
SFTPC	22435742	GSM8833587	0.41904929021373394	1.0
TP53	7579367	GSM8833587	0.005952887702733278	1.0
TP63	192606306	GSM8833587	0.006361085716634989	1.0
ATF3	211863906	GSM8833590	0.013338474556803703	1.0
CAV1	117841395	GSM8833590	0.5044259745813906	1.0
CDKN1A	36499358	GSM8833590	0.22589565436914563	1.0
HOPX	60144363	GSM8833590	0.24582217313349247	1.0
KRT8	52869656	GSM8833590	0.021457528788596393	1.0
NKX2-1	30708839	GSM8833590	0.10025888396054507	1.0
PDPN	13027416	GSM8833590	0.09789276145771146	1.0
SFTPB	85670254	GSM8833590	0.05112693128734827	1.0
SFTPC	22435742	GSM8833590	0.48299167699739337	1.0
TP53	7579367	GSM8833590	0.002319734916090965	1.0
TP63	192606306	GSM8833590	0.002458919011056423	1.0
ATF3	211863906	GSM8833591	0.009220812283456326	1.0
CAV1	117841395	GSM8833591	0.11846890754532069	1.0
CDKN1A	36499358	GSM8833591	0.12057868683896959	1.0
HOPX	60144363	GSM8833591	0.07615650374908	1.0
KRT8	52869656	GSM8833591	0.019916954659856857	1.0
NKX2-1	30708839	GSM8833591	0.05668215554300696	1.0
PDPN	13027416	GSM8833591	0.045794234253466126	1.0
SFTPB	85670254	GSM8833591	0.043212395175360144	1.0
SFTPC	22435742	GSM8833591	0.6598261944502593	1.0
TP53	7579367	GSM8833591	0.0030686863511800765	1.0
TP63	192606306	GSM8833591	0.006816024468280375	1.0
