gsm,gene,assayed
GSM9237904,CD44,True
GSM9237904,CD47,True
GSM9237904,CD48,True
GSM9237904,CD5,True
GSM9237904,CD52,True
GSM9237904,CD53,True
GSM9237904,CD55,True
GSM9237904,CD6,True
GSM9237904,CD68,True
GSM9237904,CD69,True
GSM9237904,CD7,True
GSM9237904,CD70,True
GSM9237904,CD74,True
GSM9237904,CD79A,True
GSM9237904,CD79B,True
GSM9237904,CD80,True
GSM9237904,CD81,True
GSM9237904,CD82,True
GSM9237904,CD83,True
GSM9237904,CD84,True
GSM9237904,CD86,True
GSM9237904,CD8A,True
GSM9237904,CD8B,False
GSM9237904,CD9,True
GSM9237904,CD93,True
GSM9237904,CD96,True
GSM9237904,CDA,True
GSM9237904,CDC20,True
GSM9237904,CDC20B,True
GSM9237904,CDC25A,True
GSM9237904,CDC25B,True
GSM9237904,CDC27,True
GSM9237904,CDC42EP2,True
GSM9237904,CDC45,True
GSM9237904,CDC6,True
GSM9237904,CDC7,True
GSM9237904,CDCA3,True
GSM9237904,CDCA8,True
GSM9237904,CDH1,True
GSM9237904,CDH11,True
GSM9237904,CDH13,True
GSM9237904,CDH19,True
GSM9237904,CDH5,True
GSM9237904,CDH6,True
GSM9237904,CDHR3,True
GSM9237904,CDHR4,True
GSM9237904,CDK1,True
GSM9237904,CDK4,True
GSM9237904,CDK5R1,True
GSM9237904,CDK9,True
GSM9237904,CDKN1A,True
GSM9237904,CDKN1B,True
GSM9237904,CDKN1C,True
GSM9237904,CDKN2A,True
GSM9237904,CDKN2AIP,True
GSM9237904,CDKN2B,True
GSM9237904,CDKN2C,True
GSM9237904,CDKN2D,True
GSM9237904,CDKN3,True
GSM9237904,CEACAM1,True
GSM9237904,CEACAM5,True
GSM9237904,CEACAM6,True
GSM9237904,CEACAM8,True
GSM9237904,CEBPA,True
GSM9237904,CEBPB,True
GSM9237904,CEBPD,True
GSM9237904,CENPA,True
GSM9237904,CENPE,True
GSM9237904,CENPF,True
GSM9237904,CENPM,True
GSM9237904,CEP126,True
GSM9237904,CES1,True
GSM9237904,CETN2,True
GSM9237904,CFAP100,True
GSM9237904,CFAP126,True
GSM9237904,CFAP157,True
GSM9237904,CFAP221,True
GSM9237904,CFAP43,True
GSM9237904,CFAP44,True
GSM9237904,CFAP45,True
GSM9237904,CFAP46,True
GSM9237904,CFAP52,True
GSM9237904,CFAP53,True
GSM9237904,CFAP54,True
GSM9237904,CFAP70,True
GSM9237904,CFAP73,True
GSM9237904,CFB,True
GSM9237904,CFD,True
GSM9237904,CFH,True
GSM9237904,CFLAR,True
GSM9237904,CFP,True
GSM9237904,CGA,True
GSM9237904,CGRRF1,True
GSM9237904,CH17-262H11.1,False
GSM9237904,CH17-373J23.1,False
GSM9237904,CH25H,True
GSM9237904,CHAF1A,True
GSM9237904,CHEK1,True
GSM9237904,CHEK2,True
GSM9237904,CHGA,True
GSM9237904,CHGB,True
GSM9237904,CHI3L1,True
GSM9237904,CHI3L2,True
GSM9237904,CHIT1,True
GSM9237904,CHMP1A,True
GSM9237904,CHN1,True
GSM9237904,CHPF,True
GSM9237904,CHPF2,True
GSM9237904,CHRDL1,True
GSM9237904,CHST1,True
GSM9237904,CHST12,True
GSM9237904,CHST2,True
GSM9237904,CHST3,True
GSM9237904,CHST4,True
GSM9237904,CHST6,True
GSM9237904,CHST9,True
GSM9237904,CHSY1,True
GSM9237904,CIITA,True
GSM9237904,CIT,True
GSM9237904,CITED2,True
GSM9237904,CKB,True
GSM9237904,CKS1B,True
GSM9237904,CKS2,True
GSM9237904,CLCA2,True
GSM9237904,CLCA4,True
GSM9237904,CLCF1,True
GSM9237904,CLCNKB,True
GSM9237904,CLDN10,True
GSM9237904,CLDN18,True
GSM9237904,CLDN3,True
GSM9237904,CLDN4,True
GSM9237904,CLDN5,True
GSM9237904,CLDN9,True
GSM9237904,CLEC10A,True
GSM9237904,CLEC14A,True
GSM9237904,CLEC1B,True
GSM9237904,CLEC2B,True
GSM9237904,CLEC2D,True
GSM9237904,CLEC4A,True
GSM9237904,CLEC4D,True
GSM9237904,CLEC4E,True
GSM9237904,CLEC5A,True
GSM9237904,CLEC9A,True
GSM9237904,CLECL1,True
GSM9237904,CLIC3,True
GSM9237904,CLIC5,True
GSM9237904,CLN6,True
GSM9237904,CLNK,True
GSM9237904,CLU,True
GSM9237904,CMA1,True
GSM9237904,CMKLR1,True
GSM9237904,CMPK2,True
GSM9237904,CMTM3,True
GSM9237904,CMTR1,True
GSM9237904,CNKSR3,True
GSM9237904,CNN1,True
GSM9237904,CNN3,True
GSM9237904,CNOT6L,True
GSM9237904,CNOT9,True
GSM9237904,CNTFR,True
GSM9237904,COG2,True
GSM9237904,COL10A1,True
GSM9237904,COL11A1,True
GSM9237904,COL11A2,True
GSM9237904,COL12A1,True
GSM9237904,COL13A1,True
GSM9237904,COL14A1,True
GSM9237904,COL15A1,True
GSM9237904,COL16A1,True
GSM9237904,COL17A1,True
GSM9237904,COL18A1,True
GSM9237904,COL19A1,True
GSM9237904,COL1A1,True
GSM9237904,COL1A2,True
GSM9237904,COL20A1,True
GSM9237904,COL21A1,True
GSM9237904,COL22A1,True
GSM9237904,COL23A1,True
GSM9237904,COL24A1,True
GSM9237904,COL25A1,True
GSM9237904,COL26A1,True
GSM9237904,COL27A1,True
GSM9237904,COL28A1,True
GSM9237904,COL2A1,True
GSM9237904,COL3A1,True
GSM9237904,COL4A1,True
GSM9237904,COL4A2,True
GSM9237904,COL4A3,True
GSM9237904,COL4A4,True
GSM9237904,COL4A5,True
GSM9237904,COL4A6,True
GSM9237904,COL5A1,True
GSM9237904,COL5A2,True
GSM9237904,COL5A3,True
GSM9237904,COL6A1,True
GSM9237904,COL6A2,True
GSM9237904,COL6A3,True
GSM9237904,COL6A5,True
GSM9237904,COL6A6,True
GSM9237904,COL7A1,True
GSM9237904,COL8A1,True
GSM9237904,COL8A2,True
GSM9237904,COL9A1,True
GSM9237904,COL9A2,True
GSM9237904,COL9A3,True
GSM9237904,COLGALT1,True
GSM9237904,COLGALT2,True
GSM9237904,COMP,True
GSM9237904,COPB2,True
GSM9237904,COQ8A,True
GSM9237904,CORO1A,True
GSM9237904,COTL1,True
GSM9237904,COX10,True
GSM9237904,COX11,True
GSM9237904,COX15,True
GSM9237904,COX17,True
GSM9237904,COX4I1,True
GSM9237904,COX4I2,True
GSM9237904,COX5A,False
GSM9237904,COX5B,True
GSM9237904,COX6A1,True
GSM9237904,COX6B1,True
GSM9237904,COX6C,True
GSM9237904,COX7A1,True
GSM9237904,COX7A2,True
GSM9237904,COX7A2L,True
GSM9237904,COX7B,True
GSM9237904,COX7C,True
GSM9237904,COX8A,True
GSM9237904,CP,True
GSM9237904,CPA3,True
GSM9237904,CPA4,True
GSM9237904,CPE,True
GSM9237904,CPT1A,True
GSM9237904,CPVL,True
GSM9237904,CRABP2,True
GSM9237904,CRCT1,True
GSM9237904,CREB5,True
GSM9237904,CREM,True
GSM9237904,CRIP1,True
GSM9237904,CRIP2,True
GSM9237904,CRISP3,True
GSM9237904,CRISPLD2,True
GSM9237904,CRLF2,True
GSM9237904,CRNDE,False
GSM9237904,CRNN,True
GSM9237904,CRTAM,True
GSM9237904,CRTAP,True
GSM9237904,CRYAB,True
GSM9237904,CS,True
GSM9237904,CSE1L,True
GSM9237904,CSF1,True
GSM9237904,CSF1R,True
GSM9237904,CSF2,True
GSM9237904,CSF2RA,True
GSM9237904,CSF2RB,True
GSM9237904,CSF3,True
GSM9237904,CSF3R,True
GSM9237904,CSNK1E,True
GSM9237904,CSPG4,True
GSM9237904,CSPP1,True
GSM9237904,CSRNP2,True
GSM9237904,CSRP2,True
GSM9237904,CST1,False
GSM9237904,CST6,True
GSM9237904,CST7,True
GSM9237904,CSTA,True
GSM9237904,CTB-61M7.2,False
GSM9237904,CTCF,True
GSM9237904,CTD-2020K17.1,False
GSM9237904,CTD-2035E11.3,False
GSM9237904,CTD-3252C9.4,False
GSM9237904,CTGF,False
GSM9237904,CTH,True
GSM9237904,CTHRC1,True
GSM9237904,CTLA4,True
GSM9237904,CTNNAL1,True
GSM9237904,CTNNB1,True
GSM9237904,CTPS1,True
GSM9237904,CTRB1,True
GSM9237904,CTRB2,True
GSM9237904,CTSB,True
GSM9237904,CTSD,True
GSM9237904,CTSE,True
GSM9237904,CTSF,True
GSM9237904,CTSG,True
GSM9237904,CTSK,True
GSM9237904,CTSL,True
GSM9237904,CTSS,True
GSM9237904,CTSV,True
GSM9237904,CTSW,True
GSM9237904,CTSZ,True
GSM9237904,CTXN1,True
GSM9237904,CUL1,True
GSM9237904,CUL3,True
GSM9237904,CUL4A,True
GSM9237904,CUL5,True
GSM9237904,CX3CL1,True
GSM9237904,CX3CR1,True
GSM9237904,CXCL1,True
GSM9237904,CXCL10,True
GSM9237904,CXCL11,True
GSM9237904,CXCL12,True
GSM9237904,CXCL13,True
GSM9237904,CXCL14,True
GSM9237904,CXCL17,True
GSM9237904,CXCL2,True
GSM9237904,CXCL3,True
GSM9237904,CXCL5,True
GSM9237904,CXCL6,True
GSM9237904,CXCL8,True
GSM9237904,CXCL9,True
GSM9237904,CXCR1,True
GSM9237904,CXCR2,True
GSM9237904,CXCR3,True
GSM9237904,CXCR4,True
GSM9237904,CXCR5,True
GSM9237904,CXCR6,True
GSM9237904,CXorf21,True
GSM9237904,CXorf36,False
GSM9237904,CYB5A,True
GSM9237904,CYB5R3,True
GSM9237904,CYBB,True
GSM9237904,CYC1,True
GSM9237904,CYCS,True
GSM9237904,CYFIP2,True
GSM9237904,CYP1A1,True
GSM9237904,CYP1B1,True
GSM9237904,CYP24A1,True
GSM9237904,CYP26A1,True
GSM9237904,CYP27A1,True
GSM9237904,CYP2A6,True
GSM9237904,CYP2F1,True
GSM9237904,CYP3A5,True
GSM9237904,CYP4B1,True
GSM9237904,CYR61,False
GSM9237904,CYTH4,True
GSM9237904,CYTIP,True
GSM9237904,CYTL1,True
GSM9237904,CYYR1,True
GSM9237904,DAG1,True
GSM9237904,DAPK2,True
GSM9237904,DAW1,True
GSM9237904,DBF4,True
GSM9237904,DCBLD2,True
GSM9237904,DCK,True
GSM9237904,DCLRE1B,True
GSM9237904,DCN,True
GSM9237904,DCTPP1,True
GSM9237904,DCXR,True
GSM9237904,DDB2,True
GSM9237904,DDIT3,True
GSM9237904,DDIT4,True
GSM9237904,DDR1,True
GSM9237904,DDR2,True
GSM9237904,DDX39A,True
GSM9237904,DDX60,True
GSM9237904,DECR1,True
GSM9237904,DEF6,True
GSM9237904,DEFA3,True
GSM9237904,DEFB1,True
GSM9237904,DEFB4A,True
GSM9237904,DEK,True
GSM9237904,DENND3,True
GSM9237904,DENND5A,True
GSM9237904,DEPDC1,True
GSM9237904,DERL3,True
GSM9237904,DES,True
GSM9237904,DGKA,True
GSM9237904,DHCR24,True
GSM9237904,DHRS9,True
GSM9237904,DHX58,True
GSM9237904,DIAPH3,True
GSM9237904,DKC1,True
GSM9237904,DKK1,True
GSM9237904,DKK2,True
GSM9237904,DKK3,True
GSM9237904,DKK4,True
GSM9237904,DLAT,True
GSM9237904,DLC1,True
GSM9237904,DLD,True
GSM9237904,DLEC1,True
GSM9237904,DLGAP5,True
GSM9237904,DLL1,True
GSM9237904,DLST,True
GSM9237904,DMBT1,True
GSM9237904,DMD,True
GSM9237904,DMKN,True
GSM9237904,DMP1,True
GSM9237904,DNAAF1,True
GSM9237904,DNAAF3,True
GSM9237904,DNAH10,True
GSM9237904,DNAH11,True
GSM9237904,DNAH12,True
GSM9237904,DNAH3,True
GSM9237904,DNAH5,True
GSM9237904,DNAH6,True
GSM9237904,DNAH7,True
GSM9237904,DNAH9,True
GSM9237904,DNAI1,True
GSM9237904,DNAI2,True
GSM9237904,DNAJA4,True
GSM9237904,DNAJB4,True
GSM9237904,DNALI1,True
GSM9237904,DNASE1L3,True
GSM9237904,DNMT1,True
GSM9237904,DNTT,True
GSM9237904,DNTTIP2,True
GSM9237904,DOCK10,True
GSM9237904,DOK2,True
GSM9237904,DONSON,True
GSM9237904,DPCD,True
GSM9237904,DPP4,True
GSM9237904,DPT,True
GSM9237904,DPYSL3,True
GSM9237904,DPYSL4,True
GSM9237904,DR1,True
GSM9237904,DRAM1,True
