cell_type,day,gene,mean_log2_cpm,animals,mean_detection_1000
AF1,90.0,Wnt2b,0.29026549352445025,4,0.00036775093205387654
AF1,90.0,Wnt4,4.85845830766048,4,0.02930062126962713
AF1,90.0,Wnt5a,5.591671242676407,4,0.04414854039553258
AF1,90.0,Wnt7b,0.045399020422774314,4,3.3675639467067906e-05
AF1,90.0,Wnt9a,2.9062180411306677,4,0.006551982335814441
AF1,366.0,Axin2,6.19527384259814,3,0.0706087917952496
AF1,366.0,Lef1,0.606189178238874,3,0.000660573818620617
AF1,366.0,Porcn,4.20456319584336,3,0.01618310570392208
AF1,366.0,Wls,6.709201280924863,3,0.09358581192605149
AF1,366.0,Wnt2,6.081878522961031,3,0.06324014746701535
AF1,366.0,Wnt2b,0.14625263768506983,3,0.00011880892615450814
AF1,366.0,Wnt4,5.235030995545282,3,0.037385133311330525
AF1,366.0,Wnt5a,5.703637993217786,3,0.04415667409553977
AF1,366.0,Wnt7b,0.27975297805802013,3,0.00017769417406810468
AF1,366.0,Wnt9a,3.225439774195023,3,0.00953584241763455
AF2,0.0,Axin2,6.960995687753304,2,0.11716833922856444
AF2,0.0,Lef1,6.925693459705134,2,0.11991925771405323
AF2,0.0,Porcn,3.122797557980281,2,0.006155044272205811
AF2,0.0,Wls,7.172303899266993,2,0.13017222594753491
AF2,0.0,Wnt2,2.2627930424409106,2,0.0021666770273145878
AF2,0.0,Wnt2b,0.0,2,0.0
AF2,0.0,Wnt4,7.727032219145597,2,0.18745714667520663
AF2,0.0,Wnt5a,6.737770380352952,2,0.0999973809190322
AF2,0.0,Wnt7b,0.0,2,0.0
AF2,0.0,Wnt9a,1.342516537503274,2,0.0036567710069696107
AF2,6.0,Axin2,6.310143195666356,2,0.07147307245688367
AF2,6.0,Lef1,7.217893231424353,2,0.1515245794594507
AF2,6.0,Porcn,2.5679515468441174,2,0.002745231460170972
AF2,6.0,Wls,6.911074831501002,2,0.10905130182992323
AF2,6.0,Wnt2,0.7565841844524916,2,0.0005110274615944742
AF2,6.0,Wnt2b,0.0,2,0.0
AF2,6.0,Wnt4,7.385852719024344,2,0.13973332594211366
AF2,6.0,Wnt5a,7.684969431868415,2,0.1533328559545772
AF2,6.0,Wnt7b,0.0,2,0.0
AF2,6.0,Wnt9a,1.5366914890749213,2,0.0030198079082486744
AF2,11.0,Axin2,5.5034103772477065,2,0.049111224078774676
AF2,11.0,Lef1,6.612706377322683,2,0.1079218588681097
AF2,11.0,Porcn,3.1811484354094435,2,0.009976920170524043
AF2,11.0,Wls,7.052835633312668,2,0.12577930698042494
AF2,11.0,Wnt2,0.0,2,0.0
AF2,11.0,Wnt2b,0.9640336136396721,2,0.0025001500089929097
AF2,11.0,Wnt4,7.821310789155448,2,0.20213537647308527
AF2,11.0,Wnt5a,6.898719748766583,2,0.09303485773593206
AF2,11.0,Wnt7b,0.0,2,0.0
AF2,11.0,Wnt9a,1.3624234395793162,2,0.003261485398349157
AF2,19.0,Axin2,5.5361612737347,1,0.050341898314020375
AF2,19.0,Lef1,6.322571704001372,1,0.07633183743955362
AF2,19.0,Porcn,3.674830549589588,1,0.01131324445410345
AF2,19.0,Wls,6.6709625956070235,1,0.08754065177890273
AF2,19.0,Wnt2,1.4230997458054349,1,0.0008634325936534163
AF2,19.0,Wnt2b,0.0,1,0.0
AF2,19.0,Wnt4,7.699316345748731,1,0.171152270415646
AF2,19.0,Wnt5a,6.057077909050783,1,0.06911843224138903
AF2,19.0,Wnt7b,0.0,1,0.0
AF2,19.0,Wnt9a,0.0,1,0.0
AF2,25.0,Axin2,5.809794707180781,2,0.05648623110492125
