donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
226C,control,Fibroblast,28,10736,0.0026080476900149033
226C,control,Goblet,5,10736,0.00046572280178837556
226C,control,ILC_A,30,10736,0.0027943368107302535
226C,control,ILC_B,13,10736,0.0012108792846497764
226C,control,Lymphatic,4,10736,0.00037257824143070045
226C,control,Macrophage,9042,10736,0.8422131147540983
226C,control,Macrophage_Alveolar,225,10736,0.0209575260804769
226C,control,Mast,5,10736,0.00046572280178837556
226C,control,Multiplet,75,10736,0.006985842026825634
226C,control,Myofibroblast,4,10736,0.00037257824143070045
226C,control,NK,87,10736,0.008103576751117735
226C,control,PNEC,1,10736,9.314456035767511e-05
226C,control,T,255,10736,0.023751862891207152
226C,control,T_Cytotoxic,266,10736,0.02477645305514158
226C,control,T_Regulatory,16,10736,0.0014903129657228018
226C,control,VE_Arterial,2,10736,0.00018628912071535022
226C,control,VE_Capillary_B,1,10736,9.314456035767511e-05
226C,control,VE_Venous,7,10736,0.0006520119225037258
226C,control,cDC1,27,10736,0.002514903129657228
226C,control,cDC2,141,10736,0.01313338301043219
226C,control,cMonocyte,68,10736,0.006333830104321907
226C,control,ncMonocyte,10,10736,0.0009314456035767511
226C,control,pDC,7,10736,0.0006520119225037258
228I,IPF,ATII,4,3215,0.001244167962674961
228I,IPF,Aberrant_Basaloid,5,3215,0.0015552099533437014
228I,IPF,B,85,3215,0.026438569206842923
228I,IPF,B_Plasma,2,3215,0.0006220839813374805
228I,IPF,Basal,5,3215,0.0015552099533437014
228I,IPF,Ciliated,60,3215,0.01866251944012442
228I,IPF,Club,4,3215,0.001244167962674961
228I,IPF,DC_Langerhans,1,3215,0.00031104199066874026
228I,IPF,DC_Mature,2,3215,0.0006220839813374805
228I,IPF,Fibroblast,55,3215,0.017107309486780714
228I,IPF,Goblet,3,3215,0.0009331259720062209
228I,IPF,ILC_A,2,3215,0.0006220839813374805
228I,IPF,ILC_B,1,3215,0.00031104199066874026
228I,IPF,Lymphatic,14,3215,0.004354587869362364
228I,IPF,Macrophage,2032,3215,0.6320373250388802
228I,IPF,Macrophage_Alveolar,183,3215,0.056920684292379474
228I,IPF,Mast,26,3215,0.008087091757387248
228I,IPF,Mesothelial,16,3215,0.004976671850699844
228I,IPF,Multiplet,22,3215,0.006842923794712286
228I,IPF,Myofibroblast,185,3215,0.05754276827371695
228I,IPF,NK,124,3215,0.038569206842923795
228I,IPF,Pericyte,11,3215,0.003421461897356143
228I,IPF,SMC,30,3215,0.00933125972006221
228I,IPF,T,23,3215,0.007153965785381027
228I,IPF,T_Cytotoxic,134,3215,0.0416796267496112
228I,IPF,T_Regulatory,29,3215,0.009020217729393468
228I,IPF,VE_Arterial,11,3215,0.003421461897356143
228I,IPF,VE_Capillary_A,7,3215,0.002177293934681182
228I,IPF,VE_Capillary_B,10,3215,0.003110419906687403
228I,IPF,VE_Peribronchial,63,3215,0.019595645412130637
228I,IPF,VE_Venous,12,3215,0.0037325038880248835
228I,IPF,cDC1,1,3215,0.00031104199066874026
228I,IPF,cDC2,5,3215,0.0015552099533437014
228I,IPF,cMonocyte,42,3215,0.013063763608087092
228I,IPF,ncMonocyte,5,3215,0.0015552099533437014
228I,IPF,pDC,1,3215,0.00031104199066874026
244C,control,ATI,61,166,0.3674698795180723
244C,control,B,12,166,0.07228915662650602
244C,control,Ciliated,17,166,0.10240963855421686
244C,control,Fibroblast,4,166,0.024096385542168676
244C,control,Lymphatic,1,166,0.006024096385542169
244C,control,Macrophage,24,166,0.14457831325301204
244C,control,Macrophage_Alveolar,5,166,0.030120481927710843
244C,control,Multiplet,1,166,0.006024096385542169
244C,control,Myofibroblast,2,166,0.012048192771084338
244C,control,NK,8,166,0.04819277108433735
244C,control,Pericyte,2,166,0.012048192771084338
244C,control,SMC,1,166,0.006024096385542169
244C,control,T,1,166,0.006024096385542169
244C,control,T_Cytotoxic,15,166,0.09036144578313253
244C,control,VE_Capillary_A,7,166,0.04216867469879518
244C,control,VE_Capillary_B,3,166,0.018072289156626505
244C,control,VE_Venous,1,166,0.006024096385542169
244C,control,cMonocyte,1,166,0.006024096385542169
253C,control,ATI,2,945,0.0021164021164021165
253C,control,ATII,3,945,0.0031746031746031746
253C,control,B,5,945,0.005291005291005291
253C,control,B_Plasma,1,945,0.0010582010582010583
253C,control,Ciliated,5,945,0.005291005291005291
253C,control,DC_Langerhans,1,945,0.0010582010582010583
253C,control,DC_Mature,4,945,0.004232804232804233
253C,control,Fibroblast,11,945,0.01164021164021164
253C,control,Goblet,1,945,0.0010582010582010583
