donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
021I,IPF,NK,CASP1,164,10,0.0609756097560975,10,468041,0.2235118631105047,GSE136831
021I,IPF,NK,GSDMD,164,14,0.0853658536585365,14,468041,0.3195310998184353,GSE136831
021I,IPF,NK,IL1A,164,0,0.0,0,468041,0.0,GSE136831
021I,IPF,NK,IL1B,164,1,0.0060975609756097,1,468041,0.0169470844235957,GSE136831
021I,IPF,NK,IL1R1,164,7,0.0426829268292682,7,468041,0.1546854017876764,GSE136831
021I,IPF,NK,IL1R2,164,1,0.0060975609756097,1,468041,0.015974747119753,GSE136831
021I,IPF,NK,IL1RAP,164,4,0.024390243902439,5,468041,0.147199093439068,GSE136831
021I,IPF,NK,IL1RN,164,2,0.0121951219512195,2,468041,0.0547997158837103,GSE136831
021I,IPF,NK,NLRP3,164,2,0.0121951219512195,2,468041,0.0337734012708214,GSE136831
021I,IPF,NK,PYCARD,164,11,0.0670731707317073,11,468041,0.2096966847589979,GSE136831
021I,IPF,NK,SIGIRR,164,8,0.048780487804878,8,468041,0.1589460192548792,GSE136831
021I,IPF,SMC,CASP1,55,1,0.0181818181818181,1,307669,0.0313533681355719,GSE136831
021I,IPF,SMC,GSDMD,55,6,0.109090909090909,8,307669,0.2954385938084918,GSE136831
021I,IPF,SMC,IL1A,55,0,0.0,0,307669,0.0,GSE136831
021I,IPF,SMC,IL1B,55,1,0.0181818181818181,1,307669,0.0454431846583808,GSE136831
021I,IPF,SMC,IL1R1,55,17,0.3090909090909091,38,307669,1.270828413886689,GSE136831
021I,IPF,SMC,IL1R2,55,2,0.0363636363636363,3,307669,0.0274815692547886,GSE136831
021I,IPF,SMC,IL1RAP,55,6,0.109090909090909,9,307669,0.4234891568395993,GSE136831
021I,IPF,SMC,IL1RN,55,1,0.0181818181818181,2,307669,0.0138978163056129,GSE136831
021I,IPF,SMC,NLRP3,55,1,0.0181818181818181,3,307669,0.0208467244584194,GSE136831
021I,IPF,SMC,PYCARD,55,3,0.0545454545454545,3,307669,0.0574168874971864,GSE136831
021I,IPF,SMC,SIGIRR,55,3,0.0545454545454545,3,307669,0.054198300375149,GSE136831
021I,IPF,T,CASP1,255,4,0.0156862745098039,4,775386,0.053447738092573,GSE136831
021I,IPF,T,GSDMD,255,16,0.0627450980392156,18,775386,0.2421174659577969,GSE136831
021I,IPF,T,IL1A,255,1,0.0039215686274509,1,775386,0.0128491763677948,GSE136831
021I,IPF,T,IL1B,255,1,0.0039215686274509,1,775386,0.0090651147190267,GSE136831
021I,IPF,T,IL1R1,255,10,0.0392156862745098,11,775386,0.1362627893311035,GSE136831
021I,IPF,T,IL1R2,255,5,0.0196078431372549,5,775386,0.0755544090006008,GSE136831
021I,IPF,T,IL1RAP,255,20,0.0784313725490196,24,775386,0.2764641851952871,GSE136831
021I,IPF,T,IL1RN,255,1,0.0039215686274509,1,775386,0.0181302294380535,GSE136831
021I,IPF,T,NLRP3,255,12,0.0470588235294117,14,775386,0.1770677166504961,GSE136831
021I,IPF,T,PYCARD,255,12,0.0470588235294117,12,775386,0.1265292230683121,GSE136831
021I,IPF,T,SIGIRR,255,18,0.0705882352941176,22,775386,0.2724277234145346,GSE136831
021I,IPF,T_Cytotoxic,CASP1,196,8,0.0408163265306122,8,564868,0.1462262888772739,GSE136831
021I,IPF,T_Cytotoxic,GSDMD,196,17,0.086734693877551,18,564868,0.2803093444846783,GSE136831
021I,IPF,T_Cytotoxic,IL1A,196,0,0.0,0,564868,0.0,GSE136831
021I,IPF,T_Cytotoxic,IL1B,196,3,0.0153061224489795,3,564868,0.0581381454218075,GSE136831
021I,IPF,T_Cytotoxic,IL1R1,196,8,0.0408163265306122,8,564868,0.121901736824853,GSE136831
021I,IPF,T_Cytotoxic,IL1R2,196,1,0.0051020408163265,1,564868,0.0170693904862045,GSE136831
021I,IPF,T_Cytotoxic,IL1RAP,196,4,0.0204081632653061,4,564868,0.0935301892051782,GSE136831
021I,IPF,T_Cytotoxic,IL1RN,196,0,0.0,0,564868,0.0,GSE136831
021I,IPF,T_Cytotoxic,NLRP3,196,3,0.0153061224489795,3,564868,0.0558604796521727,GSE136831
021I,IPF,T_Cytotoxic,PYCARD,196,7,0.0357142857142857,7,564868,0.1019906841210136,GSE136831
021I,IPF,T_Cytotoxic,SIGIRR,196,13,0.0663265306122449,14,564868,0.2382831866225275,GSE136831
021I,IPF,VE_Peribronchial,CASP1,217,16,0.0737327188940092,20,2195866,0.1132212841930819,GSE136831
021I,IPF,VE_Peribronchial,GSDMD,217,40,0.184331797235023,54,2195866,0.2039894232466202,GSE136831
021I,IPF,VE_Peribronchial,IL1A,217,0,0.0,0,2195866,0.0,GSE136831
021I,IPF,VE_Peribronchial,IL1B,217,4,0.0184331797235023,4,2195866,0.0210578234937503,GSE136831
021I,IPF,VE_Peribronchial,IL1R1,217,144,0.663594470046083,1134,2195866,4.924071018109273,GSE136831
021I,IPF,VE_Peribronchial,IL1R2,217,17,0.0783410138248847,19,2195866,0.1448032242049819,GSE136831
021I,IPF,VE_Peribronchial,IL1RAP,217,58,0.2672811059907834,102,2195866,0.4902793205551876,GSE136831
021I,IPF,VE_Peribronchial,IL1RN,217,3,0.0138248847926267,3,2195866,0.0113056027714196,GSE136831
021I,IPF,VE_Peribronchial,NLRP3,217,7,0.032258064516129,7,2195866,0.0649728726103879,GSE136831
021I,IPF,VE_Peribronchial,PYCARD,217,12,0.0552995391705069,14,2195866,0.0611889628146038,GSE136831
021I,IPF,VE_Peribronchial,SIGIRR,217,48,0.2211981566820276,61,2195866,0.2865762233608395,GSE136831
021I,IPF,cDC2,CASP1,53,11,0.2075471698113207,15,552138,0.2389529750171462,GSE136831
021I,IPF,cDC2,GSDMD,53,12,0.2264150943396226,16,552138,0.2252622295880841,GSE136831
021I,IPF,cDC2,IL1A,53,1,0.0188679245283018,1,552138,0.0131273391277408,GSE136831
021I,IPF,cDC2,IL1B,53,7,0.1320754716981132,10,552138,0.2072335841790384,GSE136831
021I,IPF,cDC2,IL1R1,53,28,0.5283018867924528,89,552138,1.727634157844207,GSE136831
021I,IPF,cDC2,IL1R2,53,44,0.8301886792452831,388,552138,7.324573170320752,GSE136831
