gene	gene_group	mark	contrast	half_width_bp	replicate	total_tss	alternative_tss	eligible_tss	held_tss	eligible_alternatives	baseline_eligible	baseline_effect	minimum_effect	maximum_effect	effect_span	direction_changes	direction_comparisons	max_abs_change
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT2	2	1	2	0	1	True	-1.372213051874064	-1.372213051874064	-1.3326482478635207	0.03956480401054341	0	1	0.03956480401054341
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT2	2	1	2	0	1	True	-1.681140611063284	-1.681140611063284	-1.5779191058348534	0.10322150522843065	0	1	0.10322150522843065
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT2	2	1	2	0	1	True	-1.509368708657509	-1.5307752314383913	-1.509368708657509	0.021406522780882398	0	1	0.021406522780882398
NKX2-1	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT2	2	1	2	0	1	True	-1.9287216410048051	-1.9287216410048051	-1.842397604118033	0.08632403688677215	0	1	0.08632403688677215
ETV5	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	0.004859711055080762	0.004859711055080762	0.004859711055080762	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	0.3485044064336402	0.3485044064336402	0.3485044064336402	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT2	1	0	1	0	0	True	-0.4285870851939504	-0.4285870851939504	-0.4285870851939504	0.0	0	0	
ETV5	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT2	1	0	1	0	0	True	0.3456593870857727	0.3456593870857727	0.3456593870857727	0.0	0	0	
SFTPB	AT2	H3K27ac	iATCs_minus_iAT2	1000	CUT2	2	1	2	0	1	True	-7.63263089976981	-8.052664821674792	-7.63263089976981	0.4200339219049827	0	1	0.4200339219049827
SFTPB	AT2	H3K27ac	iATCs_minus_iAT1	1000	CUT2	2	1	2	0	1	True	-7.271501570081613	-7.8212923567617825	-7.271501570081613	0.5497907866801697	0	1	0.5497907866801697
SFTPB	AT2	H3K27ac	iATCs_minus_iAT2	5000	CUT2	2	1	2	0	1	True	-7.824400289081428	-7.824400289081428	-7.790233667396193	0.034166621685234766	0	1	0.034166621685234766
SFTPB	AT2	H3K27ac	iATCs_minus_iAT1	5000	CUT2	2	1	2	0	1	True	-7.525940897015643	-7.529950805513223	-7.525940897015643	0.0040099084975793176	0	1	0.0040099084975793176
