logFC	logCPM	F	PValue	FDR	feature_id	contrast	FDR_all_three
0.0486242738661062	2.20296010880843	0.0663103369399578	0.798650811532315	0.861990577937001	75623	WT_positive_minus_negative	0.861198225648418
0.0549047334222932	3.5613878908069	0.203078515476645	0.655682568967711	0.748827523929265	72050	WT_positive_minus_negative	0.748148356914058
-0.0187385428230494	4.42085063149177	0.0362557223956924	0.850348257720191	0.898039992294207	246229	WT_positive_minus_negative	0.898835313494549
-0.0895879796038576	4.09637485507469	1.04313171514271	0.315749919531578	0.437054650700977	22592	WT_positive_minus_negative	0.43719703795746
3.28894219786364	1.38723630418852	119.167945119246	1.16288834053089e-11	2.7631509175616e-10	70676	WT_positive_minus_negative	3.10379165567843e-10
3.23911138223577	8.3008359230712	173.772347920251	8.12343608921877e-06	4.81081047176788e-05	12825	WT_positive_minus_negative	4.92934041299642e-05
3.08229753894982	5.44756286087125	178.81114384106	1.90442757718389e-07	1.63706915720694e-06	12832	WT_positive_minus_negative	1.7139848194655e-06
0.0317669001003208	4.39440560234268	0.101793977371435	0.752031410246846	0.826499458945322	73674	WT_positive_minus_negative	0.825659093688174
-0.180399130964925	5.73794416842302	8.30090139132077	0.00747982150901781	0.0205301451501717	433297	WT_positive_minus_negative	0.020028228923249
2.01462063567895	1.20085225592291	31.3793750776453	5.23881831759047e-06	3.24752317282196e-05	53945	WT_positive_minus_negative	3.32456053234085e-05
1.26168804919841	2.89009084417782	47.6450781956143	1.58530187261754e-07	1.39205115198266e-06	227058	WT_positive_minus_negative	1.45490204192825e-06
1.51205235147106	2.12560503822316	31.4243228560056	5.13817506965192e-06	3.19278832121423e-05	100101919	WT_positive_minus_negative	3.270501478766e-05
0.031367959240867	5.28555724050934	0.191922560012644	0.664648502659188	0.757061089947141	227059	WT_positive_minus_negative	0.755756073971155
3.36275597931476	-0.295556014088512	64.2748609280207	6.95305201929635e-09	8.22283194599102e-08	56363	WT_positive_minus_negative	8.9455684188559e-08
2.06254538448039	5.56439241273822	840.197769306589	1.39489022831385e-22	1.27312451661869e-19	20324	WT_positive_minus_negative	1.50998489180356e-19
-0.0116921075573501	5.01705301643134	0.028736444462477	0.86659545781588	0.909872453882203	109019	WT_positive_minus_negative	0.910283101737907
-0.15756775579109	0.346878416679339	0.203218895874658	0.655578917236013	0.748827523929265	100045066	WT_positive_minus_negative	0.748118978190177
0.499141711387248	7.46917779895186	141.487349347151	1.5890276768024e-12	4.66074734088205e-11	17912	WT_positive_minus_negative	5.29463566927689e-11
3.88223448178148	0.0380851324248193	70.2516911385563	1.9493566956882e-09	2.59179250131089e-08	20849	WT_positive_minus_negative	2.86332140962115e-08
-0.309774946484902	0.8419942648619	1.10273276007504	0.302568237218829	0.423437248010043	100042634	WT_positive_minus_negative	0.423208218578143
0.275657347422725	5.7825430095061	22.516077796848	5.44121816255276e-05	0.000263419472730636	20846	WT_positive_minus_negative	0.000266131998561002
0.365756118573837	6.31734699363526	39.9629165693165	7.39089708467851e-07	5.54799995964547e-06	14660	WT_positive_minus_negative	5.78690458364366e-06
0.0960526377474532	6.2390495073431	3.17128676677464	0.0856861867701186	0.158105229388175	17936	WT_positive_minus_negative	0.155394889226457
-0.300737095496049	3.08438086451475	6.98389543905467	0.0132577758566392	0.0335575285793824	227094	WT_positive_minus_negative	0.0326433721541837
-0.149577270342536	7.00657822721998	11.694337932822	0.00192344628169231	0.00625140186567614	98682	WT_positive_minus_negative	0.00618361610057419
0.337893048853733	2.37929497249478	5.77376992002849	0.0230659254496324	0.0533528472385952	16329	WT_positive_minus_negative	0.0520720062965948
-0.234283731808024	4.27734130655638	6.18084081330668	0.0190826611766322	0.0455059506936137	227095	WT_positive_minus_negative	0.0443553237016817
-0.0299907596560061	1.6096912895392	0.0221049475528751	0.882863255674852	0.921403529632811	227099	WT_positive_minus_negative	0.922437629349577
-0.304363460217323	3.80998433045853	7.58070810884324	0.0101918710329626	0.0267439659982155	227102	WT_positive_minus_negative	0.0260966616888908
0.0134410222257024	2.73798970625145	0.0090955833612309	0.924692755958259	0.949790335062117	72085	WT_positive_minus_negative	0.951175603384271
-0.249175301771708	4.65783401250758	6.63793475624019	0.0154862785781756	0.0381526037502339	70396	WT_positive_minus_negative	0.0371824054911497
1.80328767220921	2.00293162731904	40.6668171839886	6.41451121397194e-07	4.89078899243188e-06	627872	WT_positive_minus_negative	5.10223287744303e-06
0.936808612474987	4.94500676294075	147.273582975994	9.86213583665175e-13	3.11651526764743e-11	98267	WT_positive_minus_negative	3.46724092843252e-11
1.47794255938185	1.77759781645496	58.7447819700402	2.22849347735727e-08	2.36993178853156e-07	329152	WT_positive_minus_negative	2.52763345538172e-07
0.0811517455635968	3.55519416097892	0.376169569582757	0.544560823427613	0.65352353130968	98488	WT_positive_minus_negative	0.65543303534438
-0.033512674164924	4.48610001211858	0.157553562197314	0.694397864432726	0.781254242951068	241062	WT_positive_minus_negative	0.780318538598531
0.399005589162768	4.88299407191934	35.0498857903706	2.18065042251531e-06	1.47944783365752e-05	329154	WT_positive_minus_negative	1.51839814311507e-05
-0.0468142385468807	8.0004843279527	1.38132683785415	0.249673153549459	0.366675688639224	81898	WT_positive_minus_negative	0.36502876912558
0.259481935458035	4.9597371041226	12.7245453035745	0.00130956452744173	0.00445987778924187	67876	WT_positive_minus_negative	0.00442716316532485
0.313073279481104	6.29179395706566	30.2331991794885	6.88218404976303e-06	4.14534036165074e-05	15510	WT_positive_minus_negative	4.24363363555927e-05
0.149363023230747	4.85587478843248	2.78722323532509	0.106050180293091	0.18709205200996	15528	WT_positive_minus_negative	0.184508233839824
-0.173577678119052	5.67461757403872	8.74203440473841	0.00621353451126589	0.0174306999596459	19070	WT_positive_minus_negative	0.0170504984041976
0.0868260877904389	3.67353330915809	0.617243969952483	0.438604753255345	0.556405146881688	74013	WT_positive_minus_negative	0.558658477343817
-0.391032812023149	3.46600448810556	10.2879324323087	0.00331585711370217	0.0100820770088581	212679	WT_positive_minus_negative	0.00991243445691406
1.96517249671795	1.55211423471068	76.2975849172481	1.60321016414504e-09	2.18396917531822e-08	227120	WT_positive_minus_negative	2.41587007836269e-08
-0.108559034978204	4.81832246266388	2.18742032105997	0.150192598864039	0.246107124720078	626009	WT_positive_minus_negative	0.24388352375369
