feature_id	symbol	NCBI_name	omitted_mouse	contrast	logFC	rank	residual_df
12575	Cdkn1a	Cdkn1a	Mutant4	Mutant_positive_minus_negative	0.371348416560683	9	5
12575	Cdkn1a	Cdkn1a	Mutant1	Mutant_minus_WT_CD44_interaction	0.14296826244862	9	5
12575	Cdkn1a	Cdkn1a	Mutant3	Mutant_positive_minus_negative	0.385146020009427	9	5
12575	Cdkn1a	Cdkn1a	WT1	Mutant_minus_WT_CD44_interaction	0.337921932689029	9	5
12575	Cdkn1a	Cdkn1a	WT3	WT_positive_minus_negative	0.137162683801086	9	5
12575	Cdkn1a	Cdkn1a	Mutant4	WT_positive_minus_negative	0.220346279261273	9	5
12575	Cdkn1a	Cdkn1a	Mutant1	Mutant_positive_minus_negative	0.362557302537831	9	5
12575	Cdkn1a	Cdkn1a	Mutant3	WT_positive_minus_negative	0.219651884082552	9	5
12575	Cdkn1a	Cdkn1a	Mutant4	Mutant_minus_WT_CD44_interaction	0.15100213729941	9	5
12575	Cdkn1a	Cdkn1a	Mutant2	WT_positive_minus_negative	0.21965191706916	9	5
12575	Cdkn1a	Cdkn1a	Mutant2	Mutant_minus_WT_CD44_interaction	0.169692676628893	9	5
12575	Cdkn1a	Cdkn1a	Mutant2	Mutant_positive_minus_negative	0.389344593698052	9	5
110310	Krt7	Krt7	WT4	Mutant_minus_WT_CD44_interaction	0.381314119761643	9	5
110310	Krt7	Krt7	WT2	Mutant_positive_minus_negative	0.821121244425624	9	5
110310	Krt7	Krt7	WT1	WT_positive_minus_negative	0.504568216879355	9	5
110310	Krt7	Krt7	WT4	Mutant_positive_minus_negative	0.821088790993581	9	5
110310	Krt7	Krt7	WT2	WT_positive_minus_negative	0.562111461237084	9	5
110310	Krt7	Krt7	WT3	Mutant_positive_minus_negative	0.821104298203197	9	5
110310	Krt7	Krt7	WT3	WT_positive_minus_negative	0.501197792050915	9	5
110310	Krt7	Krt7	WT2	Mutant_minus_WT_CD44_interaction	0.25900978318854	9	5
110310	Krt7	Krt7	WT4	WT_positive_minus_negative	0.439774671231938	9	5
110310	Krt7	Krt7	WT3	Mutant_minus_WT_CD44_interaction	0.319906506152283	9	5
110310	Krt7	Krt7	WT1	Mutant_positive_minus_negative	0.821134692971524	9	5
110310	Krt7	Krt7	Mutant2	WT_positive_minus_negative	0.572234151038479	9	5
110310	Krt7	Krt7	Mutant3	Mutant_minus_WT_CD44_interaction	0.201859992392986	9	5
110310	Krt7	Krt7	Mutant1	WT_positive_minus_negative	0.57211893709057	9	5
110310	Krt7	Krt7	Mutant2	Mutant_minus_WT_CD44_interaction	0.176043835118881	9	5
110310	Krt7	Krt7	Mutant4	Mutant_positive_minus_negative	0.815790323280387	9	5
110310	Krt7	Krt7	Mutant1	Mutant_minus_WT_CD44_interaction	0.170491044339758	9	5
110310	Krt7	Krt7	Mutant3	Mutant_positive_minus_negative	0.774094457453194	9	5
110310	Krt7	Krt7	WT1	Mutant_minus_WT_CD44_interaction	0.316566476092169	9	5
110310	Krt7	Krt7	Mutant2	Mutant_positive_minus_negative	0.74827798615736	9	5
110310	Krt7	Krt7	Mutant4	WT_positive_minus_negative	0.573530494462493	9	5
110310	Krt7	Krt7	Mutant1	Mutant_positive_minus_negative	0.742609981430328	9	5
110310	Krt7	Krt7	Mutant3	WT_positive_minus_negative	0.572234465060207	9	5
110310	Krt7	Krt7	Mutant4	Mutant_minus_WT_CD44_interaction	0.242259828817895	9	5
