cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,difference_IPF_minus_control,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
GSE136831,broad,consensus,core,HBEGF,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.06485563786033044,-0.06289633112845827,0.19260760684912048,-0.15674325642953502,0.2101790406570725,descriptive_no_p_value
GSE136831,broad,consensus,core,HBEGF,ERBB2_ERBB4,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.09933606014222107,-0.06289633112845827,0.26156845141289997,-0.11076936005368232,0.24327442102375496,descriptive_no_p_value
GSE136831,broad,consensus,core,HBEGF,CD44,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.1959290346521012,-0.06289633112845827,-0.32896173817574414,-0.2760297037888657,-0.08661068910638825,descriptive_no_p_value
GSE136831,broad,consensus,core,HBEGF,PRLR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.3720657190287655,-0.06289633112845827,0.8070277691859882,0.1667547579093176,0.5726781509909382,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,ACKR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.06205267521418456,0.1319957448295188,-0.007890394401151246,-0.14440212266000607,0.2610617597766094,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,DPP4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,1.1519271463042218,1.474668551705899,0.8291857409025447,0.8513265632890508,1.6324541011446052,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ENG,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.23704274240573842,-0.16109087966656777,-0.3129946051449073,-0.4052266707675205,-0.12708490686689178,descriptive_no_p_value
GSE136831,broad,consensus,core,HBEGF,CD9,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.36921471561765085,-0.06289633112845827,0.8013257623637609,0.20512217861891102,0.5231857969664544,descriptive_no_p_value
GSE136831,broad,consensus,core,HBEGF,CD82,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.21332457458805631,-0.06289633112845827,0.48954548030457,0.08217173678423961,0.4066615499817372,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,CAV1,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.29859622494072724,-0.16109087966656777,0.7582833295480258,-0.08983203652789218,0.6460859324825821,descriptive_no_p_value
