cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,consensus,core,IL1B,ADRB2,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,consensus,core,IL1B,SIGIRR,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,CCL2,CCR1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,CCR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,CCR10,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,CCR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,CCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,CCR5,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,ACKR1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CCL2,ACKR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,AREG,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,AREG,EGFR_ERBB2,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,AREG,ERBB3,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,AREG,ERBB3,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF7,NRP1,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF7,FGFR1,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF7,FGFR2,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF7,FGFR4,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF7,FGFR3,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
