cohort,label,cell_floor,prior_count,module,n_IPF,n_control,eligible,difference_IPF_minus_control
GSE135893,AT2,100,1.0,AT1_published_holdout,5,5,True,0.17727167350584416
GSE135893,AT2,100,1.0,AT2_published_holdout,5,5,True,0.08473696503119488
GSE135893,AT2,100,1.0,HALLMARK_HYPOXIA,5,5,True,0.14950355194176623
GSE135893,AT2,100,1.0,HALLMARK_INFLAMMATORY_RESPONSE,5,5,True,0.29780723203333404
GSE135893,AT2,100,1.0,HALLMARK_P53_PATHWAY,5,5,True,0.2528520574247297
GSE135893,AT2,100,1.0,HPCS_author_top100,5,5,True,0.42028544741397456
GSE135893,AT2,100,1.0,HPCS_excluding_operational_markers,5,5,True,0.42165976464777977
GSE135893,AT2,100,1.0,HPCS_without_ADI_or_operational_markers,5,5,True,0.40814213618090145
GSE135893,AT2,100,1.0,Han_ISR_source_symbols,5,5,True,0.03412861915065335
GSE135893,AT2,100,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,5,5,True,-0.0023487164727762355
