donor,disease,label,cells,unit_id,full_library_sum
244C,control,ATI,61,GSE136831_237,123717
244C,control,Ciliated,17,GSE136831_238,98491
253C,control,ATI,2,GSE136831_239,10316
253C,control,ATII,3,GSE136831_240,25371
253C,control,Ciliated,5,GSE136831_241,43604
296C,control,ATI,7,GSE136831_242,36747
296C,control,ATII,88,GSE136831_243,415525
296C,control,Basal,4,GSE136831_244,11393
296C,control,Ciliated,14,GSE136831_245,130767
296C,control,Club,11,GSE136831_246,94206
29I,IPF,ATI,1,GSE136831_247,11530
29I,IPF,ATII,4,GSE136831_248,124203
29I,IPF,Aberrant_Basaloid,8,GSE136831_249,115879
29I,IPF,Basal,4,GSE136831_250,44105
29I,IPF,Ciliated,85,GSE136831_251,867579
29I,IPF,Club,8,GSE136831_252,126619
388C,control,ATI,11,GSE136831_253,22622
388C,control,ATII,7,GSE136831_254,33936
388C,control,Basal,4,GSE136831_255,14596
388C,control,Ciliated,33,GSE136831_256,119087
388C,control,Club,11,GSE136831_257,74581
396C,control,ATI,7,GSE136831_258,23495
396C,control,ATII,170,GSE136831_259,483982
396C,control,Basal,3,GSE136831_260,20328
396C,control,Ciliated,15,GSE136831_261,37814
396C,control,Club,9,GSE136831_262,13243
439C,control,ATI,8,GSE136831_263,50936
439C,control,ATII,19,GSE136831_264,124474
439C,control,Ciliated,53,GSE136831_265,400723
439C,control,Club,15,GSE136831_266,58329
454C,control,ATI,50,GSE136831_267,194247
454C,control,ATII,89,GSE136831_268,456261
454C,control,Basal,1,GSE136831_269,5441
454C,control,Ciliated,1,GSE136831_270,11982
454C,control,Club,8,GSE136831_271,63880
465C,control,ATI,1,GSE136831_272,7264
465C,control,ATII,24,GSE136831_273,324918
465C,control,Basal,5,GSE136831_274,110236
465C,control,Ciliated,11,GSE136831_275,126713
465C,control,Club,1,GSE136831_276,10635
47I,IPF,ATI,2,GSE136831_277,4737
47I,IPF,Basal,11,GSE136831_278,53130
47I,IPF,Ciliated,66,GSE136831_279,478382
47I,IPF,Club,5,GSE136831_280,39429
483C,control,ATI,6,GSE136831_281,27910
483C,control,ATII,28,GSE136831_282,135284
483C,control,Basal,5,GSE136831_283,28654
483C,control,Ciliated,15,GSE136831_284,204889
483C,control,Club,8,GSE136831_285,39309
484C,control,ATII,1,GSE136831_286,3926
484C,control,Basal,1,GSE136831_287,9179
484C,control,Ciliated,1,GSE136831_288,15059
484C,control,Club,1,GSE136831_289,1247
49I,IPF,ATI,2,GSE136831_290,8690
49I,IPF,ATII,1,GSE136831_291,4517
49I,IPF,Aberrant_Basaloid,2,GSE136831_292,20717
49I,IPF,Basal,45,GSE136831_293,267858
49I,IPF,Ciliated,253,GSE136831_294,1831504
49I,IPF,Club,16,GSE136831_295,144171
59I,IPF,ATI,1,GSE136831_296,8170
59I,IPF,ATII,2,GSE136831_297,7920
59I,IPF,Basal,12,GSE136831_298,78853
59I,IPF,Ciliated,53,GSE136831_299,531329
59I,IPF,Club,4,GSE136831_300,18608
