cohort,case,reference,scope,cell_floor,prior_count,module,n_paired_donors,eligible,mean_difference,positive_donors,loo_min,loo_max,reason
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,HALLMARK_INFLAMMATORY_RESPONSE,2,False,0.15500392578049504,1.0,-0.07055131412310978,0.38055916568409986,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,HALLMARK_P53_PATHWAY,2,False,0.40664884918987987,2.0,0.23542402167240972,0.57787367670735,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,HPCS_author_top100,2,False,1.0370783487407302,2.0,0.79579245907339,1.2783642384080705,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,HPCS_excluding_operational_markers,2,False,1.004162119671495,2.0,0.7503683650469504,1.2579558742960395,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,HPCS_without_ADI_or_operational_markers,2,False,0.9733767426918152,2.0,0.7155859171373002,1.2311675682463301,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,Han_ISR_source_symbols,2,False,-0.11638874186147019,0.0,-0.15295191748545012,-0.07982556623749026,measured_with_pair_count_gate
GSE135893,KRT5-/KRT17+,AT2,primary,100,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,2,False,-0.11723010154367008,0.0,-0.2080887313817099,-0.026371471705630256,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,ADI_published_holdout,1,False,0.08199537159291914,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,AT1_published_holdout,1,False,0.4204245029062097,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,AT2_published_holdout,1,False,-0.2856068999625805,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HALLMARK_HYPOXIA,1,False,0.0017950767447700855,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HALLMARK_INFLAMMATORY_RESPONSE,1,False,-0.12705309597700998,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HALLMARK_P53_PATHWAY,1,False,-0.011294574138540625,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HPCS_author_top100,1,False,0.12104626105030025,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HPCS_excluding_operational_markers,1,False,0.10402226144922011,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,HPCS_without_ADI_or_operational_markers,1,False,0.09876020330549018,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,Han_ISR_source_symbols,1,False,-0.29279362272251985,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,30,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.28566515100125,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,ADI_published_holdout,1,False,0.08440919233150979,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,AT1_published_holdout,1,False,0.4341528187887702,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,AT2_published_holdout,1,False,-0.28942393309347025,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HALLMARK_HYPOXIA,1,False,0.01694956287819016,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HALLMARK_INFLAMMATORY_RESPONSE,1,False,-0.1666060411132,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HALLMARK_P53_PATHWAY,1,False,0.0011637208974200064,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HPCS_author_top100,1,False,0.13978810912326978,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HPCS_excluding_operational_markers,1,False,0.11853957514230018,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,HPCS_without_ADI_or_operational_markers,1,False,0.11413625689147011,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,Han_ISR_source_symbols,1,False,-0.3100126262589904,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,0.5,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.30536903212383004,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,ADI_published_holdout,1,False,0.08286696860038045,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,AT1_published_holdout,1,False,0.42615835041373007,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,AT2_published_holdout,1,False,-0.2866308778929598,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HALLMARK_HYPOXIA,1,False,0.007854340736979992,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HALLMARK_INFLAMMATORY_RESPONSE,1,False,-0.13854676221866002,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HALLMARK_P53_PATHWAY,1,False,-0.006808618576890524,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HPCS_author_top100,1,False,0.1279423210021,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HPCS_excluding_operational_markers,1,False,0.10923934755889997,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,HPCS_without_ADI_or_operational_markers,1,False,0.1042733878113502,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,Han_ISR_source_symbols,1,False,-0.29977154814261997,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.2936155697022702,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,ADI_published_holdout,1,False,0.08103729535417958,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,AT1_published_holdout,1,False,0.41343859270303973,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,AT2_published_holdout,1,False,-0.28479991958544026,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HALLMARK_HYPOXIA,1,False,-0.004902212430149877,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HALLMARK_INFLAMMATORY_RESPONSE,1,False,-0.11702995858123977,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HALLMARK_P53_PATHWAY,1,False,-0.01593122394266011,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HPCS_author_top100,1,False,0.11390440546103031,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HPCS_excluding_operational_markers,1,False,0.09878374010053026,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,HPCS_without_ADI_or_operational_markers,1,False,0.09324832689553997,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,Han_ISR_source_symbols,1,False,-0.2846236608548298,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,50,2.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.2764268153593701,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,ADI_published_holdout,1,False,0.12777574333717023,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,AT1_published_holdout,1,False,0.4725282687421499,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,AT2_published_holdout,1,False,-0.2462899446692397,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HALLMARK_HYPOXIA,1,False,0.04873293980930038,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HALLMARK_INFLAMMATORY_RESPONSE,1,False,-0.11690574714145008,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HALLMARK_P53_PATHWAY,1,False,0.037591633648260014,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HPCS_author_top100,1,False,0.1708079542762002,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HPCS_excluding_operational_markers,1,False,0.15125825705023033,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,HPCS_without_ADI_or_operational_markers,1,False,0.14609436510010987,1.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,Han_ISR_source_symbols,1,False,-0.2635583815912299,0.0,,,measured_with_pair_count_gate
GSE135893,Transitional AT2,AT2,secondary,100,1.0,Han_ISR_without_HPCS_ADI_or_operational_markers,1,False,-0.25874850912772995,0.0,,,measured_with_pair_count_gate
GSE136831,Aberrant_Basaloid,ATII,primary,30,1.0,DATP_PATS_holdout_panel,1,False,,,,,insufficient_assayed_source_gene_fraction
GSE136831,Aberrant_Basaloid,ATII,primary,50,0.5,ADI_published_holdout,0,False,,,,,no_complete_same_donor_state_pairs
GSE136831,Aberrant_Basaloid,ATII,primary,50,0.5,AT1_published_holdout,0,False,,,,,no_complete_same_donor_state_pairs
GSE136831,Aberrant_Basaloid,ATII,primary,50,0.5,AT2_published_holdout,0,False,,,,,no_complete_same_donor_state_pairs
GSE136831,Aberrant_Basaloid,ATII,primary,50,0.5,DATP_PATS_holdout_panel,0,False,,,,,insufficient_assayed_source_gene_fraction
