cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
4,RPL30,43.013145,1.4430212,0.0,0.0,0.9992957746478873,0.913413660724467
4,RPS19,42.96216,1.6663733,0.0,0.0,0.9985915492957746,0.9095746702649283
4,SRSF7,42.931072,2.3382447,0.0,0.0,0.9288732394366197,0.6284541411684215
4,CD3G,42.699986,4.96462,0.0,0.0,0.7161971830985916,0.054772131209852144
4,RPS27,42.517067,1.4176595,0.0,0.0,0.9985915492957746,0.9365236230947585
4,CD2,42.40483,4.41626,0.0,0.0,0.7352112676056338,0.07936447603481699
4,NKG7,42.249565,4.250024,0.0,0.0,0.7901408450704225,0.1259264890341708
40,KRT17,36.112152,6.652746,1.4620167434201695e-285,3.6113275579221607e-281,0.9859719438877755,0.14215938303341902
40,IGFBP2,35.621487,4.8603344,6.514422544136448e-278,8.04563756313572e-274,0.9959919839679359,0.22012486228424533
40,RPLP1,34.83115,1.9204717,8.214993312849161e-266,6.763951660689571e-262,0.9959919839679359,0.9583547557840617
40,S100A2,31.189999,5.0621157,1.4560543984914964e-213,8.991499924284614e-210,0.8777555110220441,0.07888358428204187
40,CYB5A,31.161982,3.438686,3.490607319300848e-213,1.724429827881005e-209,1.0,0.5246052148365773
40,PERP,30.996101,3.2571929,6.083680584795224e-211,2.5045499020837805e-207,0.9719438877755511,0.31424899008446566
40,ERRFI1,30.754114,3.5339448,1.0772947705280913e-207,3.8014654466877694e-204,0.935871743486974,0.2775247888358428
40,RPL41,30.325176,1.2976557,5.339743786128988e-202,1.6487126407646516e-198,0.9979959919839679,0.963092177745134
40,KRT19,30.16697,3.7721503,6.426164575206647e-200,1.7636965685797712e-196,0.9739478957915831,0.29621740727139184
