comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,CXCL12,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL12,Multiciliated (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Non-classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Pericytes,other,False,3,17;22;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,NK cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Smooth muscle,other,False,4,17;19;21;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Alveolar macrophages,macrophages,True,1,23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,Interstitial Mph perivascular,macrophages,True,4,17;19;21;23,CXCR4;DPP4;ITGB1
AT2,AT2,AIS,normal,CXCL12,AT0,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,CXCL12,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL12,Peribronchial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL12,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,pre-TB secretory,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,DC2,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL12,Hillock-like,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,SMG mucous,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,CXCL12,Tuft,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,AT1,other,False,4,3;12;16;23,DPP4
AT2,AT2,AIS,normal,CXCL2,AT2,AT2,False,12,3;5;8;9;12;14;16;17;19;21;22;23,DPP4
AT2,AT2,AIS,normal,CXCL2,Adventitial fibroblasts,fibroblasts,True,2,19;23,DPP4
AT2,AT2,AIS,normal,CXCL2,Alveolar fibroblasts,fibroblasts,True,3,3;16;23,DPP4
AT2,AT2,AIS,normal,CXCL2,B cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Basal resting,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Classical monocytes,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,EC arterial,other,False,6,9;17;19;21;22;23,DPP4
AT2,AT2,AIS,normal,CXCL2,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,EC venous pulmonary,other,False,4,17;19;21;23,DPP4
AT2,AT2,AIS,normal,CXCL2,EC venous systemic,other,False,0,,
