comp,label,case,reference,omitted_patient,direction,ligand,pearson,scope,rank,ranked_ligands,planned_omissions
AT2,AT2,AIS,normal,__none__,up,FGF7,0.0160954275201006,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,__none__,up,HBEGF,0.0252152084545778,source_agnostic_planned_panel,14.0,19,12
AT2,AT2,AIS,normal,__none__,up,TGFB1,0.0252167910398236,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,__none__,up,VEGFA,0.0099384731403452,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT10A,0.0348133554571089,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT10B,0.0329534973188313,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT11,0.0331584004854101,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT2,0.0350811662733522,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT2B,0.0317058560676555,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT3A,0.0212275023655868,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT4,0.0312311561470367,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT5A,0.0387800556965084,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT5B,0.0327728554471197,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT7A,0.0355206950818129,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT7B,0.0348808457147404,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,__none__,up,WNT9A,0.0341099965485318,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,LUAD,AAH,11,up,CXCL12,0.0089461224563203,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,11,up,CXCL2,0.0248043906233149,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,11,up,FGF7,0.0672414697402392,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,11,up,HBEGF,0.0264543315013753,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,11,up,TGFB1,0.0711005884101008,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,11,up,VEGFA,0.0231410534179139,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,11,up,WNT11,0.0297736218290988,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,11,up,WNT2,0.0334791755281345,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,20,up,CXCL12,0.0160046731078091,focused_triad,9.0,9,8
AT2,AT2,LUAD,AAH,20,up,CXCL2,0.0283563466595232,focused_triad,4.0,9,8
AT2,AT2,LUAD,AAH,20,up,FGF7,0.065128260117429,focused_triad,1.0,9,8
AT2,AT2,LUAD,AAH,20,up,HBEGF,0.0197585165592537,focused_triad,7.0,9,8
AT2,AT2,LUAD,AAH,20,up,TGFB1,0.064073331829002,focused_triad,2.0,9,8
AT2,AT2,LUAD,AAH,20,up,VEGFA,0.019495865672449,focused_triad,8.0,9,8
AT2,AT2,LUAD,AAH,20,up,WNT11,0.0238467835650723,focused_triad,6.0,9,8
AT2,AT2,LUAD,AAH,20,up,WNT2,0.0272961811780695,focused_triad,5.0,9,8
AT2,AT2,LUAD,AAH,20,up,WNT5A,0.0355935883444242,focused_triad,3.0,9,8
AT2,AT2,LUAD,AAH,22,up,CXCL12,0.0256326789975988,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,22,up,CXCL2,0.0507744566206596,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,22,up,FGF7,0.0828072055759566,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,22,up,HBEGF,0.0235072286515258,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,22,up,TGFB1,0.0926666545923754,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,22,up,VEGFA,0.0379132820384607,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,22,up,WNT2,0.0546495647637565,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,22,up,WNT5A,0.0603715970225112,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,24,up,CXCL12,0.0160407071974389,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,24,up,CXCL2,0.056078679727012,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,24,up,FGF7,0.0590302740559482,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,24,up,HBEGF,0.0348971927459067,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,24,up,TGFB1,0.068323797674139,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,24,up,VEGFA,0.0475989969361016,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,24,up,WNT11,0.0382580970550194,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,24,up,WNT2,0.0464622564468777,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,25,up,CXCL12,0.0053691687546028,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,25,up,CXCL2,0.0323386648463631,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,25,up,FGF7,0.0625167974437647,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,25,up,HBEGF,0.0243366296580148,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,25,up,TGFB1,0.0712500460391682,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,25,up,VEGFA,0.0299313782960513,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,25,up,WNT11,0.0319924796995208,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,25,up,WNT2,0.037456110794405,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,4,up,CXCL12,0.0630090247725672,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,4,up,CXCL2,0.0864441928795975,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,4,up,FGF7,0.12227233439759,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,4,up,HBEGF,0.0617195826563822,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,4,up,TGFB1,0.146275276022684,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,4,up,VEGFA,0.0547777755300403,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,4,up,WNT2,0.0767683221947117,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,4,up,WNT5A,0.0722069262136579,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,6,up,CXCL12,0.013567245766991,focused_triad,9.0,9,8
AT2,AT2,LUAD,AAH,6,up,CXCL2,0.0329938736575068,focused_triad,6.0,9,8
AT2,AT2,LUAD,AAH,6,up,FGF7,0.0706853901313771,focused_triad,1.0,9,8
AT2,AT2,LUAD,AAH,6,up,HBEGF,0.0261651549823459,focused_triad,7.0,9,8
AT2,AT2,LUAD,AAH,6,up,TGFB1,0.0689044450834115,focused_triad,2.0,9,8
AT2,AT2,LUAD,AAH,6,up,VEGFA,0.0208592332705529,focused_triad,8.0,9,8
AT2,AT2,LUAD,AAH,6,up,WNT11,0.037343795298863,focused_triad,5.0,9,8
AT2,AT2,LUAD,AAH,6,up,WNT2,0.0420977894804116,focused_triad,3.0,9,8
AT2,AT2,LUAD,AAH,6,up,WNT5A,0.0399463396457789,focused_triad,4.0,9,8
AT2,AT2,LUAD,AAH,9,up,CXCL12,0.0273228112658663,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,9,up,CXCL2,0.0318322451300336,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,9,up,FGF7,0.074519949722317,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,9,up,HBEGF,0.0195454406746124,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,9,up,TGFB1,0.0824831588341245,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,9,up,VEGFA,0.0295208443192928,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,9,up,WNT2,0.0382182163231761,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,9,up,WNT5A,0.0399582636514782,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,__none__,up,CXCL12,0.0290490861644586,focused_triad,8.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,CXCL2,0.0454160939298003,focused_triad,6.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,FGF7,0.0808402939941806,focused_triad,2.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,HBEGF,0.029665019342667,focused_triad,7.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,TGFB1,0.0899138525549019,focused_triad,1.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,VEGFA,0.0253257486284621,focused_triad,9.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,WNT11,0.0533833269312936,focused_triad,5.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,WNT2,0.0575269087950298,focused_triad,3.0,9,8
AT2,AT2,LUAD,AAH,__none__,up,WNT5A,0.0563962318453953,focused_triad,4.0,9,8
AT2,AT2,LUAD,AAH,11,down,CXCL12,-0.0087029703342926,focused_triad,6.0,8,8
AT2,AT2,LUAD,AAH,11,down,CXCL2,-0.0144078196215516,focused_triad,8.0,8,8
AT2,AT2,LUAD,AAH,11,down,FGF7,0.0001895522863972,focused_triad,3.0,8,8
AT2,AT2,LUAD,AAH,11,down,HBEGF,0.0211719436598742,focused_triad,1.0,8,8
AT2,AT2,LUAD,AAH,11,down,TGFB1,0.0047237898028546,focused_triad,2.0,8,8
AT2,AT2,LUAD,AAH,11,down,VEGFA,-0.0115864610901277,focused_triad,7.0,8,8
AT2,AT2,LUAD,AAH,11,down,WNT11,-0.0041341596606563,focused_triad,4.0,8,8
AT2,AT2,LUAD,AAH,11,down,WNT2,-0.0051280754707099,focused_triad,5.0,8,8
AT2,AT2,LUAD,AAH,20,down,CXCL12,-0.0150550481653124,focused_triad,9.0,9,8
AT2,AT2,LUAD,AAH,20,down,CXCL2,-0.0092068571418303,focused_triad,6.0,9,8
AT2,AT2,LUAD,AAH,20,down,FGF7,0.0029038607322659,focused_triad,2.0,9,8
AT2,AT2,LUAD,AAH,20,down,HBEGF,0.0206881620353317,focused_triad,1.0,9,8
AT2,AT2,LUAD,AAH,20,down,TGFB1,0.0022929714818081,focused_triad,3.0,9,8
