sample_id,gene,endpoint,AF1,AF2,direction
EEM-scRNA-238,Wnt2b,expected_detection_1000,0.00019214642918751994,0.0,AF1>AF2
EEM-scRNA-239,Wnt2b,expected_detection_1000,0.0002302096771629511,0.0,AF1>AF2
EEM-scRNA-310,Wnt2b,expected_detection_1000,0.00016433740309400294,0.0,AF1>AF2
EEM-scRNA-311,Wnt2b,expected_detection_1000,0.0,0.0,tie
EEM-scRNA-312,Wnt2b,expected_detection_1000,0.00019208937536952143,0.0,AF1>AF2
EEM-scRNA-113,Wnt4,cpm,21.895836314854,140.93152026168758,AF2>AF1
EEM-scRNA-116,Wnt4,cpm,20.828211883840922,173.93792660380586,AF2>AF1
EEM-scRNA-118,Wnt4,cpm,26.949288277341157,179.47546089886802,AF2>AF1
EEM-scRNA-124,Wnt4,cpm,14.635387738593106,48.35699981795012,AF2>AF1
EEM-scRNA-125,Wnt4,cpm,34.806133721711056,264.368884653822,AF2>AF1
EEM-scRNA-158,Wnt4,cpm,25.66144867321205,163.70027379320518,AF2>AF1
EEM-scRNA-162,Wnt4,cpm,24.056568044490348,196.08227612306123,AF2>AF1
EEM-scRNA-166,Wnt4,cpm,23.86458637078557,271.5477679678632,AF2>AF1
EEM-scRNA-167,Wnt4,cpm,24.41819578834959,291.424887169568,AF2>AF1
EEM-scRNA-170,Wnt4,cpm,32.83985444735731,206.83810125986264,AF2>AF1
EEM-scRNA-172,Wnt4,cpm,23.795769012601415,171.67463841029286,AF2>AF1
EEM-scRNA-179,Wnt4,cpm,25.981794497095592,218.299075971197,AF2>AF1
EEM-scRNA-181,Wnt4,cpm,26.891005533020195,257.6302844399359,AF2>AF1
EEM-scRNA-182,Wnt4,cpm,25.256981728347082,258.96084618793617,AF2>AF1
EEM-scRNA-236,Wnt4,cpm,23.371967195106844,155.62991206909967,AF2>AF1
EEM-scRNA-237,Wnt4,cpm,34.15146785579385,272.7914086383946,AF2>AF1
EEM-scRNA-238,Wnt4,cpm,24.413099693709498,326.23423618157835,AF2>AF1
EEM-scRNA-239,Wnt4,cpm,31.529324366266096,261.36513346621166,AF2>AF1
EEM-scRNA-310,Wnt4,cpm,45.001491478003274,362.04844276475217,AF2>AF1
EEM-scRNA-311,Wnt4,cpm,37.68194191356775,260.10595141507184,AF2>AF1
EEM-scRNA-312,Wnt4,cpm,29.020912759943943,279.4001230340893,AF2>AF1
EEM-scRNA-113,Wnt4,expected_detection_1000,0.025928120643171335,0.116087925073656,AF2>AF1
EEM-scRNA-116,Wnt4,expected_detection_1000,0.023520923437986382,0.17027119353939282,AF2>AF1
EEM-scRNA-118,Wnt4,expected_detection_1000,0.02848621706636443,0.16049058284142634,AF2>AF1
EEM-scRNA-124,Wnt4,expected_detection_1000,0.014640553043803208,0.04322474746057786,AF2>AF1
EEM-scRNA-125,Wnt4,expected_detection_1000,0.03495249686696978,0.20340135017817126,AF2>AF1
