annotation	group	category	sources	total_cells	state_cells	equal_source	cell_pooled	weighting_gap_pp	loo_equal_min	loo_equal_max	loo_pooled_min	loo_pooled_max	max_abs_equal_change_pp	max_abs_pooled_change_pp
clusterK12	12wk_3d	07	6	877	8	0.01097473861939087	0.009122006841505131	0.18527317778857383	0.002824858757062147	0.013169686343269043	0.0057361376673040155	0.012539184952978056	0.8149879862328723	0.34171781114729244
clusterK12	12wk_3d	08	6	877	40	0.03965869998840456	0.04561003420752566	-0.5951334219121098	0.029943381162556054	0.04759043998608547	0.03441682600382409	0.054858934169279	0.9715318825848505	1.1193208203701566
clusterK12	12wk_3d	09	6	877	125	0.11943125474511944	0.14253135689851767	-2.3100102153398234	0.10094462433821112	0.1343622818135463	0.09560229445506692	0.16614420062695925	1.8486630406908318	4.6929062443450755
clusterK12	12wk_3d	10	6	877	3	0.0016389696554223894	0.0034207525655644243	-0.1781782910142035	0.0008368200836820083	0.0019667635865068672	0.0019120458891013384	0.003870967741935484	0.0802149571740381	0.1508706676463086
clusterK12	12wk_3d	11	6	877	11	0.012687450241653882	0.012542759407069556	0.01446908345843264	0.0073818030350827	0.015224940289984659	0.00903225806451613	0.014106583072100314	0.5305647206571182	0.3510501342553426
clusterK12	12wk_3d	12	6	877	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12	14wk	01	3	991	58	0.04855970000136458	0.05852674066599395	-0.9967040664629369	0.041396886623501855	0.05603282731297123	0.03888888888888889	0.06192660550458716	0.7473127311606653	1.963785177710506
clusterK12	14wk	02	3	991	37	0.047371951549919154	0.03733602421796166	1.0035927331957497	0.038271042078977094	0.05379528860724618	0.035483870967741936	0.05	0.910090947094206	1.2663975782038346
clusterK12	14wk	03	3	991	77	0.11591755620402232	0.07769929364278506	3.8218262561237255	0.08371239987980396	0.1405841024934564	0.07096774193548387	0.12777777777777777	3.220515632421836	5.0078484134992705
clusterK12	14wk	04	3	991	161	0.09034775600927845	0.16246215943491424	-7.211440342563578	0.04181016668962667	0.12732491270244226	0.05	0.17545871559633028	4.853758931965178	11.246215943491423
clusterK12	14wk	05	3	991	363	0.46599300713594644	0.36629667003027244	9.969633710567399	0.41747690566190293	0.5356109656977546	0.3394495412844037	0.5444444444444444	6.961795856180814	17.814777441417196
clusterK12	14wk	06	3	991	55	0.058730670210717345	0.055499495459132187	0.32311747515851585	0.03347415657658022	0.07989928400460061	0.0481651376146789	0.07777777777777778	2.5256513634137128	2.2278282318645592
clusterK12	14wk	07	3	991	22	0.014095800233133218	0.022199798183652877	-0.8103997950519659	0.00819672131147541	0.021143700349699826	0.005555555555555556	0.02522935779816514	0.7047900116566608	1.664424262809732
clusterK12	14wk	08	3	991	166	0.07778894541787122	0.16750756811301715	-8.971862269514592	0.01680672268907563	0.11668341812680683	0.022222222222222223	0.18577981651376146	6.09822227287956	14.528534589079491
clusterK12	14wk	09	3	991	28	0.059379722053159965	0.028254288597376387	3.112543345578358	0.015299091276461261	0.08486790240747104	0.02043010752688172	0.05555555555555555	4.40806307766987	2.7301266958179164
clusterK12	14wk	10	3	991	12	0.009712392971985341	0.012108980827447022	-0.2396587855461681	0.006165228113440197	0.014568589457978013	0.011111111111111112	0.012903225806451613	0.48561964859926715	0.0997869716335911
clusterK12	14wk	11	3	991	8	0.010458437382351214	0.008072653884964682	0.2385783497386532	0.0030826140567200987	0.01568765607352682	0.005733944954128441	0.016666666666666666	0.7375823325631116	0.8594012781701984
clusterK12	14wk	12	3	991	4	0.0016440608302507192	0.004036326942482341	-0.23922661122316222	0.0	0.002466091245376079	0.0	0.0045871559633027525	0.16440608302507193	0.4036326942482341
clusterK12	Hopx_12wk3d	01	2	1226	147	0.1187524029219531	0.1199021207177814	-0.11497177958283006	0.0986159169550173	0.1388888888888889	0.0986159169550173	0.1388888888888889	2.0136485966935807	2.1286203762764107
clusterK12	Hopx_12wk3d	02	2	1226	95	0.07741413558887608	0.07748776508972267	-0.007362950084659203	0.07612456747404844	0.0787037037037037	0.07612456747404844	0.0787037037037037	0.12895681148276383	0.13631976156742304
clusterK12	Hopx_12wk3d	03	2	1226	561	0.4545500662138494	0.45758564437194127	-0.3035578158091856	0.4013840830449827	0.5077160493827161	0.4013840830449827	0.5077160493827161	5.316598316886672	5.6201561326958585
clusterK12	Hopx_12wk3d	04	2	1226	133	0.1086040625400487	0.10848287112561175	0.01211914144369497	0.10648148148148148	0.11072664359861592	0.10648148148148148	0.11072664359861592	0.2122581058567219	0.22437724730041686
clusterK12	Hopx_12wk3d	05	2	1226	60	0.04853902345251826	0.048939641109298535	-0.040061765678027494	0.04152249134948097	0.05555555555555555	0.04152249134948097	0.05555555555555555	0.7016532103037293	0.7417149759817567
clusterK12	Hopx_12wk3d	06	2	1226	19	0.015314622581058566	0.015497553017944535	-0.018293043688596966	0.012110726643598616	0.018518518518518517	0.012110726643598616	0.018518518518518517	0.3203895937459952	0.338682637434592
clusterK12	Hopx_12wk3d	07	2	1226	3	0.0025017087444999787	0.0024469820554649264	0.005472668903505227	0.0015432098765432098	0.0034602076124567475	0.0015432098765432098	0.0034602076124567475	0.09584988679567688	0.10132255569918211
clusterK12	Hopx_12wk3d	08	2	1226	191	0.16055256525268058	0.15579119086460033	0.4761374388080247	0.07716049382716049	0.24394463667820068	0.07716049382716049	0.24394463667820068	8.339207142552011	8.815344581360035
clusterK12	Hopx_12wk3d	09	2	1226	7	0.005775022427271562	0.005709624796084829	0.006539763118673311	0.004629629629629629	0.006920415224913495	0.004629629629629629	0.006920415224913495	0.11453927976419329	0.1210790428828666
clusterK12	Hopx_12wk3d	10	2	1226	5	0.004044918621043189	0.004078303425774877	-0.0033384804731688422	0.0034602076124567475	0.004629629629629629	0.0034602076124567475	0.004629629629629629	0.05847110085864414	0.06180958133181298
clusterK12	Hopx_12wk3d	11	2	1226	3	0.002408261779657397	0.0024469820554649264	-0.0038720275807529493	0.0017301038062283738	0.0030864197530864196	0.0017301038062283738	0.0030864197530864196	0.06781579734290231	0.07168782492365526
clusterK12	Hopx_12wk3d	12	2	1226	2	0.0015432098765432098	0.0016313213703099511	-0.008811149376674134	0.0	0.0030864197530864196	0.0	0.0030864197530864196	0.15432098765432098	0.1631321370309951
clusterK12	Hopx_12wk14d	01	2	911	65	0.07146562578695542	0.07135016465422613	0.011546113272929703	0.07090909090909091	0.07202216066481995	0.07090909090909091	0.07202216066481995	0.05565348778645285	0.06719960105938255
clusterK12	Hopx_12wk14d	02	2	911	91	0.09700579199194158	0.09989023051591657	-0.28844385239749915	0.08310249307479224	0.11090909090909092	0.08310249307479224	0.11090909090909092	1.3903298917149338	1.6787737441124329
clusterK12	Hopx_12wk14d	03	2	911	578	0.6273079828758499	0.6344676180021954	-0.7159635126345543	0.592797783933518	0.6618181818181819	0.592797783933518	0.6618181818181819	3.451019894233198	4.166983406867741
clusterK12	Hopx_12wk14d	04	2	911	24	0.02705363888189373	0.026344676180021953	0.07089627018717765	0.023636363636363636	0.030470914127423823	0.023636363636363636	0.030470914127423823	0.34172752455300937	0.412623794740187
clusterK12	Hopx_12wk14d	05	2	911	31	0.035797028456308236	0.03402854006586169	0.17684883904465487	0.02727272727272727	0.0443213296398892	0.02727272727272727	0.0443213296398892	0.8524301183580965	1.029278957402751
