annotation	group	source_label	category	numerator	denominator	fraction
clusterK12_stringent	14wk	BD1621_B0302_GFP+	02	3	119	0.025210084033613446
clusterK12_stringent	14wk	BF1303_B0301_GFP+	02	14	811	0.01726263871763255
clusterK12_stringent	14wk	BH1066_GFP+	02	3	61	0.04918032786885246
clusterK12_stringent	14wk	BD1621_B0302_GFP+	03	9	119	0.07563025210084033
clusterK12_stringent	14wk	BF1303_B0301_GFP+	03	42	811	0.051787916152897656
clusterK12_stringent	14wk	BH1066_GFP+	03	7	61	0.11475409836065574
clusterK12_stringent	14wk	BD1621_B0302_GFP+	04	1	119	0.008403361344537815
clusterK12_stringent	14wk	BF1303_B0301_GFP+	04	66	811	0.08138101109741061
clusterK12_stringent	14wk	BH1066_GFP+	04	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	05	62	119	0.5210084033613446
clusterK12_stringent	14wk	BF1303_B0301_GFP+	05	215	811	0.2651048088779285
clusterK12_stringent	14wk	BH1066_GFP+	05	29	61	0.47540983606557374
clusterK12_stringent	14wk	BD1621_B0302_GFP+	06	1	119	0.008403361344537815
clusterK12_stringent	14wk	BF1303_B0301_GFP+	06	8	811	0.009864364981504316
clusterK12_stringent	14wk	BH1066_GFP+	06	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	07	0	119	0.0
clusterK12_stringent	14wk	BF1303_B0301_GFP+	07	11	811	0.013563501849568433
clusterK12_stringent	14wk	BH1066_GFP+	07	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	08	2	119	0.01680672268907563
clusterK12_stringent	14wk	BF1303_B0301_GFP+	08	101	811	0.12453760789149199
clusterK12_stringent	14wk	BH1066_GFP+	08	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	09	0	119	0.0
clusterK12_stringent	14wk	BF1303_B0301_GFP+	09	8	811	0.009864364981504316
clusterK12_stringent	14wk	BH1066_GFP+	09	6	61	0.09836065573770492
clusterK12_stringent	14wk	BD1621_B0302_GFP+	11	2	119	0.01680672268907563
clusterK12_stringent	14wk	BF1303_B0301_GFP+	11	3	811	0.0036991368680641184
clusterK12_stringent	14wk	BH1066_GFP+	11	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	12	0	119	0.0
clusterK12_stringent	14wk	BF1303_B0301_GFP+	12	0	811	0.0
clusterK12_stringent	14wk	BH1066_GFP+	12	0	61	0.0
clusterK12_stringent	14wk	BD1621_B0302_GFP+	other	36	119	0.3025210084033613
clusterK12_stringent	14wk	BF1303_B0301_GFP+	other	321	811	0.3958076448828607
clusterK12_stringent	14wk	BH1066_GFP+	other	14	61	0.22950819672131148
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	01	50	648	0.07716049382716049
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	01	39	578	0.06747404844290658
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	02	33	648	0.05092592592592592
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	02	20	578	0.03460207612456748
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	03	304	648	0.4691358024691358
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	03	200	578	0.3460207612456747
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	04	22	648	0.033950617283950615
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	04	22	578	0.03806228373702422
