level	unit	left	right	left_category	right_category	cells
all	all	clusterK12	clusterK12_stringent	11	09	0
all	all	clusterK12	clusterK12_stringent	11	11	11
all	all	clusterK12	clusterK12_stringent	11	12	0
all	all	clusterK12	clusterK12_stringent	11	other	12
all	all	clusterK12	clusterK12_stringent	12	01	0
all	all	clusterK12	clusterK12_stringent	12	02	0
all	all	clusterK12	clusterK12_stringent	12	03	0
all	all	clusterK12	clusterK12_stringent	12	04	0
all	all	clusterK12	clusterK12_stringent	12	05	0
all	all	clusterK12	clusterK12_stringent	12	06	0
all	all	clusterK12	clusterK12_stringent	12	07	0
all	all	clusterK12	clusterK12_stringent	12	08	0
all	all	clusterK12	clusterK12_stringent	12	09	0
all	all	clusterK12	clusterK12_stringent	12	11	0
all	all	clusterK12	clusterK12_stringent	12	12	1
all	all	clusterK12	clusterK12_stringent	12	other	9
group	12wk_3d	cell type	clusterK12	AT1-like	01	1
group	12wk_3d	cell type	clusterK12	AT1-like	02	2
group	12wk_3d	cell type	clusterK12	AT1-like	03	50
group	12wk_3d	cell type	clusterK12	AT1-like	04	0
group	12wk_3d	cell type	clusterK12	AT1-like	05	0
group	12wk_3d	cell type	clusterK12	AT1-like	06	0
group	12wk_3d	cell type	clusterK12	AT1-like	07	0
group	12wk_3d	cell type	clusterK12	AT1-like	08	1
group	12wk_3d	cell type	clusterK12	AT1-like	09	0
group	12wk_3d	cell type	clusterK12	AT1-like	10	0
group	12wk_3d	cell type	clusterK12	AT1-like	11	0
group	12wk_3d	cell type	clusterK12	AT1-like	12	0
group	12wk_3d	cell type	clusterK12	AT2-like	01	19
group	12wk_3d	cell type	clusterK12	AT2-like	02	38
group	12wk_3d	cell type	clusterK12	AT2-like	03	1
group	12wk_3d	cell type	clusterK12	AT2-like	04	4
group	12wk_3d	cell type	clusterK12	AT2-like	05	22
group	12wk_3d	cell type	clusterK12	AT2-like	06	4
group	12wk_3d	cell type	clusterK12	AT2-like	07	0
group	12wk_3d	cell type	clusterK12	AT2-like	08	10
group	12wk_3d	cell type	clusterK12	AT2-like	09	44
group	12wk_3d	cell type	clusterK12	AT2-like	10	0
group	12wk_3d	cell type	clusterK12	AT2-like	11	0
