resource,ligand,receptor
cellchatdb,WNT10B,FZD5_LRP5
cellchatdb,WNT10B,FZD6_LRP5
cellchatdb,WNT10B,FZD7_LRP5
cellchatdb,WNT10B,FZD8_LRP5
cellchatdb,WNT10B,FZD9_LRP5
cellchatdb,WNT16,FZD1_LRP5
cellchatdb,WNT16,FZD10_LRP5
cellchatdb,WNT16,FZD2_LRP5
cellchatdb,WNT16,FZD3_LRP5
cellchatdb,WNT16,FZD4_LRP5
cellchatdb,WNT16,FZD5_LRP5
cellchatdb,WNT16,FZD6_LRP5
cellchatdb,WNT16,FZD7_LRP5
cellchatdb,WNT16,FZD8_LRP5
cellchatdb,WNT16,FZD9_LRP5
cellchatdb,WNT2,FZD1_LRP5
cellchatdb,WNT2,FZD10_LRP5
cellchatdb,WNT2,FZD2_LRP5
cellchatdb,WNT2,FZD3_LRP5
cellchatdb,WNT2,FZD4_LRP5
cellchatdb,WNT2,FZD5_LRP5
cellchatdb,WNT2,FZD6_LRP5
cellchatdb,WNT2,FZD7_LRP5
cellchatdb,WNT2,FZD8_LRP5
cellchatdb,WNT2,FZD9_LRP5
cellchatdb,WNT2B,FZD1_LRP5
cellchatdb,WNT2B,FZD10_LRP5
cellchatdb,WNT2B,FZD2_LRP5
cellchatdb,WNT2B,FZD3_LRP5
