resource,ligand,receptor
cellchatdb,WNT8A,FZD8_LRP5
cellchatdb,WNT8A,FZD9_LRP5
cellchatdb,WNT8B,FZD1_LRP5
cellchatdb,WNT8B,FZD10_LRP5
cellchatdb,WNT8B,FZD2_LRP5
cellchatdb,WNT8B,FZD3_LRP5
cellchatdb,WNT8B,FZD4_LRP5
cellchatdb,WNT8B,FZD5_LRP5
cellchatdb,WNT8B,FZD6_LRP5
cellchatdb,WNT8B,FZD7_LRP5
cellchatdb,WNT8B,FZD8_LRP5
cellchatdb,WNT8B,FZD9_LRP5
cellchatdb,WNT9A,FZD1_LRP5
cellchatdb,WNT9A,FZD10_LRP5
cellchatdb,WNT9A,FZD2_LRP5
cellchatdb,WNT9A,FZD3_LRP5
cellchatdb,WNT9A,FZD4_LRP5
cellchatdb,WNT9A,FZD5_LRP5
cellchatdb,WNT9A,FZD6_LRP5
cellchatdb,WNT9A,FZD7_LRP5
cellchatdb,WNT9A,FZD8_LRP5
cellchatdb,WNT9A,FZD9_LRP5
cellchatdb,WNT9B,FZD1_LRP5
cellchatdb,WNT9B,FZD10_LRP5
cellchatdb,WNT9B,FZD2_LRP5
cellchatdb,WNT9B,FZD3_LRP5
cellchatdb,WNT9B,FZD4_LRP5
cellchatdb,WNT9B,FZD5_LRP5
cellchatdb,WNT9B,FZD6_LRP5
cellchatdb,WNT9B,FZD7_LRP5
cellchatdb,WNT9B,FZD8_LRP5
cellchatdb,WNT9B,FZD9_LRP5
cellchatdb,WNT1,FZD1_LRP6
cellchatdb,WNT1,FZD10_LRP6
cellchatdb,WNT1,FZD2_LRP6
cellchatdb,WNT1,FZD3_LRP6
cellchatdb,WNT1,FZD4_LRP6
cellchatdb,WNT1,FZD5_LRP6
cellchatdb,WNT1,FZD6_LRP6
cellchatdb,WNT1,FZD7_LRP6
cellchatdb,WNT1,FZD8_LRP6
cellchatdb,WNT1,FZD9_LRP6
cellchatdb,WNT10A,FZD1_LRP6
cellchatdb,WNT10A,FZD10_LRP6
cellchatdb,WNT10A,FZD2_LRP6
cellchatdb,WNT10A,FZD3_LRP6
cellchatdb,WNT10A,FZD4_LRP6
cellchatdb,WNT10A,FZD5_LRP6
cellchatdb,WNT10A,FZD6_LRP6
cellchatdb,WNT10A,FZD7_LRP6
cellchatdb,WNT10A,FZD8_LRP6
