case,reference,module,section_weighting,n_patients,eligible_primary_count,mean_paired_difference,loo_min,loo_max
LUAD,AIS,GENE_CLDN4,equal_sections,12,True,0.05694950155680883,0.030424556097463508,0.06178715550595533
LUAD,AIS,GENE_COL1A1,equal_sections,12,True,0.2267062310287042,0.041238530656843,0.26858198615955914
LUAD,AIS,GENE_CXCL12,equal_sections,12,True,-0.022895694972774328,-0.026790461711064195,-0.006217212240292097
LUAD,AIS,GENE_FGF10,equal_sections,12,True,-0.00023465775355344156,-0.002868514348771509,0.0026258712264660452
LUAD,AIS,GENE_FGF7,equal_sections,12,True,-0.011730013070951272,-0.019184286314559425,0.010636783627849066
LUAD,AIS,GENE_HBEGF,equal_sections,12,True,0.008318701063331324,-0.0016970555747507373,0.011789894273994007
LUAD,AIS,GENE_IFNG,equal_sections,12,True,8.254147537032047e-05,-0.0001877425558937597,0.00039950789117631315
LUAD,AIS,GENE_IL1A,equal_sections,12,True,-0.001004696676792763,-0.0011768965129278323,-0.00017583154321666866
LUAD,AIS,GENE_IL1B,equal_sections,12,True,-0.00856418272794978,-0.011110794682479323,0.0025101526810548595
LUAD,AIS,GENE_IL1R1,equal_sections,12,True,-0.019918406056223276,-0.029155854187746064,0.0187396387364321
LUAD,AIS,GENE_IL1R2,equal_sections,12,True,-0.00017522507542623477,-0.001082573548052947,0.0013820283554158623
LUAD,AIS,GENE_IL1RAP,equal_sections,12,True,0.01267097336749424,5.207666743714534e-05,0.01540143861022979
LUAD,AIS,GENE_IL1RN,equal_sections,12,True,-0.0005725975881793085,-0.011404557897039229,0.01262629183088066
LUAD,AIS,GENE_KRT17,equal_sections,12,True,-0.017205821312016707,-0.0244032370401433,0.00854086612406732
LUAD,AIS,GENE_KRT5,equal_sections,12,True,0.05556945977994406,-0.0010721301083295469,0.15062474688955507
LUAD,AIS,GENE_KRT8,equal_sections,12,True,0.14187200213708032,0.07219246628106775,0.1544934393861329
LUAD,AIS,GENE_SFTPC,equal_sections,12,True,-0.7417887034629453,-0.8655652720922663,-0.3930270074128282
LUAD,AIS,GENE_SIGIRR,equal_sections,12,True,0.012440694006987723,0.0061409509269659875,0.01369140113442196
LUAD,AIS,GENE_TGFB1,equal_sections,12,True,0.013651748777636566,-0.0029930422637512648,0.019236819794394285
LUAD,AIS,GENE_TNF,equal_sections,12,True,-0.00023513070860034982,-0.0017355103681765632,0.0015325271547812
LUAD,AIS,HALLMARK_E2F_TARGETS,equal_sections,12,True,0.01900722887694915,0.004066407876273293,0.02085464669041381
LUAD,AIS,HALLMARK_G2M_CHECKPOINT,equal_sections,12,True,0.01641069003210264,0.002823162578979226,0.01857992497569313
LUAD,AIS,HALLMARK_GLYCOLYSIS,equal_sections,12,True,0.02114688567249305,0.004460044579338702,0.024837398686178437
LUAD,AIS,HALLMARK_HYPOXIA,equal_sections,12,True,0.012791520831017306,0.0020828042405345,0.01803541653271904
LUAD,AIS,HALLMARK_IL6_JAK_STAT3_SIGNALING,equal_sections,12,True,0.01025429338969472,-0.0005819956100283706,0.016502873858071834
LUAD,AIS,HALLMARK_INFLAMMATORY_RESPONSE,equal_sections,12,True,0.00796170554704013,-0.003719867509225074,0.015514746539079895
