set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_ANDROGEN_RESPONSE,-0.18676411815206811,-0.9588665795396144,0.4888888888888889,0.6155347753534209,Dnajb9;Gnai3;Krt19;Xrcc5;Mak;Cdk6;Zbtb10;Dhcr24;Cdc14b;Mertk;Rps6ka3;Gpd1l;Ncoa4;Actn1;Elovl5,85
HALLMARK_PEROXISOME,0.24935992449188993,0.9398196644538276,0.5919037199124726,0.7604109247936118,Fis1;Cdk7;Prdx5;Nudt19;Hras;Tspo;Abcd1;Sod2;Itgb1bp1;Acot8;Pex11b;Dlg4;Scgb1a1;Abcb1a;Acsl1;Ercc3;Hmgcl;Mvp;Slc35b2;Fdps;Cln8;Pex2;Slc25a19;Siah1a;Slc25a17;Cln6,81
HALLMARK_APICAL_JUNCTION,0.2314315158673473,0.9204486816990343,0.6361724500525763,0.7807118822986079,Fbn1;Rras;Rac2;Skap2;Atp1a3;Tspan4;Nectin2;Sdc3;Mmp2;Hras;Adam9;Tgfbi;Cd274;Akt3;Myl12b;Ldlrap1;Vcan;Inppl1;Stx4a;Nlgn2;Cd86;Icam2;Arpc2;Mapk13;Icam1;Zyx;Gtf2f1;Cnn2;Cd276;Gnai2,126
HALLMARK_ADIPOGENESIS,0.221722163416506,0.913601031053862,0.6775844421699079,0.7719205647555585,Slc27a1;Dnajc15;Esyt1;Cox8a;Pfkl;C3;Phyh;Pgm1;Ddt;Acadl;Sdhb;Dram2;Echs1;Cyc1;Gadd45a;Ak2;Suclg1;Col4a1;Gbe1;Ndufs3;Mtch2;Apoe;Grpel1;Aco2;Lipe;Aifm1;Ndufb7;Tank;Nmt1;Uqcrc1;Rmdn3;Cox7b;Map4k3;Uqcr10;Tst;Uck1;Mrpl15;Arl4a;Ubc;Gpx3;Mdh2;Bcl6;Lama4,183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.23082460031425567,0.8474705765488012,0.7179203539823009,0.8783497432752873,Ethe1;Fabp5;Lgmn;Lgals3;Mvk;Pdk3;Cxcl16;Trib3;Fbxo6;Pmvk;Nsdhl;Ebp;Stx5a;Fdps,63
HALLMARK_APICAL_SURFACE,-0.21033103375691842,-0.7956251143489794,0.7896995708154506,0.8855199773306885,Cx3cl1;Adipor2;Sulf2;Adam10;App;Brca1;Ncoa6;Rtn4rl1,24
HALLMARK_HEME_METABOLISM,0.17287631829640515,0.7026027010050238,0.9476923076923077,1.0,Lmo2;Ctsb;C3;H1f0;Htatip2;Rbm38;Gypc;Slc2a1;Mkrn1;Slc6a8;Slc30a1;Arl2bp;Kdm7a;Minpp1;Sdcbp;Lrp10;Htra2;Bsg;Ctse;Psmd9;Lamp2;Car2;Blvrb;Tent5c;Sidt2;Smox;Mocos;Dcaf11;Rad23a;Urod;Kat2b;Synj1;Hmbs;Slc25a38;Selenbp1;E2f2;Tmem9b;Ppox;Lpin2;Ypel5;Mpp1;Dcun1d1;Eif2ak1;Khnyn;Ubac1;Acp5;Atg4a;Narf;Rnf123;Gde1;Bpgm;Asns;Marchf2;Ccdc28a;Usp15;Pgls;Adipor1;Slc11a2;Alad,149
HALLMARK_MYC_TARGETS_V2,0.18051209332351997,0.6526741866015042,0.9584775086505191,1.0,Hk2;Noc4l;Dusp2;Cdk4;Rabepk;Tcof1;Wdr74;Aimp2;Tbrg4,56
HALLMARK_E2F_TARGETS,0.14247647061149885,0.5832729079015446,1.0,1.0,Rfc2;Pop7;Hmga1b;Cnot9;Phf5a;Ak2;Cenpm;Dck;Hmgb2;Brms1l;Asf1a;Eif2s1;Ddx39a;Srsf2;Tipin;Cdk4;Aurka;Ube2s;Mthfd2;Tbrg4;Prdx4;Ran;Rpa3;Suv39h1;Eed;Pttg1;Cdca3;Donson;Rfc3;Bard1;Lsm8;Ranbp1;Asf1b;Hnrnpd;Ccne1;Mad2l1;Tubg1;Pold3;Cdc20;Gins4;Tmpo;Pan2;Kif2c;Tacc3;Nudt21;Ung;Rad1;Bub1b;H2az1;Dek;Lbr;Aurkb;E2f8;Dlgap5;Snrpb;Birc5;Psmc3ip;Ppp1r8;Gins1;Plk1;Mre11a;Cdca8;Ccnb2;Cdkn3;Pole4;Exosc8;Cdkn2c,198
HALLMARK_G2M_CHECKPOINT,0.09778165819973197,0.40427457247059195,1.0,1.0,Ccnf;Abl1;Sap30;Ewsr1;Hmga1b;Hif1a;Chmp1a;Marcks;Tent4a;Pml;E2f4;Ddx39a;Srsf2;Cdk4;Aurka;Bub3;Bcl3;E2f3;Ube2s;Katna1;Cenpa;Meis1;Upf1;Suv39h1;Pttg1;Bard1;Nsd2;Tpx2;Snrpd1;Hnrnpd;Nup98;Mad2l1;Ss18;Ndc80;E2f2;Cdc20;Tmpo;Mnat1;Kif2c,191
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.09700824382633277,0.31262739161636405,1.0,1.0,Hdac5;Dll1;Ncstn;Frat1;Psen2;Kat2a;Axin1;Ppard;Numb;Nkd1;Adam17;Notch1,32
