donor,tissue,compartment,n_cells,det_AREG,mean_AREG,det_EREG,mean_EREG,det_HBEGF,mean_HBEGF,det_TGFA,mean_TGFA,det_EGF,mean_EGF,det_BTC,mean_BTC,det_EPGN,mean_EPGN,det_EGFR,mean_EGFR,evaluable
LUNG_T28,tLung,endothelial,375,0.2133,0.3638,0.24,0.5211,0.1307,0.1847,0.0213,0.0134,0.0027,0.0019,0.0347,0.017,0.0,0.0,0.072,0.0548,True
LUNG_T28,tLung,epithelial,1414,0.4158,0.7234,0.1917,0.3214,0.0714,0.0831,0.0969,0.077,0.0233,0.0187,0.0997,0.0649,0.0021,0.0015,0.2864,0.2333,True
LUNG_T28,tLung,lymphoid,660,0.1152,0.3251,0.0076,0.0166,0.0076,0.0159,0.0015,0.0005,0.0015,0.0049,0.0,0.0,0.0,0.0,0.0061,0.0098,True
LUNG_T28,tLung,mesenchymal,50,0.12,0.2983,0.06,0.1171,0.04,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1002,True
LUNG_T28,tLung,myeloid,219,0.1872,0.4563,0.0731,0.1595,0.0457,0.0901,0.0091,0.0172,0.0046,0.0049,0.0,0.0,0.0,0.0,0.0183,0.0398,True
LUNG_T28,tLung,neutrophil,661,0.1921,0.451,0.2874,0.7129,0.2284,0.3681,0.0318,0.0306,0.0,0.0,0.0106,0.0071,0.0,0.0,0.0303,0.0237,True
LUNG_T28,tLung,other immune,171,0.1754,0.5095,0.0292,0.0472,0.0,0.0,0.0117,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0151,True
LUNG_T28,tLung,unassigned,1155,0.142,0.4054,0.071,0.2086,0.0338,0.0752,0.0052,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0101,True
LUNG_T30,tLung,endothelial,436,0.3303,0.9146,0.0528,0.1,0.4335,0.8326,0.0183,0.0252,0.0046,0.0071,0.0046,0.0081,0.0,0.0,0.0619,0.0783,True
LUNG_T30,tLung,epithelial,737,0.6811,2.0981,0.0136,0.0229,0.3433,0.671,0.0312,0.0478,0.0095,0.0138,0.0231,0.0349,0.0,0.0,0.2049,0.3307,True
LUNG_T30,tLung,lymphoid,399,0.1955,0.5844,0.005,0.0119,0.015,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T30,tLung,mesenchymal,75,0.08,0.1995,0.0,0.0,0.1333,0.2721,0.0,0.0,0.0,0.0,0.0133,0.0261,0.0,0.0,0.0667,0.1053,True
LUNG_T30,tLung,myeloid,519,0.2582,0.7124,0.0289,0.0761,0.1118,0.2347,0.0096,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0144,True
LUNG_T30,tLung,neutrophil,556,0.2914,0.7256,0.1205,0.2657,0.6457,1.2288,0.0234,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0175,True
LUNG_T30,tLung,other immune,141,0.1348,0.4415,0.0,0.0,0.0071,0.0226,0.0071,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_T30,tLung,unassigned,1231,0.1755,0.5733,0.0301,0.0858,0.0902,0.2135,0.0122,0.0268,0.0008,0.0023,0.0008,0.0018,0.0,0.0,0.0008,0.0021,True
LUNG_T31,tLung,endothelial,323,0.1579,0.2865,0.0402,0.0596,0.2539,0.3902,0.0464,0.0371,0.0031,0.0013,0.0,0.0,0.0,0.0,0.0712,0.0903,True
LUNG_T31,tLung,epithelial,455,0.3363,0.698,0.0176,0.0243,0.2264,0.3329,0.1319,0.1256,0.011,0.0132,0.0132,0.0142,0.0066,0.006,0.2352,0.2967,True
LUNG_T31,tLung,lymphoid,1788,0.1281,0.3479,0.0022,0.0059,0.0151,0.0388,0.0039,0.0089,0.0,0.0,0.0006,0.0014,0.0,0.0,0.0056,0.0096,True
LUNG_T31,tLung,mesenchymal,499,0.0862,0.2245,0.014,0.0258,0.1363,0.2013,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.1002,0.1229,True
LUNG_T31,tLung,myeloid,373,0.1957,0.5623,0.0349,0.0802,0.0938,0.1876,0.0188,0.0243,0.0,0.0,0.0054,0.0078,0.0,0.0,0.0188,0.0246,True
LUNG_T31,tLung,neutrophil,316,0.2532,0.6391,0.1551,0.2928,0.3228,0.5758,0.0475,0.0445,0.0,0.0,0.0,0.0,0.0,0.0,0.0316,0.0386,True
LUNG_T31,tLung,other immune,403,0.1762,0.5276,0.005,0.0111,0.0372,0.0781,0.0025,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0192,True
LUNG_T31,tLung,unassigned,1421,0.1583,0.4679,0.0155,0.0449,0.0338,0.0829,0.0035,0.0088,0.0007,0.0014,0.0,0.0,0.0007,0.0016,0.0028,0.009,True
LUNG_T34,tLung,endothelial,194,0.7526,2.482,0.4948,0.9039,0.4897,0.6067,0.1598,0.1084,0.0309,0.0185,0.1443,0.0922,0.0,0.0,0.3969,0.3933,True
LUNG_T34,tLung,epithelial,2386,0.8726,2.9527,0.4929,0.9314,0.3638,0.487,0.1123,0.1087,0.0281,0.0228,0.0909,0.0833,0.0004,0.0002,0.3667,0.4008,True
LUNG_T34,tLung,lymphoid,134,0.291,0.8481,0.0448,0.122,0.0075,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.0757,True
LUNG_T34,tLung,mesenchymal,22,0.2273,0.5832,0.0,0.0,0.0909,0.2517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0725,False
LUNG_T34,tLung,myeloid,63,0.4286,1.051,0.1429,0.3234,0.381,0.7967,0.0317,0.0295,0.0,0.0,0.0317,0.0436,0.0,0.0,0.0476,0.0494,True
LUNG_T34,tLung,neutrophil,159,0.4591,1.0443,0.3836,0.8197,0.5157,0.8874,0.0503,0.0495,0.0,0.0,0.0126,0.0079,0.0,0.0,0.0629,0.0518,True
LUNG_T34,tLung,other immune,54,0.3704,1.1801,0.1852,0.4872,0.0741,0.116,0.0,0.0,0.0,0.0,0.037,0.0588,0.0,0.0,0.0741,0.071,True
LUNG_T34,tLung,unassigned,268,0.2687,0.7872,0.0821,0.2509,0.1119,0.2487,0.0037,0.0073,0.0037,0.0066,0.0075,0.019,0.0,0.0,0.0037,0.0104,True
