resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_antiIL1B,difference_antiIL1B_minus_IgG,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
consensus,exploratory,broad,Wnt9a,Fzd3_Lrp5,WNT9A,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3068722113707185,-0.07903369983000541,-0.5347107229114307,-0.572215266700149,-0.13706495292409926,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd4_Lrp5,WNT9A,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.2027102751672385,-0.07903369983000541,-0.32638685050447136,-0.6626032405035667,0.40689796202421835,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd10_Lrp5,WNT9A,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.1709166914617466,-0.07903369983000541,-0.26279968309348856,-0.4581023087161178,0.017620640890732675,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd1_Lrp5,WNT9A,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.12439788923593387,-0.07903369983000541,-0.1697620786418632,-0.26250411666716733,-0.005070419209570076,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd5_Lrp6,WNT9A,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.1410873183686574,-0.07903369983000541,0.36120833656731843,0.02133485447674932,0.21785867057819175,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd2_Lrp6,WNT9A,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.07121585427601484,-0.07903369983000541,-0.06339800872202517,-0.15877156012547022,-0.005094975040170091,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd8_Lrp6,WNT9A,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.11280780682364266,-0.07903369983000541,0.3046493134772894,0.0104891299197174,0.2475063339387873,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd3_Lrp6,WNT9A,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3068722113707185,-0.07903369983000541,-0.5347107229114307,-0.572215266700149,-0.13706495292409926,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd4_Lrp6,WNT9A,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.2027102751672385,-0.07903369983000541,-0.32638685050447136,-0.6626032405035667,0.40689796202421835,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd10_Lrp6,WNT9A,FZD10_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.1709166914617466,-0.07903369983000541,-0.26279968309348856,-0.4581023087161178,0.017620640890732675,descriptive_no_p_value
consensus,exploratory,broad,Wnt9a,Fzd1_Lrp6,WNT9A,FZD1_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.001385363966855735,-0.07903369983000541,0.0818044277637151,-0.17126375279691608,0.09021466075896178,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd9_Lrp5,WNT9B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.9337457557050215,8.881784197001252e-16,-1.867491511410044,-1.2449943409400281,-0.5625634200760465,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd9_Lrp6,WNT9B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.9337457557050215,8.881784197001252e-16,-1.867491511410044,-1.2449943409400281,-0.5625634200760465,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd6_Lrp5,WNT9B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.20812351091666448,8.881784197001252e-16,-0.4162470218333296,-0.38688124701293614,-0.09371468652342374,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd6_Lrp6,WNT9B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.20812351091666448,8.881784197001252e-16,-0.4162470218333296,-0.38688124701293614,-0.09371468652342374,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd7_Lrp5,WNT9B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.09924306823308904,8.881784197001252e-16,-0.19848613646617874,-0.19905304511322752,0.06174297982728261,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd7_Lrp6,WNT9B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.0730534403856371,8.881784197001252e-16,-0.1461068807712751,-0.16587881900728374,0.10375726139544139,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd5_Lrp5,WNT9B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.13606957622585747,8.881784197001252e-16,-0.2721391524517154,-0.2202503115570824,-0.006342011263312353,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd2_Lrp5,WNT9B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.13606957622585747,8.881784197001252e-16,-0.2721391524517154,-0.2202503115570824,-0.006342011263312353,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd8_Lrp5,WNT9B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.15232465673864537,8.881784197001252e-16,0.3046493134772894,0.060406074770901264,0.2226975968176012,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd3_Lrp5,WNT9B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.267355361455715,8.881784197001252e-16,-0.5347107229114307,-0.4787729246851375,-0.08714800807291495,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd4_Lrp5,WNT9B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.16319342525223524,8.881784197001252e-16,-0.32638685050447136,-0.6126862956523825,0.3820892249030323,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd10_Lrp5,WNT9B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.13139984154674367,8.881784197001252e-16,-0.26279968309348856,-0.36465996670110656,0.05805744906687438,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd1_Lrp5,WNT9B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.08488103932093138,8.881784197001252e-16,-0.1697620786418632,-0.16906177465215633,0.04484652564161373,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd5_Lrp6,WNT9B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.1806041682836601,8.881784197001252e-16,0.36120833656731843,0.11323047073019499,0.2677756154293751,descriptive_no_p_value
