pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
HMGB1 to HAVCR2,13,339.0,HMGB1,HAVCR2,360,connectomedb2020
NELL2 to ROBO3,15,339.0,NELL2,ROBO3,361,connectomedb2020
SEMA4D to PLXNB2,18,340.0,SEMA4D,PLXNB2,362,connectomedb2020
WNT7B to FZD1,19,340.0,WNT7B,FZD1,363,connectomedb2020
CNTN1 to NOTCH2,17,341.0,CNTN1,NOTCH2,364,connectomedb2020
SEMA4A to PLXND1,19,342.0,SEMA4A,PLXND1,365,connectomedb2020
PVR to NECTIN3,15,342.0,PVR,NECTIN3,366,connectomedb2020
COL1A1 to ITGA2,20,344.5,COL1A1,ITGA2,367,connectomedb2020
IL6 to IL6R,15,345.0,IL6,IL6R,368,connectomedb2020
PTPRC to MRC1,14,347.0,PTPRC,MRC1,369,connectomedb2020
APOE to LRP5,18,350.5,APOE,LRP5,370,connectomedb2020
SLITRK6 to PTPRS,24,351.0,SLITRK6,PTPRS,371,connectomedb2020
MMRN2 to CD248,16,356.0,MMRN2,CD248,372,connectomedb2020
FGF2 to SDC4,14,357.0,FGF2,SDC4,373,connectomedb2020
LRPAP1 to SORT1,22,358.5,LRPAP1,SORT1,374,connectomedb2020
PROS1 to MERTK,20,358.5,PROS1,MERTK,375,connectomedb2020
C5 to C5AR1,18,360.0,C5,C5AR1,376,connectomedb2020
BMP6 to ACVR1,19,360.0,BMP6,ACVR1,377,connectomedb2020
RTN4 to TNFRSF19,20,360.0,RTN4,TNFRSF19,378,connectomedb2020
WNT7B to LRP5,17,361.0,WNT7B,LRP5,379,connectomedb2020
WNT2B to FZD7,13,362.0,WNT2B,FZD7,380,connectomedb2020
CLEC11A to ITGA11,17,362.0,CLEC11A,ITGA11,381,connectomedb2020
BMP6 to BMPR1B,13,362.0,BMP6,BMPR1B,382,connectomedb2020
CD6 to ALCAM,17,368.0,CD6,ALCAM,383,connectomedb2020
MDK to SDC3,16,368.5,MDK,SDC3,384,connectomedb2020
JAG1 to NOTCH3,14,368.5,JAG1,NOTCH3,385,connectomedb2020
SEMA6A to PLXNA4,21,371.0,SEMA6A,PLXNA4,386,connectomedb2020
SEMA3C to PLXND1,19,373.0,SEMA3C,PLXND1,387,connectomedb2020
SEMA4C to PLXNB2,16,376.5,SEMA4C,PLXNB2,388,connectomedb2020
SEMA3E to PLXND1,19,377.0,SEMA3E,PLXND1,389,connectomedb2020
APP to TNFRSF21,16,378.5,APP,TNFRSF21,390,connectomedb2020
ZP3 to MERTK,20,385.0,ZP3,MERTK,391,connectomedb2020
COL1A2 to ITGA2,17,385.0,COL1A2,ITGA2,392,connectomedb2020
TNFSF14 to TNFRSF14,13,394.0,TNFSF14,TNFRSF14,393,connectomedb2020
WNT5A to FZD1,13,396.0,WNT5A,FZD1,394,connectomedb2020
TCTN1 to TMEM67,16,399.0,TCTN1,TMEM67,395,connectomedb2020
PTPRZ1 to NCAM1,13,399.0,PTPRZ1,NCAM1,396,connectomedb2020
FN1 to COL13A1,13,400.0,FN1,COL13A1,397,connectomedb2020
HSPG2 to COL13A1,13,401.0,HSPG2,COL13A1,398,connectomedb2020
PSEN1 to NOTCH3,14,402.0,PSEN1,NOTCH3,399,connectomedb2020
SEMA3F to NRP2,14,404.5,SEMA3F,NRP2,400,connectomedb2020
NECTIN3 to CADM1,15,412.0,NECTIN3,CADM1,401,connectomedb2020
NTN1 to UNC5B,13,412.0,NTN1,UNC5B,402,connectomedb2020
LAMA1 to ITGA2,20,421.0,LAMA1,ITGA2,403,connectomedb2020
DLL1 to NOTCH3,14,422.5,DLL1,NOTCH3,404,connectomedb2020
TNC to CNTN1,13,424.0,TNC,CNTN1,405,connectomedb2020
PTN to PLXNB2,15,430.0,PTN,PLXNB2,406,connectomedb2020
