gene	supplied_set	source_cell	evidence
JADE2	HNF1B_unique	B146	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HOOK1	ATF3 _HNF1B_common	C146	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C3orf38	ATF3_unique	A147	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JADE3	HNF1B_unique	B147	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ICAM1	ATF3 _HNF1B_common	C147	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C4BPA	ATF3_unique	A148	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNJ3	HNF1B_unique	B148	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFIT5	ATF3 _HNF1B_common	C148	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C6orf106	ATF3_unique	A149	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNK16	HNF1B_unique	B149	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFNE	ATF3 _HNF1B_common	C149	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C6orf15	ATF3_unique	A150	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KDR	HNF1B_unique	B150	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IGFBP3	ATF3 _HNF1B_common	C150	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C6orf62	ATF3_unique	A151	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF19	HNF1B_unique	B151	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IGSF23	ATF3 _HNF1B_common	C151	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C7	ATF3_unique	A152	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF1B	HNF1B_unique	B152	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL6ST	ATF3 _HNF1B_common	C152	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C8orf48	ATF3_unique	A153	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF6	HNF1B_unique	B153	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
INTS10	ATF3 _HNF1B_common	C153	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C9orf72	ATF3_unique	A154	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF9	HNF1B_unique	B154	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IRF2	ATF3 _HNF1B_common	C154	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CA10	ATF3_unique	A155	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHDC7A	HNF1B_unique	B155	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITGA1	ATF3 _HNF1B_common	C155	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CABLES1	ATF3_unique	A156	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHDC7B	HNF1B_unique	B156	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITGB6	ATF3 _HNF1B_common	C156	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CABP7	ATF3_unique	A157	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHL23	HNF1B_unique	B157	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JUN	ATF3 _HNF1B_common	C157	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CABYR	ATF3_unique	A158	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KNOP1	HNF1B_unique	B158	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNH7	ATF3 _HNF1B_common	C158	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CADPS2	ATF3_unique	A159	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KREMEN1	HNF1B_unique	B159	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD1	ATF3 _HNF1B_common	C159	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CALN1	ATF3_unique	A160	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LACC1	HNF1B_unique	B160	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIAA1328	ATF3 _HNF1B_common	C160	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAPN13	ATF3_unique	A161	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LAMA2	HNF1B_unique	B161	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF21A	ATF3 _HNF1B_common	C161	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAPNS1	ATF3_unique	A162	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LGSN	HNF1B_unique	B162	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRT17	ATF3 _HNF1B_common	C162	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAPZA2	ATF3_unique	A163	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LRRCC1	HNF1B_unique	B163	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRT20	ATF3 _HNF1B_common	C163	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAPZB	ATF3_unique	A164	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MAPK10	HNF1B_unique	B164	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRT23	ATF3 _HNF1B_common	C164	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CARMIL1	ATF3_unique	A165	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MAPKAP1	HNF1B_unique	B165	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LMBRD1	ATF3 _HNF1B_common	C165	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CARTPT	ATF3_unique	A166	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MCM8	HNF1B_unique	B166	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LMO3	ATF3 _HNF1B_common	C166	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAST	ATF3_unique	A167	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MED30	HNF1B_unique	B167	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LMO4	ATF3 _HNF1B_common	C167	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CAV2	ATF3_unique	A168	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MEP1B	HNF1B_unique	B168	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LPIN2	ATF3 _HNF1B_common	C168	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CBR4	ATF3_unique	A169	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MERTK	HNF1B_unique	B169	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LPL	ATF3 _HNF1B_common	C169	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CBWD2	ATF3_unique	A170	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MGMT	HNF1B_unique	B170	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LRIG3	ATF3 _HNF1B_common	C170	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCAR2	ATF3_unique	A171	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MIPOL1	HNF1B_unique	B171	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LRP12	ATF3 _HNF1B_common	C171	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC170	ATF3_unique	A172	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MMACHC	HNF1B_unique	B172	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LSAMP	ATF3 _HNF1B_common	C172	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC57	ATF3_unique	A173	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MOXD1	HNF1B_unique	B173	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MAP3K1	ATF3 _HNF1B_common	C173	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC6	ATF3_unique	A174	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MPDZ	HNF1B_unique	B174	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MAP3K7CL	ATF3 _HNF1B_common	C174	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC71L	ATF3_unique	A175	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MRPL15	HNF1B_unique	B175	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MARCKS	ATF3 _HNF1B_common	C175	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC88B	ATF3_unique	A176	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MYLK	HNF1B_unique	B176	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MBNL3	ATF3 _HNF1B_common	C176	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC89	ATF3_unique	A177	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NAA11	HNF1B_unique	B177	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MDM2	ATF3 _HNF1B_common	C177	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCDC91	ATF3_unique	A178	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NABP1	HNF1B_unique	B178	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MMRN1	ATF3 _HNF1B_common	C178	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCNL1	ATF3_unique	A179	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NAPB	HNF1B_unique	B179	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MPC1	ATF3 _HNF1B_common	C179	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CCT2	ATF3_unique	A180	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDFIP2	HNF1B_unique	B180	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MPP7	ATF3 _HNF1B_common	C180	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD109	ATF3_unique	A181	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDST3	HNF1B_unique	B181	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MROH2B	ATF3 _HNF1B_common	C181	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD226	ATF3_unique	A182	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDUFAF2	HNF1B_unique	B182	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MRPL4	ATF3 _HNF1B_common	C182	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD274	ATF3_unique	A183	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NEFM	HNF1B_unique	B183	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MSL3	ATF3 _HNF1B_common	C183	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD38	ATF3_unique	A184	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NEIL3	HNF1B_unique	B184	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MSX2	ATF3 _HNF1B_common	C184	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD40LG	ATF3_unique	A185	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NELFCD	HNF1B_unique	B185	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MTAP	ATF3 _HNF1B_common	C185	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD47	ATF3_unique	A186	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NEURL3	HNF1B_unique	B186	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MTCL1	ATF3 _HNF1B_common	C186	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD55	ATF3_unique	A187	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NFATC1	HNF1B_unique	B187	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MTNR1B	ATF3 _HNF1B_common	C187	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD82	ATF3_unique	A188	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NPS	HNF1B_unique	B188	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MUC6	ATF3 _HNF1B_common	C188	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CD96	ATF3_unique	A189	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NUS1	HNF1B_unique	B189	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MYCN	ATF3 _HNF1B_common	C189	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDC42BPB	ATF3_unique	A190	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OAZ2	HNF1B_unique	B190	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MYO16	ATF3 _HNF1B_common	C190	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDC42EP2	ATF3_unique	A191	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OGT	HNF1B_unique	B191	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MYOM1	ATF3 _HNF1B_common	C191	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDC42SE2	ATF3_unique	A192	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OR13F1	HNF1B_unique	B192	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
N6AMT1	ATF3 _HNF1B_common	C192	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDC7	ATF3_unique	A193	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OR4B1	HNF1B_unique	B193	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NCOA7	ATF3 _HNF1B_common	C193	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH18	ATF3_unique	A194	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OR9G4	HNF1B_unique	B194	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDUFB4	ATF3 _HNF1B_common	C194	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH4	ATF3_unique	A195	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ORC2	HNF1B_unique	B195	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDUFV2	ATF3 _HNF1B_common	C195	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH6	ATF3_unique	A196	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PADI1	HNF1B_unique	B196	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NECTIN1	ATF3 _HNF1B_common	C196	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDH9	ATF3_unique	A197	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PAPD7	HNF1B_unique	B197	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NECTIN3	ATF3 _HNF1B_common	C197	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDK13	ATF3_unique	A198	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PAQR3	HNF1B_unique	B198	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NEDD4L	ATF3 _HNF1B_common	C198	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDK14	ATF3_unique	A199	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PCSK1	HNF1B_unique	B199	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NEDD9	ATF3 _HNF1B_common	C199	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDK17	ATF3_unique	A200	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PCSK9	HNF1B_unique	B200	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NFIA	ATF3 _HNF1B_common	C200	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDK20	ATF3_unique	A201	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PDXK	HNF1B_unique	B201	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NFKBIZ	ATF3 _HNF1B_common	C201	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDKN2A	ATF3_unique	A202	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PDZD2	HNF1B_unique	B202	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NOSTRIN	ATF3 _HNF1B_common	C202	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CDRT15L2	ATF3_unique	A203	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PGD	HNF1B_unique	B203	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NPSR1	ATF3 _HNF1B_common	C203	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEACAM16	ATF3_unique	A204	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PHYHIPL	HNF1B_unique	B204	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NR2C1	ATF3 _HNF1B_common	C204	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEBPB	ATF3_unique	A205	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PKHD1	HNF1B_unique	B205	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NR3C2	ATF3 _HNF1B_common	C205	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CELA3B	ATF3_unique	A206	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLA2G1B	HNF1B_unique	B206	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NRG1	ATF3 _HNF1B_common	C206	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CENPX	ATF3_unique	A207	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLEKHA5	HNF1B_unique	B207	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NRXN1	ATF3 _HNF1B_common	C207	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEP128	ATF3_unique	A208	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLXNA2	HNF1B_unique	B208	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NTM	ATF3 _HNF1B_common	C208	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEP41	ATF3_unique	A209	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PMFBP1	HNF1B_unique	B209	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NUAK1	ATF3 _HNF1B_common	C209	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEP83	ATF3_unique	A210	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POLR3E	HNF1B_unique	B210	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NUDT6	ATF3 _HNF1B_common	C210	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CEP97	ATF3_unique	A211	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PON2	HNF1B_unique	B211	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OR5AK2	ATF3 _HNF1B_common	C211	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CES1	ATF3_unique	A212	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PON3	HNF1B_unique	B212	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
OTOL1	ATF3 _HNF1B_common	C212	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHAC2	ATF3_unique	A213	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POU1F1	HNF1B_unique	B213	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
P3H2	ATF3 _HNF1B_common	C213	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHD9	ATF3_unique	A214	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPA1	HNF1B_unique	B214	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PACRGL	ATF3 _HNF1B_common	C214	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHEK2	ATF3_unique	A215	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP1R3C	HNF1B_unique	B215	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PAPPA	ATF3 _HNF1B_common	C215	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHI3L2	ATF3_unique	A216	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP4R1	HNF1B_unique	B216	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PARP14	ATF3 _HNF1B_common	C216	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHIA	ATF3_unique	A217	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRAG1	HNF1B_unique	B217	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PARP15	ATF3 _HNF1B_common	C217	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHIC2	ATF3_unique	A218	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDM10	HNF1B_unique	B218	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PCLO	ATF3 _HNF1B_common	C218	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHML	ATF3_unique	A219	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDM9	HNF1B_unique	B219	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PDGFA	ATF3 _HNF1B_common	C219	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHRNA9	ATF3_unique	A220	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDX1	HNF1B_unique	B220	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PDZRN4	ATF3 _HNF1B_common	C220	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHST1	ATF3_unique	A221	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKAG2	HNF1B_unique	B221	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PGBD5	ATF3 _HNF1B_common	C221	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHST6	ATF3_unique	A222	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PROX1	HNF1B_unique	B222	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PGM3	ATF3 _HNF1B_common	C222	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHST7	ATF3_unique	A223	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSMC4	HNF1B_unique	B223	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PKN2	ATF3 _HNF1B_common	C223	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CHSY3	ATF3_unique	A224	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTGER3	HNF1B_unique	B224	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POLR3B	ATF3 _HNF1B_common	C224	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CILP2	ATF3_unique	A225	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTP4A1	HNF1B_unique	B225	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POU5F1B	ATF3 _HNF1B_common	C225	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CITED4	ATF3_unique	A226	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PVR	HNF1B_unique	B226	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POU6F2	ATF3 _HNF1B_common	C226	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CLDN1	ATF3_unique	A227	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PYGB	HNF1B_unique	B227	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPM1E	ATF3 _HNF1B_common	C227	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CLEC4A	ATF3_unique	A228	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAB31	HNF1B_unique	B228	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP2R5E	ATF3 _HNF1B_common	C228	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CLIP4	ATF3_unique	A229	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAB38	HNF1B_unique	B229	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKN	ATF3 _HNF1B_common	C229	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CLTB	ATF3_unique	A230	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAD54B	HNF1B_unique	B230	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRLR	ATF3 _HNF1B_common	C230	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMIP	ATF3_unique	A231	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RALYL	HNF1B_unique	B231	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRSS23	ATF3 _HNF1B_common	C231	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMSS1	ATF3_unique	A232	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAP2C	HNF1B_unique	B232	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRSS3	ATF3 _HNF1B_common	C232	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMTM6	ATF3_unique	A233	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASGRF1	HNF1B_unique	B233	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSD3	ATF3 _HNF1B_common	C233	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMTM7	ATF3_unique	A234	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASSF9	HNF1B_unique	B234	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPRJ	ATF3 _HNF1B_common	C234	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CMTM8	ATF3_unique	A235	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBMS1	HNF1B_unique	B235	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
QKI	ATF3 _HNF1B_common	C235	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNBD2	ATF3_unique	A236	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBMS2	HNF1B_unique	B236	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAD51B	ATF3 _HNF1B_common	C236	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CNGB1	ATF3_unique	A237	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
