comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT2B,-0.0182586374669609,6.0,23,23,True,4.0,8.0,-0.023867997225609,-0.0129232242111685
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT3,-0.0204207484537724,11.0,23,23,True,9.0,12.0,-0.0256026793460884,-0.0149845636618224
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT3A,-0.0303725811067145,17.0,23,23,True,15.0,18.0,-0.0325771811414229,-0.0223254461018171
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT4,-0.0259633944867655,15.0,23,23,True,13.0,16.0,-0.0308766119388471,-0.0206304623633563
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT5A,-0.0142313838771523,2.0,23,23,True,2.0,13.0,-0.0217157670016456,-0.0111335901206889
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT5B,-0.0173860368284363,5.0,23,23,True,2.0,5.0,-0.0223659171999262,-0.0120996905437141
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT7A,-0.0172248133494649,4.0,23,23,True,2.0,5.0,-0.0219052071913399,-0.0117716058652425
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT7B,-0.0193556588412028,8.0,23,23,True,5.0,8.0,-0.0243094407752802,-0.0136983104336207
AT2,AT2,LUAD,normal,down,source_agnostic_planned_panel,WNT9A,-0.0196840631014986,9.0,23,23,True,7.0,10.0,-0.0250044797419155,-0.0142784923435981
AT2,AT2,LUAD,normal,up,focused_triad,CXCL12,0.0345813232970066,10.0,23,23,True,7.0,11.0,0.0252908759872866,0.0435536278939253
AT2,AT2,LUAD,normal,up,focused_triad,CXCL2,0.0521375245016019,2.0,23,23,True,2.0,4.0,0.0463300478564129,0.0593684723797878
AT2,AT2,LUAD,normal,up,focused_triad,FGF10,0.0365083620190549,9.0,23,20,False,6.0,11.0,0.0294952238794122,0.0419991857563223
AT2,AT2,LUAD,normal,up,focused_triad,FGF7,0.0694539165934315,1.0,23,23,True,1.0,1.0,0.0585907419843591,0.0757630541134917
AT2,AT2,LUAD,normal,up,focused_triad,HBEGF,0.0127413925237332,12.0,23,23,True,10.0,13.0,-0.0003918433136065,0.0166289916837729
AT2,AT2,LUAD,normal,up,focused_triad,TGFB1,0.0508949270295232,3.0,23,23,True,2.0,4.0,0.0386798590200832,0.0655370757204536
AT2,AT2,LUAD,normal,up,focused_triad,VEGFA,0.0057022353206036,13.0,23,23,True,9.0,13.0,0.0006502177859918,0.0229316197549273
AT2,AT2,LUAD,normal,up,focused_triad,WNT10B,0.0367498889256159,8.0,23,20,False,7.0,11.0,0.0310421925781438,0.0445937332496517
AT2,AT2,LUAD,normal,up,focused_triad,WNT11,0.0371144253667933,7.0,23,23,True,6.0,10.0,0.0310866371089819,0.0456996312050544
AT2,AT2,LUAD,normal,up,focused_triad,WNT2,0.0475851632271967,4.0,23,23,True,3.0,4.0,0.0405614851748373,0.054393103855429
AT2,AT2,LUAD,normal,up,focused_triad,WNT2B,0.0423187260873991,5.0,23,23,True,5.0,7.0,0.0356608684123007,0.0493344450499586
AT2,AT2,LUAD,normal,up,focused_triad,WNT5A,0.0304149973102312,11.0,23,23,True,6.0,11.0,0.0280697613533964,0.0395224099636
AT2,AT2,LUAD,normal,up,focused_triad,WNT9A,0.0418851416541879,6.0,23,20,False,5.0,7.0,0.0359179847722939,0.0501919452140892
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,AREG,0.0477084834667488,4.0,23,23,True,2.0,10.0,0.0414604104190334,0.0574860370150351
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,CXCL12,0.0345813232970066,18.0,23,23,True,14.0,19.0,0.0252908759872866,0.0435536278939253
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,CXCL2,0.0521375245016019,2.0,23,23,True,2.0,5.0,0.0463300478564129,0.0593684723797878
