"comp","label","case","reference","direction","gene"
"AT2","AT2","LUAD","normal","up","CMPK1"
"AT2","AT2","LUAD","normal","up","DMRTA2"
"AT2","AT2","LUAD","normal","up","CDKN2C"
"AT2","AT2","LUAD","normal","up","TXNDC12"
"AT2","AT2","LUAD","normal","up","GPX7"
"AT2","AT2","LUAD","normal","up","COA7"
"AT2","AT2","LUAD","normal","up","ZYG11A"
"AT2","AT2","LUAD","normal","up","SCP2"
"AT2","AT2","LUAD","normal","up","CPT2"
"AT2","AT2","LUAD","normal","up","MAGOH"
"AT2","AT2","LUAD","normal","up","NDC1"
"AT2","AT2","LUAD","normal","up","YIPF1"
"AT2","AT2","LUAD","normal","up","DIO1"
"AT2","AT2","LUAD","normal","up","LRRC42"
"AT2","AT2","LUAD","normal","up","TMEM59"
"AT2","AT2","LUAD","normal","up","PARS2"
"AT2","AT2","LUAD","normal","up","PRKAA2"
"AT2","AT2","LUAD","normal","up","FYB2"
"AT2","AT2","LUAD","normal","up","TACSTD2"
"AT2","AT2","LUAD","normal","up","USP1"
"AT2","AT2","LUAD","normal","up","AK4"
"AT2","AT2","LUAD","normal","up","DNAJC6"
"AT2","AT2","LUAD","normal","up","LEPROT"
"AT2","AT2","LUAD","normal","up","SERBP1"
"AT2","AT2","LUAD","normal","up","GADD45A"
"AT2","AT2","LUAD","normal","up","GNG12"
"AT2","AT2","LUAD","normal","up","HHLA3"
"AT2","AT2","LUAD","normal","up","CRYZ"
"AT2","AT2","LUAD","normal","up","SLC44A5"
"AT2","AT2","LUAD","normal","up","PIGK"
"AT2","AT2","LUAD","normal","up","IFI44L"
"AT2","AT2","LUAD","normal","up","IFI44"
"AT2","AT2","LUAD","normal","up","PRKACB"
"AT2","AT2","LUAD","normal","up","SAMD13"
"AT2","AT2","LUAD","normal","up","DDAH1"
"AT2","AT2","LUAD","normal","up","ZNHIT6"
"AT2","AT2","LUAD","normal","up","SELENOF"
"AT2","AT2","LUAD","normal","up","HS2ST1"
"AT2","AT2","LUAD","normal","up","GBP3"
"AT2","AT2","LUAD","normal","up","GBP1"
"AT2","AT2","LUAD","normal","up","GBP2"
"AT2","AT2","LUAD","normal","up","GBP5"
"AT2","AT2","LUAD","normal","up","LRRC8D"
"AT2","AT2","LUAD","normal","up","BRDT"
"AT2","AT2","LUAD","normal","up","EPHX4"
"AT2","AT2","LUAD","normal","up","GCLM"
"AT2","AT2","LUAD","normal","up","ABCA4"
"AT2","AT2","LUAD","normal","up","VCAM1"
"AT2","AT2","LUAD","normal","up","SLC30A7"
"AT2","AT2","LUAD","normal","up","DPH5"
"AT2","AT2","LUAD","normal","up","PRMT6"
"AT2","AT2","LUAD","normal","up","SLC25A24"
"AT2","AT2","LUAD","normal","up","HENMT1"
"AT2","AT2","LUAD","normal","up","GPSM2"
"AT2","AT2","LUAD","normal","up","TAF13"
"AT2","AT2","LUAD","normal","up","TMEM167B"
"AT2","AT2","LUAD","normal","up","PSMA5"
"AT2","AT2","LUAD","normal","up","AMPD2"
"AT2","AT2","LUAD","normal","up","GSTM3"
"AT2","AT2","LUAD","normal","up","CSF1"
"AT2","AT2","LUAD","normal","up","LAMTOR5"
"AT2","AT2","LUAD","normal","up","LRIF1"
"AT2","AT2","LUAD","normal","up","DRAM2"
"AT2","AT2","LUAD","normal","up","OVGP1"
"AT2","AT2","LUAD","normal","up","WDR77"
"AT2","AT2","LUAD","normal","up","ATP5PB"
"AT2","AT2","LUAD","normal","up","RHOC"
"AT2","AT2","LUAD","normal","up","SLC16A1"
"AT2","AT2","LUAD","normal","up","PTPN22"
"AT2","AT2","LUAD","normal","up","DCLRE1B"
"AT2","AT2","LUAD","normal","up","BCAS2"
"AT2","AT2","LUAD","normal","up","CSDE1"
"AT2","AT2","LUAD","normal","up","SIKE1"
"AT2","AT2","LUAD","normal","up","VANGL1"
"AT2","AT2","LUAD","normal","up","PTGFRN"
"AT2","AT2","LUAD","normal","up","VTCN1"
"AT2","AT2","LUAD","normal","up","MAN1A2"
"AT2","AT2","LUAD","normal","up","WDR3"
"AT2","AT2","LUAD","normal","up","SPAG17"
"AT2","AT2","LUAD","normal","up","TBX15"
"AT2","AT2","LUAD","normal","up","PEX11B"
"AT2","AT2","LUAD","normal","up","RBM8A"
"AT2","AT2","LUAD","normal","up","LIX1L"
