pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
NECTIN1 to CADM3,21,171.0,112.0,236.0,0.0,NECTIN1,CADM3,172
HLA-DPB1 to CD4,23,172.0,123.0,278.5,0.0,HLA-DPB1,CD4,173
LIF to IL6ST_LIFR,18,172.5,132.0,273.0,0.0,LIF,IL6ST_LIFR,174
TGFB1 to ACVR1_TGFBR1_TGFBR2,23,173.0,135.0,215.0,0.0,TGFB1,ACVR1_TGFBR1_TGFBR2,175
COL4A6 to CD44,22,175.5,71.75,224.0,0.0,COL4A6,CD44,176
SEMA6A to PLXNA2,23,176.0,129.5,210.0,0.0,SEMA6A,PLXNA2,177
CDH1 to ITGA2_ITGB1,21,176.0,44.0,284.0,0.0,CDH1,ITGA2_ITGB1,178
SEMA4A to NRP1_PLXNA4,22,177.5,123.25,324.0,0.0,SEMA4A,NRP1_PLXNA4,179
LAMA2 to ITGAV_ITGB8,24,178.0,117.0,229.75,0.0,LAMA2,ITGAV_ITGB8,180
COL6A2 to ITGA2_ITGB1,18,178.0,47.75,288.0,0.0010085159782695463,COL6A2,ITGA2_ITGB1,181
HLA-DPA1 to CD4,23,178.0,116.5,275.5,0.0,HLA-DPA1,CD4,182
COL9A2 to ITGA11_ITGB1,13,178.0,145.0,269.0,0.0,COL9A2,ITGA11_ITGB1,183
LAMB1 to ITGAV_ITGB8,19,179.0,128.0,255.0,0.0,LAMB1,ITGAV_ITGB8,184
ANGPTL4 to SDC4,23,179.0,136.5,222.5,0.0,ANGPTL4,SDC4,185
TNXB to SDC4,23,180.0,159.5,223.5,0.0,TNXB,SDC4,186
EDN2 to EDNRA,13,181.0,140.0,279.0,3.421172220311458e-05,EDN2,EDNRA,187
COL9A2 to ITGA9_ITGB1,15,182.0,155.5,251.0,0.0,COL9A2,ITGA9_ITGB1,188
FGF18 to FGFR1,17,182.0,93.0,207.0,0.0,FGF18,FGFR1,189
SEMA3A to NRP1_PLXNA4,22,182.5,136.25,297.0,0.0,SEMA3A,NRP1_PLXNA4,190
TGFB2 to ACVR1_TGFBR1_TGFBR2,23,184.0,127.5,221.0,0.0,TGFB2,ACVR1_TGFBR1_TGFBR2,191
COL6A1 to ITGAV_ITGB8,20,184.5,120.0,275.0,0.0,COL6A1,ITGAV_ITGB8,192
BMP7 to BMPR1A_BMPR2,18,184.5,147.25,213.0,0.0,BMP7,BMPR1A_BMPR2,193
BMP7 to ACVR2A_BMPR1A,18,184.5,147.75,229.0,0.0,BMP7,ACVR2A_BMPR1A,194
SEMA3C to NRP1_PLXNA4,22,185.5,98.5,325.0,0.0,SEMA3C,NRP1_PLXNA4,195
COL6A2 to ITGA11_ITGB1,17,186.0,108.0,229.0,0.0,COL6A2,ITGA11_ITGB1,196
INHBB to ACVR1B_ACVR2A,23,186.0,137.0,217.5,0.0,INHBB,ACVR1B_ACVR2A,197
COL6A1 to ITGA11_ITGB1,17,187.0,143.0,220.0,0.0,COL6A1,ITGA11_ITGB1,198
EREG to ERBB4,18,188.0,146.0,209.75,0.0,EREG,ERBB4,199
NCAM1 to FGFR1,14,190.0,91.25,218.75,0.0,NCAM1,FGFR1,200
CD99 to CD99L2,22,192.0,142.75,278.25,0.0,CD99,CD99L2,201
LAMA1 to CD44,25,192.0,119.0,219.0,0.0,LAMA1,CD44,202
COL1A2 to ITGA11_ITGB1,15,193.0,112.0,214.0,0.0,COL1A2,ITGA11_ITGB1,203
LAMB2 to ITGA2_ITGB1,20,193.5,119.75,281.75,0.0,LAMB2,ITGA2_ITGB1,204
LAMA1 to SV2C,25,194.0,128.0,217.0,0.0,LAMA1,SV2C,205
COL6A2 to ITGAV_ITGB8,21,194.0,65.0,271.0,0.0,COL6A2,ITGAV_ITGB8,206
COL4A3 to SDC4,22,195.0,146.75,230.75,0.0,COL4A3,SDC4,207
LAMA1 to ITGA9_ITGB1,25,195.0,158.0,221.0,0.0,LAMA1,ITGA9_ITGB1,208
IL16 to CD4,23,195.0,129.0,317.0,0.0,IL16,CD4,209
LAMA5 to ITGA2_ITGB1,21,198.0,122.0,279.0,0.0,LAMA5,ITGA2_ITGB1,210
COL4A6 to ITGA9_ITGB1,22,198.5,137.75,236.25,0.0,COL4A6,ITGA9_ITGB1,211
HLA-DRB5 to CD4,21,199.0,143.0,314.0,0.0,HLA-DRB5,CD4,212
EFNB1 to EPHB2,17,199.0,167.0,261.0,0.0,EFNB1,EPHB2,213
LAMB3 to ITGA2_ITGB1,21,200.0,69.0,278.0,0.0,LAMB3,ITGA2_ITGB1,214
HSPG2 to DAG1,24,200.5,165.75,243.5,0.0,HSPG2,DAG1,215
LAMA1 to ITGA1_ITGB1,25,201.0,132.0,245.0,0.0,LAMA1,ITGA1_ITGB1,216
LAMA2 to ITGA2_ITGB1,21,201.0,92.0,292.0,0.0,LAMA2,ITGA2_ITGB1,217
BTC to EGFR,22,201.5,155.75,244.0,0.0,BTC,EGFR,218
COL1A2 to SDC4,19,202.0,93.0,267.0,0.0,COL1A2,SDC4,219
COL4A6 to ITGA1_ITGB1,22,202.5,122.0,233.0,0.0,COL4A6,ITGA1_ITGB1,220
BMP7 to ACVR2A_BMPR1B,13,203.0,180.0,271.0,0.0,BMP7,ACVR2A_BMPR1B,221
THBS3 to CD47,24,203.5,131.25,227.5,0.0,THBS3,CD47,222
LAMC1 to DAG1,24,203.5,161.0,242.0,0.0,LAMC1,DAG1,223
HLA-DQA1 to CD4,20,203.5,144.75,277.25,0.0,HLA-DQA1,CD4,224
GDF11 to ACVR2A_TGFBR1,13,205.0,172.0,269.0,0.0,GDF11,ACVR2A_TGFBR1,225
BMP7 to BMPR1B_BMPR2,14,206.0,180.0,267.0,0.0,BMP7,BMPR1B_BMPR2,226
SEMA4A to PLXNB2,19,207.0,136.0,285.5,0.0,SEMA4A,PLXNB2,227
LAMA3 to DAG1,24,208.0,146.75,243.5,0.0,LAMA3,DAG1,228
LAMC2 to DAG1,24,208.0,166.75,252.5,0.0,LAMC2,DAG1,229
COL1A1 to SDC4,22,208.0,145.75,237.25,0.0,COL1A1,SDC4,230
TNFSF14 to LTBR,18,209.0,170.0,242.25,0.0,TNFSF14,LTBR,231
BMP6 to BMPR1A_BMPR2,22,209.5,144.5,241.25,0.0,BMP6,BMPR1A_BMPR2,232
NCAM1 to NCAM2,14,209.5,144.5,239.5,0.0,NCAM1,NCAM2,233
COL1A1 to ITGAV_ITGB8,23,210.0,107.0,253.0,0.0,COL1A1,ITGAV_ITGB8,234
LAMB3 to DAG1,24,210.0,143.75,243.5,0.0,LAMB3,DAG1,235
LAMB2 to DAG1,23,211.0,161.5,255.0,0.0,LAMB2,DAG1,236
COL6A2 to SDC4,20,211.5,82.25,246.5,0.0,COL6A2,SDC4,237
