pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
TNFSF14 to TNFRSF14,245.0,277.0,13.0,339.0,303.0,12.0,cellchatdb
TNXB to ITGA8_ITGB1,125.0,105.0,23.0,121.0,114.0,19.0,cellchatdb
TNXB to ITGA9_ITGB1,154.5,144.0,26.0,184.0,217.0,22.0,cellchatdb
TNXB to SDC4,180.0,186.0,23.0,243.0,271.0,19.0,cellchatdb
WNT2B to FZD1_LRP6,355.0,312.0,13.0,367.0,308.0,11.0,cellchatdb
WNT2B to FZD6_LRP5,,,,364.0,306.0,11.0,cellchatdb
WNT2B to FZD6_LRP6,356.0,313.0,13.0,368.0,309.0,12.0,cellchatdb
WNT5A to FZD1,253.0,281.0,13.0,,,,cellchatdb
WNT5B to FZD1,267.5,290.0,20.0,308.0,298.0,17.0,cellchatdb
WNT5B to FZD6,217.0,244.0,18.0,318.5,299.0,16.0,cellchatdb
WNT5B to FZD7,214.5,240.0,16.0,358.0,305.0,14.0,cellchatdb
WNT7B to FZD1_LRP5,305.0,302.0,13.0,322.0,300.0,11.0,cellchatdb
WNT7B to FZD1_LRP6,301.0,299.0,15.0,364.5,307.0,12.0,cellchatdb
WNT7B to FZD6_LRP5,304.0,301.0,13.0,327.5,301.0,12.0,cellchatdb
WNT7B to FZD6_LRP6,297.0,298.0,15.0,387.0,312.0,13.0,cellchatdb
WNT9A to FZD1_LRP5,312.5,306.0,14.0,352.0,304.0,12.0,cellchatdb
WNT9A to FZD1_LRP6,321.5,309.0,16.0,376.0,310.0,13.0,cellchatdb
WNT9A to FZD6_LRP5,306.5,304.0,14.0,334.0,302.0,13.0,cellchatdb
WNT9A to FZD6_LRP6,295.5,297.0,16.0,383.5,311.0,14.0,cellchatdb
ALOX5 to ALOX5AP,119.0,121.0,21.0,70.0,60.0,17.0,cellphonedb
APP to CD74,3.0,1.0,26.0,3.0,1.0,22.0,cellphonedb
AREG to EGFR,7.5,4.0,26.0,6.0,4.0,22.0,cellphonedb
BMP2 to ACVR2A_BMPR1A,87.0,74.0,25.0,60.0,50.0,21.0,cellphonedb
BMP2 to ACVR2A_BMPR1B,100.0,93.0,15.0,76.0,69.0,14.0,cellphonedb
BMP2 to BMPR1A_BMPR2,82.0,69.0,26.0,62.0,51.0,21.0,cellphonedb
BMP2 to BMPR1B_BMPR2,94.5,82.0,16.0,72.0,64.0,15.0,cellphonedb
BMP3 to ACVR1B_ACVR2A,168.0,197.0,16.0,80.0,74.0,15.0,cellphonedb
BMP6 to ACVR1_ACVR2A,162.0,188.0,19.0,81.0,76.0,17.0,cellphonedb
BMP6 to ACVR1_BMPR2,163.0,189.0,19.0,82.0,79.0,17.0,cellphonedb
BMP6 to ACVR2A_BMPR1A,143.0,161.0,21.0,75.0,66.0,19.0,cellphonedb
BMP6 to ACVR2A_BMPR1B,,,,84.0,83.0,11.0,cellphonedb
BMP6 to BMPR1A_BMPR2,134.5,147.0,22.0,76.0,70.0,19.0,cellphonedb
BMP6 to BMPR1B_BMPR2,165.0,191.0,13.0,79.0,72.0,12.0,cellphonedb
BMP7 to ACVR1_ACVR2A,149.0,171.0,17.0,94.0,94.0,15.0,cellphonedb
BMP7 to ACVR1_BMPR2,150.0,175.0,17.0,95.0,99.0,15.0,cellphonedb
BMP7 to ACVR2A_BMPR1A,123.0,134.0,18.0,88.0,86.0,16.0,cellphonedb
BMP7 to ACVR2A_BMPR1B,161.0,186.0,13.0,94.5,98.0,12.0,cellphonedb
BMP7 to BMPR1A_BMPR2,111.5,106.0,18.0,90.0,89.0,16.0,cellphonedb
BMP7 to BMPR1B_BMPR2,151.0,176.0,14.0,92.0,90.0,13.0,cellphonedb
BMP7 to PTPRK,122.5,132.0,18.0,88.5,87.0,16.0,cellphonedb
BTC to EGFR,122.0,129.0,22.0,94.0,95.0,19.0,cellphonedb
BTC to ERBB4,141.0,157.0,19.0,98.0,106.0,17.0,cellphonedb
C5 to C5AR1,158.5,184.0,18.0,95.0,100.0,16.0,cellphonedb
CADM4 to CADM3,121.0,125.0,16.0,71.5,63.0,14.0,cellphonedb
CCL4 to SLC7A1,146.5,166.0,14.0,99.0,107.0,12.0,cellphonedb
CDH1 to ITGA2_ITGB1,119.0,122.0,21.0,51.5,42.0,18.0,cellphonedb
CKLF to LRP6,149.5,172.0,20.0,99.0,108.0,17.0,cellphonedb
COL12A1 to ITGA11_ITGB1,115.0,115.0,21.0,97.0,104.0,17.0,cellphonedb
COL12A1 to ITGA1_ITGB1,51.5,44.0,26.0,49.0,39.0,21.0,cellphonedb
COL12A1 to ITGA2_ITGB1,126.0,136.0,21.0,75.0,67.0,17.0,cellphonedb
COL14A1 to ITGA11_ITGB1,118.5,120.0,16.0,113.0,129.0,11.0,cellphonedb
COL14A1 to ITGA1_ITGB1,69.0,52.0,21.0,75.0,68.0,14.0,cellphonedb
COL14A1 to ITGA2_ITGB1,169.0,200.0,17.0,97.0,105.0,11.0,cellphonedb
COL16A1 to ITGA11_ITGB1,121.0,124.0,20.0,100.0,110.0,17.0,cellphonedb
COL16A1 to ITGA1_ITGB1,77.0,63.0,25.0,66.0,56.0,21.0,cellphonedb
COL16A1 to ITGA2_ITGB1,155.5,179.0,20.0,81.0,77.0,17.0,cellphonedb
COL17A1 to ITGA11_ITGB1,115.0,113.0,19.0,92.0,91.0,17.0,cellphonedb
COL17A1 to ITGA1_ITGB1,69.5,55.0,22.0,59.5,48.0,20.0,cellphonedb
COL17A1 to ITGA2_ITGB1,156.5,180.0,18.0,76.0,71.0,17.0,cellphonedb
COL18A1 to ITGA11_ITGB1,106.0,98.0,20.0,105.0,119.0,16.0,cellphonedb
COL18A1 to ITGA1_ITGB1,42.0,38.0,24.0,66.0,57.0,18.0,cellphonedb
COL18A1 to ITGA2_ITGB1,129.0,138.0,20.0,81.0,78.0,15.0,cellphonedb
COL19A1 to ITGA11_ITGB1,121.5,128.0,20.0,93.0,93.0,17.0,cellphonedb
COL19A1 to ITGA1_ITGB1,72.0,59.0,25.0,52.0,43.0,21.0,cellphonedb
COL19A1 to ITGA2_ITGB1,172.0,201.0,20.0,85.0,85.0,17.0,cellphonedb
COL1A1 to ITGA11_ITGB1,115.0,114.0,19.0,104.0,116.0,15.0,cellphonedb
COL1A1 to ITGA1_ITGB1,33.0,26.0,24.0,26.0,22.0,19.0,cellphonedb
COL1A1 to ITGA2_ITGB1,137.5,152.0,20.0,82.5,80.0,16.0,cellphonedb
COL1A2 to ITGA11_ITGB1,134.0,145.0,15.0,,,,cellphonedb
COL1A2 to ITGA1_ITGB1,26.0,20.0,19.0,74.0,65.0,13.0,cellphonedb
COL1A2 to ITGA2_ITGB1,173.0,203.0,17.0,100.0,111.0,12.0,cellphonedb
COL21A1 to ITGA11_ITGB1,111.0,105.0,21.0,94.0,96.0,18.0,cellphonedb
COL21A1 to ITGA1_ITGB1,26.0,21.0,26.0,21.5,20.0,22.0,cellphonedb
COL21A1 to ITGA2_ITGB1,133.0,144.0,21.0,64.5,54.0,18.0,cellphonedb
COL24A1 to ITGA11_ITGB1,148.0,168.0,19.0,113.5,130.0,16.0,cellphonedb
COL24A1 to ITGA1_ITGB1,136.5,149.0,24.0,95.5,102.0,20.0,cellphonedb
COL24A1 to ITGA2_ITGB1,181.5,206.0,20.0,104.0,117.0,17.0,cellphonedb
COL26A1 to ITGA11_ITGB1,131.0,140.0,15.0,137.0,158.0,15.0,cellphonedb
COL26A1 to ITGA1_ITGB1,122.5,133.0,18.0,103.0,114.0,18.0,cellphonedb
COL26A1 to ITGA2_ITGB1,186.0,208.0,16.0,106.0,123.0,16.0,cellphonedb
COL27A1 to ITGA11_ITGB1,111.5,107.0,18.0,131.5,150.0,16.0,cellphonedb
COL27A1 to ITGA1_ITGB1,81.0,66.0,23.0,84.5,84.0,20.0,cellphonedb
COL27A1 to ITGA2_ITGB1,169.0,199.0,19.0,105.0,120.0,17.0,cellphonedb
COL28A1 to ITGA11_ITGB1,114.0,110.0,21.0,108.5,125.0,18.0,cellphonedb
COL28A1 to ITGA1_ITGB1,41.0,36.0,26.0,37.0,31.0,22.0,cellphonedb
COL28A1 to ITGA2_ITGB1,132.0,142.0,21.0,88.5,88.0,18.0,cellphonedb
COL3A1 to ITGA11_ITGB1,144.5,165.0,16.0,134.5,157.0,12.0,cellphonedb
COL3A1 to ITGA1_ITGB1,44.0,40.0,20.0,83.0,81.0,15.0,cellphonedb
COL3A1 to ITGA2_ITGB1,166.5,194.0,18.0,112.5,128.0,14.0,cellphonedb
COL4A1 to ITGA11_ITGB1,84.5,72.0,20.0,129.5,147.0,14.0,cellphonedb
COL4A1 to ITGA1_ITGB1,24.0,19.0,25.0,59.0,47.0,18.0,cellphonedb
COL4A1 to ITGA2_ITGB1,98.5,90.0,20.0,99.5,109.0,14.0,cellphonedb
COL4A2 to ITGA11_ITGB1,83.5,70.0,20.0,132.5,153.0,14.0,cellphonedb
COL4A2 to ITGA1_ITGB1,9.0,7.0,25.0,34.0,27.0,18.0,cellphonedb
COL4A2 to ITGA2_ITGB1,99.0,92.0,20.0,101.5,112.0,14.0,cellphonedb
COL4A3 to ITGA11_ITGB1,121.5,127.0,20.0,117.0,135.0,17.0,cellphonedb
COL4A3 to ITGA1_ITGB1,48.0,42.0,25.0,46.0,35.0,21.0,cellphonedb
COL4A3 to ITGA2_ITGB1,147.5,167.0,20.0,94.0,97.0,17.0,cellphonedb
COL4A4 to ITGA11_ITGB1,99.0,91.0,19.0,122.0,142.0,16.0,cellphonedb
COL4A4 to ITGA1_ITGB1,43.0,39.0,23.0,38.0,33.0,19.0,cellphonedb
COL4A4 to ITGA2_ITGB1,141.5,159.0,18.0,95.0,101.0,15.0,cellphonedb
COL4A5 to ITGA11_ITGB1,94.0,80.0,21.0,117.5,137.0,18.0,cellphonedb
COL4A5 to ITGA1_ITGB1,35.0,27.0,26.0,28.0,23.0,22.0,cellphonedb
COL4A5 to ITGA2_ITGB1,104.0,96.0,21.0,80.0,75.0,18.0,cellphonedb
COL4A6 to ITGA11_ITGB1,150.0,174.0,19.0,134.0,156.0,16.0,cellphonedb
COL4A6 to ITGA1_ITGB1,109.5,104.0,22.0,92.0,92.0,19.0,cellphonedb
COL4A6 to ITGA2_ITGB1,167.5,196.0,18.0,107.0,124.0,16.0,cellphonedb
COL5A1 to ITGA11_ITGB1,139.0,155.0,15.0,146.5,172.0,12.0,cellphonedb
COL5A1 to ITGA1_ITGB1,62.0,49.0,18.0,55.0,44.0,12.0,cellphonedb
COL5A1 to ITGA2_ITGB1,188.0,209.0,15.0,,,,cellphonedb
COL5A2 to ITGA11_ITGB1,141.0,158.0,20.0,139.0,163.0,17.0,cellphonedb
COL5A2 to ITGA1_ITGB1,41.0,35.0,23.0,105.5,122.0,20.0,cellphonedb
COL5A2 to ITGA2_ITGB1,172.0,202.0,19.0,140.0,165.0,17.0,cellphonedb
COL6A1 to ITGA11_ITGB1,132.0,141.0,17.0,152.0,175.0,12.0,cellphonedb
COL6A1 to ITGA1_ITGB1,38.0,31.0,20.0,62.0,52.0,14.0,cellphonedb
COL6A1 to ITGA2_ITGB1,88.0,76.0,17.0,119.0,140.0,12.0,cellphonedb
COL6A2 to ITGA11_ITGB1,132.0,143.0,17.0,146.0,171.0,13.0,cellphonedb
COL6A2 to ITGA1_ITGB1,15.0,12.0,21.0,39.0,34.0,15.0,cellphonedb
COL6A2 to ITGA2_ITGB1,107.5,101.0,18.0,103.0,115.0,13.0,cellphonedb
COL7A1 to ITGA11_ITGB1,122.0,130.0,17.0,126.0,143.0,15.0,cellphonedb
COL7A1 to ITGA1_ITGB1,108.0,102.0,21.0,102.0,113.0,19.0,cellphonedb
COL7A1 to ITGA2_ITGB1,193.5,211.0,16.0,118.0,138.0,15.0,cellphonedb
COL8A1 to ITGA11_ITGB1,106.0,97.0,21.0,127.0,144.0,17.0,cellphonedb
COL8A1 to ITGA1_ITGB1,19.0,15.0,26.0,18.0,15.0,21.0,cellphonedb
COL8A1 to ITGA2_ITGB1,137.0,151.0,21.0,104.0,118.0,17.0,cellphonedb
COL9A2 to ITGA11_ITGB1,144.0,163.0,13.0,161.5,178.0,12.0,cellphonedb
COL9A2 to ITGA1_ITGB1,98.0,87.0,15.0,105.0,121.0,14.0,cellphonedb
COL9A2 to ITGA2_ITGB1,,,,158.0,177.0,11.0,cellphonedb
COPA to CD74,8.0,6.0,26.0,6.0,5.0,22.0,cellphonedb
COPA to SORT1,165.0,192.0,22.0,118.0,139.0,18.0,cellphonedb
CSF1 to SIRPA,149.0,170.0,18.0,169.0,188.0,13.0,cellphonedb
CSF1 to SLC7A1,155.0,178.0,15.0,170.5,189.0,12.0,cellphonedb
DLL1 to NOTCH2,62.0,50.0,25.0,46.0,36.0,21.0,cellphonedb
DLL1 to NOTCH3,198.0,215.0,14.0,171.5,191.0,12.0,cellphonedb
EDN2 to EDNRA,112.0,108.0,13.0,95.5,103.0,12.0,cellphonedb
EFNA5 to EPHB2,95.0,84.0,23.0,115.0,132.0,19.0,cellphonedb
EFNB1 to EPHB2,134.0,146.0,17.0,175.0,193.0,15.0,cellphonedb
EREG to EGFR,76.5,62.0,22.0,111.0,127.0,19.0,cellphonedb
EREG to ERBB4,119.0,123.0,18.0,164.0,183.0,17.0,cellphonedb
FAM3B to LRP5,195.0,213.0,15.0,138.0,160.0,13.0,cellphonedb
FAM3C to CLEC2D,156.5,181.0,16.0,133.5,155.0,14.0,cellphonedb
FAM3C to HLA-C,19.5,16.0,26.0,12.5,8.0,22.0,cellphonedb
FAM3C to LAMP1,38.0,30.0,26.0,30.5,24.0,22.0,cellphonedb
FBN1 to ITGA5_ITGB1,101.0,95.0,18.0,132.0,151.0,13.0,cellphonedb
FGF18 to FGFR1,121.0,126.0,17.0,133.0,154.0,15.0,cellphonedb
FGF2 to CD44,116.0,118.0,16.0,,,,cellphonedb
FGF2 to FGFR1,116.0,116.0,16.0,,,,cellphonedb
FGFR2 to CD44,5.0,3.0,26.0,5.0,3.0,22.0,cellphonedb
FGFR2 to CD83,138.5,153.0,16.0,119.0,141.0,13.0,cellphonedb
FGFR2 to FGFR1,7.5,5.0,26.0,7.0,6.0,22.0,cellphonedb
FGFR2 to XPR1,68.0,51.0,26.0,71.0,62.0,22.0,cellphonedb
FN1 to ITGA5_ITGB1,36.0,28.0,24.0,34.0,28.0,20.0,cellphonedb
FN1 to ITGA8_ITGB1,14.0,10.0,23.0,17.0,13.0,19.0,cellphonedb
FN1 to ITGAV_ITGB1,13.0,9.0,26.0,14.5,11.0,22.0,cellphonedb
GAS6 to AXL,12.0,8.0,26.0,12.5,9.0,22.0,cellphonedb
GAS6 to MERTK,142.5,160.0,20.0,131.0,148.0,17.0,cellphonedb
GDF11 to ACVR1B_ACVR2A,159.0,185.0,13.0,,,,cellphonedb
GDF11 to ACVR2A_TGFBR1,144.0,162.0,13.0,,,,cellphonedb
GDF11 to ANTXR1,148.5,169.0,14.0,,,,cellphonedb
GRN to EGFR,14.5,11.0,26.0,12.0,7.0,22.0,cellphonedb
GRN to SORT1,149.5,173.0,22.0,138.0,161.0,18.0,cellphonedb
GRN to TNFRSF1A,23.0,18.0,26.0,20.0,16.0,22.0,cellphonedb
HBEGF to CD44,26.0,22.0,26.0,17.0,14.0,22.0,cellphonedb
HBEGF to ERBB4,80.0,65.0,21.0,129.0,146.0,19.0,cellphonedb
IL15 to IL15RA,100.5,94.0,24.0,143.0,167.0,20.0,cellphonedb
IL15RA to AXL,140.0,156.0,22.0,139.5,164.0,20.0,cellphonedb
IL6 to HRH1,136.0,148.0,21.0,161.5,179.0,14.0,cellphonedb
IL6 to IL6_IL6R_IL6ST,168.5,198.0,14.0,,,,cellphonedb
INHBB to ACVR1B_ACVR2A,125.0,135.0,23.0,131.0,149.0,20.0,cellphonedb
INHBB to ACVR1_ACVR2A,144.0,164.0,22.0,138.0,162.0,19.0,cellphonedb
JAG1 to CD46,42.0,37.0,26.0,46.5,37.0,22.0,cellphonedb
JAG1 to NOTCH2,39.0,32.0,26.0,49.0,40.0,22.0,cellphonedb
JAG1 to NOTCH3,166.0,193.0,14.0,198.5,199.0,12.0,cellphonedb
JAG2 to NOTCH2,107.5,100.0,18.0,168.5,187.0,16.0,cellphonedb
LAMC1 to ITGA2_ITGB1,108.0,103.0,21.0,83.0,82.0,18.0,cellphonedb
LGALS9 to CD44,40.0,33.0,23.0,34.0,29.0,20.0,cellphonedb
LGALS9 to CD47,86.0,73.0,23.0,69.0,58.0,20.0,cellphonedb
LGALS9 to COLEC12,84.0,71.0,23.0,69.0,59.0,20.0,cellphonedb
LGALS9 to LRP1,45.0,41.0,23.0,32.0,25.0,20.0,cellphonedb
LGALS9 to MRC2,61.0,48.0,23.0,48.0,38.0,20.0,cellphonedb
LGALS9 to PTPRK,73.0,60.0,23.0,63.5,53.0,20.0,cellphonedb
LGALS9 to SLC1A5,122.0,131.0,21.0,132.0,152.0,19.0,cellphonedb
LIF to IL6ST_LIFR,113.5,109.0,18.0,173.5,192.0,16.0,cellphonedb
MDK to LRP1,3.0,2.0,26.0,3.0,2.0,22.0,cellphonedb
NCAM1 to FGFR1,114.5,111.0,14.0,114.5,131.0,12.0,cellphonedb
NECTIN3 to NECTIN2,95.0,83.0,26.0,116.0,133.0,21.0,cellphonedb
NRG1 to ADGRL1,184.0,207.0,14.0,193.5,198.0,14.0,cellphonedb
NRG1 to ERBB4,59.0,46.0,21.0,137.0,159.0,19.0,cellphonedb
NRG1 to HLA-DPB1,48.5,43.0,26.0,37.5,32.0,22.0,cellphonedb
NRG1 to LGR4,107.5,99.0,24.0,149.0,174.0,21.0,cellphonedb
NRG2 to ERBB4,137.0,150.0,21.0,162.0,181.0,19.0,cellphonedb
NRG3 to ERBB4,98.0,88.0,16.0,180.5,194.0,14.0,cellphonedb
NRG4 to ERBB4,98.0,89.0,21.0,142.0,166.0,19.0,cellphonedb
PDGFD to PDGFRB,94.0,81.0,15.0,116.0,134.0,13.0,cellphonedb
PGF to NRP1,162.0,187.0,13.0,,,,cellphonedb
PROS1 to AXL,26.5,23.0,26.0,20.5,19.0,22.0,cellphonedb
PTN to PLXNB2,198.0,216.0,15.0,,,,cellphonedb
PTN to PTPRS,91.0,79.0,18.0,188.5,197.0,12.0,cellphonedb
PTPRC to MRC1,158.0,183.0,14.0,166.5,186.0,14.0,cellphonedb
RPS19 to C5AR1,82.0,67.0,24.0,152.5,176.0,20.0,cellphonedb
SCGB3A1 to MARCO,82.0,68.0,19.0,148.0,173.0,15.0,cellphonedb
SCGB3A1 to NOTCH3,189.5,210.0,14.0,215.5,205.0,12.0,cellphonedb
SEMA3A to NRP1,41.0,34.0,26.0,35.5,30.0,22.0,cellphonedb
SEMA3A to NRP1_PLXNA2,70.0,56.0,25.0,79.0,73.0,21.0,cellphonedb
SEMA3A to NRP1_PLXNA4,131.0,139.0,22.0,163.5,182.0,20.0,cellphonedb
SEMA3C to NRP2,69.0,54.0,21.0,57.0,45.0,19.0,cellphonedb
SEMA3E to PLXND1,194.0,212.0,19.0,204.0,202.0,17.0,cellphonedb
SEMA3F to NRP2,197.0,214.0,14.0,207.5,204.0,12.0,cellphonedb
SEMA4A to PLXND1,167.0,195.0,19.0,206.0,203.0,17.0,cellphonedb
SEMA4D to PLXNB2,151.5,177.0,18.0,171.0,190.0,17.0,cellphonedb
SPP1 to CD44,38.0,29.0,19.0,33.0,26.0,17.0,cellphonedb
SPP1 to ITGA9_ITGB1,90.0,78.0,19.0,165.0,185.0,17.0,cellphonedb
SPP1 to PTGER4,,,,218.0,206.0,11.0,cellphonedb
TGFB1 to ACVR1_TGFBR2,115.0,112.0,23.0,161.5,180.0,20.0,cellphonedb
TGFB1 to EGFR,28.0,24.0,26.0,20.0,17.0,22.0,cellphonedb
TGFB1 to TGFBR1_TGFBR2,74.0,61.0,26.0,64.5,55.0,22.0,cellphonedb
TGFB1 to TGFBR3,19.0,14.0,26.0,16.0,12.0,22.0,cellphonedb
TGFB2 to ACVR1_TGFBR2,116.0,117.0,23.0,164.0,184.0,19.0,cellphonedb
TGFB2 to TGFBR1_TGFBR2,72.0,58.0,26.0,70.0,61.0,21.0,cellphonedb
TGFB2 to TGFBR3,16.5,13.0,26.0,13.0,10.0,21.0,cellphonedb
TNC to ITGA8_ITGB1,29.0,25.0,23.0,20.0,18.0,17.0,cellphonedb
TNC to ITGA9_ITGB1,61.0,47.0,26.0,50.5,41.0,20.0,cellphonedb
TNFSF10 to RIPK1,89.5,77.0,26.0,110.0,126.0,22.0,cellphonedb
TNFSF10 to TNFRSF10B,57.5,45.0,26.0,59.5,49.0,22.0,cellphonedb
TNFSF10 to TNFRSF10D,126.0,137.0,17.0,200.5,200.0,16.0,cellphonedb
TNFSF12 to TNFRSF12A,157.0,182.0,13.0,,,,cellphonedb
TNFSF14 to LTBR,138.5,154.0,18.0,203.0,201.0,16.0,cellphonedb
TNFSF14 to TNFRSF14,174.0,204.0,13.0,225.5,207.0,12.0,cellphonedb
VEGFA to EPHB2,118.0,119.0,22.0,187.5,196.0,18.0,cellphonedb
VEGFA to NRP1,22.0,17.0,25.0,22.0,21.0,21.0,cellphonedb
VEGFA to NRP2,95.5,85.0,20.0,145.0,170.0,18.0,cellphonedb
VEGFB to NRP1,69.0,53.0,25.0,58.0,46.0,21.0,cellphonedb
WNT4 to FZD1,,,,243.0,208.0,11.0,cellphonedb
WNT5A to ANTXR1,87.0,75.0,15.0,117.0,136.0,12.0,cellphonedb
WNT5A to FZD1,175.0,205.0,13.0,,,,cellphonedb
WNT5A to PTPRK,97.0,86.0,15.0,143.5,168.0,12.0,cellphonedb
WNT5A to ROR1,70.0,57.0,15.0,144.5,169.0,12.0,cellphonedb
WNT5A to ROR2,80.0,64.0,15.0,127.5,145.0,12.0,cellphonedb
WNT7B to FZD1,164.0,190.0,19.0,185.0,195.0,16.0,cellphonedb
A2M to LRP1,21.5,15.0,18.0,341.0,320.0,12.0,consensus
ACTR2 to LDLR,440.0,438.0,23.0,277.0,253.0,20.0,consensus
ADAM10 to AXL,117.5,107.0,26.0,86.5,71.0,22.0,consensus
ADAM10 to CADM1,782.0,766.0,15.0,358.0,340.0,11.0,consensus
ADAM10 to CD44,58.5,44.0,26.0,45.0,32.0,22.0,consensus
ADAM10 to EPHA3,310.0,281.0,22.0,242.0,211.0,21.0,consensus
ADAM10 to GPNMB,117.5,108.0,26.0,85.0,67.0,22.0,consensus
ADAM10 to IL6R,339.0,313.0,19.0,301.0,280.0,17.0,consensus
ADAM10 to NOTCH2,185.5,177.0,26.0,163.5,154.0,22.0,consensus
ADAM10 to NRCAM,692.5,733.0,16.0,370.0,362.0,14.0,consensus
ADAM10 to TSPAN14,543.0,579.0,19.0,360.0,344.0,17.0,consensus
ADAM10 to TSPAN5,299.5,270.0,20.0,234.0,205.0,18.0,consensus
ADAM12 to ITGA9,344.5,317.0,26.0,242.5,212.0,22.0,consensus
ADAM12 to ITGB1,146.0,136.0,26.0,133.5,127.0,22.0,consensus
ADAM12 to SDC4,538.0,575.0,23.0,270.0,245.0,19.0,consensus
ADAM15 to ITGA5,400.0,390.0,24.0,317.5,294.0,20.0,consensus
ADAM15 to ITGA9,418.0,407.0,26.0,316.5,293.0,22.0,consensus
ADAM15 to ITGAV,296.0,268.0,26.0,260.5,235.0,22.0,consensus
ADAM15 to ITGB1,286.0,261.0,26.0,260.0,233.0,22.0,consensus
ADAM17 to ERBB4,333.0,308.0,21.0,269.0,242.0,19.0,consensus
ADAM17 to IL6R,367.0,347.0,19.0,319.0,296.0,17.0,consensus
ADAM17 to ITGA5,290.0,264.0,24.0,242.5,213.0,20.0,consensus
ADAM17 to ITGB1,141.0,132.0,26.0,125.5,118.0,22.0,consensus
ADAM9 to ITGAV,80.5,65.0,26.0,57.5,44.0,22.0,consensus
ADAM9 to ITGB1,90.0,72.0,26.0,65.5,52.0,22.0,consensus
ADAM9 to ITGB5,126.5,121.0,26.0,110.0,102.0,22.0,consensus
ADAMTS3 to CCBE1,747.0,751.0,18.0,347.0,328.0,16.0,consensus
ADM to ACKR3,557.0,600.0,15.0,340.0,319.0,13.0,consensus
ADM to RAMP2,545.0,582.0,15.0,342.0,321.0,13.0,consensus
AFDN to EPHB2,454.0,458.0,23.0,284.0,261.0,19.0,consensus
AGRN to DAG1,470.0,480.0,24.0,360.0,345.0,21.0,consensus
AGRN to ITGB1,186.5,178.0,26.0,154.0,142.0,22.0,consensus
AGRN to LRP1,116.0,102.0,26.0,85.0,68.0,22.0,consensus
AGRN to MUSK,350.0,322.0,25.0,281.0,256.0,21.0,consensus
AGTRAP to RACK1,194.0,183.0,26.0,145.5,136.0,22.0,consensus
ALCAM to NRP1,25.5,22.0,26.0,19.5,14.0,22.0,consensus
ANGPT1 to ITGA5,384.5,364.0,14.0,,,,consensus
ANGPT1 to ITGB1,205.5,191.0,14.0,,,,consensus
ANGPT2 to ITGA5_ITGB1,565.0,610.0,14.0,,,,consensus
ANGPTL4 to CDH11,272.0,248.0,25.0,268.0,241.0,19.0,consensus
ANGPTL4 to ITGA5_ITGB1,396.0,379.0,24.0,315.5,290.0,18.0,consensus
ANGPTL4 to SDC2,271.0,247.0,25.0,256.0,230.0,19.0,consensus
ANGPTL4 to SDC3,736.5,746.0,16.0,379.0,377.0,12.0,consensus
ANGPTL4 to SDC4,566.0,611.0,23.0,367.0,354.0,17.0,consensus
ANOS1 to FGFR1,61.5,47.0,26.0,61.0,47.0,22.0,consensus
ANOS1 to SDC2,124.0,117.0,26.0,106.5,96.0,22.0,consensus
ANXA1 to EGFR,17.5,8.0,26.0,11.5,5.0,22.0,consensus
APOD to LEPR,363.0,343.0,23.0,260.0,234.0,20.0,consensus
APOE to ABCA1,106.5,89.0,26.0,114.5,108.0,22.0,consensus
APOE to LDLR,353.0,327.0,23.0,284.0,262.0,20.0,consensus
APOE to LRP1,46.0,38.0,26.0,62.0,49.0,22.0,consensus
APOE to LRP5,646.5,701.0,18.0,353.0,334.0,15.0,consensus
APOE to LRP6,469.0,476.0,21.0,354.0,336.0,17.0,consensus
APOE to SDC2,116.0,103.0,26.0,119.0,113.0,22.0,consensus
APP to CD74,38.5,28.0,26.0,28.5,22.0,22.0,consensus
APP to GPC1,379.0,361.0,20.0,285.0,265.0,17.0,consensus
APP to LRP1,21.5,14.0,26.0,14.5,9.0,22.0,consensus
APP to LRP10,200.5,186.0,26.0,177.0,162.0,22.0,consensus
APP to LRP6,431.0,424.0,21.0,358.0,341.0,17.0,consensus
APP to NCSTN,433.5,430.0,24.0,379.0,378.0,20.0,consensus
APP to NOTCH2,110.5,94.0,26.0,90.0,76.0,22.0,consensus
APP to PTGER2,645.0,697.0,15.0,374.0,373.0,15.0,consensus
APP to TNFRSF21,637.0,690.0,16.0,416.0,439.0,14.0,consensus
ARF1 to INSR,249.0,230.0,26.0,199.0,178.0,22.0,consensus
ARF6 to PLD1,350.5,323.0,26.0,280.0,255.0,22.0,consensus
ARF6 to SMAP1,407.0,397.0,25.0,291.0,270.0,21.0,consensus
ARPC5 to LDLR,425.0,419.0,23.0,297.0,277.0,20.0,consensus
ASIP to ATRN,496.0,521.0,19.0,391.5,394.0,18.0,consensus
ASIP to MGRN1,513.0,546.0,19.0,392.5,395.0,18.0,consensus
AZGP1 to ITGAV,234.0,216.0,21.0,216.5,186.0,18.0,consensus
BGN to LY96,480.0,489.0,15.0,,,,consensus
BMP1 to BMPR1A,313.0,286.0,25.0,272.0,250.0,21.0,consensus
BMP1 to BMPR1B,443.5,446.0,16.0,326.0,302.0,15.0,consensus
BMP1 to BMPR2,192.0,180.0,25.0,178.0,165.0,21.0,consensus
BMP2 to ACTR2,423.0,418.0,26.0,316.0,291.0,21.0,consensus
