compartment,label,omitted_donor,direction,ligand,pearson,cohort,scope,rank,ranked_ligands
fibroblasts,Fibroblast,138I,down,AREG,0.0086380054307702,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,138I,down,CCL2,0.0177005866443499,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,138I,down,HBEGF,0.0012743025127897,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,138I,down,IL1A,0.033876057265688,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,138I,down,IL1B,0.0309767504331452,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,138I,down,TGFB1,0.0362960895332209,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,138I,down,VEGFA,-0.0009725866588302,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,138I,down,WNT2B,0.0440722394231355,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,138I,down,WNT5B,0.0453751840477087,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,174I,down,AREG,0.0032456383547949,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,174I,down,CCL2,0.0275369036622899,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,174I,down,HBEGF,0.000255112645537,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,174I,down,IL1A,0.0514302843874084,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,174I,down,IL1B,0.0383736601655231,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,174I,down,TGFB1,0.0348760864347841,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,174I,down,VEGFA,0.0227781197134586,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,174I,down,WNT2B,0.0341098353753254,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,174I,down,WNT5B,0.0362814414473239,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,192C,down,AREG,-0.0013071128386613,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,192C,down,CCL2,0.0313936755456402,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,192C,down,HBEGF,0.0125769359569034,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,192C,down,IL1A,0.0167624802083966,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,192C,down,IL1B,0.0158168758398789,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,192C,down,TGFB1,0.0400871100273354,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,192C,down,VEGFA,0.0239778801447829,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,192C,down,WNT2B,0.0138763354696966,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,192C,down,WNT5B,0.0151994598281009,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,228I,down,AREG,0.0153813210931952,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,228I,down,CCL2,0.0325505463135417,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,228I,down,HBEGF,0.0249526207951049,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,228I,down,IL1A,0.0854076668454472,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,228I,down,IL1B,0.0739315922221929,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,228I,down,TGFB1,0.0692960566842725,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,228I,down,VEGFA,0.0403441009381304,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,228I,down,WNT2B,0.0687130468794013,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,228I,down,WNT5B,0.0660078616648572,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,__none__,down,AREG,0.0011317084999107,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,__none__,down,CCL2,0.0321549803297055,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,__none__,down,HBEGF,-0.0018105276854626,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,__none__,down,IL1A,0.0647161536845423,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,__none__,down,IL1B,0.0469457212417214,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,__none__,down,TGFB1,0.0318531240395389,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,__none__,down,VEGFA,0.0193466571056653,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,__none__,down,WNT2B,0.0298344037058774,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,__none__,down,WNT5B,0.0316405537896366,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,up,AREG,-0.0048126617427917,GSE136831,source_agnostic_planned_panel,14.0,14
fibroblasts,Fibroblast,010I,up,CCL2,0.0050152525401138,GSE136831,source_agnostic_planned_panel,9.0,14
fibroblasts,Fibroblast,010I,up,CXCL12,0.0153598214316155,GSE136831,source_agnostic_planned_panel,3.0,14
fibroblasts,Fibroblast,010I,up,FGF7,0.0469290454803321,GSE136831,source_agnostic_planned_panel,1.0,14
fibroblasts,Fibroblast,010I,up,HBEGF,0.0017807044846301,GSE136831,source_agnostic_planned_panel,12.0,14
fibroblasts,Fibroblast,010I,up,IL1A,-0.0016741303531446,GSE136831,source_agnostic_planned_panel,13.0,14
fibroblasts,Fibroblast,010I,up,IL1B,0.0070983119991485,GSE136831,source_agnostic_planned_panel,6.0,14
fibroblasts,Fibroblast,010I,up,TGFB1,0.0198945752954204,GSE136831,source_agnostic_planned_panel,2.0,14
fibroblasts,Fibroblast,010I,up,VEGFA,0.0029048573860595,GSE136831,source_agnostic_planned_panel,11.0,14
fibroblasts,Fibroblast,010I,up,WNT2,0.0095559584785918,GSE136831,source_agnostic_planned_panel,4.0,14
fibroblasts,Fibroblast,010I,up,WNT2B,0.0047621877833923,GSE136831,source_agnostic_planned_panel,10.0,14
fibroblasts,Fibroblast,010I,up,WNT5B,0.0060249307430579,GSE136831,source_agnostic_planned_panel,8.0,14
fibroblasts,Fibroblast,010I,up,WNT7B,0.0060395467659244,GSE136831,source_agnostic_planned_panel,7.0,14
fibroblasts,Fibroblast,010I,up,WNT9A,0.0072630400325725,GSE136831,source_agnostic_planned_panel,5.0,14
fibroblasts,Fibroblast,021I,up,AREG,-0.0059728408781755,GSE136831,source_agnostic_planned_panel,15.0,15
fibroblasts,Fibroblast,021I,up,CCL2,0.0032130874808821,GSE136831,source_agnostic_planned_panel,12.0,15
fibroblasts,Fibroblast,021I,up,CXCL12,0.0240398045759856,GSE136831,source_agnostic_planned_panel,3.0,15
fibroblasts,Fibroblast,021I,up,FGF7,0.0426334929868126,GSE136831,source_agnostic_planned_panel,1.0,15
fibroblasts,Fibroblast,021I,up,HBEGF,8.26521321721982e-05,GSE136831,source_agnostic_planned_panel,13.0,15
fibroblasts,Fibroblast,021I,up,IL1A,-0.0027610988026984,GSE136831,source_agnostic_planned_panel,14.0,15
fibroblasts,Fibroblast,021I,up,IL1B,0.0043994959331872,GSE136831,source_agnostic_planned_panel,8.0,15
fibroblasts,Fibroblast,021I,up,TGFB1,0.0246568102441729,GSE136831,source_agnostic_planned_panel,2.0,15
fibroblasts,Fibroblast,021I,up,VEGFA,0.0060978293242902,GSE136831,source_agnostic_planned_panel,5.0,15
fibroblasts,Fibroblast,021I,up,WNT10B,0.0034089248844009,GSE136831,source_agnostic_planned_panel,10.0,15
fibroblasts,Fibroblast,021I,up,WNT2,0.0078260405844558,GSE136831,source_agnostic_planned_panel,4.0,15
fibroblasts,Fibroblast,021I,up,WNT2B,0.0033173733161927,GSE136831,source_agnostic_planned_panel,11.0,15
fibroblasts,Fibroblast,021I,up,WNT5B,0.0042945015123345,GSE136831,source_agnostic_planned_panel,9.0,15
fibroblasts,Fibroblast,021I,up,WNT7B,0.0044629577604875,GSE136831,source_agnostic_planned_panel,7.0,15
fibroblasts,Fibroblast,021I,up,WNT9A,0.0053938177428637,GSE136831,source_agnostic_planned_panel,6.0,15
fibroblasts,Fibroblast,022I,up,AREG,-0.0058455116187126,GSE136831,source_agnostic_planned_panel,15.0,15
fibroblasts,Fibroblast,022I,up,CCL2,0.0139892992448252,GSE136831,source_agnostic_planned_panel,9.0,15
fibroblasts,Fibroblast,022I,up,CXCL12,0.0043205765681676,GSE136831,source_agnostic_planned_panel,11.0,15
fibroblasts,Fibroblast,022I,up,FGF7,0.0423506460516836,GSE136831,source_agnostic_planned_panel,1.0,15
fibroblasts,Fibroblast,022I,up,HBEGF,-0.0007776958266971,GSE136831,source_agnostic_planned_panel,13.0,15
fibroblasts,Fibroblast,022I,up,IL1A,-0.002757093658247,GSE136831,source_agnostic_planned_panel,14.0,15
fibroblasts,Fibroblast,022I,up,IL1B,0.009040046087039,GSE136831,source_agnostic_planned_panel,10.0,15
fibroblasts,Fibroblast,022I,up,TGFB1,0.0222686931033789,GSE136831,source_agnostic_planned_panel,8.0,15
fibroblasts,Fibroblast,022I,up,VEGFA,0.0011411215231232,GSE136831,source_agnostic_planned_panel,12.0,15
fibroblasts,Fibroblast,022I,up,WNT10B,0.0248784465853203,GSE136831,source_agnostic_planned_panel,4.0,15
fibroblasts,Fibroblast,022I,up,WNT2,0.0241369002411272,GSE136831,source_agnostic_planned_panel,5.0,15
fibroblasts,Fibroblast,022I,up,WNT2B,0.0234705656424943,GSE136831,source_agnostic_planned_panel,7.0,15
fibroblasts,Fibroblast,022I,up,WNT5B,0.023816595517925,GSE136831,source_agnostic_planned_panel,6.0,15
fibroblasts,Fibroblast,022I,up,WNT7B,0.0250549277406439,GSE136831,source_agnostic_planned_panel,3.0,15
fibroblasts,Fibroblast,022I,up,WNT9A,0.0257313531593399,GSE136831,source_agnostic_planned_panel,2.0,15
