config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,patient,case_score,reference_score,paired_difference,ligand_difference,receptor_difference
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,22,3.078302368998515,2.586225367396205,0.4920770016023104,0.7500979917436099,0.23405601146101063
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,24,3.8776844359728,3.385866474146955,0.4918179618258449,-0.6841470876884601,1.6677830113401502
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AAH,inhibitory_or_decoy_context_not_activation,25,3.01490586997683,2.6697115613843403,0.34519430859248956,1.760681361703929,-1.0702927445189498
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,3,2.5355543813995203,2.394023099550036,0.14153128184948427,1.508540481940508,-1.2254779182415398
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,5,3.005997267465956,2.60656682214207,0.39943044532388594,-0.17914279633987795,0.9780036869876501
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,9,2.296538412085425,2.885052401401405,-0.5885139893159801,1.58433684600668,-2.7613648246386404
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,12,1.23317931490423,1.5474817191687427,-0.3143024042645126,-0.766789310667815,0.13818450213878997
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,14,1.703649338620034,2.571743947175509,-0.8680946085554748,-0.64787754121919,-1.08831167589176
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,16,3.184288139359005,2.44171994958833,0.7425681897706746,0.5839858815473999,0.90115049799395
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,17,3.4563948638709148,2.2951416623162486,1.1612532015546662,1.830225963877503,0.4922804392318296
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,19,3.395322521016,3.6644143525842647,-0.2690918315682649,-0.42055516418368977,-0.11762849895283978
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,21,0.49957149155703395,2.399021493265853,-1.899450001708819,1.5350873821756739,-5.333987385593312
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,22,3.078302368998515,2.51637950311873,0.5619228658797852,-0.059124147864759946,1.1829698796243302
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,AIS,inhibitory_or_decoy_context_not_activation,23,2.8708149905141793,3.445799420496785,-0.5749844299826057,-0.8643583156575011,-0.28561054430771016
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,MIA,inhibitory_or_decoy_context_not_activation,10,2.811541787655889,2.172181514053899,0.6393602736019899,0.21712845049456903,1.0615920967094103
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,MIA,inhibitory_or_decoy_context_not_activation,13,0.9533930737977052,2.0209601068280847,-1.0675670330303795,-2.41465445768557,0.27952039162481057
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,MIA,inhibitory_or_decoy_context_not_activation,15,3.311382957487985,0.7176178623019249,2.5937650951860602,4.53794468008279,0.64958551028933
