patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
10,LUAD,Interstitial Mph perivascular,macrophages,subtype,34,66071,GSM9237927,1,0.2,pooled,unc20_pooled_0690
10,LUAD,Monocyte-derived Mph,macrophages,subtype,19,132155,GSM9237927,1,0.2,pooled,unc20_pooled_0696
10,LUAD,Myofibroblasts,fibroblasts,subtype,5,6532,GSM9237927,1,0.2,pooled,unc20_pooled_0699
10,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,91,306013,GSM9237927,1,0.2,pooled,unc20_pooled_0703
10,MIA,AT2,AT2,subtype,450,2033686,GSM9237926,1,0.2,pooled,unc20_pooled_0714
10,MIA,AT2 proliferating,AT2,subtype,1,5398,GSM9237926,1,0.2,pooled,unc20_pooled_0715
10,MIA,Adventitial fibroblasts,fibroblasts,subtype,1,1456,GSM9237926,1,0.2,pooled,unc20_pooled_0716
10,MIA,Alveolar fibroblasts,fibroblasts,subtype,279,453193,GSM9237926,1,0.2,pooled,unc20_pooled_0717
10,MIA,Alveolar macrophages,macrophages,subtype,27,181841,GSM9237926,1,0.2,pooled,unc20_pooled_0718
10,MIA,Interstitial Mph perivascular,macrophages,subtype,7,11901,GSM9237926,1,0.2,pooled,unc20_pooled_0731
10,MIA,Monocyte-derived Mph,macrophages,subtype,4,7675,GSM9237926,1,0.2,pooled,unc20_pooled_0735
10,MIA,Myofibroblasts,fibroblasts,subtype,3,3836,GSM9237926,1,0.2,pooled,unc20_pooled_0737
10,MIA,Peribronchial fibroblasts,fibroblasts,subtype,1,3402,GSM9237926,1,0.2,pooled,unc20_pooled_0740
10,normal,AT2,AT2,subtype,176,410176,GSM9237925,1,0.2,pooled,unc20_pooled_0748
10,normal,Adventitial fibroblasts,fibroblasts,subtype,2,6406,GSM9237925,1,0.2,pooled,unc20_pooled_0749
10,normal,Alveolar fibroblasts,fibroblasts,subtype,100,189621,GSM9237925,1,0.2,pooled,unc20_pooled_0750
10,normal,Alveolar macrophages,macrophages,subtype,5,34479,GSM9237925,1,0.2,pooled,unc20_pooled_0751
10,normal,Interstitial Mph perivascular,macrophages,subtype,1,1452,GSM9237925,1,0.2,pooled,unc20_pooled_0761
10,normal,Monocyte-derived Mph,macrophages,subtype,18,81549,GSM9237925,1,0.2,pooled,unc20_pooled_0765
11,AAH,AT2,AT2,subtype,459,2366182,GSM9237929,1,0.2,pooled,unc20_pooled_0775
11,AAH,AT2 proliferating,AT2,subtype,3,14675,GSM9237929,1,0.2,pooled,unc20_pooled_0776
11,AAH,Adventitial fibroblasts,fibroblasts,subtype,44,79333,GSM9237929,1,0.2,pooled,unc20_pooled_0777
11,AAH,Alveolar Mph proliferating,macrophages,subtype,2,17499,GSM9237929,1,0.2,pooled,unc20_pooled_0778
11,AAH,Alveolar fibroblasts,fibroblasts,subtype,237,403154,GSM9237929,1,0.2,pooled,unc20_pooled_0779
11,AAH,Alveolar macrophages,macrophages,subtype,72,567626,GSM9237929,1,0.2,pooled,unc20_pooled_0780
11,AAH,Interstitial Mph perivascular,macrophages,subtype,13,20350,GSM9237929,1,0.2,pooled,unc20_pooled_0793
11,AAH,Monocyte-derived Mph,macrophages,subtype,5,23051,GSM9237929,1,0.2,pooled,unc20_pooled_0797
11,AAH,Myofibroblasts,fibroblasts,subtype,1,1123,GSM9237929,1,0.2,pooled,unc20_pooled_0799
11,LUAD,AT2,AT2,subtype,569,2732660,GSM9237930,1,0.2,pooled,unc20_pooled_0813
11,LUAD,AT2 proliferating,AT2,subtype,9,88840,GSM9237930,1,0.2,pooled,unc20_pooled_0814
