pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
LAMA2 to RPSA,26,58.5,LAMA2,RPSA,44,italk
COL6A2 to ITGB1,21,59.0,COL6A2,ITGB1,45,italk
SEMA3C to NRP1,26,60.0,SEMA3C,NRP1,46,italk
COL4A1 to ITGB1,25,63.0,COL4A1,ITGB1,47,italk
FN1 to ITGAV,26,64.5,FN1,ITGAV,48,italk
ADAM9 to ITGAV,26,65.5,ADAM9,ITGAV,49,italk
CALM1 to PTPRA,26,68.0,CALM1,PTPRA,50,italk
COL1A1 to DDR2,24,69.5,COL1A1,DDR2,51,italk
ADAM9 to ITGB1,26,69.5,ADAM9,ITGB1,52,italk
FN1 to ITGB1,26,69.5,FN1,ITGB1,53,italk
COL6A2 to ITGA1,21,70.0,COL6A2,ITGA1,54,italk
FN1 to SDC2,26,70.5,FN1,SDC2,55,italk
MDK to ITGB1,26,73.5,MDK,ITGB1,56,italk
NID1 to ITGB1,19,74.0,NID1,ITGB1,57,italk
NPNT to ITGA8,23,77.0,NPNT,ITGA8,58,italk
GAS6 to AXL,26,80.0,GAS6,AXL,59,italk
LGALS3BP to ITGB1,26,82.5,LGALS3BP,ITGB1,60,italk
C1orf194 to PLSCR4,25,83.0,C1orf194,PLSCR4,61,italk
TFPI to LRP1,26,83.5,TFPI,LRP1,62,italk
COL1A2 to ITGAV,19,84.0,COL1A2,ITGAV,63,italk
LTF to LRP1,22,85.5,LTF,LRP1,64,italk
COL1A2 to ITGB1,19,86.0,COL1A2,ITGB1,65,italk
LAMB3 to ITGB1,26,86.5,LAMB3,ITGB1,66,italk
LAMB2 to RPSA,25,87.0,LAMB2,RPSA,67,italk
MMP7 to CD151,24,87.0,MMP7,CD151,68,italk
TNC to EGFR,26,89.0,TNC,EGFR,69,italk
NID1 to ITGAV,19,91.0,NID1,ITGAV,70,italk
COL4A1 to ITGAV,25,93.0,COL4A1,ITGAV,71,italk
CGN to TGFBR2,26,93.5,CGN,TGFBR2,72,italk
ADAM10 to AXL,26,94.5,ADAM10,AXL,73,italk
THBS1 to LRP1,26,94.5,THBS1,LRP1,74,italk
TGFB2 to TGFBR3,26,95.0,TGFB2,TGFBR3,75,italk
NTN1 to UNC5C,26,96.0,NTN1,UNC5C,76,italk
LAMC1 to ITGB1,26,96.5,LAMC1,ITGB1,77,italk
FN1 to PLAUR,26,97.0,FN1,PLAUR,78,italk
HSPG2 to PTPRS,26,97.5,HSPG2,PTPRS,79,italk
LRPAP1 to LRP1,26,98.5,LRPAP1,LRP1,80,italk
COL4A1 to ITGA1,25,100.0,COL4A1,ITGA1,81,italk
SERPINE1 to LRP1,22,100.0,SERPINE1,LRP1,82,italk
C3 to CD46,26,100.5,C3,CD46,83,italk
TNC to ITGA8,23,101.0,TNC,ITGA8,84,italk
LAMC2 to ITGB1,26,101.0,LAMC2,ITGB1,85,italk
ADAM9 to ITGB5,26,103.5,ADAM9,ITGB5,86,italk
ANOS1 to SDC2,26,104.0,ANOS1,SDC2,87,italk
EFEMP1 to EGFR,26,104.0,EFEMP1,EGFR,88,italk
LAMB3 to CD151,26,104.5,LAMB3,CD151,89,italk
LAMC1 to ITGAV,26,105.0,LAMC1,ITGAV,90,italk
HBEGF to CD44,26,109.0,HBEGF,CD44,91,italk
TNC to ITGAV,26,110.0,TNC,ITGAV,92,italk
CALM1 to INSR,26,110.5,CALM1,INSR,93,italk
ADAM17 to ITGB1,26,111.5,ADAM17,ITGB1,94,italk
B2M to TFRC,26,112.0,B2M,TFRC,95,italk
COL3A1 to DDR2,20,112.5,COL3A1,DDR2,96,italk
NPNT to ITGB1,26,113.5,NPNT,ITGB1,97,italk
TGFB1 to TGFBR3,26,115.0,TGFB1,TGFBR3,98,italk
LAMC2 to CD151,26,117.0,LAMC2,CD151,99,italk
VEGFA to ITGB1,25,117.0,VEGFA,ITGB1,100,italk
CALM1 to PDE1A,23,117.0,CALM1,PDE1A,101,italk
COL1A1 to ITGB1,24,117.5,COL1A1,ITGB1,102,italk
LAMA3 to SDC2,26,117.5,LAMA3,SDC2,103,italk
COL1A1 to ITGAV,24,117.5,COL1A1,ITGAV,104,italk
FGF13 to FGFR1,26,117.5,FGF13,FGFR1,105,italk
SLIT2 to ROBO1,26,118.5,SLIT2,ROBO1,106,italk
COL8A1 to ITGA1,26,119.0,COL8A1,ITGA1,107,italk
PLAU to LRP1,24,119.0,PLAU,LRP1,108,italk
VEGFA to EGFR,25,120.0,VEGFA,EGFR,109,italk
LAMC1 to ITGA1,26,120.5,LAMC1,ITGA1,110,italk
TGFB2 to TGFBR2,26,121.5,TGFB2,TGFBR2,111,italk
COL1A2 to ITGA1,19,122.0,COL1A2,ITGA1,112,italk
TFPI to F3,26,123.0,TFPI,F3,113,italk
NRG4 to EGFR,26,123.5,NRG4,EGFR,114,italk
VEGFA to ITGAV,25,124.0,VEGFA,ITGAV,115,italk
MFGE8 to ITGAV,26,124.0,MFGE8,ITGAV,116,italk
TNC to ITGB1,26,124.5,TNC,ITGB1,117,italk
LTBP1 to ITGB5,26,124.5,LTBP1,ITGB5,118,italk
NAMPT to INSR,26,124.5,NAMPT,INSR,119,italk
VEGFA to NRP1,25,125.0,VEGFA,NRP1,120,italk
ADAM12 to ITGB1,26,125.5,ADAM12,ITGB1,121,italk
COL4A5 to ITGAV,26,126.0,COL4A5,ITGAV,122,italk
COL6A1 to ITGA1,20,126.5,COL6A1,ITGA1,123,italk
HSPG2 to ITGB1,26,127.0,HSPG2,ITGB1,124,italk
TGM2 to ITGB1,24,127.0,TGM2,ITGB1,125,italk
LIF to IL6ST,20,130.0,LIF,IL6ST,126,italk
COL4A5 to ITGB1,26,130.5,COL4A5,ITGB1,127,italk
GNAI2 to EGFR,26,131.0,GNAI2,EGFR,128,italk
LAMA2 to ITGB1,26,131.0,LAMA2,ITGB1,129,italk
COL3A1 to ITGB1,20,131.5,COL3A1,ITGB1,130,italk
AFDN to NECTIN2,26,132.0,AFDN,NECTIN2,131,italk
COL6A1 to ITGB1,20,135.5,COL6A1,ITGB1,132,italk
C1QB to LRP1,26,135.5,C1QB,LRP1,133,italk
SERPINE1 to ITGAV,22,136.0,SERPINE1,ITGAV,134,italk
COL4A1 to CD47,25,137.0,COL4A1,CD47,135,italk
SORBS1 to ITGA1,26,138.0,SORBS1,ITGA1,136,italk
SEMA3B to NRP1,25,138.0,SEMA3B,NRP1,137,italk
TIMP2 to ITGB1,26,139.0,TIMP2,ITGB1,138,italk
COL5A2 to ITGB1,23,139.0,COL5A2,ITGB1,139,italk
HBEGF to EGFR,26,139.0,HBEGF,EGFR,140,italk
PROS1 to AXL,26,141.0,PROS1,AXL,141,italk
LAMA2 to ITGA1,26,141.0,LAMA2,ITGA1,142,italk
EDIL3 to ITGAV,25,142.0,EDIL3,ITGAV,143,italk
LAMA4 to ITGAV,24,142.5,LAMA4,ITGAV,144,italk
SORBS1 to ITGB5,26,144.0,SORBS1,ITGB5,145,italk
LAMA5 to ITGB1,26,144.5,LAMA5,ITGB1,146,italk
THBS1 to ITGB1,26,145.0,THBS1,ITGB1,147,italk
COL1A1 to ITGA1,24,147.0,COL1A1,ITGA1,148,italk
COL4A5 to ITGA1,26,147.0,COL4A5,ITGA1,149,italk
CALR to LRP1,26,148.0,CALR,LRP1,150,italk
FGF13 to EGFR,26,149.5,FGF13,EGFR,151,italk
TGFB1 to TGFBR2,26,149.5,TGFB1,TGFBR2,152,italk
PTGS2 to CAV1,26,151.0,PTGS2,CAV1,153,italk
COL4A4 to ITGB1,23,151.0,COL4A4,ITGB1,154,italk
TGFB1 to SDC2,26,151.0,TGFB1,SDC2,155,italk
GNAI2 to IGF1R,26,151.0,GNAI2,IGF1R,156,italk
C4BPA to LRP1,22,152.0,C4BPA,LRP1,157,italk
LAMA4 to ITGB1,24,153.0,LAMA4,ITGB1,158,italk
COL4A4 to ITGAV,23,154.0,COL4A4,ITGAV,159,italk
COL18A1 to ITGB1,24,154.5,COL18A1,ITGB1,160,italk
CALM3 to EGFR,26,155.5,CALM3,EGFR,161,italk
COL5A2 to ITGA1,23,156.0,COL5A2,ITGA1,162,italk
COL4A3 to ITGAV,25,160.0,COL4A3,ITGAV,163,italk
UBA52 to TGFBR1,26,163.0,UBA52,TGFBR1,164,italk
