"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"macrophages","HALLMARK_ALLOGRAFT_REJECTION",169,0.0340305776742755,"Up",0.0919721161822937,0.51271617080643,12,9,19,14203,"voom_TMM",0.51271617080643,"GSE135893",TRUE,0.52653601368531,TRUE,""
"macrophages","HALLMARK_TGF_BETA_SIGNALING",52,0.0682013513778022,"Up",0.949970894934875,0.980527464784989,12,9,19,14203,"voom_TMM",0.980527464784989,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",90,0.489458744646762,"Up",0.748070410706496,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.943148205097784,TRUE,""
"macrophages","GOBP_OXIDATIVE_PHOSPHORYLATION",116,0.3462329281772,"Up",0.720225397376855,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",55,0.42267433500349,"Up",0.722453317979958,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_MITOCHONDRIAL_TRANSLATION",126,0.258395302815701,"Up",0.991097557729743,0.993536782928803,12,9,19,14203,"voom_TMM",0.993536782928803,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS",94,0.217027214426495,"Up",0.633898514354074,0.889451277040021,12,9,19,14203,"voom_TMM",0.889451277040021,"GSE135893",TRUE,0.922781089308149,TRUE,""
"macrophages","GOBP_ATP_BIOSYNTHETIC_PROCESS",72,0.290755083691388,"Up",0.646148395063886,0.889451277040021,12,9,19,14203,"voom_TMM",0.889451277040021,"GSE135893",TRUE,0.922781089308149,TRUE,""
"macrophages","GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",92,0.332048425774538,"Up",0.691317447899064,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_AEROBIC_RESPIRATION",161,0.239788297073062,"Up",0.858875647934127,0.933853806563624,12,9,19,14203,"voom_TMM",0.933853806563624,"GSE135893",TRUE,0.980853098382615,TRUE,""
"macrophages","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",49,0.482133037295959,"Up",0.772502963525519,0.904810100924918,12,9,19,14203,"voom_TMM",0.904810100924918,"GSE135893",TRUE,0.947902187127932,TRUE,""
"macrophages","GOBP_ELECTRON_TRANSPORT_CHAIN",114,0.31021365607196,"Up",0.788553679414732,0.910007875598436,12,9,19,14203,"voom_TMM",0.910007875598436,"GSE135893",TRUE,0.951561889202191,TRUE,""
"macrophages","GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION",51,0.134133579133515,"Up",0.72057360641166,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION",46,0.150005645347532,"Up",0.721449252140363,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",160,0.170776597756549,"Down",0.916175439210421,0.966209544169795,12,9,19,14203,"voom_TMM",0.966209544169795,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION",59,0.126162447664598,"Up",0.522179375588125,0.84390465348689,12,9,19,14203,"voom_TMM",0.84390465348689,"GSE135893",TRUE,0.879782491609893,TRUE,""
"macrophages","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",100,0.116777848674094,"Up",0.824454749915988,0.924785222127986,12,9,19,14203,"voom_TMM",0.924785222127986,"GSE135893",TRUE,0.969433140997359,TRUE,""
"macrophages","GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION",53,0.139831183825186,"Up",0.636111647153817,0.889451277040021,12,9,19,14203,"voom_TMM",0.889451277040021,"GSE135893",TRUE,0.922781089308149,TRUE,""
"macrophages","GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",56,0.394338873512664,"Up",0.658719500290704,0.895182910651469,12,9,19,14203,"voom_TMM",0.895182910651469,"GSE135893",TRUE,0.924390900960435,TRUE,""
"macrophages","GOBP_CELLULAR_RESPIRATION",196,0.173433472199203,"Up",0.870333575068313,0.933853806563624,12,9,19,14203,"voom_TMM",0.933853806563624,"GSE135893",TRUE,0.980853098382615,TRUE,""
"macrophages","GOBP_CHROMOSOME_SEPARATION",75,0.104617916114662,"Up",0.493691870047804,0.836811619388271,12,9,19,14203,"voom_TMM",0.836811619388271,"GSE135893",TRUE,0.86481196546305,TRUE,""
"macrophages","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",181,0.0663368606210116,"Up",0.292616043503659,0.693935678285182,12,9,19,14203,"voom_TMM",0.693935678285182,"GSE135893",TRUE,0.713760647378235,TRUE,""
"macrophages","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",99,0.0487959473439748,"Up",0.186787518502651,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_CYTOPLASMIC_TRANSLATION",150,0.250537233382339,"Down",0.533411431920959,0.84390465348689,12,9,19,14203,"voom_TMM",0.84390465348689,"GSE135893",TRUE,0.879782491609893,TRUE,""
"macrophages","GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY",25,0.31893716726095,"Up",0.688477870129115,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_REGULATION_OF_NUCLEAR_DIVISION",109,0.0379919815510964,"Up",0.161616848012229,0.622020810081823,12,9,19,14203,"voom_TMM",0.622020810081823,"GSE135893",TRUE,0.622896649014633,TRUE,""
"macrophages","GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT",61,0.0626593266906496,"Up",0.210971524060932,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
