"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
121,0.395097884757386,"Up",0.0937527522607864,0.125869669444008,"GOBP_MITOCHONDRIAL_TRANSLATION",32,27,57,23065,"voom_TMM",0.125869669444008,"GSE136831","macrophages","Macrophage",0.13036573808706
106,0.294813061344216,"Up",0.0614905521005655,0.104867608233523,"GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS",32,27,57,23065,"voom_TMM",0.104867608233523,"GSE136831","macrophages","Macrophage",0.108472097525717
82,0.359614789888533,"Up",0.0736473884485403,0.110220581351557,"GOBP_ATP_BIOSYNTHETIC_PROCESS",32,27,57,23065,"voom_TMM",0.110220581351557,"GSE136831","macrophages","Macrophage",0.11640241597068
89,0.389061180834064,"Up",0.0824707573697718,0.118493645046146,"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",32,27,57,23065,"voom_TMM",0.118493645046146,"GSE136831","macrophages","Macrophage",0.12297603377668
175,0.251430776320531,"Up",0.0681401031444283,0.108354507676623,"GOBP_AEROBIC_RESPIRATION",32,27,57,23065,"voom_TMM",0.108354507676623,"GSE136831","macrophages","Macrophage",0.11313973306349
46,0.45223248253803,"Up",0.0864986566344528,0.120654718438594,"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE",32,27,57,23065,"voom_TMM",0.120654718438594,"GSE136831","macrophages","Macrophage",0.124430194522773
116,0.255198713520802,"Up",0.0659547083354919,0.107481746917098,"GOBP_ELECTRON_TRANSPORT_CHAIN",32,27,57,23065,"voom_TMM",0.107481746917098,"GSE136831","macrophages","Macrophage",0.110945241521488
54,0.0624246223464806,"Up",0.00212022762887611,0.0560009918337446,"GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
49,0.065652506411433,"Up",0.00204388853400158,0.0560009918337446,"GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
155,0.324185045573375,"Up",0.105310115735563,0.135917209081557,"GOBP_MITOCHONDRIAL_GENE_EXPRESSION",32,27,57,23065,"voom_TMM",0.135917209081557,"GSE136831","macrophages","Macrophage",0.138603544399059
62,0.0640867750311636,"Up",0.0031633204096475,0.0560009918337446,"GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
104,0.319627166163506,"Up",0.0949939213102194,0.126658561746959,"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",32,27,57,23065,"voom_TMM",0.126658561746959,"GSE136831","macrophages","Macrophage",0.130858549323296
60,0.0469800349449684,"Up",0.00217211040329818,0.0560009918337446,"GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
55,0.405751967237638,"Up",0.0905059625743218,0.123672743890378,"GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",32,27,57,23065,"voom_TMM",0.123672743890378,"GSE136831","macrophages","Macrophage",0.127823925395482
215,0.183461306587964,"Up",0.064488233528259,0.105876204300127,"GOBP_CELLULAR_RESPIRATION",32,27,57,23065,"voom_TMM",0.105876204300127,"GSE136831","macrophages","Macrophage",0.110050572434094
79,0.0579034953576194,"Up",0.00798576103120079,0.0662221000000908,"GOBP_CHROMOSOME_SEPARATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.050958808192902
182,0.0450927252895488,"Up",0.0069596817515274,0.0662221000000908,"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0489053563294773
108,0.0254150528379802,"Up",0.00294451416803337,0.0560009918337446,"GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
154,0.404307815331427,"Up",0.277297735121925,0.279841751040475,"GOBP_CYTOPLASMIC_TRANSLATION",32,27,57,23065,"voom_TMM",0.279841751040475,"GSE136831","macrophages","Macrophage",0.287681130489927
24,0.428583464837316,"Up",0.07035605617772,0.108500721890467,"GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY",32,27,57,23065,"voom_TMM",0.108500721890467,"GSE136831","macrophages","Macrophage",0.113790798548978
128,0.0176361091348731,"Up",0.00330914951744855,0.0560009918337446,"GOBP_REGULATION_OF_NUCLEAR_DIVISION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
58,0.0753200835514156,"Up",0.00944753559986325,0.0662221000000908,"GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0519361422730881
200,0.112670307609329,"Up",0.0284566826067281,0.0813922017114734,"GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.076235820750775
300,0.263286409472257,"Up",0.12642741455978,0.149537802167482,"GOBP_RIBOSOME_BIOGENESIS",32,27,57,23065,"voom_TMM",0.149537802167482,"GSE136831","macrophages","Macrophage",0.15347245427231
94,0.0538573235827448,"Up",0.0080062671046173,0.0662221000000908,"GOBP_METAPHASE_CHROMOSOME_ALIGNMENT",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.050958808192902
63,0.35979422455096,"Up",0.115176939458632,0.144793866747994,"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",32,27,57,23065,"voom_TMM",0.144793866747994,"GSE136831","macrophages","Macrophage",0.146617131040583
