cohort,resource,donor,config,primary_pair_eligible,primary_edges,alternative_edges,common_edges,union_edges,availability_jaccard,common_edge_rank_spearman
GSE136831,consensus,192C,floor30,True,292.0,292,292.0,292.0,1.0,1.0
GSE136831,consensus,192C,floor100,True,292.0,122,122.0,292.0,0.4178082191780822,1.0
GSE136831,consensus,192C,expression005,True,292.0,506,292.0,506.0,0.5770750988142292,1.0
GSE136831,consensus,192C,expression020,True,292.0,188,188.0,292.0,0.6438356164383562,1.0
GSE136831,consensus,218C,floor30,False,,290,,,,
GSE136831,consensus,222C,cap500_seed1,True,325.0,325,325.0,325.0,1.0,0.9968436158862436
GSE136831,consensus,222C,cap500_seed2,True,325.0,325,325.0,325.0,1.0,0.9975793195736316
GSE136831,consensus,222C,floor30,True,325.0,325,325.0,325.0,1.0,1.0
GSE136831,consensus,222C,floor100,True,325.0,60,60.0,325.0,0.18461538461538463,1.0
GSE136831,consensus,222C,expression005,True,325.0,531,325.0,531.0,0.6120527306967984,1.0
GSE136831,consensus,222C,expression020,True,325.0,170,170.0,325.0,0.5230769230769231,0.9999999999999999
GSE136831,consensus,222I,floor30,False,,205,,,,
GSE136831,consensus,225I,cap500_seed1,True,131.0,141,131.0,141.0,0.9290780141843972,0.9756744742600766
GSE136831,consensus,225I,cap500_seed2,True,131.0,131,131.0,131.0,1.0,0.9940562476344782
GSE136831,consensus,225I,floor30,True,131.0,221,131.0,221.0,0.5927601809954751,1.0
GSE136831,consensus,225I,floor100,True,131.0,104,104.0,131.0,0.7938931297709924,1.0
GSE136831,consensus,225I,expression005,True,131.0,282,131.0,282.0,0.4645390070921986,1.0
GSE136831,consensus,225I,expression020,True,131.0,77,77.0,131.0,0.5877862595419847,1.0
GSE136831,consensus,226C,cap500_seed1,True,68.0,68,68.0,68.0,1.0,0.9999022339541481
GSE136831,consensus,226C,cap500_seed2,True,68.0,68,68.0,68.0,1.0,0.9998044679082957
GSE136831,consensus,226C,floor30,True,68.0,68,68.0,68.0,1.0,1.0
GSE136831,consensus,226C,floor100,True,68.0,68,68.0,68.0,1.0,1.0
GSE136831,consensus,226C,expression005,True,68.0,112,68.0,112.0,0.6071428571428571,1.0
GSE136831,consensus,226C,expression020,True,68.0,30,30.0,68.0,0.4411764705882353,0.9999999999999998
GSE136831,consensus,228I,cap500_seed1,True,254.0,256,254.0,256.0,0.9921875,0.9875376098611356
GSE136831,consensus,228I,cap500_seed2,True,254.0,254,254.0,254.0,1.0,0.9997141634545291
GSE136831,consensus,228I,floor30,True,254.0,254,254.0,254.0,1.0,1.0
GSE136831,consensus,228I,floor100,True,254.0,134,134.0,254.0,0.5275590551181102,1.0
GSE136831,consensus,228I,expression005,True,254.0,390,254.0,390.0,0.6512820512820513,1.0
GSE136831,consensus,228I,expression020,True,254.0,169,169.0,254.0,0.6653543307086615,1.0
GSE136831,consensus,296C,cap500_seed1,True,43.0,48,43.0,48.0,0.8958333333333334,0.9997714024459938
GSE136831,consensus,296C,cap500_seed2,True,43.0,43,43.0,43.0,1.0,0.9997714024459938
GSE136831,consensus,296C,floor30,True,43.0,43,43.0,43.0,1.0,1.0
GSE136831,consensus,296C,expression005,True,43.0,80,43.0,80.0,0.5375,1.0
GSE136831,consensus,296C,expression020,True,43.0,15,15.0,43.0,0.3488372093023256,0.9999999999999998
GSE136831,consensus,388C,floor30,False,,75,,,,
GSE136831,consensus,396C,cap500_seed1,True,19.0,19,19.0,19.0,1.0,1.0
