config,histology,comp,label,gene,patients,cells,detection_fraction,pseudobulk_CPM
unc20_pooled,AAH,fibroblasts,Myofibroblasts,TAGLN,8,25,0.8,2789.0298160568427
unc20_pooled,AAH,fibroblasts,Myofibroblasts,MYH11,8,25,0.52,1040.352391703743
unc20_pooled,AAH,fibroblasts,Myofibroblasts,PECAM1,8,25,0.08,44.270314540584806
unc20_pooled,AAH,fibroblasts,Myofibroblasts,VWF,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,MKI67,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,CLDN4,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Myofibroblasts,KRT17,8,25,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,EPCAM,4,31,0.03225806451612903,7.475350033265308
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,KRT8,4,31,0.12903225806451613,37.376750166326545
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,SFTPC,4,31,0.8064516129032258,732.5843032600001
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,SFTPA1,4,31,0.5483870967741935,396.19355176306135
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,ABCA3,4,31,0.0967741935483871,29.90140013306123
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,AGER,4,31,0.3548387096774194,97.17955043244899
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,HOPX,4,31,0.06451612903225806,67.27815029938776
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,SCGB1A1,4,31,0.1935483870967742,74.75350033265309
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,FOXJ1,4,31,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,PTPRC,4,31,0.06451612903225806,14.950700066530615
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,LST1,4,31,0.03225806451612903,7.475350033265308
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,TYROBP,4,31,0.0967741935483871,29.90140013306123
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,C1QA,4,31,0.25806451612903225,67.27815029938776
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,C1QB,4,31,0.22580645161290322,89.70420039918369
