cohort,unit,module,difference_17,difference_29,both_seeds_evaluable,same_direction
GSE310539,wildtype_SeV,AT1_late_panel,-0.0056287052867642,0.0097618604870821,True,False
GSE310539,wildtype_SeV,DATP_figure7_panel,0.3810225172882543,0.3749772476605675,True,True
GSE310539,wildtype_SeV,DATP_label_free_panel,0.0536287447604808,0.0707019723941561,True,True
GSE310539,wildtype_SeV,AT2_common_panel,-0.1127850434087527,-0.2165607022577207,True,True
GSE310539,wildtype_SeV,DATP_PATS_holdout_panel,0.1588360681217665,0.1745751338821443,True,True
GSE310539,wildtype_SeV,ADI_published_400,0.0630630291284308,0.0612879880237507,True,True
GSE310539,wildtype_SeV,ADI_published_holdout,0.0590468824398703,0.057283477007025,True,True
GSE310539,wildtype_SeV,AT2_published_400,-0.0408652526023562,-0.0601587000224116,True,True
GSE310539,wildtype_SeV,AT2_published_holdout,-0.0409028683129668,-0.0601638844438187,True,True
GSE310539,wildtype_SeV,AT1_published_400,0.0427319280058927,0.0476675071638705,True,True
GSE310539,wildtype_SeV,AT1_published_holdout,0.0410030713160762,0.0459675580988827,True,True
GSE310539,wildtype_SeV,HALLMARK_HYPOXIA,0.009584260987591,0.0125388844941195,True,True
GSE310539,wildtype_SeV,HALLMARK_INFLAMMATORY_RESPONSE,0.003278351329874,0.0122313414301442,True,True
GSE310539,wildtype_SeV,HALLMARK_P53_PATHWAY,0.0155577296309202,0.0195681162725514,True,True
GSE310539,AP1mut_PBS,DATP_marker_panel,0.3597889579800264,0.363661022521782,False,True
GSE310539,AP1mut_PBS,AT1_early_panel,0.0491426417938571,-0.1345758671708038,False,False
GSE310539,AP1mut_PBS,AT1_late_panel,0.0148765781043904,-0.1508507315469341,False,False
GSE310539,AP1mut_PBS,DATP_figure7_panel,0.3950505621506187,0.3366999561619814,False,True
GSE310539,AP1mut_PBS,DATP_label_free_panel,0.0159663337730042,0.0235971834073099,False,True
GSE310539,AP1mut_PBS,AT2_common_panel,-0.1093178820425853,-0.1283957340128226,False,True
GSE310539,AP1mut_PBS,DATP_PATS_holdout_panel,0.1147792224106526,0.1129000219190092,False,True
GSE310539,AP1mut_PBS,ADI_published_400,0.0417511719215668,0.04912166350183,False,True
GSE310539,AP1mut_PBS,ADI_published_holdout,0.0374754194991617,0.0448927654623856,False,True
GSE310539,AP1mut_PBS,AT2_published_400,-0.0580968927781708,-0.0563615178137255,False,True
GSE310539,AP1mut_PBS,AT2_published_holdout,-0.0583399333682351,-0.0565395765351512,False,True
GSE310539,AP1mut_PBS,AT1_published_400,0.0151560995601159,-0.0015874023355763,False,False
GSE310539,AP1mut_PBS,AT1_published_holdout,0.0132237674828366,-0.0035525417156904,False,False
GSE310539,AP1mut_PBS,HALLMARK_HYPOXIA,-0.0004535719990549,-0.0009752985560991,False,True
GSE310539,AP1mut_PBS,HALLMARK_INFLAMMATORY_RESPONSE,0.0095505358729133,-0.001556801826435,False,False
GSE310539,AP1mut_PBS,HALLMARK_P53_PATHWAY,0.0011028945212907,0.0049989285127169,False,True
GSE310539,AP1mut_SeV,DATP_marker_panel,0.4003903672446393,0.4031964211209494,True,True
GSE310539,AP1mut_SeV,AT1_early_panel,0.0883436932216203,0.0370791031168389,True,True
GSE310539,AP1mut_SeV,AT1_late_panel,-0.0466347460117664,-0.0524112234017894,True,True
GSE310539,AP1mut_SeV,DATP_figure7_panel,0.432537812206,0.4153879436898305,True,True
GSE310539,AP1mut_SeV,DATP_label_free_panel,0.092943261821455,0.0958424118801477,True,True
GSE310539,AP1mut_SeV,AT2_common_panel,-0.2783033580455021,-0.2968699295350238,True,True
GSE310539,AP1mut_SeV,DATP_PATS_holdout_panel,0.2192664348861151,0.2192430423562499,True,True
GSE310539,AP1mut_SeV,ADI_published_400,0.0991407091384932,0.1000118616358508,True,True
GSE310539,AP1mut_SeV,ADI_published_holdout,0.0952308613628987,0.0960928074135621,True,True
GSE310539,AP1mut_SeV,AT2_published_400,-0.0942954532994527,-0.0987911068508305,True,True
GSE310539,AP1mut_SeV,AT2_published_holdout,-0.0945427912747384,-0.0992337814536251,True,True
GSE310539,AP1mut_SeV,AT1_published_400,0.0394569275150749,0.0307780741792269,True,True
GSE310539,AP1mut_SeV,AT1_published_holdout,0.037650869069652,0.0289363434182163,True,True
GSE310539,AP1mut_SeV,HALLMARK_HYPOXIA,0.0152140009796898,0.0145935850609732,True,True
GSE310539,AP1mut_SeV,HALLMARK_INFLAMMATORY_RESPONSE,0.0108075235772377,0.0105962961421182,True,True
GSE310539,AP1mut_SeV,HALLMARK_P53_PATHWAY,0.0233042743832698,0.0295517342350226,True,True
GSE262927,EEM-scRNA-113,DATP_marker_panel,0.4590909090909091,0.3863636363636363,False,True
GSE262927,EEM-scRNA-113,AT1_early_panel,0.3535353535353535,0.1161616161616161,False,True
GSE262927,EEM-scRNA-113,AT1_late_panel,0.0719696969696969,-0.1534090909090908,False,False
GSE262927,EEM-scRNA-113,DATP_figure7_panel,0.5328282828282828,0.4191919191919191,False,True
GSE262927,EEM-scRNA-113,DATP_label_free_panel,0.1944444444444444,0.0858585858585858,False,True
GSE262927,EEM-scRNA-113,AT2_common_panel,-0.3428030303030303,-0.2964015151515151,False,True
GSE262927,EEM-scRNA-113,DATP_PATS_holdout_panel,0.2967171717171716,0.3686868686868687,False,True
GSE262927,EEM-scRNA-113,ADI_published_400,0.0936091686091685,0.1137723387723388,False,True
GSE262927,EEM-scRNA-113,ADI_published_holdout,0.0896790065604499,0.1100437363323961,False,True
GSE262927,EEM-scRNA-113,AT2_published_400,-0.1081994083313344,-0.0805149116494763,False,True
GSE262927,EEM-scRNA-113,AT2_published_holdout,-0.1063419339281408,-0.0793344586448034,False,True
GSE262927,EEM-scRNA-113,AT1_published_400,0.0276455656036807,0.0685784547041091,False,True
GSE262927,EEM-scRNA-113,AT1_published_holdout,0.025849041597073,0.0669887854927224,False,True
GSE262927,EEM-scRNA-113,HALLMARK_HYPOXIA,0.0317717996289424,0.0472325293753865,False,True
GSE262927,EEM-scRNA-113,HALLMARK_INFLAMMATORY_RESPONSE,0.0203574203574203,0.0518259518259518,False,True
GSE262927,EEM-scRNA-113,HALLMARK_P53_PATHWAY,0.0570681433625595,0.0603368712505768,False,True
GSE262927,EEM-scRNA-116,DATP_marker_panel,0.413095238095238,0.3182978723404255,False,True
GSE262927,EEM-scRNA-116,AT1_early_panel,0.2748015873015873,0.3156028368794326,False,True
GSE262927,EEM-scRNA-116,AT1_late_panel,-0.0989583333333333,-0.0404255319148935,False,True
GSE262927,EEM-scRNA-116,DATP_figure7_panel,0.4811507936507937,0.4099290780141843,False,True
GSE262927,EEM-scRNA-116,DATP_label_free_panel,0.2301587301587302,0.0695035460992907,False,True
GSE262927,EEM-scRNA-116,AT2_common_panel,-0.5338541666666667,-0.4954787234042553,False,True
GSE262927,EEM-scRNA-116,DATP_PATS_holdout_panel,0.3050595238095238,0.2372340425531915,False,True
GSE262927,EEM-scRNA-116,ADI_published_400,0.0875457875457875,0.0932787779596291,False,True
GSE262927,EEM-scRNA-116,ADI_published_holdout,0.0844532400589101,0.090195218249616,False,True
GSE262927,EEM-scRNA-116,AT2_published_400,-0.1051561125769569,-0.0904844776286981,False,True
GSE262927,EEM-scRNA-116,AT2_published_holdout,-0.1029430339775167,-0.0883345561261922,False,True
GSE262927,EEM-scRNA-116,AT1_published_400,0.1103216155572176,0.0932104266458728,False,True
GSE262927,EEM-scRNA-116,AT1_published_holdout,0.1096269216347955,0.0924498799352208,False,True
GSE262927,EEM-scRNA-116,HALLMARK_HYPOXIA,0.0105533284742468,0.0071211463308727,False,True
GSE262927,EEM-scRNA-116,HALLMARK_INFLAMMATORY_RESPONSE,0.0131105006105005,0.0184397163120567,False,True
GSE262927,EEM-scRNA-116,HALLMARK_P53_PATHWAY,0.0283720087019579,0.0165136623825467,False,True
GSE262927,EEM-scRNA-117,DATP_marker_panel,0.4939226519337016,0.4941176470588235,False,True
GSE262927,EEM-scRNA-117,AT1_early_panel,-0.1915285451197053,-0.2210338680926916,False,True
GSE262927,EEM-scRNA-117,AT1_late_panel,-0.1277624309392265,-0.1383689839572192,False,True
GSE262927,EEM-scRNA-117,DATP_figure7_panel,0.4723756906077348,0.4750445632798574,False,True
GSE262927,EEM-scRNA-117,DATP_label_free_panel,0.3167587476979742,0.3155080213903743,False,True
GSE262927,EEM-scRNA-117,AT2_common_panel,-0.6191298342541436,-0.6637700534759359,False,True
GSE262927,EEM-scRNA-117,DATP_PATS_holdout_panel,0.3959484346224677,0.3814616755793226,False,True
GSE262927,EEM-scRNA-117,ADI_published_400,0.1071681541294801,0.0909365144659262,False,True
GSE262927,EEM-scRNA-117,ADI_published_holdout,0.1038047502420687,0.087477258944815,False,True
GSE262927,EEM-scRNA-117,AT2_published_400,-0.1263502383416667,-0.1314181705303853,False,True
GSE262927,EEM-scRNA-117,AT2_published_holdout,-0.1237671644415786,-0.1289379991205549,False,True
GSE262927,EEM-scRNA-117,AT1_published_400,0.0403662028868126,0.0375311476327799,False,True
GSE262927,EEM-scRNA-117,AT1_published_holdout,0.0391090616435376,0.0362541580698134,False,True
GSE262927,EEM-scRNA-117,HALLMARK_HYPOXIA,0.0420847897169917,0.0372967368765688,False,True
GSE262927,EEM-scRNA-117,HALLMARK_INFLAMMATORY_RESPONSE,-0.005624026066015,-0.0047854106677636,False,True
GSE262927,EEM-scRNA-117,HALLMARK_P53_PATHWAY,0.0426283759149676,0.022177583539184,False,True
GSE262927,EEM-scRNA-118,DATP_marker_panel,0.3833333333333333,0.4214452214452215,False,True
GSE262927,EEM-scRNA-118,AT1_early_panel,0.0856481481481481,-0.0248640248640248,False,False
GSE262927,EEM-scRNA-118,AT1_late_panel,0.0607638888888888,-0.0874125874125874,False,False
GSE262927,EEM-scRNA-118,DATP_figure7_panel,0.6412037037037037,0.5299145299145298,False,True
GSE262927,EEM-scRNA-118,DATP_label_free_panel,0.1458333333333333,0.1895881895881895,False,True
GSE262927,EEM-scRNA-118,AT2_common_panel,-0.5269097222222221,-0.3135198135198135,False,True
GSE262927,EEM-scRNA-118,DATP_PATS_holdout_panel,0.2002314814814814,0.2027972027972027,False,True
GSE262927,EEM-scRNA-118,ADI_published_400,0.154255698005698,0.122634630326938,False,True
GSE262927,EEM-scRNA-118,ADI_published_holdout,0.1512385452462772,0.119301660538774,False,True
GSE262927,EEM-scRNA-118,AT2_published_400,-0.1039834359425388,-0.0561285680019189,False,True
GSE262927,EEM-scRNA-118,AT2_published_holdout,-0.1025641025641025,-0.0549485881050867,False,True
GSE262927,EEM-scRNA-118,AT1_published_400,0.1186372891215823,0.0741344170663541,False,True
GSE262927,EEM-scRNA-118,AT1_published_holdout,0.1176910177894429,0.0729157107109862,False,True
GSE262927,EEM-scRNA-118,HALLMARK_HYPOXIA,0.039328231292517,0.0349769278340706,False,True
GSE262927,EEM-scRNA-118,HALLMARK_INFLAMMATORY_RESPONSE,0.0162749287749287,0.0140457832765525,False,True
GSE262927,EEM-scRNA-118,HALLMARK_P53_PATHWAY,0.0441342357586012,0.02698993054323,False,True
GSE262927,EEM-scRNA-124,DATP_marker_panel,0.3310344827586207,0.5288135593220339,False,True
GSE262927,EEM-scRNA-124,AT1_early_panel,0.1954022988505746,0.0084745762711864,False,True
GSE262927,EEM-scRNA-124,AT1_late_panel,0.0646551724137931,0.097457627118644,False,True
GSE262927,EEM-scRNA-124,DATP_figure7_panel,0.3103448275862068,0.6440677966101694,False,True
GSE262927,EEM-scRNA-124,DATP_label_free_panel,-0.0172413793103448,0.3163841807909604,False,False
GSE262927,EEM-scRNA-124,AT2_common_panel,-0.5732758620689655,-0.3951271186440677,False,True
GSE262927,EEM-scRNA-124,DATP_PATS_holdout_panel,0.4281609195402299,0.326271186440678,False,True
