cohort,unit,unit_type,genotype,stage,injury,independence_two_marker,seed,group_two_marker,n_two_marker,module,kind,n_genes_two_marker,total_genes_two_marker,coverage_two_marker,score_two_marker,interpretable_two_marker,label_overlap_two_marker,independence_reference,group_reference,n_reference,n_genes_reference,total_genes_reference,coverage_reference,score_reference,interpretable_reference,label_overlap_reference,difference,interpretable
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,61,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.2985489877156187,True,Krt8,same-laboratory studies; not independent replication,reference,9742,383,400,0.9575,0.28152549886282807,True,Krt8,0.017023488852790647,True
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,61,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.296712728521157,True,,same-laboratory studies; not independent replication,reference,9742,382,399,0.9573934837092731,0.28147595395765734,True,,0.015236774563499644,True
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,61,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11242406590663229,True,,same-laboratory studies; not independent replication,reference,9742,197,199,0.9899497487437185,0.1003676581696084,True,,0.012056407737023891,True
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,61,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.07234861157577785,True,,same-laboratory studies; not independent replication,reference,9742,196,197,0.9949238578680203,0.06152248417330389,True,,0.010826127402473962,True
GSE247130,7wk_Cebpa_mutant,pooled_library,Cebpa_mutant,7wk,uninjured,same-laboratory studies; not independent replication,29,two_marker,61,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10639009702241553,True,,same-laboratory studies; not independent replication,reference,9742,196,200,0.98,0.09236149807900988,True,,0.014028598943405649,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.45625,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8519,5,5,1.0,0.04988848456391595,True,Cldn4;Krt8,0.406361515436084,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT1_early_panel,paper_marker_panel,3,3,1.0,0.4479166666666667,True,,same-laboratory studies; not independent replication,reference,8519,3,3,1.0,0.19998434871072504,True,,0.24793231795594164,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT1_late_panel,paper_marker_panel,4,4,1.0,0.1171875,True,,same-laboratory studies; not independent replication,reference,8519,4,4,1.0,0.10852212701021247,True,,0.008665372989787534,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.4375,True,Cldn4,same-laboratory studies; not independent replication,reference,8519,3,3,1.0,0.033141605039715145,True,Cldn4,0.40435839496028486,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.09375,True,,same-laboratory studies; not independent replication,reference,8519,3,3,1.0,0.016120827953202646,True,,0.07762917204679735,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT2_common_panel,repository_marker_panel,8,8,1.0,0.33203125,True,,same-laboratory studies; not independent replication,reference,8519,8,8,1.0,0.6516023007395234,True,,-0.3195710507395234,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.23958333333333334,True,,same-laboratory studies; not independent replication,reference,8519,6,6,1.0,0.04497789255389913,True,,0.1946054407794342,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.2768654336734694,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8519,392,400,0.98,0.19656542039283142,True,Cldn4;Krt8,0.08030001328063796,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.27315705128205126,True,,same-laboratory studies; not independent replication,reference,8519,390,398,0.9798994974874372,0.19705785860264083,True,,0.07609919267941043,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.2143208661417323,True,Sftpc,same-laboratory studies; not independent replication,reference,8519,381,400,0.9525,0.3027788124676692,True,Sftpc,-0.0884579463259369,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.21281332453825857,True,,same-laboratory studies; not independent replication,reference,8519,379,398,0.9522613065326633,0.3016259480205817,True,,-0.0888126234823231,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.2580776762402089,True,Krt8,same-laboratory studies; not independent replication,reference,8519,383,400,0.9575,0.2170825649439113,True,Krt8,0.0409951112962976,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2561354712041885,True,,same-laboratory studies; not independent replication,reference,8519,382,399,0.9573934837092731,0.21714350859704426,True,,0.03899196260714424,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.08803934010152284,True,,same-laboratory studies; not independent replication,reference,8519,197,199,0.9899497487437185,0.06953700983707366,True,,0.018502330264449182,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06106505102040816,True,,same-laboratory studies; not independent replication,reference,8519,196,197,0.9949238578680203,0.0506562761270725,True,,0.010408774893335665,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,32,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.0975765306122449,True,,same-laboratory studies; not independent replication,reference,8519,196,200,0.98,0.06936835069748054,True,,0.02820817991476436,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.45555555555555555,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8515,5,5,1.0,0.04845566647093365,True,Cldn4;Krt8,0.4070998890846219,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT1_early_panel,paper_marker_panel,3,3,1.0,0.4166666666666667,True,,same-laboratory studies; not independent replication,reference,8515,3,3,1.0,0.20242708944999022,True,,0.21423957721667647,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT1_late_panel,paper_marker_panel,4,4,1.0,0.125,True,,same-laboratory studies; not independent replication,reference,8515,4,4,1.0,0.1083969465648855,True,,0.016603053435114506,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.4537037037037037,True,Cldn4,same-laboratory studies; not independent replication,reference,8515,3,3,1.0,0.032687414366803676,True,Cldn4,0.42101628933690005,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.09259259259259257,True,,same-laboratory studies; not independent replication,reference,8515,3,3,1.0,0.01421021726365238,True,,0.0783823753289402,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT2_common_panel,repository_marker_panel,8,8,1.0,0.4027777777777778,True,,same-laboratory studies; not independent replication,reference,8515,8,8,1.0,0.65079271873165,True,,-0.24801494095387222,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.22685185185185183,True,,same-laboratory studies; not independent replication,reference,8515,6,6,1.0,0.04421608925425719,True,,0.18263576259759465,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.26651077097505665,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8515,392,400,0.98,0.19693697796205972,True,Cldn4;Krt8,0.06957379301299693,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.26274928774928774,True,,same-laboratory studies; not independent replication,reference,8515,390,398,0.9798994974874372,0.19743499405272744,True,,0.0653142936965603,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.22958588509769615,True,Sftpc,same-laboratory studies; not independent replication,reference,8515,381,400,0.9525,0.3027419576076185,True,Sftpc,-0.07315607250992237,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.22823218997361477,True,,same-laboratory studies; not independent replication,reference,8515,379,398,0.9522613065326633,0.3015944236230647,True,,-0.07336223364944994,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.26240208877284593,True,Krt8,same-laboratory studies; not independent replication,reference,8515,383,400,0.9575,0.21699534993537745,True,Krt8,0.045406738837468485,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2604712041884817,True,,same-laboratory studies; not independent replication,reference,8515,382,399,0.9573934837092731,0.2170561343855776,True,,0.04341506980290408,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.08403835307388607,True,,same-laboratory studies; not independent replication,reference,8515,197,199,0.9899497487437185,0.06933718043106969,True,,0.014701172642816382,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06660997732426305,True,,same-laboratory studies; not independent replication,reference,8515,196,197,0.9949238578680203,0.05059079415677017,True,,0.01601918316749288,True
GSE247130,SeV_control,pooled_library,control,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,36,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.08801020408163265,True,,same-laboratory studies; not independent replication,reference,8515,196,200,0.98,0.06930027442568337,True,,0.01870992965594928,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4351351351351351,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8528,5,5,1.0,0.08109756097560976,True,Cldn4;Krt8,0.3540375741595253,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT1_early_panel,paper_marker_panel,3,3,1.0,0.35435435435435436,True,,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.27138055034396497,True,,0.0829738040103894,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT1_late_panel,paper_marker_panel,4,4,1.0,0.15653153153153154,True,,same-laboratory studies; not independent replication,reference,8528,4,4,1.0,0.1585659005628518,True,,-0.00203436903132026,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.45795795795795796,True,Cldn4,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.06042839274546591,True,Cldn4,0.39752956521249205,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.058558558558558564,True,,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.024038461538461536,True,,0.03452009702009703,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT2_common_panel,repository_marker_panel,8,8,1.0,0.3384009009009009,True,,same-laboratory studies; not independent replication,reference,8528,8,8,1.0,0.4876436444652908,True,,-0.14924274356438988,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.17417417417417416,True,,same-laboratory studies; not independent replication,reference,8528,6,6,1.0,0.06996560350218886,True,,0.1042085706719853,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.2932409450266593,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8528,392,400,0.98,0.22993853380939616,True,Cldn4;Krt8,0.06330241121726315,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2896165396165396,True,,same-laboratory studies; not independent replication,reference,8528,390,398,0.9798994974874372,0.23026290470005292,True,,0.05935363491648668,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.25369463952141114,True,Sftpc,same-laboratory studies; not independent replication,reference,8528,381,400,0.9525,0.2765150955567702,True,Sftpc,-0.022820456035359038,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.2524780717392855,True,,same-laboratory studies; not independent replication,reference,8528,379,398,0.9522613065326633,0.275313788631087,True,,-0.022835716891801527,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.31086961635264504,True,Krt8,same-laboratory studies; not independent replication,reference,8528,383,400,0.9575,0.26357010419371113,True,Krt8,0.04729951215893391,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.30906561011273054,True,,same-laboratory studies; not independent replication,reference,8528,382,399,0.9573934837092731,0.26344232242664756,True,,0.04562328768608298,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.09486898065578268,True,,same-laboratory studies; not independent replication,reference,8528,197,199,0.9899497487437185,0.0779385434424434,True,,0.016930437213339283,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06173009744438316,True,,same-laboratory studies; not independent replication,reference,8528,196,197,0.9949238578680203,0.05394115901520082,True,,0.007788938429182338,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,17,two_marker,222,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.09245725317153888,True,,same-laboratory studies; not independent replication,reference,8528,196,200,0.98,0.07640018953172265,True,,0.016057063639816238,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.4392523364485982,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8528,5,5,1.0,0.0825281425891182,True,Cldn4;Krt8,0.35672419385947995,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT1_early_panel,paper_marker_panel,3,3,1.0,0.3302180685358255,True,,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.27165415884928085,True,,0.05856390968654468,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT1_late_panel,paper_marker_panel,4,4,1.0,0.1705607476635514,True,,same-laboratory studies; not independent replication,reference,8528,4,4,1.0,0.15862453095684803,True,,0.011936216706703362,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.4532710280373831,True,Cldn4,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.06085834896810507,True,Cldn4,0.39241267906927807,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.06542056074766354,True,,same-laboratory studies; not independent replication,reference,8528,3,3,1.0,0.02380393996247655,True,,0.04161662078518699,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT2_common_panel,repository_marker_panel,8,8,1.0,0.3533878504672897,True,,same-laboratory studies; not independent replication,reference,8528,8,8,1.0,0.4837154080675422,True,,-0.1303275576002525,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.1861370716510903,True,,same-laboratory studies; not independent replication,reference,8528,6,6,1.0,0.07047373358348968,True,,0.11566333806760062,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.3040840167842838,True,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,8528,392,400,0.98,0.22955444490178809,True,Cldn4;Krt8,0.07452957188249573,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.30051521687035704,True,,same-laboratory studies; not independent replication,reference,8528,390,398,0.9798994974874372,0.22985670130369942,True,,0.07065851556665761,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.2525081561066549,True,Sftpc,same-laboratory studies; not independent replication,reference,8528,381,400,0.9525,0.27679824496609595,True,Sftpc,-0.02429008885944106,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.25128843735358664,True,,same-laboratory studies; not independent replication,reference,8528,379,398,0.9522613065326633,0.2755953382803566,True,,-0.02430690092676996,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.30963129255020616,True,Krt8,same-laboratory studies; not independent replication,reference,8528,383,400,0.9575,0.26341426674961665,True,Krt8,0.046217025800589506,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.3078240446249449,True,,same-laboratory studies; not independent replication,reference,8528,382,399,0.9573934837092731,0.2632698078642083,True,,0.04455423676073661,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.09478628018406944,True,,same-laboratory studies; not independent replication,reference,8528,197,199,0.9899497487437185,0.07773021209321815,True,,0.017056068090851292,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.062416555407209605,True,,same-laboratory studies; not independent replication,reference,8528,196,197,0.9949238578680203,0.053930988436650465,True,,0.00848556697055914,True
GSE247130,SeV_Cebpa_mutant,pooled_library,Cebpa_mutant,adult_14dpi,SeV,same-laboratory studies; not independent replication,29,two_marker,214,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.09302880030516879,True,,same-laboratory studies; not independent replication,reference,8528,196,200,0.98,0.07629609066891298,True,,0.01673270963625581,True
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,DATP_marker_panel,paper_marker_panel,5,5,1.0,0.45,False,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,5746,5,5,1.0,0.061016359206404455,True,Cldn4;Krt8,0.38898364079359554,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT1_early_panel,paper_marker_panel,3,3,1.0,0.4583333333333333,False,,same-laboratory studies; not independent replication,reference,5746,3,3,1.0,0.31041884209305026,True,,0.14791449124028305,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT1_late_panel,paper_marker_panel,4,4,1.0,0.1875,False,,same-laboratory studies; not independent replication,reference,5746,4,4,1.0,0.2607901148625131,True,,-0.07329011486251308,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,DATP_figure7_panel,paper_marker_panel,3,3,1.0,0.5416666666666666,False,Cldn4,same-laboratory studies; not independent replication,reference,5746,3,3,1.0,0.07779324747650539,True,Cldn4,0.46387341919016123,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,DATP_label_free_panel,paper_marker_panel_minus_label_genes,3,3,1.0,0.08333333333333333,False,,same-laboratory studies; not independent replication,reference,5746,3,3,1.0,0.01873767258382643,True,,0.0645956607495069,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT2_common_panel,repository_marker_panel,8,8,1.0,0.5,False,,same-laboratory studies; not independent replication,reference,5746,8,8,1.0,0.5965671771667247,True,,-0.0965671771667247,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.25,False,,same-laboratory studies; not independent replication,reference,5746,6,6,1.0,0.06140503538693584,True,,0.18859496461306416,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,ADI_published_400,complete_published_marker_list_400,392,400,0.98,0.30899234693877553,False,Cldn4;Krt8,same-laboratory studies; not independent replication,reference,5746,392,400,0.98,0.25132123855459343,True,Cldn4;Krt8,0.0576711083841821,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.305448717948718,False,,same-laboratory studies; not independent replication,reference,5746,390,398,0.9798994974874372,0.25197194034646175,True,,0.05347677760225622,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT2_published_400,complete_published_marker_list_400,381,400,0.9525,0.23261154855643046,False,Sftpc,same-laboratory studies; not independent replication,reference,5746,381,400,0.9525,0.2916478243909035,True,Sftpc,-0.05903627583447302,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.2312005277044855,False,,same-laboratory studies; not independent replication,reference,5746,379,398,0.9522613065326633,0.29015664906733335,True,,-0.05895612136284786,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT1_published_400,complete_published_marker_list_400,383,400,0.9575,0.320822454308094,False,Krt8,same-laboratory studies; not independent replication,reference,5746,383,400,0.9575,0.2780569795857534,True,Krt8,0.042765474722340546,False
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,same-laboratory studies; not independent replication,17,two_marker,8,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.31904450261780104,False,,same-laboratory studies; not independent replication,reference,5746,382,399,0.9573934837092731,0.27813839994314277,True,,0.04090610267465827,False
