setting	scale	evaluation	comparison	fold	relative_error_reduction
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate4-rep2	-0.0101425136263
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate4-rep3	-0.260252867603
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_baseline	plate4-rep4	-0.0617425559468
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate1-rep1	0.101204512833
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate1-rep2	0.148249274364
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate1-rep3	-0.00664440936305
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate1-rep4	0.0112525378808
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate2-rep2	-0.0227290698584
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate2-rep3	0.0176643991104
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate2-rep4	-0.00289063891928
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate3-rep1	0.0619479282181
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate3-rep2	0.17324964723
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate3-rep3	0.0288892182915
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate3-rep4	0.0566247480523
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate4-rep1	0.126427009878
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate4-rep2	-0.0598627875325
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate4-rep3	-0.191015180975
drop_TDTOMATO	inherited_log2	within_group	remaining_over_proliferation	plate4-rep4	0.0835721228916
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate1-rep1	0.155467190224
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate1-rep2	0.192881455875
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate1-rep3	0.0123956831685
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate1-rep4	0.0347763435999
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate2-rep2	-0.216330261621
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate2-rep3	-0.0327728023136
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate2-rep4	-0.0309859145975
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate3-rep1	0.0991713874479
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate3-rep2	0.211641958979
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate3-rep3	0.114179270692
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate3-rep4	0.068385748455
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate4-rep1	0.0938131323355
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate4-rep2	0.0233848362575
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate4-rep3	-0.411078801476
drop_TDTOMATO	inherited_log2	within_group	proliferation_over_remaining	plate4-rep4	0.0988217284684
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate1-rep1	0.148342427556
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate1-rep2	0.237606062367
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate1-rep3	0.0100804568815
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate1-rep4	0.0455256926736
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate2-rep2	-0.184410650552
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate2-rep3	-0.109572014261
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate2-rep4	-0.0149184702956
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate3-rep1	0.0829558702953
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate3-rep2	0.242257666244
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate3-rep3	0.139736875663
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate3-rep4	0.112829756834
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate4-rep1	0.0182491185996
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate4-rep2	-0.070612460297
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate4-rep3	-0.500980297183
drop_TDTOMATO	inherited_log2	within_group	full_growth_over_baseline	plate4-rep4	0.026989523418
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_baseline	plate1	-0.0562684869457
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_baseline	plate2	0.0129850080985
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_baseline	plate3	0.110074242273
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_baseline	plate4	0.258381624524
drop_TDTOMATO	inherited_log2	plate_shift	remaining_over_proliferation	plate1	0.439392737358
drop_TDTOMATO	inherited_log2	plate_shift	remaining_over_proliferation	plate2	0.592511641838
drop_TDTOMATO	inherited_log2	plate_shift	remaining_over_proliferation	plate3	0.317696872149
drop_TDTOMATO	inherited_log2	plate_shift	remaining_over_proliferation	plate4	0.306445266849
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_remaining	plate1	0.439947745847
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_remaining	plate2	0.550366760451
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_remaining	plate3	0.590434851276
drop_TDTOMATO	inherited_log2	plate_shift	proliferation_over_remaining	plate4	0.555060301337
drop_TDTOMATO	inherited_log2	plate_shift	full_growth_over_baseline	plate1	0.407848214918
drop_TDTOMATO	inherited_log2	plate_shift	full_growth_over_baseline	plate2	0.597802881469
drop_TDTOMATO	inherited_log2	plate_shift	full_growth_over_baseline	plate3	0.392800871948
drop_TDTOMATO	inherited_log2	plate_shift	full_growth_over_baseline	plate4	0.485647065497
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep1	0.050446859649
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep2	0.100272997892
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep3	0.018213189517
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep4	0.0357505917783
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep2	-0.152134643328
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep3	-0.126535895505
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep4	-0.00848491940408
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep1	0.0221648240535
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep2	0.0830666950497
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep3	0.112627345586
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep4	0.0582021407859
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep1	-0.124038707717
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep2	-0.00995320447679
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep3	-0.243654166997
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep4	-0.0573957939023
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep1	0.10121908425
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep2	0.153141907355
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep3	-0.00186312901422
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep4	0.0169021331377
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep2	-0.0185324445419
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep3	0.0137307262998
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep4	-0.00222112002396
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep1	0.0602149325309
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep2	0.173898887656
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep3	0.0268733046738
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep4	0.0581329011348
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep1	0.115541729228
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep2	-0.0621913635436
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep3	-0.180366106059
drop_TDTOMATO	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep4	0.0715408169276
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep1	0.151782721387
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep2	0.191942602142
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep3	0.0167148573335
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep4	0.0391611555126
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep2	-0.207325170853
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep3	-0.0336362371811
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep4	-0.0262726942938
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep1	0.097432579483
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep2	0.213582672121
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep3	0.109619074245
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep4	0.0685213628276
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep1	0.0800564592297
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep2	0.021657895759
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep3	-0.384830978262
drop_TDTOMATO	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep4	0.0898833408254
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep1	0.146559758962
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep2	0.238058907093
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep3	0.0163839940247
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep4	0.0520484636539
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep2	-0.17348651471
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep3	-0.111067739457
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep4	-0.0107248854524
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep1	0.0810451031994
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep2	0.242520376835
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep3	0.136473981287
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep4	0.112951582625
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep1	0.00583466829152
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep2	-0.0727635713784
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep3	-0.467967226382
drop_TDTOMATO	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep4	0.0182511650093
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_baseline	plate1	-0.0563355262088
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_baseline	plate2	0.0102488298193
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_baseline	plate3	0.101033789826
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_baseline	plate4	0.256365502119
drop_TDTOMATO	deposited_numeric	plate_shift	remaining_over_proliferation	plate1	0.441622404813
drop_TDTOMATO	deposited_numeric	plate_shift	remaining_over_proliferation	plate2	0.598333113095
drop_TDTOMATO	deposited_numeric	plate_shift	remaining_over_proliferation	plate3	0.312619682717
drop_TDTOMATO	deposited_numeric	plate_shift	remaining_over_proliferation	plate4	0.306338763094
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_remaining	plate1	0.439400074836
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_remaining	plate2	0.551764722047
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_remaining	plate3	0.602507913771
drop_TDTOMATO	deposited_numeric	plate_shift	proliferation_over_remaining	plate4	0.552838725741
drop_TDTOMATO	deposited_numeric	plate_shift	full_growth_over_baseline	plate1	0.410165909165
drop_TDTOMATO	deposited_numeric	plate_shift	full_growth_over_baseline	plate2	0.602449728663
drop_TDTOMATO	deposited_numeric	plate_shift	full_growth_over_baseline	plate3	0.382068321224
drop_TDTOMATO	deposited_numeric	plate_shift	full_growth_over_baseline	plate4	0.484169574394
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate1-rep1	0.0455438481503
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate1-rep2	0.110240802398
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate1-rep3	0.0212269442486
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate1-rep4	0.0331327304286
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate2-rep2	-0.143059202447
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate2-rep3	-0.155924819795
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate2-rep4	-0.0034777832938
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate3-rep1	0.0152699061545
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate3-rep2	0.0750221178648
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate3-rep3	0.126163014481
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate3-rep4	0.0604628169047
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate4-rep1	-0.111181668304
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate4-rep2	-0.0196683538861
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate4-rep3	-0.249090436216
drop_both	inherited_log2	within_group	proliferation_over_baseline	plate4-rep4	-0.0632949358397
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate1-rep1	0.0920308234254
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate1-rep2	0.138990974732
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate1-rep3	-0.0267641755762
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate1-rep4	0.0189238163733
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate2-rep2	-0.0622178659984
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate2-rep3	0.103681625774
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate2-rep4	0.0080062273511
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate3-rep1	0.0562731524907
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate3-rep2	0.172026225392
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate3-rep3	0.0216670147184
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate3-rep4	0.0463098349524
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate4-rep1	0.139906763902
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate4-rep2	-0.062836697253
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate4-rep3	-0.199694956916
drop_both	inherited_log2	within_group	remaining_over_proliferation	plate4-rep4	0.0722216344826
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate1-rep1	0.142137807099
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate1-rep2	0.182268077957
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate1-rep3	-0.00767100979381
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate1-rep4	0.0361847338197
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate2-rep2	-0.26037588167
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate2-rep3	0.0111508106289
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate2-rep4	-0.0453265941032
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate3-rep1	0.0898116958972
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate3-rep2	0.198860424911
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate3-rep3	0.118036922644
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate3-rep4	0.0550820303051
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate4-rep1	0.0955318200911
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate4-rep2	0.0399437643613
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate4-rep3	-0.427510627645
drop_both	inherited_log2	within_group	proliferation_over_remaining	plate4-rep4	0.0971087925659
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate1-rep1	0.133383233728
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate1-rep2	0.23390930055
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate1-rep3	-0.00496910966477
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate1-rep4	0.0514295490953
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate2-rep2	-0.214177906733
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate2-rep3	-0.0360766552066
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate2-rep4	0.00455628798103
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate3-rep1	0.0706837728876
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate3-rep2	0.2341425715
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate3-rep3	0.145096453308
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate3-rep4	0.103972628785
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate4-rep1	0.0442801630155
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate4-rep2	-0.0837409455377
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate4-rep3	-0.49852749706
drop_both	inherited_log2	within_group	full_growth_over_baseline	plate4-rep4	0.0134979623637
drop_both	inherited_log2	plate_shift	proliferation_over_baseline	plate1	-0.0647527232512
drop_both	inherited_log2	plate_shift	proliferation_over_baseline	plate2	-0.00743359616915
drop_both	inherited_log2	plate_shift	proliferation_over_baseline	plate3	0.102308884561
drop_both	inherited_log2	plate_shift	proliferation_over_baseline	plate4	0.26425577478
drop_both	inherited_log2	plate_shift	remaining_over_proliferation	plate1	0.426103949301
drop_both	inherited_log2	plate_shift	remaining_over_proliferation	plate2	0.611744335156
drop_both	inherited_log2	plate_shift	remaining_over_proliferation	plate3	0.314409848931
drop_both	inherited_log2	plate_shift	remaining_over_proliferation	plate4	0.299547343214
drop_both	inherited_log2	plate_shift	proliferation_over_remaining	plate1	0.427381866421
drop_both	inherited_log2	plate_shift	proliferation_over_remaining	plate2	0.55135532323
drop_both	inherited_log2	plate_shift	proliferation_over_remaining	plate3	0.574010832091
drop_both	inherited_log2	plate_shift	proliferation_over_remaining	plate4	0.551058114484
drop_both	inherited_log2	plate_shift	full_growth_over_baseline	plate1	0.388942617155
drop_both	inherited_log2	plate_shift	full_growth_over_baseline	plate2	0.608858199334
drop_both	inherited_log2	plate_shift	full_growth_over_baseline	plate3	0.384551812552
drop_both	inherited_log2	plate_shift	full_growth_over_baseline	plate4	0.48464600273
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep1	0.0435333434311
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep2	0.104903941639
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep3	0.0226715426312
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate1-rep4	0.0336413032461
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep2	-0.136989307089
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep3	-0.153028115269
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate2-rep4	0.00048540035798
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep1	0.014999210627
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep2	0.0735510220757
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep3	0.124864514879
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate3-rep4	0.0589729188652
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep1	-0.113239150472
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep2	-0.0197375712294
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep3	-0.234557620923
drop_both	deposited_numeric	within_group	proliferation_over_baseline	plate4-rep4	-0.0586133745129
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep1	0.0925488662552
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep2	0.144486807084
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep3	-0.022312277447
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate1-rep4	0.0235308688334
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep2	-0.0582028469512
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep3	0.100530846974
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate2-rep4	0.0107238474988
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep1	0.054451073183
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep2	0.1728948197
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep3	0.0212772710893
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate3-rep4	0.0489157363473
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep1	0.128949322917
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep2	-0.0664500384403
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep3	-0.187045451044
drop_both	deposited_numeric	within_group	remaining_over_proliferation	plate4-rep4	0.0587013623999
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep1	0.1388109179
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep2	0.181351619449
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep3	-0.00341433920191
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate1-rep4	0.0395940732543
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep2	-0.250883770534
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep3	0.0102028856179
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate2-rep4	-0.0384939239605
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep1	0.0873105874997
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep2	0.200572658008
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep3	0.113633161487
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate3-rep4	0.0554586333164
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep1	0.0796130113877
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep2	0.0370554134817
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep3	-0.400314494823
drop_both	deposited_numeric	within_group	proliferation_over_remaining	plate4-rep4	0.0869582922821
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep1	0.132053248107
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep2	0.234233513145
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep3	0.000865118933522
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate1-rep4	0.0563805629855
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep2	-0.203165321715
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep3	-0.0371132222562
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate2-rep4	0.0112040424974
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep1	0.0686335606945
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep2	0.233729251075
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep3	0.143485009836
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate3-rep4	0.105003951462
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep1	0.0303122842263
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep2	-0.0874991720366
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep3	-0.465476007968
drop_both	deposited_numeric	within_group	full_growth_over_baseline	plate4-rep4	0.0035286728257
drop_both	deposited_numeric	plate_shift	proliferation_over_baseline	plate1	-0.0639866657986
drop_both	deposited_numeric	plate_shift	proliferation_over_baseline	plate2	-0.0101947810572
drop_both	deposited_numeric	plate_shift	proliferation_over_baseline	plate3	0.0928265518272
drop_both	deposited_numeric	plate_shift	proliferation_over_baseline	plate4	0.262204568078
drop_both	deposited_numeric	plate_shift	remaining_over_proliferation	plate1	0.429344548497
drop_both	deposited_numeric	plate_shift	remaining_over_proliferation	plate2	0.61609657253
drop_both	deposited_numeric	plate_shift	remaining_over_proliferation	plate3	0.311057241083
drop_both	deposited_numeric	plate_shift	remaining_over_proliferation	plate4	0.299669219636
drop_both	deposited_numeric	plate_shift	proliferation_over_remaining	plate1	0.427607428032
drop_both	deposited_numeric	plate_shift	proliferation_over_remaining	plate2	0.551324682058
drop_both	deposited_numeric	plate_shift	proliferation_over_remaining	plate3	0.587275856494
drop_both	deposited_numeric	plate_shift	proliferation_over_remaining	plate4	0.549030089153
drop_both	deposited_numeric	plate_shift	full_growth_over_baseline	plate1	0.392830208836
drop_both	deposited_numeric	plate_shift	full_growth_over_baseline	plate2	0.61218276114
drop_both	deposited_numeric	plate_shift	full_growth_over_baseline	plate3	0.3750094218
drop_both	deposited_numeric	plate_shift	full_growth_over_baseline	plate4	0.483299149413
