field	value	sample_count
!Sample_description	Library name: 1-3_G07_NR1D2	1
!Sample_description	Library name: 1-3_G08_ERN1	1
!Sample_description	Library name: 1-3_G09_BECLN1	1
!Sample_description	Library name: 1-3_G10_TDTOMATO	1
!Sample_description	Library name: 1-3_G11_TIGIT	1
!Sample_description	Library name: 1-4_B02_MET	1
!Sample_description	Library name: 1-4_B03_GLIS3	1
!Sample_description	Library name: 1-4_B04_TIGIT	1
!Sample_description	Library name: 1-4_B05_TDTOMATO	1
!Sample_description	Library name: 1-4_B06_TRP53	1
!Sample_description	Library name: 1-4_B07_ACP6	1
!Sample_description	Library name: 1-4_B08_PINK1	1
!Sample_description	Library name: 1-4_B10_CCBE1	1
!Sample_description	Library name: 1-4_B11_GDF2	1
!Sample_description	Library name: 1-4_C02_TEAD1	1
!Sample_description	Library name: 1-4_C03_MECOM	1
!Sample_description	Library name: 1-4_C05_SFTPD	1
!Sample_description	Library name: 1-4_C06_TRP63	1
!Sample_description	Library name: 1-4_C07_IL1A	1
!Sample_description	Library name: 1-4_C08_PRKN	1
!Sample_description	Library name: 1-4_C09_TIGIT	1
!Sample_description	Library name: 1-4_C10_BMP10	1
!Sample_description	Library name: 1-4_C11_PLA2G15	1
!Sample_description	Library name: 1-4_D02_ROR1	1
!Sample_description	Library name: 1-4_D03_NPNT	1
!Sample_description	Library name: 1-4_D04_RNF43	1
!Sample_description	Library name: 1-4_D05_TNS1	1
!Sample_description	Library name: 1-4_D06_TTF1	1
!Sample_description	Library name: 1-4_D07_TIGIT	1
!Sample_description	Library name: 1-4_D08_KEAP1	1
!Sample_description	Library name: 1-4_D09_TFEB	1
!Sample_description	Library name: 1-4_D10_FGF7	1
!Sample_description	Library name: 1-4_D11_IL1A	1
!Sample_description	Library name: 1-4_E02_TFCP2L1	1
!Sample_description	Library name: 1-4_E03_TIGIT	1
!Sample_description	Library name: 1-4_E04_SOX4	1
!Sample_description	Library name: 1-4_E05_TWIST1	1
!Sample_description	Library name: 1-4_E06_NKX21	1
!Sample_description	Library name: 1-4_E07_USP30	1
!Sample_description	Library name: 1-4_E08_NFE2L2	1
!Sample_description	Library name: 1-4_E09_ULK1	1
!Sample_description	Library name: 1-4_E10_INHBA	1
!Sample_description	Library name: 1-4_E11_MANF	1
!Sample_description	Library name: 1-4_F02_TIGIT	1
!Sample_description	Library name: 1-4_F03_RBMS3	1
!Sample_description	Library name: 1-4_F04_AGER	1
!Sample_description	Library name: 1-4_F05_TERF1	1
!Sample_description	Library name: 1-4_F06_FAM13A	1
!Sample_description	Library name: 1-4_F07_NR1D1	1
!Sample_description	Library name: 1-4_F08_EIF2B1	1
!Sample_description	Library name: 1-4_F09_ATG16L1	1
!Sample_description	Library name: 1-4_F10_XBP1	1
!Sample_description	Library name: 1-4_F11_RAD21	1
!Sample_description	Library name: 1-4_G02_PID1	1
!Sample_description	Library name: 1-4_G03_SERPINA1A	1
!Sample_description	Library name: 1-4_G04_CACNA2D3	1
!Sample_description	Library name: 1-4_G05_CHRM3	1
!Sample_description	Library name: 1-4_G06_HHIP	1
!Sample_description	Library name: 1-4_G07_NR1D2	1
!Sample_description	Library name: 1-4_G08_ERN1	1
!Sample_description	Library name: 1-4_G09_BECLN1	1
!Sample_description	Library name: 1-4_G10_TDTOMATO	1
!Sample_description	Library name: 1-4_G11_TIGIT	1
!Sample_description	Library name: 2-2_B02_IVD	1
!Sample_description	Library name: 2-2_B03_ACOXL	1
!Sample_description	Library name: 2-2_B04_TIGIT	1
!Sample_description	Library name: 2-2_B05_TDTOMATO	1
!Sample_description	Library name: 2-2_B06_LNX2	1
!Sample_description	Library name: 2-2_B07_CHRNA5	1
!Sample_description	Library name: 2-2_B08_MARCKS	1
!Sample_description	Library name: 2-2_B09_TRIB3	1
!Sample_description	Library name: 2-2_B10_IL4RA	1
!Sample_description	Library name: 2-2_B11_ATP6V1C2	1
!Sample_description	Library name: 2-2_C02_NAV2	1
!Sample_description	Library name: 2-2_C03_ATP11A	1
!Sample_description	Library name: 2-2_C04_PATJ	1
!Sample_description	Library name: 2-2_C05_MEGF6	1
!Sample_description	Library name: 2-2_C06_SNX30	1
!Sample_description	Library name: 2-2_C07_CHAT	1
!Sample_description	Library name: 2-2_C08_WNT7B	1
!Sample_description	Library name: 2-2_C09_TIGIT	1
!Sample_description	Library name: 2-2_C10_HLF	1
!Sample_description	Library name: 2-2_C11_IRX1	1
!Sample_description	Library name: 2-2_D02_CAPN1	1
!Sample_description	Library name: 2-2_D03_GPR37	1
!Sample_description	Library name: 2-2_D04_SDC1	1
!Sample_description	Library name: 2-2_D05_SLC45A4	1
!Sample_description	Library name: 2-2_D06_LIPH	1
!Sample_description	Library name: 2-2_D07_TIGIT	1
!Sample_description	Library name: 2-2_D08_WNT9B	1
!Sample_description	Library name: 2-2_D09_SPNS1	1
!Sample_description	Library name: 2-2_D10_HIF1A	1
!Sample_description	Library name: 2-2_D11_ETV5	1
!Sample_description	Library name: 2-2_E02_MECOM	1
!Sample_description	Library name: 2-2_E03_TIGIT	1
!Sample_description	Library name: 2-2_E04_TOLLIP	1
!Sample_description	Library name: 2-2_E05_CXADR	1
!Sample_description	Library name: 2-2_E06_FGFR2	1
!Sample_description	Library name: 2-2_E07_LRP6	1
!Sample_description	Library name: 2-2_E08_CHRNA3	1
!Sample_description	Library name: 2-2_E09_SH2B1	1
!Sample_description	Library name: 2-2_E10_ROS1	1
!Sample_description	Library name: 2-2_E11_CSF3R	1
!Sample_description	Library name: 2-2_F02_TIGIT	1
!Sample_description	Library name: 2-2_F03_DSP	1
!Sample_description	Library name: 2-2_F04_MTUS1	1
!Sample_description	Library name: 2-2_F05_EPCAM	1
!Sample_description	Library name: 2-2_F06_FZD7	1
!Sample_description	Library name: 2-2_F07_FZD1	1
!Sample_description	Library name: 2-2_F08_SYT4	1
!Sample_description	Library name: 2-2_F09_TLN1	1
!Sample_description	Library name: 2-2_F10_LRP2	1
!Sample_description	Library name: 2-2_F11_BAP1	1
!Sample_description	Library name: 2-2_G02_TERT	1
!Sample_description	Library name: 2-2_G03_LRP5	1
!Sample_description	Library name: 2-2_G04_FZD5	1
!Sample_description	Library name: 2-2_G05_FZD6	1
!Sample_description	Library name: 2-2_G06_MYRF	1
!Sample_description	Library name: 2-2_G07_FZD4	1
!Sample_description	Library name: 2-2_G08_SYT11	1
!Sample_description	Library name: 2-2_G09_DMBT1	1
!Sample_description	Library name: 2-2_G10_TDTOMATO	1
!Sample_description	Library name: 2-3_B02_IVD	1
!Sample_description	Library name: 2-3_B04_TIGIT	1
!Sample_description	Library name: 2-3_B05_TDTOMATO	1
!Sample_description	Library name: 2-3_B06_LNX2	1
!Sample_description	Library name: 2-3_B07_CHRNA5	1
!Sample_description	Library name: 2-3_B08_MARCKS	1
!Sample_description	Library name: 2-3_B09_TRIB3	1
!Sample_description	Library name: 2-3_B10_IL4RA	1
!Sample_description	Library name: 2-3_B11_ATP6V1C2	1
!Sample_description	Library name: 2-3_C02_NAV2	1
!Sample_description	Library name: 2-3_C03_ATP11A	1
!Sample_description	Library name: 2-3_C04_PATJ	1
!Sample_description	Library name: 2-3_C05_MEGF6	1
!Sample_description	Library name: 2-3_C06_SNX30	1
!Sample_description	Library name: 2-3_C07_CHAT	1
!Sample_description	Library name: 2-3_C08_WNT7B	1
!Sample_description	Library name: 2-3_C09_TIGIT	1
!Sample_description	Library name: 2-3_C10_HLF	1
!Sample_description	Library name: 2-3_D02_CAPN1	1
!Sample_description	Library name: 2-3_D03_GPR37	1
!Sample_description	Library name: 2-3_D04_SDC1	1
!Sample_description	Library name: 2-3_D05_SLC45A4	1
!Sample_description	Library name: 2-3_D06_LIPH	1
!Sample_description	Library name: 2-3_D07_TIGIT	1
!Sample_description	Library name: 2-3_D08_WNT9B	1
!Sample_description	Library name: 2-3_D09_SPNS1	1
!Sample_description	Library name: 2-3_D10_HIF1A	1
!Sample_description	Library name: 2-3_D11_ETV5	1
!Sample_description	Library name: 2-3_E02_MECOM	1
!Sample_description	Library name: 2-3_E03_TIGIT	1
!Sample_description	Library name: 2-3_E04_TOLLIP	1
!Sample_description	Library name: 2-3_E05_CXADR	1
!Sample_description	Library name: 2-3_E06_FGFR2	1
!Sample_description	Library name: 2-3_E07_LRP6	1
!Sample_description	Library name: 2-3_E08_CHRNA3	1
!Sample_description	Library name: 2-3_E09_SH2B1	1
!Sample_description	Library name: 2-3_E10_ROS1	1
!Sample_description	Library name: 2-3_E11_CSF3R	1
!Sample_description	Library name: 2-3_F02_TIGIT	1
!Sample_description	Library name: 2-3_F03_DSP	1
!Sample_description	Library name: 2-3_F04_MTUS1	1
!Sample_description	Library name: 2-3_F05_EPCAM	1
!Sample_description	Library name: 2-3_F06_FZD7	1
!Sample_description	Library name: 2-3_F07_FZD1	1
!Sample_description	Library name: 2-3_F08_SYT4	1
!Sample_description	Library name: 2-3_F09_TLN1	1
!Sample_description	Library name: 2-3_F10_LRP2	1
!Sample_description	Library name: 2-3_F11_BAP1	1
!Sample_description	Library name: 2-3_G02_TERT	1
!Sample_description	Library name: 2-3_G03_LRP5	1
!Sample_description	Library name: 2-3_G05_FZD6	1
!Sample_description	Library name: 2-3_G06_MYRF	1
!Sample_description	Library name: 2-3_G07_FZD4	1
!Sample_description	Library name: 2-3_G08_SYT11	1
!Sample_description	Library name: 2-3_G09_DMBT1	1
!Sample_description	Library name: 2-3_G10_TDTOMATO	1
!Sample_description	Library name: 2-3_G11_TIGIT	1
!Sample_description	Library name: 2-4_B03_ACOXL	1
!Sample_description	Library name: 2-4_B04_TIGIT	1
!Sample_description	Library name: 2-4_B05_TDTOMATO	1
!Sample_description	Library name: 2-4_B06_LNX2	1
!Sample_description	Library name: 2-4_B07_CHRNA5	1
!Sample_description	Library name: 2-4_B08_MARCKS	1
!Sample_description	Library name: 2-4_B09_TRIB3	1
!Sample_description	Library name: 2-4_B10_IL4RA	1
!Sample_description	Library name: 2-4_B11_ATP6V1C2	1
!Sample_description	Library name: 2-4_C02_NAV2	1
!Sample_description	Library name: 2-4_C03_ATP11A	1
!Sample_description	Library name: 2-4_C04_PATJ	1
!Sample_description	Library name: 2-4_C05_MEGF6	1
!Sample_description	Library name: 2-4_C06_SNX30	1
!Sample_description	Library name: 2-4_C07_CHAT	1
!Sample_description	Library name: 2-4_C08_WNT7B	1
!Sample_description	Library name: 2-4_C09_TIGIT	1
!Sample_description	Library name: 2-4_C10_HLF	1
!Sample_description	Library name: 2-4_C11_IRX1	1
!Sample_description	Library name: 2-4_D02_CAPN1	1
!Sample_description	Library name: 2-4_D03_GPR37	1
!Sample_description	Library name: 2-4_D04_SDC1	1
!Sample_description	Library name: 2-4_D05_SLC45A4	1
!Sample_description	Library name: 2-4_D06_LIPH	1
!Sample_description	Library name: 2-4_D07_TIGIT	1
!Sample_description	Library name: 2-4_D08_WNT9B	1
!Sample_description	Library name: 2-4_D09_SPNS1	1
!Sample_description	Library name: 2-4_D10_HIF1A	1
!Sample_description	Library name: 2-4_D11_ETV5	1
!Sample_description	Library name: 2-4_E02_MECOM	1
!Sample_description	Library name: 2-4_E03_TIGIT	1
!Sample_description	Library name: 2-4_E04_TOLLIP	1
!Sample_description	Library name: 2-4_E05_CXADR	1
!Sample_description	Library name: 2-4_E06_FGFR2	1
!Sample_description	Library name: 2-4_E07_LRP6	1
!Sample_description	Library name: 2-4_E08_CHRNA3	1
!Sample_description	Library name: 2-4_E09_SH2B1	1
!Sample_description	Library name: 2-4_E10_ROS1	1
!Sample_description	Library name: 2-4_E11_CSF3R	1
!Sample_description	Library name: 2-4_F02_TIGIT	1
!Sample_description	Library name: 2-4_F03_DSP	1
!Sample_description	Library name: 2-4_F04_MTUS1	1
!Sample_description	Library name: 2-4_F05_EPCAM	1
!Sample_description	Library name: 2-4_F06_FZD7	1
!Sample_description	Library name: 2-4_F07_FZD1	1
!Sample_description	Library name: 2-4_F08_SYT4	1
!Sample_description	Library name: 2-4_F09_TLN1	1
!Sample_description	Library name: 2-4_F10_LRP2	1
!Sample_description	Library name: 2-4_F11_BAP1	1
!Sample_description	Library name: 2-4_G02_TERT	1
!Sample_description	Library name: 2-4_G04_FZD5	1
!Sample_description	Library name: 2-4_G05_FZD6	1
!Sample_description	Library name: 2-4_G06_MYRF	1
!Sample_description	Library name: 2-4_G07_FZD4	1
!Sample_description	Library name: 2-4_G08_SYT11	1
!Sample_description	Library name: 2-4_G09_DMBT1	1
!Sample_description	Library name: 2-4_G10_TDTOMATO	1
!Sample_description	Library name: 2-4_G11_TIGIT	1
!Sample_description	Library name: 3-1_B02_KIDINS220	1
!Sample_description	Library name: 3-1_B03_CD81	1
!Sample_description	Library name: 3-1_B04_TIGIT	1
!Sample_description	Library name: 3-1_B05_TDTOMATO	1
!Sample_description	Library name: 3-1_B06_TGIF1	1
!Sample_description	Library name: 3-1_B07_CELSR1	1
!Sample_description	Library name: 3-1_B08_PI4K2B	1
!Sample_description	Library name: 3-1_B09_MAP2K2	1
!Sample_description	Library name: 3-1_B10_MAP3K5	1
!Sample_description	Library name: 3-1_B11_MAPK3	1
!Sample_description	Library name: 3-1_C02_ITGB6	1
!Sample_description	Library name: 3-1_C03_EGFR	1
!Sample_description	Library name: 3-1_C04_DRAM1	1
!Sample_description	Library name: 3-1_C05_CSNK1A1	1
!Sample_description	Library name: 3-1_C06_ADK	1
!Sample_description	Library name: 3-1_C07_GNAI2	1
!Sample_description	Library name: 3-1_C08_OCIAD2	1
!Sample_description	Library name: 3-1_C09_TIGIT	1
!Sample_description	Library name: 3-1_C10_MAP3K7	1
!Sample_description	Library name: 3-1_C11_CISH	1
!Sample_description	Library name: 3-1_D02_SLC22A3	1
!Sample_description	Library name: 3-1_D03_ERBB2	1
!Sample_description	Library name: 3-1_D04_EGFL6	1
!Sample_description	Library name: 3-1_D05_CSNK2A1	1
!Sample_description	Library name: 3-1_D06_ANK3	1
!Sample_description	Library name: 3-1_D07_TIGIT	1
!Sample_description	Library name: 3-1_D08_ELOVL1	1
!Sample_description	Library name: 3-1_D09_MAP2K3	1
!Sample_description	Library name: 3-1_D10_MAP4K3	1
!Sample_description	Library name: 3-1_D11_ELF5	1
!Sample_description	Library name: 3-1_E02_TLR2	1
!Sample_description	Library name: 3-1_E03_TIGIT	1
!Sample_description	Library name: 3-1_E04_CTSH	1
!Sample_description	Library name: 3-1_E05_CSNK2A1	1
!Sample_description	Library name: 3-1_E06_MYO5C	1
!Sample_description	Library name: 3-1_E07_GNAI1	1
!Sample_description	Library name: 3-1_E08_ANTXR1	1
!Sample_description	Library name: 3-1_E09_MAP2K4	1
!Sample_description	Library name: 3-1_E10_MAP4K4	1
!Sample_description	Library name: 3-1_E11_CCN2	1
!Sample_description	Library name: 3-1_F02_TIGIT	1
!Sample_description	Library name: 3-1_F03_ERBB4	1
!Sample_description	Library name: 3-1_F04_SLC39A8	1
!Sample_description	Library name: 3-1_F05_VANGL1	1
!Sample_description	Library name: 3-1_F06_TINAG	1
!Sample_description	Library name: 3-1_F07_AREG	1
!Sample_description	Library name: 3-1_F08_TSPAN11	1
!Sample_description	Library name: 3-1_F09_MAP3K1	1
!Sample_description	Library name: 3-1_F10_MAPK1	1
!Sample_description	Library name: 3-1_F11_BMP2	1
!Sample_description	Library name: 3-1_G02_ERBB3	1
!Sample_description	Library name: 3-1_G03_SOCS2	1
!Sample_description	Library name: 3-1_G04_SOAT1	1
!Sample_description	Library name: 3-1_G05_VANGL2	1
!Sample_description	Library name: 3-1_G06_IRF4	1
!Sample_description	Library name: 3-1_G07_ATP6V0E	1
!Sample_description	Library name: 3-1_G08_MAP2K1	1
!Sample_description	Library name: 3-1_G09_MAP3K2	1
!Sample_description	Library name: 3-1_G10_TDTOMATO	1
!Sample_description	Library name: 3-1_G11_TIGIT	1
!Sample_description	Library name: 3-2_B02_KIDINS220	1
!Sample_description	Library name: 3-2_B03_CD81	1
!Sample_description	Library name: 3-2_B04_TIGIT	1
!Sample_description	Library name: 3-2_B05_TDTOMATO	1
!Sample_description	Library name: 3-2_B06_TGIF1	1
!Sample_description	Library name: 3-2_B07_CELSR1	1
!Sample_description	Library name: 3-2_B08_PI4K2B	1
!Sample_description	Library name: 3-2_B09_MAP2K2	1
!Sample_description	Library name: 3-2_B10_MAP3K5	1
!Sample_description	Library name: 3-2_B11_MAPK3	1
!Sample_description	Library name: 3-2_C02_ITGB6	1
!Sample_description	Library name: 3-2_C03_EGFR	1
!Sample_description	Library name: 3-2_C04_DRAM1	1
!Sample_description	Library name: 3-2_C05_CSNK1A1	1
!Sample_description	Library name: 3-2_C06_ADK	1
!Sample_description	Library name: 3-2_C07_GNAI2	1
!Sample_description	Library name: 3-2_C08_OCIAD2	1
!Sample_description	Library name: 3-2_C09_TIGIT	1
!Sample_description	Library name: 3-2_C10_MAP3K7	1
!Sample_description	Library name: 3-2_C11_CISH	1
!Sample_description	Library name: 3-2_D02_SLC22A3	1
!Sample_description	Library name: 3-2_D03_ERBB2	1
!Sample_description	Library name: 3-2_D04_EGFL6	1
!Sample_description	Library name: 3-2_D05_CSNK2A1	1
!Sample_description	Library name: 3-2_D06_ANK3	1
!Sample_description	Library name: 3-2_D07_TIGIT	1
!Sample_description	Library name: 3-2_D08_ELOVL1	1
!Sample_description	Library name: 3-2_D09_MAP2K3	1
!Sample_description	Library name: 3-2_D10_MAP4K3	1
!Sample_description	Library name: 3-2_D11_ELF5	1
!Sample_description	Library name: 3-2_E02_TLR2	1
!Sample_description	Library name: 3-2_E03_TIGIT	1
!Sample_description	Library name: 3-2_E04_CTSH	1
!Sample_description	Library name: 3-2_E05_CSNK2A1	1
!Sample_description	Library name: 3-2_E06_MYO5C	1
!Sample_description	Library name: 3-2_E07_GNAI1	1
!Sample_description	Library name: 3-2_E08_ANTXR1	1
!Sample_description	Library name: 3-2_E09_MAP2K4	1
!Sample_description	Library name: 3-2_E10_MAP4K4	1
!Sample_description	Library name: 3-2_E11_CCN2	1
!Sample_description	Library name: 3-2_F02_TIGIT	1
!Sample_description	Library name: 3-2_F03_ERBB4	1
!Sample_description	Library name: 3-2_F04_SLC39A8	1
!Sample_description	Library name: 3-2_F05_VANGL1	1
!Sample_description	Library name: 3-2_F06_TINAG	1
!Sample_description	Library name: 3-2_F07_AREG	1
!Sample_description	Library name: 3-2_F08_TSPAN11	1
!Sample_description	Library name: 3-2_F09_MAP3K1	1
!Sample_description	Library name: 3-2_F10_MAPK1	1
!Sample_description	Library name: 3-2_F11_BMP2	1
!Sample_description	Library name: 3-2_G02_ERBB3	1
!Sample_description	Library name: 3-2_G03_SOCS2	1
!Sample_description	Library name: 3-2_G04_SOAT1	1
!Sample_description	Library name: 3-2_G05_VANGL2	1
!Sample_description	Library name: 3-2_G06_IRF4	1
!Sample_description	Library name: 3-2_G07_ATP6V0E	1
!Sample_description	Library name: 3-2_G08_MAP2K1	1
!Sample_description	Library name: 3-2_G09_MAP3K2	1
!Sample_description	Library name: 3-2_G10_TDTOMATO	1
!Sample_description	Library name: 3-2_G11_TIGIT	1
!Sample_description	Library name: 3-3_B02_KIDINS220	1
!Sample_description	Library name: 3-3_B03_CD81	1
!Sample_description	Library name: 3-3_B04_TIGIT	1
!Sample_description	Library name: 3-3_B05_TDTOMATO	1
!Sample_description	Library name: 3-3_B06_TGIF1	1
!Sample_description	Library name: 3-3_B07_CELSR1	1
!Sample_description	Library name: 3-3_B08_PI4K2B	1
!Sample_description	Library name: 3-3_B09_MAP2K2	1
!Sample_description	Library name: 3-3_B10_MAP3K5	1
!Sample_description	Library name: 3-3_B11_MAPK3	1
!Sample_description	Library name: 3-3_C02_ITGB6	1
!Sample_description	Library name: 3-3_C03_EGFR	1
!Sample_description	Library name: 3-3_C04_DRAM1	1
!Sample_description	Library name: 3-3_C05_CSNK1A1	1
!Sample_description	Library name: 3-3_C06_ADK	1
!Sample_description	Library name: 3-3_C07_GNAI2	1
!Sample_description	Library name: 3-3_C08_OCIAD2	1
!Sample_description	Library name: 3-3_C09_TIGIT	1
!Sample_description	Library name: 3-3_C10_MAP3K7	1
!Sample_description	Library name: 3-3_C11_CISH	1
!Sample_description	Library name: 3-3_D02_SLC22A3	1
!Sample_description	Library name: 3-3_D03_ERBB2	1
!Sample_description	Library name: 3-3_D04_EGFL6	1
!Sample_description	Library name: 3-3_D05_CSNK2A1	1
!Sample_description	Library name: 3-3_D06_ANK3	1
!Sample_description	Library name: 3-3_D07_TIGIT	1
!Sample_description	Library name: 3-3_D08_ELOVL1	1
!Sample_description	Library name: 3-3_D09_MAP2K3	1
!Sample_description	Library name: 3-3_D10_MAP4K3	1
!Sample_description	Library name: 3-3_D11_ELF5	1
!Sample_description	Library name: 3-3_E02_TLR2	1
!Sample_description	Library name: 3-3_E03_TIGIT	1
!Sample_description	Library name: 3-3_E04_CTSH	1
!Sample_description	Library name: 3-3_E05_CSNK2A1	1
!Sample_description	Library name: 3-3_E06_MYO5C	1
!Sample_description	Library name: 3-3_E07_GNAI1	1
!Sample_description	Library name: 3-3_E08_ANTXR1	1
!Sample_description	Library name: 3-3_E09_MAP2K4	1
!Sample_description	Library name: 3-3_E10_MAP4K4	1
!Sample_description	Library name: 3-3_E11_CCN2	1
!Sample_description	Library name: 3-3_F02_TIGIT	1
!Sample_description	Library name: 3-3_F03_ERBB4	1
!Sample_description	Library name: 3-3_F04_SLC39A8	1
!Sample_description	Library name: 3-3_F05_VANGL1	1
!Sample_description	Library name: 3-3_F06_TINAG	1
!Sample_description	Library name: 3-3_F07_AREG	1
!Sample_description	Library name: 3-3_F08_TSPAN11	1
!Sample_description	Library name: 3-3_F09_MAP3K1	1
!Sample_description	Library name: 3-3_F10_MAPK1	1
!Sample_description	Library name: 3-3_F11_BMP2	1
!Sample_description	Library name: 3-3_G02_ERBB3	1
!Sample_description	Library name: 3-3_G03_SOCS2	1
!Sample_description	Library name: 3-3_G04_SOAT1	1
!Sample_description	Library name: 3-3_G05_VANGL2	1
!Sample_description	Library name: 3-3_G06_IRF4	1
!Sample_description	Library name: 3-3_G07_ATP6V0E	1
!Sample_description	Library name: 3-3_G08_MAP2K1	1
!Sample_description	Library name: 3-3_G09_MAP3K2	1
!Sample_description	Library name: 3-3_G10_TDTOMATO	1
!Sample_description	Library name: 3-3_G11_TIGIT	1
!Sample_description	Library name: 3-4_B02_KIDINS220	1
!Sample_description	Library name: 3-4_B03_CD81	1
!Sample_description	Library name: 3-4_B04_TIGIT	1
!Sample_description	Library name: 3-4_B05_TDTOMATO	1
!Sample_description	Library name: 3-4_B06_TGIF1	1
!Sample_description	Library name: 3-4_B07_CELSR1	1
!Sample_description	Library name: 3-4_B08_PI4K2B	1
!Sample_description	Library name: 3-4_B09_MAP2K2	1
!Sample_description	Library name: 3-4_B10_MAP3K5	1
!Sample_description	Library name: 3-4_B11_MAPK3	1
!Sample_description	Library name: 3-4_C02_ITGB6	1
!Sample_description	Library name: 3-4_C03_EGFR	1
!Sample_description	Library name: 3-4_C04_DRAM1	1
!Sample_description	Library name: 3-4_C05_CSNK1A1	1
!Sample_description	Library name: 3-4_C06_ADK	1
!Sample_description	Library name: 3-4_C07_GNAI2	1
!Sample_description	Library name: 3-4_C08_OCIAD2	1
!Sample_description	Library name: 3-4_C09_TIGIT	1
!Sample_description	Library name: 3-4_C10_MAP3K7	1
!Sample_description	Library name: 3-4_C11_CISH	1
!Sample_description	Library name: 3-4_D02_SLC22A3	1
!Sample_description	Library name: 3-4_D03_ERBB2	1
!Sample_description	Library name: 3-4_D04_EGFL6	1
!Sample_description	Library name: 3-4_D05_CSNK2A1	1
!Sample_description	Library name: 3-4_D06_ANK3	1
!Sample_description	Library name: 3-4_D07_TIGIT	1
!Sample_description	Library name: 3-4_D08_ELOVL1	1
!Sample_description	Library name: 3-4_D09_MAP2K3	1
!Sample_description	Library name: 3-4_D10_MAP4K3	1
!Sample_description	Library name: 3-4_D11_ELF5	1
!Sample_description	Library name: 3-4_E02_TLR2	1
!Sample_description	Library name: 3-4_E03_TIGIT	1
!Sample_description	Library name: 3-4_E04_CTSH	1
!Sample_description	Library name: 3-4_E05_CSNK2A1	1
!Sample_description	Library name: 3-4_E06_MYO5C	1
!Sample_description	Library name: 3-4_E07_GNAI1	1
!Sample_description	Library name: 3-4_E08_ANTXR1	1
!Sample_description	Library name: 3-4_E09_MAP2K4	1
!Sample_description	Library name: 3-4_E10_MAP4K4	1
!Sample_description	Library name: 3-4_E11_CCN2	1
!Sample_description	Library name: 3-4_F02_TIGIT	1
!Sample_description	Library name: 3-4_F03_ERBB4	1
!Sample_description	Library name: 3-4_F04_SLC39A8	1
!Sample_description	Library name: 3-4_F05_VANGL1	1
!Sample_description	Library name: 3-4_F06_TINAG	1
!Sample_description	Library name: 3-4_F07_AREG	1
!Sample_description	Library name: 3-4_F08_TSPAN11	1
!Sample_description	Library name: 3-4_F09_MAP3K1	1
!Sample_description	Library name: 3-4_F10_MAPK1	1
!Sample_description	Library name: 3-4_F11_BMP2	1
!Sample_description	Library name: 3-4_G02_ERBB3	1
!Sample_description	Library name: 3-4_G03_SOCS2	1
!Sample_description	Library name: 3-4_G04_SOAT1	1
!Sample_description	Library name: 3-4_G05_VANGL2	1
!Sample_description	Library name: 3-4_G06_IRF4	1
!Sample_description	Library name: 3-4_G07_ATP6V0E	1
!Sample_description	Library name: 3-4_G08_MAP2K1	1
!Sample_description	Library name: 3-4_G09_MAP3K2	1
!Sample_description	Library name: 3-4_G10_TDTOMATO	1
!Sample_description	Library name: 3-4_G11_TIGIT	1
!Sample_description	Library name: 4-1_B02_ATF6	1
!Sample_description	Library name: 4-1_B03_CTCF	1
!Sample_description	Library name: 4-1_B04_TIGIT	1
!Sample_description	Library name: 4-1_B05_TDTOMATO	1
!Sample_description	Library name: 4-1_B06_RYK	1
!Sample_description	Library name: 4-1_B07_RNF43	1
!Sample_description	Library name: 4-1_B08_NKD1	1
!Sample_description	Library name: 4-1_B09_SLC34A2	1
!Sample_description	Library name: 4-1_B10_RBPJL	1
!Sample_description	Library name: 4-1_B11_SLC6A14	1
!Sample_description	Library name: 4-1_C02_LAMP2	1
!Sample_description	Library name: 4-1_C03_LGR5	1
!Sample_description	Library name: 4-1_C04_CTNNB1	1
!Sample_description	Library name: 4-1_C05_DVL3	1
!Sample_description	Library name: 4-1_C06_DVL2	1
!Sample_description	Library name: 4-1_C07_SPRY4	1
!Sample_description	Library name: 4-1_C08_NKD2	1
!Sample_description	Library name: 4-1_C09_TIGIT	1
!Sample_description	Library name: 4-1_C10_HOPX	1
!Sample_description	Library name: 4-1_C11_CD36	1
!Sample_description	Library name: 4-1_D02_CRELD1	1
!Sample_description	Library name: 4-1_D03_LGR6	1
!Sample_description	Library name: 4-1_D04_PORCN	1
!Sample_description	Library name: 4-1_D05_WIF1	1
!Sample_description	Library name: 4-1_D06_GSK3B	1
!Sample_description	Library name: 4-1_D07_TIGIT	1
!Sample_description	Library name: 4-1_D08_FBXW11	1
!Sample_description	Library name: 4-1_D09_PDE7B	1
!Sample_description	Library name: 4-1_D10_HBEGF	1
!Sample_description	Library name: 4-1_D11_KCNJ15	1
!Sample_description	Library name: 4-1_E02_CRISPLD2	1
!Sample_description	Library name: 4-1_E03_TIGIT	1
!Sample_description	Library name: 4-1_E04_SIAH1A	1
!Sample_description	Library name: 4-1_E05_JUP	1
!Sample_description	Library name: 4-1_E06_CELSR2	1
!Sample_description	Library name: 4-1_E07_APC	1
!Sample_description	Library name: 4-1_E08_MLC1	1
!Sample_description	Library name: 4-1_E09_CDKN2B	1
!Sample_description	Library name: 4-1_E10_SEMA3E	1
!Sample_description	Library name: 4-1_E11_SLC34A2	1
!Sample_description	Library name: 4-1_F02_TIGIT	1
!Sample_description	Library name: 4-1_F03_ZNRF3	1
