gene	gene_group	mark	window	contrast	CUT1_log2_ratio_difference	CUT2_log2_ratio_difference	both_eligible	direction_concordant	CUT1_raw_mark_log2_ratio	CUT2_raw_mark_log2_ratio	CUT1_H3_log2_ratio	CUT2_H3_log2_ratio
CAV1	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT2	-1.643580875456136	-0.3106465200925262	True	True	-1.6674294811102404	-0.8185695802730989	-0.023848605654104	-0.5079230601805726
CAV1	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT1	-3.540056915288581	-3.4003382261968054	True	True	-3.301453415292517	-3.4150656453818358	0.2386034999960637	-0.0147274191850299
AQP5	AT1	H3K4me3	promoter	iATCs_minus_iAT2	0.6560980802903849	1.636788895122	True	True	0.8640327028127388	1.2414129182092044	0.2079346225223541	-0.3953759769127956
AQP5	AT1	H3K4me3	promoter	iATCs_minus_iAT1	-1.2697615089950078	-1.0082315657548568	True	True	-0.0092649771331586	-0.5512766451876048	1.260496531861849	0.456954920567252
AQP5	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT2	-0.4890270226377855	0.9483898698781102	True	False	-0.2041379382346312	0.4450875803482622	0.2848890844031543	-0.5033022895298482
AQP5	AT1	H3K4me3	broad_promoter	iATCs_minus_iAT1	-1.492753371688622	-0.0554551985875261	True	True	-0.7692904561508936	0.0877079038549421	0.723462915537728	0.1431631024424681
KRT8	transition_stress	H3K4me3	promoter	iATCs_minus_iAT2	1.083504819017321	1.0061174746024522	True	True	0.9087055211387908	0.7522884558215479	-0.17479929787853	-0.2538290187809046
KRT8	transition_stress	H3K4me3	promoter	iATCs_minus_iAT1	-0.8405088621475212	-1.3177681467187767	True	True	0.4653395497222605	0.1309406178937868	1.3058484118697815	1.4487087646125625
KRT8	transition_stress	H3K4me3	broad_promoter	iATCs_minus_iAT2	0.846599940550786	0.71941160204537	True	True	0.8687946870684612	0.775058939079305	0.0221947465176753	0.0556473370339345
KRT8	transition_stress	H3K4me3	broad_promoter	iATCs_minus_iAT1	-0.9889218959419024	-0.6030915104283707	True	True	0.2939357419417769	0.0573562807122395	1.2828576378836791	0.6604477911406099
CLDN4	transition_stress	H3K4me3	promoter	iATCs_minus_iAT2	-0.6859378711102115	-0.438643576550592	True	True	0.6181295810832594	0.8634200101316606	1.3040674521934703	1.3020635866822527
CLDN4	transition_stress	H3K4me3	promoter	iATCs_minus_iAT1	-1.337386514991259	-0.489446729043494	True	True	1.104777683698422	1.5928319977078955	2.442164198689681	2.0822787267513903
CLDN4	transition_stress	H3K4me3	broad_promoter	iATCs_minus_iAT2	0.1568541072325526	0.437099355722216	True	True	0.568140333252776	0.7430128388893062	0.4112862260202235	0.3059134831670898
CLDN4	transition_stress	H3K4me3	broad_promoter	iATCs_minus_iAT1	0.1998595533293192	0.5768387600619969	True	True	0.996518818921977	1.3182720700674413	0.7966592655926577	0.7414333100054448
KRT19	transition_stress	H3K4me3	promoter	iATCs_minus_iAT2	-0.1268593328672604	-0.3245699417850174	True	True	0.6369538419179483	0.6970975492415536	0.7638131747852089	1.0216674910265715
KRT19	transition_stress	H3K4me3	promoter	iATCs_minus_iAT1	-1.4242799728651772	-1.8166580603454587	True	True	0.174131296068838	0.2090824929479362	1.5984112689340149	2.0257405532933954
