sample_id,cluster,pct,condition
EEM-scRNA-126,19,7.957,H1N1_infected
EEM-scRNA-127,19,0.04,H1N1_infected
EEM-scRNA-158,19,0.291,homeostasis
EEM-scRNA-162,19,0.0,H1N1_infected
EEM-scRNA-166,19,0.018,homeostasis
EEM-scRNA-167,19,0.0,H1N1_infected
EEM-scRNA-170,19,0.176,H1N1_infected
EEM-scRNA-172,19,0.38,H1N1_infected
EEM-scRNA-179,19,0.955,H1N1_infected
EEM-scRNA-180,19,0.205,H1N1_infected
EEM-scRNA-181,19,0.326,H1N1_infected
EEM-scRNA-182,19,1.256,H1N1_infected
EEM-scRNA-236,19,2.353,H1N1_infected
EEM-scRNA-237,19,2.356,H1N1_infected
EEM-scRNA-238,19,1.161,H1N1_infected
EEM-scRNA-239,19,1.031,H1N1_infected
EEM-scRNA-249,19,0.488,unannotated
EEM-scRNA-250,19,0.038,unannotated
EEM-scRNA-251,19,0.139,unannotated
EEM-scRNA-288,19,0.716,unannotated
EEM-scRNA-289,19,0.892,unannotated
EEM-scRNA-290,19,4.715,unannotated
EEM-scRNA-291,19,0.997,unannotated
EEM-scRNA-292,19,1.004,unannotated
EEM-scRNA-310,19,1.513,H1N1_infected
EEM-scRNA-311,19,1.797,H1N1_infected
EEM-scRNA-312,19,1.217,H1N1_infected
EEM-scRNA-113,2,0.406,H1N1_infected
EEM-scRNA-116,2,3.958,H1N1_infected
EEM-scRNA-117,2,1.817,H1N1_infected
EEM-scRNA-118,2,0.734,H1N1_infected
EEM-scRNA-124,2,0.218,H1N1_infected
EEM-scRNA-125,2,0.172,H1N1_infected
EEM-scRNA-126,2,0.021,H1N1_infected
EEM-scRNA-127,2,0.06,H1N1_infected
EEM-scRNA-158,2,0.188,homeostasis
EEM-scRNA-162,2,0.214,H1N1_infected
EEM-scRNA-166,2,0.018,homeostasis
EEM-scRNA-167,2,2.385,H1N1_infected
EEM-scRNA-170,2,1.054,H1N1_infected
EEM-scRNA-172,2,0.253,H1N1_infected
EEM-scRNA-179,2,0.088,H1N1_infected
EEM-scRNA-180,2,0.112,H1N1_infected
EEM-scRNA-181,2,0.078,H1N1_infected
EEM-scRNA-182,2,0.055,H1N1_infected
EEM-scRNA-236,2,0.718,H1N1_infected
EEM-scRNA-237,2,0.102,H1N1_infected
EEM-scRNA-238,2,0.074,H1N1_infected
EEM-scRNA-239,2,0.424,H1N1_infected
EEM-scRNA-249,2,0.615,unannotated
EEM-scRNA-250,2,0.627,unannotated
EEM-scRNA-251,2,0.505,unannotated
EEM-scRNA-288,2,2.453,unannotated
EEM-scRNA-289,2,1.109,unannotated
EEM-scRNA-290,2,1.979,unannotated
EEM-scRNA-291,2,1.459,unannotated
EEM-scRNA-292,2,1.036,unannotated
EEM-scRNA-310,2,0.121,H1N1_infected
EEM-scRNA-311,2,0.205,H1N1_infected
EEM-scRNA-312,2,0.122,H1N1_infected
EEM-scRNA-113,20,1.467,H1N1_infected
EEM-scRNA-116,20,2.446,H1N1_infected
EEM-scRNA-117,20,2.277,H1N1_infected
EEM-scRNA-118,20,4.612,H1N1_infected
EEM-scRNA-124,20,2.151,H1N1_infected
EEM-scRNA-125,20,1.767,H1N1_infected
EEM-scRNA-126,20,1.305,H1N1_infected
EEM-scRNA-127,20,1.552,H1N1_infected
EEM-scRNA-158,20,0.445,homeostasis
EEM-scRNA-162,20,0.839,H1N1_infected
EEM-scRNA-166,20,0.817,homeostasis
EEM-scRNA-167,20,0.958,H1N1_infected
EEM-scRNA-170,20,1.537,H1N1_infected
EEM-scRNA-172,20,1.56,H1N1_infected
EEM-scRNA-179,20,1.22,H1N1_infected
EEM-scRNA-180,20,1.026,H1N1_infected
EEM-scRNA-181,20,0.59,H1N1_infected
EEM-scRNA-182,20,0.838,H1N1_infected
EEM-scRNA-236,20,0.644,H1N1_infected
EEM-scRNA-237,20,1.322,H1N1_infected
EEM-scRNA-238,20,1.64,H1N1_infected
EEM-scRNA-239,20,1.426,H1N1_infected
EEM-scRNA-249,20,1.392,unannotated
EEM-scRNA-250,20,1.23,unannotated
EEM-scRNA-251,20,1.708,unannotated
EEM-scRNA-288,20,2.147,unannotated
EEM-scRNA-289,20,1.109,unannotated
EEM-scRNA-290,20,1.688,unannotated
EEM-scRNA-291,20,1.726,unannotated
EEM-scRNA-292,20,2.622,unannotated
EEM-scRNA-310,20,1.533,H1N1_infected
