cohort,donor,disease,celltype,n_cells,det_AREG,det_HBEGF,det_EREG,det_EGF,det_EGFR,det_TGFA,det_BTC,det_EPGN,evaluable
E2_GSE136831,133C,Control,B_Plasma,16,0.1875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,Basal,3,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,False
E2_GSE136831,133C,Control,Ciliated,80,0.15,0.0625,0.05,0.0125,0.25,0.1,0.0625,0.0,True
E2_GSE136831,133C,Control,Club,17,0.2941,0.1765,0.0588,0.0,0.2353,0.0588,0.0588,0.0,False
E2_GSE136831,133C,Control,DC_Langerhans,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,DC_Mature,13,0.6923,0.0,0.2308,0.1538,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,Fibroblast,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,Goblet,13,0.1538,0.1538,0.1538,0.0,0.2308,0.0769,0.0,0.0,False
E2_GSE136831,133C,Control,ILC_A,12,0.6667,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,ILC_B,13,0.8462,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,Ionocyte,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
E2_GSE136831,133C,Control,Lymphatic,22,0.0455,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,133C,Control,Macrophage,4339,0.4683,0.4427,0.5319,0.0014,0.0055,0.0272,0.0014,0.0171,True
E2_GSE136831,133C,Control,Macrophage_Alveolar,1136,0.2474,0.6391,0.4137,0.0026,0.0079,0.022,0.0044,0.0026,True
E2_GSE136831,133C,Control,Mast,12,0.75,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,Multiplet,218,0.7248,0.5413,0.4954,0.0138,0.4174,0.0688,0.055,0.0275,True
E2_GSE136831,133C,Control,Myofibroblast,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,NK,80,0.55,0.0125,0.0,0.0,0.0125,0.025,0.0,0.0,True
E2_GSE136831,133C,Control,PNEC,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,T,146,0.1507,0.0479,0.0068,0.0068,0.0068,0.0137,0.0,0.0,True
E2_GSE136831,133C,Control,T_Cytotoxic,274,0.1423,0.0255,0.0292,0.0,0.0,0.0036,0.0036,0.0,True
E2_GSE136831,133C,Control,T_Regulatory,22,0.0909,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,133C,Control,VE_Arterial,19,0.1579,0.5789,0.0526,0.0,0.2632,0.0,0.1053,0.0,False
E2_GSE136831,133C,Control,VE_Capillary_B,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,VE_Venous,16,0.0,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,cDC1,14,0.8571,0.1429,0.0714,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,cDC2,111,0.8378,0.6577,0.5225,0.0,0.0,0.1351,0.0,0.018,True
E2_GSE136831,133C,Control,cMonocyte,290,0.4414,0.4621,0.7414,0.0034,0.0103,0.0414,0.0034,0.0345,True
E2_GSE136831,133C,Control,ncMonocyte,8,0.125,0.25,0.25,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,133C,Control,pDC,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,ATI,3,0.6667,0.3333,0.3333,0.0,0.6667,0.3333,0.0,0.0,False
E2_GSE136831,135I,IPF,ATII,15,0.8,0.4667,0.3333,0.0,0.6667,0.0667,0.0,0.0,False
E2_GSE136831,135I,IPF,Aberrant_Basaloid,78,0.6154,0.3077,0.1538,0.1282,0.5385,0.2308,0.0641,0.0,True
E2_GSE136831,135I,IPF,B,219,0.274,0.0091,0.0228,0.0046,0.0,0.0,0.0,0.0,True
E2_GSE136831,135I,IPF,B_Plasma,6,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,Basal,30,0.6,0.5333,0.2667,0.0333,0.7,0.1333,0.1,0.1,True
E2_GSE136831,135I,IPF,Ciliated,344,0.2878,0.0523,0.0378,0.0116,0.282,0.1599,0.1541,0.0058,True
E2_GSE136831,135I,IPF,Club,175,0.4514,0.2343,0.2571,0.0457,0.4743,0.1943,0.0857,0.0229,True
E2_GSE136831,135I,IPF,DC_Langerhans,16,0.625,0.0,0.0,0.0,0.0625,0.125,0.0,0.0,False
E2_GSE136831,135I,IPF,DC_Mature,20,0.85,0.1,0.15,0.0,0.05,0.1,0.0,0.0,True
E2_GSE136831,135I,IPF,Fibroblast,72,0.1389,0.0278,0.0694,0.0,0.6944,0.0,0.0,0.0,True
E2_GSE136831,135I,IPF,Goblet,75,0.36,0.28,0.1333,0.0267,0.4267,0.2667,0.0533,0.0133,True
E2_GSE136831,135I,IPF,ILC_A,3,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,ILC_B,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,Lymphatic,7,0.0,0.1429,0.0,0.0,0.0,0.1429,0.0,0.0,False
E2_GSE136831,135I,IPF,Macrophage,3638,0.7963,0.5327,0.5388,0.0047,0.0055,0.0536,0.0014,0.0225,True
E2_GSE136831,135I,IPF,Macrophage_Alveolar,349,0.5759,0.6103,0.2722,0.0029,0.0057,0.0372,0.0029,0.0029,True
E2_GSE136831,135I,IPF,Mast,20,0.85,0.05,0.15,0.0,0.0,0.05,0.0,0.0,True
E2_GSE136831,135I,IPF,Mesothelial,7,0.8571,0.2857,0.0,0.1429,0.8571,0.0,0.0,0.7143,False
E2_GSE136831,135I,IPF,Multiplet,102,0.8235,0.5,0.451,0.0196,0.2157,0.1275,0.0392,0.0392,True
E2_GSE136831,135I,IPF,Myofibroblast,9,0.2222,0.1111,0.0,0.0,0.5556,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,NK,155,0.871,0.0387,0.0129,0.0,0.0,0.0065,0.0,0.0,True
E2_GSE136831,135I,IPF,T,102,0.3725,0.049,0.049,0.0098,0.0,0.0098,0.0,0.0294,True
E2_GSE136831,135I,IPF,T_Cytotoxic,355,0.4394,0.0169,0.0113,0.0028,0.0,0.0113,0.0028,0.0,True
E2_GSE136831,135I,IPF,T_Regulatory,21,0.2381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,135I,IPF,VE_Arterial,3,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,VE_Peribronchial,20,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,True
E2_GSE136831,135I,IPF,VE_Venous,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,135I,IPF,cDC1,13,0.7692,0.0769,0.0769,0.0,0.0,0.0769,0.0,0.0,False
E2_GSE136831,135I,IPF,cDC2,176,0.9659,0.6648,0.3977,0.0,0.0057,0.1648,0.0,0.0398,True
E2_GSE136831,135I,IPF,cMonocyte,222,0.9099,0.464,0.5811,0.0045,0.0045,0.0225,0.0,0.0541,True
E2_GSE136831,135I,IPF,ncMonocyte,95,0.7789,0.4421,0.3474,0.0105,0.0,0.0316,0.0105,0.0105,True
E2_GSE136831,135I,IPF,pDC,13,1.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,ATI,49,0.0408,0.3673,0.0,0.0,0.4286,0.102,0.0408,0.0,True
E2_GSE136831,1372C,Control,ATII,119,0.8319,0.4706,0.1092,0.1008,0.5378,0.084,0.0588,0.0084,True
E2_GSE136831,1372C,Control,B,6,0.1667,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,B_Plasma,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,Basal,24,0.2083,0.2083,0.0,0.0,0.5,0.125,0.0,0.0,True
E2_GSE136831,1372C,Control,Ciliated,138,0.1739,0.0362,0.0145,0.0072,0.2681,0.1232,0.0435,0.0,True
E2_GSE136831,1372C,Control,Club,39,0.0769,0.0769,0.1026,0.0,0.2308,0.1026,0.0,0.0,True
E2_GSE136831,1372C,Control,DC_Mature,10,0.4,0.0,0.3,0.1,0.0,0.1,0.0,0.0,False
E2_GSE136831,1372C,Control,Fibroblast,190,0.0526,0.0895,0.0263,0.0053,0.5947,0.0,0.0,0.0,True
E2_GSE136831,1372C,Control,Goblet,10,0.4,0.4,0.0,0.0,0.7,0.3,0.1,0.0,False
E2_GSE136831,1372C,Control,ILC_A,5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,ILC_B,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,Lymphatic,162,0.0494,0.0679,0.0309,0.0,0.0062,0.0185,0.0,0.0,True
E2_GSE136831,1372C,Control,Macrophage,1774,0.5147,0.2503,0.4622,0.0045,0.0068,0.0225,0.0028,0.0197,True
E2_GSE136831,1372C,Control,Macrophage_Alveolar,844,0.2417,0.4882,0.2666,0.0083,0.0083,0.0545,0.0036,0.0,True
E2_GSE136831,1372C,Control,Mast,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,Multiplet,54,0.3519,0.3519,0.2593,0.0,0.2963,0.1111,0.0741,0.0,True
E2_GSE136831,1372C,Control,Myofibroblast,5,0.2,0.0,0.0,0.0,0.6,0.0,0.2,0.0,False
E2_GSE136831,1372C,Control,NK,29,0.2759,0.0,0.0345,0.0,0.0,0.069,0.0,0.0,True
E2_GSE136831,1372C,Control,SMC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,T,48,0.1875,0.0208,0.0208,0.0,0.0208,0.0,0.0,0.0,True
E2_GSE136831,1372C,Control,T_Cytotoxic,169,0.142,0.0059,0.0237,0.0059,0.0,0.0178,0.0,0.0,True
E2_GSE136831,1372C,Control,T_Regulatory,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,VE_Arterial,52,0.0962,0.6731,0.0385,0.0,0.2115,0.0,0.0192,0.0,True
E2_GSE136831,1372C,Control,VE_Capillary_A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,VE_Capillary_B,12,0.0833,0.5,0.0,0.0,0.0833,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,VE_Peribronchial,27,0.0741,0.6296,0.0741,0.0,0.1111,0.037,0.0,0.0,True
E2_GSE136831,1372C,Control,VE_Venous,67,0.0448,0.3433,0.0,0.0,0.0896,0.0,0.0,0.0149,True
E2_GSE136831,1372C,Control,cDC1,3,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,1372C,Control,cDC2,100,0.93,0.26,0.6,0.01,0.0,0.2,0.0,0.02,True
E2_GSE136831,1372C,Control,cMonocyte,621,0.6151,0.2593,0.496,0.0048,0.0032,0.0242,0.0032,0.0274,True
E2_GSE136831,1372C,Control,ncMonocyte,27,0.3333,0.4074,0.1852,0.0,0.0,0.0,0.0,0.037,True
E2_GSE136831,137C,Control,ATI,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,ATII,4,0.25,0.25,0.0,0.25,0.75,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,B,27,0.5926,0.037,0.0741,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,137C,Control,B_Plasma,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,Ciliated,6,0.3333,0.0,0.0,0.0,0.6667,0.1667,0.0,0.0,False
E2_GSE136831,137C,Control,DC_Mature,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,Fibroblast,12,0.0833,0.1667,0.0833,0.0,0.6667,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,ILC_A,6,1.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,False
E2_GSE136831,137C,Control,ILC_B,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,Lymphatic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,Macrophage,478,0.8494,0.4435,0.7908,0.0105,0.0021,0.0335,0.0,0.1381,True
E2_GSE136831,137C,Control,Macrophage_Alveolar,217,0.3825,0.5023,0.2258,0.0092,0.0138,0.0599,0.0,0.0,True
E2_GSE136831,137C,Control,Multiplet,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,Myofibroblast,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,NK,114,0.7807,0.0175,0.0439,0.0088,0.0,0.0702,0.0,0.0,True
E2_GSE136831,137C,Control,PNEC,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,T,23,0.3913,0.0,0.087,0.0,0.0,0.0435,0.0,0.0,True
E2_GSE136831,137C,Control,T_Cytotoxic,34,0.2647,0.0,0.0882,0.0,0.0,0.0294,0.0,0.0,True
E2_GSE136831,137C,Control,T_Regulatory,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,VE_Arterial,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,VE_Capillary_A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,VE_Capillary_B,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,137C,Control,cDC2,6,0.8333,0.1667,0.3333,0.0,0.0,0.0,0.0,0.1667,False
E2_GSE136831,137C,Control,cMonocyte,50,0.76,0.32,0.8,0.0,0.02,0.02,0.0,0.16,True
E2_GSE136831,138I,IPF,ATI,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,ATII,12,0.9167,0.5,0.75,0.0,0.6667,0.25,0.0833,0.0,False
E2_GSE136831,138I,IPF,Aberrant_Basaloid,3,1.0,0.6667,0.3333,0.0,1.0,0.6667,0.0,0.0,False
E2_GSE136831,138I,IPF,B,82,0.3537,0.0244,0.0122,0.0,0.0,0.0,0.0122,0.0,True
E2_GSE136831,138I,IPF,B_Plasma,6,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,Basal,45,0.6444,0.5556,0.3111,0.0667,0.6889,0.2889,0.0222,0.0222,True
E2_GSE136831,138I,IPF,Ciliated,85,0.2824,0.0824,0.0118,0.0353,0.4706,0.2235,0.2,0.0118,True
E2_GSE136831,138I,IPF,Club,21,0.6667,0.2857,0.381,0.0,0.4762,0.1429,0.0952,0.0476,True
E2_GSE136831,138I,IPF,DC_Langerhans,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,DC_Mature,11,0.3636,0.1818,0.1818,0.0,0.0,0.1818,0.0,0.0,False
E2_GSE136831,138I,IPF,Fibroblast,187,0.2086,0.2995,0.0214,0.0,0.6364,0.0053,0.0,0.0,True
E2_GSE136831,138I,IPF,Goblet,64,0.7031,0.4531,0.2344,0.0,0.625,0.25,0.0938,0.0,True
E2_GSE136831,138I,IPF,ILC_A,4,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,False
E2_GSE136831,138I,IPF,ILC_B,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,Ionocyte,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,Lymphatic,25,0.04,0.28,0.04,0.0,0.0,0.04,0.0,0.0,True
E2_GSE136831,138I,IPF,Macrophage,1889,0.7004,0.4584,0.424,0.0058,0.0116,0.0365,0.0042,0.0169,True
E2_GSE136831,138I,IPF,Macrophage_Alveolar,30,0.3333,0.1667,0.0667,0.0,0.0,0.0,0.0,0.0333,True
E2_GSE136831,138I,IPF,Mast,14,0.7857,0.1429,0.0714,0.0,0.0,0.0714,0.0,0.0,False
E2_GSE136831,138I,IPF,Multiplet,39,0.7179,0.3846,0.2821,0.0,0.3077,0.1026,0.0,0.0,True
E2_GSE136831,138I,IPF,Myofibroblast,77,0.2468,0.1688,0.0,0.013,0.5455,0.026,0.0,0.0,True
E2_GSE136831,138I,IPF,NK,92,0.5543,0.0326,0.0543,0.0,0.0,0.0109,0.0,0.0,True
E2_GSE136831,138I,IPF,Pericyte,13,0.0769,0.0,0.0769,0.0,0.3846,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,SMC,59,0.1525,0.1356,0.0339,0.0339,0.3051,0.0,0.1017,0.0,True
E2_GSE136831,138I,IPF,T,241,0.2697,0.0332,0.0332,0.0,0.0041,0.0207,0.0,0.0,True
E2_GSE136831,138I,IPF,T_Cytotoxic,64,0.3125,0.0156,0.0156,0.0,0.0,0.0156,0.0,0.0,True
E2_GSE136831,138I,IPF,T_Regulatory,47,0.0638,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,138I,IPF,VE_Arterial,23,0.4348,0.3913,0.0,0.0435,0.3043,0.0,0.0,0.0,True
E2_GSE136831,138I,IPF,VE_Capillary_A,4,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,VE_Capillary_B,21,0.2381,0.2381,0.0,0.0,0.3333,0.0,0.0,0.0,True
E2_GSE136831,138I,IPF,VE_Peribronchial,120,0.2583,0.3333,0.0333,0.0,0.2167,0.0083,0.0,0.0,True
E2_GSE136831,138I,IPF,VE_Venous,13,0.0769,0.1538,0.0,0.0,0.3846,0.0769,0.0,0.0,False
E2_GSE136831,138I,IPF,cDC1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,cDC2,113,0.885,0.3894,0.3186,0.0,0.0088,0.1504,0.0177,0.0531,True
E2_GSE136831,138I,IPF,cMonocyte,202,0.8069,0.5,0.5594,0.0,0.005,0.0347,0.0,0.0743,True
E2_GSE136831,138I,IPF,ncMonocyte,5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,138I,IPF,pDC,43,0.9302,0.0465,0.093,0.0,0.0233,0.0,0.0,0.0,True
E2_GSE136831,145I,IPF,ATI,12,0.25,0.3333,0.0833,0.0,0.5,0.25,0.0833,0.0,False
E2_GSE136831,145I,IPF,ATII,7,0.5714,0.2857,0.1429,0.0,0.2857,0.1429,0.1429,0.0,False
E2_GSE136831,145I,IPF,Aberrant_Basaloid,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,B,112,0.1696,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,145I,IPF,B_Plasma,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,Basal,10,0.2,0.5,0.0,0.0,0.6,0.1,0.0,0.0,False
E2_GSE136831,145I,IPF,Ciliated,240,0.1917,0.0542,0.025,0.0167,0.275,0.175,0.1625,0.0,True
E2_GSE136831,145I,IPF,Club,32,0.375,0.1875,0.0625,0.0,0.1875,0.0312,0.0625,0.0,True
E2_GSE136831,145I,IPF,DC_Langerhans,27,0.2963,0.0,0.0,0.0,0.0741,0.037,0.0,0.0,True
E2_GSE136831,145I,IPF,DC_Mature,22,0.6364,0.1818,0.0909,0.0,0.0,0.1364,0.0,0.0,True
E2_GSE136831,145I,IPF,Fibroblast,3,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,Goblet,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,ILC_A,9,0.7778,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,ILC_B,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,False
E2_GSE136831,145I,IPF,Lymphatic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,Macrophage,1333,0.4374,0.5131,0.2626,0.0015,0.0015,0.015,0.0015,0.003,True
E2_GSE136831,145I,IPF,Macrophage_Alveolar,1337,0.2019,0.4263,0.1713,0.0022,0.0082,0.0097,0.0037,0.0,True
E2_GSE136831,145I,IPF,Mast,15,0.3333,0.0667,0.0667,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,Mesothelial,3,0.3333,0.3333,0.0,0.0,1.0,0.0,0.3333,0.0,False
E2_GSE136831,145I,IPF,Multiplet,88,0.5,0.4659,0.2159,0.0,0.2273,0.1023,0.0227,0.0,True
E2_GSE136831,145I,IPF,Myofibroblast,2,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,NK,56,0.5179,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,True
E2_GSE136831,145I,IPF,T,233,0.1416,0.0172,0.0129,0.0,0.0043,0.0,0.0,0.0086,True
E2_GSE136831,145I,IPF,T_Cytotoxic,642,0.1838,0.014,0.0016,0.0016,0.0016,0.0062,0.0,0.0,True
E2_GSE136831,145I,IPF,T_Regulatory,28,0.0714,0.0357,0.0357,0.0,0.0,0.0,0.0357,0.0,True
E2_GSE136831,145I,IPF,VE_Arterial,4,0.25,0.75,0.0,0.25,0.5,0.0,0.25,0.0,False
E2_GSE136831,145I,IPF,VE_Peribronchial,4,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,VE_Venous,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,145I,IPF,cDC1,39,0.7179,0.2051,0.0,0.0,0.0,0.0256,0.0,0.0,True
E2_GSE136831,145I,IPF,cDC2,256,0.8477,0.5234,0.2188,0.0039,0.0,0.082,0.0,0.0117,True
E2_GSE136831,145I,IPF,cMonocyte,227,0.63,0.3789,0.2775,0.0,0.0044,0.0044,0.0,0.0088,True
E2_GSE136831,145I,IPF,ncMonocyte,105,0.2476,0.2286,0.0476,0.0095,0.0,0.0,0.0,0.0,True
E2_GSE136831,145I,IPF,pDC,24,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,157I,IPF,ATI,4,0.5,0.25,0.0,0.0,0.75,0.5,0.0,0.0,False
E2_GSE136831,157I,IPF,ATII,43,0.7674,0.186,0.093,0.1163,0.6744,0.0698,0.0465,0.0,True
E2_GSE136831,157I,IPF,Aberrant_Basaloid,33,0.4848,0.2121,0.3333,0.0606,0.5152,0.1818,0.0303,0.0303,True
E2_GSE136831,157I,IPF,B,397,0.2519,0.0126,0.0202,0.0025,0.0,0.0076,0.0025,0.0,True
E2_GSE136831,157I,IPF,B_Plasma,20,0.25,0.05,0.05,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,157I,IPF,Basal,65,0.3385,0.3692,0.1077,0.0154,0.9077,0.2308,0.0615,0.0,True
E2_GSE136831,157I,IPF,Ciliated,373,0.1528,0.0456,0.0241,0.0214,0.37,0.2091,0.2118,0.0,True
E2_GSE136831,157I,IPF,Club,217,0.4885,0.2581,0.2535,0.023,0.5253,0.2028,0.0876,0.0138,True
E2_GSE136831,157I,IPF,DC_Langerhans,19,0.4211,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,DC_Mature,44,0.5909,0.0455,0.1136,0.0,0.0227,0.1364,0.0,0.0227,True
E2_GSE136831,157I,IPF,Fibroblast,26,0.0385,0.0385,0.1154,0.0,0.5769,0.0,0.0,0.0,True
E2_GSE136831,157I,IPF,Goblet,82,0.2805,0.2439,0.1341,0.0122,0.4756,0.1707,0.0366,0.0,True
E2_GSE136831,157I,IPF,ILC_A,19,0.7895,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,ILC_B,9,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,Lymphatic,21,0.0952,0.1429,0.0476,0.0,0.0952,0.0952,0.0,0.0,True
E2_GSE136831,157I,IPF,Macrophage,3222,0.5211,0.3451,0.3411,0.0037,0.005,0.0227,0.0019,0.0053,True
E2_GSE136831,157I,IPF,Macrophage_Alveolar,825,0.4461,0.4691,0.2085,0.0036,0.0109,0.0242,0.0012,0.0,True
E2_GSE136831,157I,IPF,Mast,32,0.875,0.0,0.0938,0.0312,0.0312,0.0312,0.0,0.0,True
E2_GSE136831,157I,IPF,Mesothelial,2,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,Multiplet,113,0.4867,0.2832,0.2124,0.0177,0.2212,0.0973,0.0531,0.0088,True
E2_GSE136831,157I,IPF,Myofibroblast,14,0.1429,0.0714,0.0,0.0,0.1429,0.0714,0.0,0.0,False
E2_GSE136831,157I,IPF,NK,235,0.6468,0.0085,0.0043,0.0043,0.0,0.0128,0.0085,0.0,True
E2_GSE136831,157I,IPF,Pericyte,4,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,SMC,2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,T,271,0.2251,0.0332,0.0111,0.0037,0.0037,0.0037,0.0,0.0148,True
E2_GSE136831,157I,IPF,T_Cytotoxic,296,0.2703,0.0101,0.0034,0.0034,0.0034,0.0169,0.0,0.0,True
E2_GSE136831,157I,IPF,T_Regulatory,75,0.0533,0.0533,0.0267,0.0,0.0,0.0,0.0,0.0,True
E2_GSE136831,157I,IPF,VE_Arterial,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,VE_Capillary_A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,VE_Capillary_B,6,0.0,0.1667,0.0,0.0,0.5,0.0,0.0,0.0,False
E2_GSE136831,157I,IPF,VE_Peribronchial,36,0.1944,0.1111,0.0278,0.0,0.2778,0.0278,0.0278,0.0,True
E2_GSE136831,157I,IPF,VE_Venous,18,0.0556,0.1111,0.0,0.0556,0.5,0.0,0.0556,0.0,False
E2_GSE136831,157I,IPF,cDC1,20,0.65,0.15,0.05,0.0,0.0,0.05,0.0,0.0,True
E2_GSE136831,157I,IPF,cDC2,291,0.8866,0.4502,0.299,0.0069,0.0034,0.0962,0.0103,0.0103,True
E2_GSE136831,157I,IPF,cMonocyte,108,0.8241,0.4167,0.5,0.0,0.0,0.0,0.0,0.0556,True
E2_GSE136831,157I,IPF,ncMonocyte,88,0.4886,0.2386,0.1705,0.0,0.0,0.0,0.0,0.0114,True
E2_GSE136831,157I,IPF,pDC,28,0.9643,0.0714,0.1071,0.0,0.0357,0.0357,0.0,0.0,True
E2_GSE136831,158I,IPF,ATI,11,0.2727,0.2727,0.0,0.0,0.6364,0.0909,0.0909,0.0,False
