library	mouse_total_counts	human_total_counts
4-2_B10_RBPJL	5405354	2264131
4-2_B11_SLC6A14	6389566	2711908
4-2_C02_LAMP2	5764843	1773578
4-2_C03_LGR5	1803850	509704
4-2_C04_CTNNB1	2549336	410315
4-2_C05_DVL3	1611160	448429
4-2_C06_DVL2	2319640	457829
4-2_C07_SPRY4	2782476	692211
4-2_C08_NKD2	811381	276246
4-2_C09_TIGIT	2091001	514511
4-2_C10_HOPX	1987259	606210
4-2_C11_CD36	6189166	1982217
4-2_D02_CRELD1	2973818	690201
4-2_D03_LGR6	1060176	204073
4-2_D04_PORCN	1574296	339995
4-2_D05_WIF1	1477150	351976
4-2_D06_GSK3B	4681758	1601893
4-2_D07_TIGIT	2361042	430522
4-2_D08_FBXW11	2325448	437545
4-2_D09_PDE7B	2012744	463063
4-2_D10_HBEGF	2758651	1034033
4-2_D11_KCNJ15	1943706	501049
4-2_E02_CRISPLD2	2240528	567350
4-2_E03_TIGIT	849807	221737
4-2_E04_SIAH1A	1320617	381446
4-2_E05_JUP	1739916	614023
4-2_E06_CELSR2	5340958	1618412
4-2_E07_APC	3238522	523295
4-2_E08_MLC1	1939929	453523
4-2_E09_CDKN2B	9133999	2711648
4-2_E10_SEMA3E	622622	207816
4-2_E11_SLC34A2	3847465	1326271
4-2_F02_TIGIT	1454006	282852
4-2_F03_ZNRF3	2294036	676679
4-2_F04_USP6NL	1093630	256817
4-2_F05_SH3RF1	3527356	978432
4-2_F06_CELSR3	1004413	230325
4-2_F07_SPRY1	2048019	479418
4-2_F08_ZFP385B	2383861	685803
4-2_F09_BDNF	4618752	2005476
4-2_F10_ZFP365	849820	184388
4-2_F11_NPR1	2024422	693819
4-2_G02_RNF43	5444097	1728925
4-2_G03_LGR4	3403550	1127379
4-2_G04_DVL1	4363831	1370596
4-2_G05_PDLIM2	1634506	269727
4-2_G06_USP6NL	2177938	536867
4-2_G07_SPRY2	1805152	294764
4-2_G08_LRG1	838673	269182
4-2_G09_CSF1R	2237153	544491
4-2_G10_TDTOMATO	2509299	544629
4-2_G11_TIGIT	6638445	2383277
4-3_B02_ATF6	835596	385567
4-3_B03_CTCF	838469	421495
4-3_B04_TIGIT	894217	379049
4-3_B05_TDTOMATO	711080	300583
4-3_B06_RYK	278393	96445
4-3_B07_RNF43	1081673	507933
4-3_B08_NKD1	481396	161920
4-3_B09_SLC34A2	1074251	502559
4-3_B10_RBPJL	1039092	430291
4-3_B11_SLC6A14	201239	90548
4-3_C02_LAMP2	1103298	435657
4-3_C03_LGR5	961860	433476
4-3_C04_CTNNB1	1406622	483700
4-3_C05_DVL3	655279	336342
4-3_C06_DVL2	163796	78199
4-3_C07_SPRY4	449389	207439
4-3_C08_NKD2	1249321	560817
4-3_C09_TIGIT	1193982	501742
4-3_C10_HOPX	744158	363123
4-3_C11_CD36	300913	124730
4-3_D02_CRELD1	928190	369530
4-3_D03_LGR6	679419	372669
4-3_D04_PORCN	1253018	531181
4-3_D05_WIF1	501831	243230
4-3_D06_GSK3B	97366	56290
4-3_D07_TIGIT	595674	234352
4-3_D08_FBXW11	1175984	565023
4-3_D09_PDE7B	1271859	529203
4-3_D10_HBEGF	346068	157893
4-3_D11_KCNJ15	7147	3204
4-3_E02_CRISPLD2	1387105	708967
4-3_E03_TIGIT	740613	335121
4-3_E04_SIAH1A	1523850	578616
4-3_E05_JUP	819527	325305
4-3_E06_CELSR2	11770	4643
4-3_E07_APC	308197	110053
4-3_E08_MLC1	1133083	420895
4-3_E09_CDKN2B	1013081	369522
4-3_E10_SEMA3E	128132	56797
4-3_E11_SLC34A2	77986	33991
4-3_F02_TIGIT	1261095	458319
4-3_F03_ZNRF3	1492193	581727
4-3_F04_USP6NL	1337684	577323
4-3_F05_SH3RF1	631266	276247
4-3_F06_CELSR3	292535	128596
4-3_F07_SPRY1	385758	130571
4-3_F08_ZFP385B	1327475	491010
4-3_F09_BDNF	819064	334705
4-3_F10_ZFP365	533663	240987
4-3_F11_NPR1	177493	73938
4-3_G02_RNF43	845338	351766
4-3_G03_LGR4	691432	285333
4-3_G04_DVL1	1436198	639636
4-3_G05_PDLIM2	875792	393134
4-3_G06_USP6NL	179251	63377
4-3_G07_SPRY2	25	10
4-3_G08_LRG1	1554253	590943
4-3_G09_CSF1R	1264064	681754
4-3_G10_TDTOMATO	1014712	521075
4-3_G11_TIGIT	266070	123034
4-4_B02_ATF6	3160610	1099137
4-4_B03_CTCF	4420407	1637938
4-4_B04_TIGIT	641752	155514
4-4_B05_TDTOMATO	3980101	1224353
4-4_B06_RYK	1041375	276188
4-4_B07_RNF43	1386482	378883
4-4_B08_NKD1	2119694	467642
4-4_B09_SLC34A2	1675446	492289
4-4_B10_RBPJL	1529378	403924
4-4_B11_SLC6A14	1054888	352791
4-4_C02_LAMP2	1048159	251274
4-4_C03_LGR5	1855333	729486
4-4_C04_CTNNB1	3990040	1037452
4-4_C05_DVL3	669058	218146
4-4_C06_DVL2	1083299	412895
4-4_C07_SPRY4	4421374	1624401
4-4_C08_NKD2	2476356	905238
4-4_C09_TIGIT	1105625	421003
4-4_C10_HOPX	675090	206576
4-4_C11_CD36	598840	125411
4-4_D02_CRELD1	176804	60842
4-4_D03_LGR6	101993	33300
4-4_D04_PORCN	198512	65967
4-4_D05_WIF1	99514	32654
4-4_D06_GSK3B	7528967	3871694
4-4_D07_TIGIT	399888	175232
4-4_D08_FBXW11	1900544	704279
4-4_D09_PDE7B	688577	205205
4-4_D10_HBEGF	1038294	294780
4-4_D11_KCNJ15	235886	47616
4-4_E02_CRISPLD2	1581285	371028
4-4_E03_TIGIT	1209895	253670
4-4_E04_SIAH1A	1572971	352655
4-4_E05_JUP	1001065	231539
4-4_E06_CELSR2	1038139	309687
4-4_E07_APC	1213166	341995
4-4_E08_MLC1	1514302	339284
4-4_E09_CDKN2B	1035422	159040
4-4_E10_SEMA3E	1000061	302841
4-4_E11_SLC34A2	573693	135583
4-4_F02_TIGIT	2754060	744060
4-4_F03_ZNRF3	859836	283522
4-4_F04_USP6NL	1482379	451338
4-4_F05_SH3RF1	762490	184602
4-4_F06_CELSR3	1150137	316693
4-4_F07_SPRY1	1872768	477588
4-4_F08_ZFP385B	1171690	315015
4-4_F09_BDNF	1513097	339116
4-4_F10_ZFP365	999932	205084
4-4_F11_NPR1	1548468	486789
4-4_G02_RNF43	933547	343826
4-4_G03_LGR4	1230377	413910
4-4_G04_DVL1	2054689	697277
4-4_G05_PDLIM2	2421908	795582
4-4_G06_USP6NL	4426778	1706747
4-4_G07_SPRY2	2874122	749448
4-4_G08_LRG1	2877763	925336
4-4_G09_CSF1R	1022675	342506
4-4_G10_TDTOMATO	1138802	328597
4-4_G11_TIGIT	177852	42791
