resource,ligand,receptor,human_ligand,human_receptor,family
consensus,Wnt3,Fzd2_Lrp5,WNT3,FZD2_LRP5,exploratory
consensus,Wnt3,Fzd8_Lrp5,WNT3,FZD8_LRP5,exploratory
consensus,Wnt3,Fzd3_Lrp5,WNT3,FZD3_LRP5,exploratory
consensus,Wnt3,Fzd4_Lrp5,WNT3,FZD4_LRP5,exploratory
consensus,Wnt3,Fzd10_Lrp5,WNT3,FZD10_LRP5,exploratory
consensus,Wnt3,Fzd1_Lrp5,WNT3,FZD1_LRP5,exploratory
consensus,Wnt3,Fzd5_Lrp6,WNT3,FZD5_LRP6,exploratory
consensus,Wnt3,Fzd2_Lrp6,WNT3,FZD2_LRP6,exploratory
consensus,Wnt3,Fzd8_Lrp6,WNT3,FZD8_LRP6,exploratory
consensus,Wnt3,Fzd3_Lrp6,WNT3,FZD3_LRP6,exploratory
consensus,Wnt3,Fzd4_Lrp6,WNT3,FZD4_LRP6,exploratory
consensus,Wnt3,Fzd10_Lrp6,WNT3,FZD10_LRP6,exploratory
consensus,Wnt3,Fzd1_Lrp6,WNT3,FZD1_LRP6,exploratory
consensus,Wnt3,Ryk,WNT3,RYK,exploratory
consensus,Wnt3,Ror2,WNT3,ROR2,exploratory
consensus,Wnt3a,Fzd9_Lrp5,WNT3A,FZD9_LRP5,exploratory
consensus,Wnt3a,Fzd9_Lrp6,WNT3A,FZD9_LRP6,exploratory
consensus,Wnt3a,Fzd6_Lrp5,WNT3A,FZD6_LRP5,exploratory
consensus,Wnt3a,Fzd6_Lrp6,WNT3A,FZD6_LRP6,exploratory
consensus,Wnt3a,Fzd7_Lrp5,WNT3A,FZD7_LRP5,exploratory
consensus,Wnt3a,Fzd7_Lrp6,WNT3A,FZD7_LRP6,exploratory
consensus,Wnt3a,Fzd5_Lrp5,WNT3A,FZD5_LRP5,exploratory
consensus,Wnt3a,Fzd2_Lrp5,WNT3A,FZD2_LRP5,exploratory
consensus,Wnt3a,Fzd8_Lrp5,WNT3A,FZD8_LRP5,exploratory
consensus,Wnt3a,Fzd3_Lrp5,WNT3A,FZD3_LRP5,exploratory
consensus,Wnt3a,Fzd4_Lrp5,WNT3A,FZD4_LRP5,exploratory
consensus,Wnt3a,Fzd10_Lrp5,WNT3A,FZD10_LRP5,exploratory
consensus,Wnt3a,Fzd1_Lrp5,WNT3A,FZD1_LRP5,exploratory
consensus,Wnt3a,Fzd5_Lrp6,WNT3A,FZD5_LRP6,exploratory
consensus,Wnt3a,Fzd2_Lrp6,WNT3A,FZD2_LRP6,exploratory
consensus,Wnt3a,Fzd8_Lrp6,WNT3A,FZD8_LRP6,exploratory
consensus,Wnt3a,Fzd3_Lrp6,WNT3A,FZD3_LRP6,exploratory
consensus,Wnt3a,Fzd4_Lrp6,WNT3A,FZD4_LRP6,exploratory
consensus,Wnt3a,Fzd10_Lrp6,WNT3A,FZD10_LRP6,exploratory
consensus,Wnt3a,Fzd1_Lrp6,WNT3A,FZD1_LRP6,exploratory
consensus,Wnt3a,Lgr5,WNT3A,LGR5,exploratory
consensus,Wnt3a,Atp6ap2,WNT3A,ATP6AP2,exploratory
consensus,Wnt3a,Ryk,WNT3A,RYK,exploratory
consensus,Wnt3a,Ror1,WNT3A,ROR1,exploratory
consensus,Wnt3a,Lrp1,WNT3A,LRP1,exploratory
consensus,Wnt3a,Apcdd1,WNT3A,APCDD1,exploratory
consensus,Wnt4,Fzd9_Lrp5,WNT4,FZD9_LRP5,exploratory
consensus,Wnt4,Fzd9_Lrp6,WNT4,FZD9_LRP6,exploratory
consensus,Wnt4,Fzd6_Lrp5,WNT4,FZD6_LRP5,exploratory
consensus,Wnt4,Fzd6_Lrp6,WNT4,FZD6_LRP6,exploratory
consensus,Wnt4,Fzd7_Lrp5,WNT4,FZD7_LRP5,exploratory
consensus,Wnt4,Fzd7_Lrp6,WNT4,FZD7_LRP6,exploratory
consensus,Wnt4,Fzd5_Lrp5,WNT4,FZD5_LRP5,exploratory
consensus,Wnt4,Fzd2_Lrp5,WNT4,FZD2_LRP5,exploratory
consensus,Wnt4,Fzd8_Lrp5,WNT4,FZD8_LRP5,exploratory
