patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
22,AIS,Alveolar fibroblasts,fibroblasts,subtype,585,1406886,GSM9237964,1,0.2,largest_library,unc20_largest_library_1899
22,AIS,Alveolar macrophages,macrophages,subtype,350,4517781,GSM9237964,1,0.2,largest_library,unc20_largest_library_1900
22,AIS,Interstitial Mph perivascular,macrophages,subtype,45,93998,GSM9237964,1,0.2,largest_library,unc20_largest_library_1912
22,AIS,Monocyte-derived Mph,macrophages,subtype,18,85829,GSM9237964,1,0.2,largest_library,unc20_largest_library_1915
22,AIS,Myofibroblasts,fibroblasts,subtype,11,19970,GSM9237964,1,0.2,largest_library,unc20_largest_library_1917
22,LUAD,AT2,AT2,subtype,1112,5603891,GSM9237965,1,0.2,largest_library,unc20_largest_library_1929
22,LUAD,AT2 proliferating,AT2,subtype,1,17437,GSM9237965,1,0.2,largest_library,unc20_largest_library_1930
22,LUAD,Adventitial fibroblasts,fibroblasts,subtype,54,136855,GSM9237965,1,0.2,largest_library,unc20_largest_library_1931
22,LUAD,Alveolar fibroblasts,fibroblasts,subtype,758,1749429,GSM9237965,1,0.2,largest_library,unc20_largest_library_1932
22,LUAD,Alveolar macrophages,macrophages,subtype,301,4023504,GSM9237965,1,0.2,largest_library,unc20_largest_library_1933
22,LUAD,Interstitial Mph perivascular,macrophages,subtype,57,132510,GSM9237965,1,0.2,largest_library,unc20_largest_library_1947
22,LUAD,Monocyte-derived Mph,macrophages,subtype,24,164747,GSM9237965,1,0.2,largest_library,unc20_largest_library_1951
22,LUAD,Myofibroblasts,fibroblasts,subtype,9,17316,GSM9237965,1,0.2,largest_library,unc20_largest_library_1953
22,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,1,1386,GSM9237965,1,0.2,largest_library,unc20_largest_library_1956
22,normal,AT2,AT2,subtype,428,1676892,GSM9237962,1,0.2,largest_library,unc20_largest_library_1968
22,normal,Adventitial fibroblasts,fibroblasts,subtype,16,44011,GSM9237962,1,0.2,largest_library,unc20_largest_library_1969
22,normal,Alveolar fibroblasts,fibroblasts,subtype,413,950522,GSM9237962,1,0.2,largest_library,unc20_largest_library_1970
22,normal,Alveolar macrophages,macrophages,subtype,181,2079350,GSM9237962,1,0.2,largest_library,unc20_largest_library_1971
22,normal,Interstitial Mph perivascular,macrophages,subtype,41,87324,GSM9237962,1,0.2,largest_library,unc20_largest_library_1984
22,normal,Monocyte-derived Mph,macrophages,subtype,2,5693,GSM9237962,1,0.2,largest_library,unc20_largest_library_1987
22,normal,Myofibroblasts,fibroblasts,subtype,5,10803,GSM9237962,1,0.2,largest_library,unc20_largest_library_1989
23,AIS,AT2,AT2,subtype,3469,14376347,GSM9237968,1,0.2,largest_library,unc20_largest_library_2000
23,AIS,AT2 proliferating,AT2,subtype,2,19012,GSM9237968,1,0.2,largest_library,unc20_largest_library_2001
23,AIS,Adventitial fibroblasts,fibroblasts,subtype,313,1235565,GSM9237968,1,0.2,largest_library,unc20_largest_library_2002
23,AIS,Alveolar fibroblasts,fibroblasts,subtype,2980,8335865,GSM9237968,1,0.2,largest_library,unc20_largest_library_2003
23,AIS,Alveolar macrophages,macrophages,subtype,137,1189805,GSM9237968,1,0.2,largest_library,unc20_largest_library_2004
23,AIS,Interstitial Mph perivascular,macrophages,subtype,51,134832,GSM9237968,1,0.2,largest_library,unc20_largest_library_2018
23,AIS,Monocyte-derived Mph,macrophages,subtype,242,915485,GSM9237968,1,0.2,largest_library,unc20_largest_library_2024
23,AIS,Myofibroblasts,fibroblasts,subtype,9,12977,GSM9237968,1,0.2,largest_library,unc20_largest_library_2026
23,AIS,Peribronchial fibroblasts,fibroblasts,subtype,18,40688,GSM9237968,1,0.2,largest_library,unc20_largest_library_2030
23,LUAD,AT2,AT2,subtype,3221,12967849,GSM9237969,1,0.2,largest_library,unc20_largest_library_2046
23,LUAD,AT2 proliferating,AT2,subtype,4,51329,GSM9237969,1,0.2,largest_library,unc20_largest_library_2047
23,LUAD,Adventitial fibroblasts,fibroblasts,subtype,63,326045,GSM9237969,1,0.2,largest_library,unc20_largest_library_2048
23,LUAD,Alveolar fibroblasts,fibroblasts,subtype,3630,9547624,GSM9237969,1,0.2,largest_library,unc20_largest_library_2049
23,LUAD,Alveolar macrophages,macrophages,subtype,99,1011159,GSM9237969,1,0.2,largest_library,unc20_largest_library_2050
