dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
development,HALLMARK_E2F_TARGETS,P5:1_1_1,AT1,78,0.04523339907955293
development,HALLMARK_E2F_TARGETS,P5:1_1_1,AT2,377,0.03863157178807046
development,HALLMARK_E2F_TARGETS,P5:2_1_1_1,AT1,180,0.0662962962962963
development,HALLMARK_E2F_TARGETS,P5:2_1_1_1,AT2,664,0.056526104417670676
development,HALLMARK_E2F_TARGETS,P5:2_1_1_1,Transitional,7,0.05421245421245421
development,HALLMARK_E2F_TARGETS,P7:1_1,AT1,263,0.1416203568294823
development,HALLMARK_E2F_TARGETS,P7:1_1,AT2,3500,0.09995897435897436
development,HALLMARK_E2F_TARGETS,P7:1_1,Transitional,17,0.11432880844645552
development,HALLMARK_E2F_TARGETS,P7:2_1,AT1,16,0.07243589743589743
development,HALLMARK_E2F_TARGETS,P7:2_1,AT2,76,0.04008097165991902
development,HALLMARK_E2F_TARGETS,P7:2_1,Transitional,4,0.09615384615384615
development,HALLMARK_E2F_TARGETS,P7:2_1_1,AT1,7,0.11501831501831503
development,HALLMARK_E2F_TARGETS,P7:2_1_1,AT2,87,0.13345122310639548
development,HALLMARK_E2F_TARGETS,P7:2_1_1,Transitional,85,0.11354449472096528
development,HALLMARK_G2M_CHECKPOINT,P0:1_1_1_1_1,AT1,166,0.11183029992309663
development,HALLMARK_G2M_CHECKPOINT,P0:1_1_1_1_1,AT2,436,0.1199858481358579
development,HALLMARK_G2M_CHECKPOINT,P0:1_1_1_1_1,Transitional,27,0.09889676910953506
development,HALLMARK_G2M_CHECKPOINT,P0:2_1_1_1_1,AT1,159,0.10052856951692761
development,HALLMARK_G2M_CHECKPOINT,P0:2_1_1_1_1,AT2,208,0.08814954991816694
development,HALLMARK_G2M_CHECKPOINT,P0:2_1_1_1_1,Transitional,9,0.06855791962174941
development,HALLMARK_G2M_CHECKPOINT,P14:1,AT1,4,0.11170212765957446
development,HALLMARK_G2M_CHECKPOINT,P14:1,AT2,5,0.08829787234042553
development,HALLMARK_G2M_CHECKPOINT,P14:1,Transitional,1,0.18085106382978725
development,HALLMARK_G2M_CHECKPOINT,P14:2,AT1,34,0.17209011264080099
development,HALLMARK_G2M_CHECKPOINT,P14:2,AT2,226,0.13163716814159293
development,HALLMARK_G2M_CHECKPOINT,P14:2,Transitional,32,0.17503324468085107
development,HALLMARK_G2M_CHECKPOINT,P3:1_1_1_1,AT1,419,0.09924846392119027
development,HALLMARK_G2M_CHECKPOINT,P3:1_1_1_1,AT2,1203,0.05360269538918662
development,HALLMARK_G2M_CHECKPOINT,P3:1_1_1_1,Transitional,8,0.09906914893617022
development,HALLMARK_G2M_CHECKPOINT,P5:1_1_1,AT1,78,0.0566693944353519
development,HALLMARK_G2M_CHECKPOINT,P5:1_1_1,AT2,377,0.045064619899542864
development,HALLMARK_G2M_CHECKPOINT,P5:2_1_1_1,AT1,180,0.07677304964539007
development,HALLMARK_G2M_CHECKPOINT,P5:2_1_1_1,AT2,664,0.0663451679056652
development,HALLMARK_G2M_CHECKPOINT,P5:2_1_1_1,Transitional,7,0.06914893617021277
development,HALLMARK_G2M_CHECKPOINT,P7:1_1,AT1,263,0.15219237925734164
development,HALLMARK_G2M_CHECKPOINT,P7:1_1,AT2,3500,0.11277507598784194
development,HALLMARK_G2M_CHECKPOINT,P7:1_1,Transitional,17,0.13986232790988737
development,HALLMARK_G2M_CHECKPOINT,P7:2_1,AT1,16,0.08244680851063829
development,HALLMARK_G2M_CHECKPOINT,P7:2_1,AT2,76,0.06096024636058232
development,HALLMARK_G2M_CHECKPOINT,P7:2_1,Transitional,4,0.08111702127659574
development,HALLMARK_G2M_CHECKPOINT,P7:2_1_1,AT1,7,0.13145896656534956
development,HALLMARK_G2M_CHECKPOINT,P7:2_1_1,AT2,87,0.14863047199804352
development,HALLMARK_G2M_CHECKPOINT,P7:2_1_1,Transitional,85,0.12753441802252816
development,Immediate_early_AP1_panel,P0:1_1_1_1_1,AT1,166,0.6295180722891566
development,Immediate_early_AP1_panel,P0:1_1_1_1_1,AT2,436,0.7032683486238532
development,Immediate_early_AP1_panel,P0:1_1_1_1_1,Transitional,27,0.6388888888888888
development,Immediate_early_AP1_panel,P0:2_1_1_1_1,AT1,159,0.49764150943396224
development,Immediate_early_AP1_panel,P0:2_1_1_1_1,AT2,208,0.3972355769230769
development,Immediate_early_AP1_panel,P0:2_1_1_1_1,Transitional,9,0.6111111111111112
development,Immediate_early_AP1_panel,P14:1,AT1,4,0.0625
development,Immediate_early_AP1_panel,P14:1,AT2,5,0.075
development,Immediate_early_AP1_panel,P14:1,Transitional,1,0.25
development,Immediate_early_AP1_panel,P14:2,AT1,34,0.49264705882352944
development,Immediate_early_AP1_panel,P14:2,AT2,226,0.4944690265486726
development,Immediate_early_AP1_panel,P14:2,Transitional,32,0.51171875
development,Immediate_early_AP1_panel,P3:1_1_1_1,AT1,419,0.331145584725537
development,Immediate_early_AP1_panel,P3:1_1_1_1,AT2,1203,0.3325020781379884
development,Immediate_early_AP1_panel,P3:1_1_1_1,Transitional,8,0.5625
development,Immediate_early_AP1_panel,P5:1_1_1,AT1,78,0.27403846153846156
development,Immediate_early_AP1_panel,P5:1_1_1,AT2,377,0.32161803713527853
development,Immediate_early_AP1_panel,P5:2_1_1_1,AT1,180,0.23472222222222222
development,Immediate_early_AP1_panel,P5:2_1_1_1,AT2,664,0.34243222891566266
development,Immediate_early_AP1_panel,P5:2_1_1_1,Transitional,7,0.26785714285714285
development,Immediate_early_AP1_panel,P7:1_1,AT1,263,0.5575095057034221
development,Immediate_early_AP1_panel,P7:1_1,AT2,3500,0.4632142857142857
development,Immediate_early_AP1_panel,P7:1_1,Transitional,17,0.40441176470588236
development,Immediate_early_AP1_panel,P7:2_1,AT1,16,0.234375
