feature_index,name_0,gene
711,Ivns1abp,Ivns1abp
712,Swt1,Swt1
713,Trmt1l,Trmt1l
714,Rnf2,Rnf2
715,Fam129a,Fam129a
716,2810414N06Rik,2810414N06Rik
717,Edem3,Edem3
718,1700025G04Rik,1700025G04Rik
719,Tsen15,Tsen15
720,Colgalt2,Colgalt2
721,Rgl1,Rgl1
722,Apobec4,Apobec4
723,Arpc5,Arpc5
724,Ncf2,Ncf2
725,Smg7,Smg7
726,Nmnat2,Nmnat2
727,Lamc2,Lamc2
728,Lamc1,Lamc1
729,Shcbp1l,Shcbp1l
730,Dhx9,Dhx9
731,Npl,Npl
732,Rgs16,Rgs16
733,Rnasel,Rnasel
734,Rgsl1,Rgsl1
735,Teddm2,Teddm2
736,Glul,Glul
737,A830008E24Rik,A830008E24Rik
738,Gm9530,Gm9530
739,Ier5,Ier5
740,Mr1,Mr1
741,Stx6,Stx6
742,BC034090,BC034090
743,Xpr1,Xpr1
744,Acbd6,Acbd6
745,Qsox1,Qsox1
746,Cep350,Cep350
747,Tor1aip1,Tor1aip1
748,Tor1aip2,Tor1aip2
749,Fam163a,Fam163a
750,Tdrd5,Tdrd5
751,Nphs2,Nphs2
752,Axdnd1,Axdnd1
753,Gm2000,Gm2000
754,Soat1,Soat1
755,Gm10031,Gm10031
756,Abl2,Abl2
757,Tor3a,Tor3a
758,Fam20b,Fam20b
759,Ralgps2,Ralgps2
760,Angptl1,Angptl1
761,4930439D14Rik,4930439D14Rik
762,Rasal2,Rasal2
763,Cryzl2,Cryzl2
764,Sec16b,Sec16b
765,Brinp2,Brinp2
766,Astn1,Astn1
767,Pappa2,Pappa2
768,Cop1,Cop1
769,Tnr,Tnr
770,4930523C07Rik,4930523C07Rik
771,Tnn,Tnn
772,Mrps14,Mrps14
773,Cacybp,Cacybp
774,Rabgap1l,Rabgap1l
775,Gm36975,Gm36975
776,Rc3h1,Rc3h1
777,Serpinc1,Serpinc1
778,Zbtb37,Zbtb37
779,Dars2,Dars2
780,Cenpl,Cenpl
781,Klhl20,Klhl20
782,Ankrd45,Ankrd45
783,Prdx6,Prdx6
784,Suco,Suco
785,Pigc,Pigc
786,Gm38304,Gm38304
787,Dnm3,Dnm3
788,2810442N19Rik,2810442N19Rik
789,Dnm3os,Dnm3os
790,Mettl13,Mettl13
791,Vamp4,Vamp4
792,Prrc2c,Prrc2c
793,Fmo4,Fmo4
794,Fmo1,Fmo1
795,Fmo2,Fmo2
796,Fmo6,Fmo6
797,Fmo3,Fmo3
798,Prrx1,Prrx1
799,Gorab,Gorab
800,Mettl11b,Mettl11b
801,Kifap3,Kifap3
802,Scyl3,Scyl3
803,BC055324,BC055324
804,Mettl18,Mettl18
805,Selp,Selp
806,Gm16548,Gm16548
807,F5,F5
808,Slc19a2,Slc19a2
809,Ccdc181,Ccdc181
810,Blzf1,Blzf1
811,Nme7,Nme7
812,Atp1b1,Atp1b1
813,Gm32391,Gm32391
814,Dpt,Dpt
815,Gm32569,Gm32569
816,Sft2d2,Sft2d2
817,Tiprl,Tiprl
818,Gpr161,Gpr161
819,Dcaf6,Dcaf6
820,Mpc2,Mpc2
821,Mpzl1,Mpzl1
822,Rcsd1,Rcsd1
823,Creg1,Creg1
824,Cd247,Cd247
825,Pou2f1,Pou2f1
826,Gpa33,Gpa33
827,Ildr2,Ildr2
828,Gm15853,Gm15853
829,Tada1,Tada1
830,Pogk,Pogk
831,Fam78b,Fam78b
832,Uck2,Uck2
833,Tmco1,Tmco1
834,Aldh9a1,Aldh9a1
835,Mgst3,Mgst3
836,Rxrg,Rxrg
837,Pbx1,Pbx1
838,Nuf2,Nuf2
839,Rgs5,Rgs5
