patient,histology,broad,cells,median_library_size,median_detected_genes,median_mito_percent,median_uncertainty
8,LUAD,Unassigned,3382,2101.0,1570.0,0.5406217271642324,0.43998403870921154
8,normal,AT2-like,211,1270.0,826.0,0.5269100489273617,0.0
8,normal,Fibroblasts,22,1758.5,1039.5,0.39115502750869136,0.09996382841282489
8,normal,Macrophages,2,1390.0,1022.5,1.2226599154598188,0.0899979968794488
8,normal,Other assigned,18,1319.5,958.5,0.7735111536055006,0.0300086952340171
8,normal,Other epithelial,76,1327.0,1000.5,0.628580544056023,3.3306690738754696e-16
8,normal,Other myeloid,1,1034.0,786.0,1.0638297872340423,0.1399849536531956
8,normal,Unassigned,144,1550.5,1091.0,0.7515658930297362,0.43999919066552207
9,AAH,AT2-like,220,2657.0,1540.0,0.5710029406010999,0.0
9,AAH,Fibroblasts,139,1458.0,1057.0,0.1998401278976818,1.1102230246251563e-16
9,AAH,Macrophages,60,10264.0,3867.5,0.8593943959797619,0.05997565730417035
9,AAH,Other assigned,204,1224.0,944.0,0.5357190684932205,0.019999216389649903
9,AAH,Other epithelial,143,2040.0,1395.0,0.3190810465858328,0.0
9,AAH,Other myeloid,21,1316.0,1008.0,0.979706088173548,2.220446049250313e-16
9,AAH,Unassigned,222,1837.0,1314.0,0.7581714540094222,0.3999495102332222
9,AIS,AT2-like,658,2848.5,1618.0,0.33079736609573207,0.0
9,AIS,Fibroblasts,466,1514.0,1111.0,0.17130699534133004,3.3306690738754696e-16
9,AIS,Macrophages,55,4635.0,2223.0,0.7065735154017149,0.059991645875385
9,AIS,Other assigned,729,1328.0,1028.0,0.412087912087912,0.0399711016806582
9,AIS,Other epithelial,613,2225.0,1526.0,0.2495840266222961,1.1102230246251563e-16
9,AIS,Other myeloid,129,2052.0,1403.0,0.6957158549981691,0.0199959794745278
9,AIS,Unassigned,1120,1657.5,1214.5,0.5103906943610081,0.3998749296708213
9,LUAD,AT2-like,677,2336.0,1229.0,0.5716463414634146,1.1102230246251563e-16
9,LUAD,Fibroblasts,356,1476.0,964.5,0.2976531235347356,0.03998457454498375
9,LUAD,Macrophages,93,2291.0,1327.0,0.580130529369108,0.0999974974900088
9,LUAD,Other assigned,622,1337.0,935.5,0.8633598663184723,3.3306690738754696e-16
9,LUAD,Other epithelial,767,2078.0,1380.0,0.5244050020169423,0.019981131438701
9,LUAD,Other myeloid,51,1380.0,942.0,1.04754230459307,0.0199961907388075
9,LUAD,Unassigned,1923,1751.0,1177.0,0.7457121551081283,0.4399617134423701
9,normal,AT2-like,279,3036.0,1699.0,0.2995805871779509,0.0
9,normal,Fibroblasts,246,1664.0,1185.5,0.1482619609705058,0.01999218337063205
9,normal,Macrophages,40,13201.5,4501.0,0.8119558209341667,0.06996929061308921
9,normal,Other assigned,452,1473.0,1091.5,0.4328451681279506,0.03997024290254585
9,normal,Other epithelial,377,2492.0,1625.0,0.2175489485134155,1.1102230246251563e-16
9,normal,Other myeloid,52,2650.5,1642.0,0.6985655848278507,0.0199836961159463
9,normal,Unassigned,543,1742.0,1258.0,0.4697986577181208,0.39998148565337
10,LUAD,AT2-like,781,2601.0,1610.0,1.1936850211782826,1.1102230246251563e-16
10,LUAD,Fibroblasts,633,1638.0,1184.0,0.6951484431571325,0.0399979641984966
10,LUAD,Macrophages,191,6789.0,2951.0,1.022816679779701,0.1000095455432306
10,LUAD,Other assigned,4343,1731.0,1160.0,1.2293916998294483,0.0199740669174427
10,LUAD,Other epithelial,1177,2467.0,1675.0,1.0496391865296304,0.0199952560060018
10,LUAD,Other myeloid,218,1823.0,1274.5,1.543908785729893,1.1102230246251563e-16
10,LUAD,Unassigned,7727,2347.0,1600.0,1.6351118760757315,0.4795808966165721
10,MIA,AT2-like,451,3364.0,1780.0,0.7069059271343121,1.1102230246251563e-16
10,MIA,Fibroblasts,284,1404.0,981.0,0.18613796209680206,3.3306690738754696e-16
10,MIA,Macrophages,38,3055.5,1751.0,0.8333270207280706,0.10989119924333494
10,MIA,Other assigned,343,1743.0,1012.0,0.5139500734214391,1.1102230246251563e-16
10,MIA,Other epithelial,379,1710.0,1198.0,0.3190810465858328,1.1102230246251563e-16
10,MIA,Other myeloid,84,1670.0,1170.0,1.0737571573135893,0.01999587602476815
10,MIA,Unassigned,730,1714.0,1204.5,0.7450788147364298,0.419999747865513
10,normal,AT2-like,176,2042.0,1226.5,0.39439237233354874,1.1102230246251563e-16
10,normal,Fibroblasts,102,1636.0,1067.5,0.15972552636289683,0.029990122811885997
10,normal,Macrophages,24,2888.5,1582.5,0.6517412159669063,0.11997430829666045
10,normal,Other assigned,89,1364.0,955.0,0.334448160535117,0.0199955223034026
10,normal,Other epithelial,266,1728.0,1183.0,0.2643946447894908,0.01997427594458335
10,normal,Other myeloid,21,1418.0,946.0,0.6567164179104478,0.0399385157379269
10,normal,Unassigned,448,1731.0,1179.0,0.5244187305663413,0.4000954988140887
11,AAH,AT2-like,462,3670.5,1962.5,0.7758626455578519,2.220446049250313e-16
11,AAH,Fibroblasts,282,1340.5,970.5,0.2199820304321245,0.019989237180385
11,AAH,Macrophages,92,5815.5,2718.5,1.0006239327386421,0.0999508538396763
11,AAH,Other assigned,243,1500.0,978.0,0.8174386920980926,0.0199969571729646
11,AAH,Other epithelial,497,1712.0,1260.0,0.3001500750375188,0.0199856118789425
11,AAH,Other myeloid,60,1481.0,1059.0,1.3173698435708014,5.5511151231257815e-17
11,AAH,Unassigned,742,1870.5,1297.5,0.8157289244950191,0.41999887841109695
11,LUAD,AT2-like,578,3086.0,1685.0,1.1510255930671156,2.220446049250313e-16
11,LUAD,Fibroblasts,650,1953.5,1158.5,0.7155985870913586,0.0997462226271209
11,LUAD,Macrophages,214,4973.5,2282.5,1.6629122281342623,0.119966868075655
11,LUAD,Other assigned,2408,1919.0,1081.0,1.3426210840016477,3.3306690738754696e-16
11,LUAD,Other epithelial,320,1915.5,1341.5,0.4961820033206822,2.220446049250313e-16
11,LUAD,Other myeloid,114,2313.5,1435.5,1.5434772003203057,1.1102230246251563e-16
11,LUAD,Unassigned,3595,2059.0,1345.0,1.5151515151515151,0.4200495475270324
11,normal,AT2-like,144,2700.5,1545.5,0.49985394089055574,0.0
11,normal,Fibroblasts,143,1247.0,934.0,0.1428571428571428,3.3306690738754696e-16
11,normal,Macrophages,25,2927.0,1898.0,0.4340962904498816,0.0600383460010638
11,normal,Other assigned,110,1288.5,992.0,0.577053158662808,0.0399855387673356
11,normal,Other epithelial,258,1660.0,1203.0,0.14020372539923415,3.885780586188048e-16
11,normal,Other myeloid,26,1412.5,1058.5,0.9593759882079349,0.03002768656060205
