gene,input_variance,PC1_loading,PC2_loading
MKI67,2.3511777409331485,0.04356634189737005,-0.013018722616875632
LTB,2.3431288874909955,0.04835932872160632,-0.0025251991815156563
FOSB,2.3417306801500097,-0.025669616914643784,0.013687088183889374
RAMP1,2.325298223839181,0.04356098936850838,0.013741022802266184
EPGN,2.3209042027029576,-0.022746375605661118,0.025555373879912725
OAS1,2.320551374496443,0.048372689114681115,-0.0050968249798046305
PLAU,2.320136463722238,0.0472812232235948,0.025326997806845143
HORMAD1,2.3197256866736184,0.0032938355257354436,0.030763228371256057
MMP17,2.318088069753455,0.03499276896791776,0.025839110301858852
PCSK1N,2.314053965362097,0.03580621100416681,0.01322298220556273
MYRFL,2.3096487952430365,-0.006745537585841325,-0.010506762439670416
ACHE,2.298249577549567,0.015064913084855375,0.03261244192299284
FAM155A,2.2973299462249765,0.015855836375541346,-0.004481749668739396
AKR1C3,2.2960380388113855,0.03849911746532371,0.025872822722855807
XAGE2,2.287354982804577,0.0052144626455390124,-0.03492775814592128
MMP7,2.2860454344669425,0.039128288966696845,-0.021427008907501068
IL37,2.283939793755396,0.036920278813153046,0.015514839859026701
RGS1,2.2828655949708905,0.04665340662762423,0.011725675421939807
AGAP2,2.2600395122242793,0.03939626344372109,-0.0016700684853153463
B3GNT3,2.2559828126478636,0.04428731262777666,0.01040344124532041
SYT7,2.255226755082764,0.039386801479446065,0.03271758525588205
CORIN,2.253502123280024,-0.021731062359676895,-0.045028903416225584
ALDH3A1,2.252094769979827,0.02726303162566515,0.021175336431301615
CD163,2.2461049821347006,0.03085468270217943,-0.03234549639846952
MS4A15,2.2298343952337563,0.008100369903696333,-0.03198485404547486
KCNE4,2.228529042914062,0.008867023739964274,0.03756304366443443
CD274,2.2279394673452515,-0.001381129862247692,0.052308534769108836
CLCF1,2.2278749291603326,0.0029197191673797484,0.05630303210580219
SLC44A5,2.22697358862999,0.01290151324824043,0.045761574496714356
PROM1,2.211081539349062,0.028256019484646903,-0.002639544918271262
RIMBP2,2.209844503832725,0.007176874949251409,0.012288874838763382
SHISA2,2.2085147935189093,-0.0026538164540388146,-0.07045859980088677
VSTM2L,2.207307514540868,0.047879465872619195,0.0024674811346887295
FAP,2.2024811543678404,0.02586386599272628,0.018763519408228544
FCN3,2.1951882216077294,0.0049202370819454505,-0.053113141526302664
NR1D1,2.1873033690518895,-0.010505037295008336,0.009217096406272909
KLB,2.1833831047933008,-0.007869062552826302,-0.03774537847737629
COL18A1,2.1761191905088344,0.0356060527978848,0.04514190791486135
AREG,2.1741362637678217,-0.010035131121111603,0.05115413568987643
GSTA1,2.1671796750269605,0.03302761474053169,0.007506204557720142
GDF15,2.165409946680407,0.021464636225540783,0.03660560168186136
ETV4,2.1646322327240286,0.03837826246063839,0.0376996002343285
FXYD2,2.1641335399789763,0.012358546807399128,-0.00846678649212935
CLDN10,2.1625031627797213,0.01276961976101805,0.028641451632053335
THBS4,2.157550067763965,0.028280957232171895,-0.002059597732965991
C1QC,2.1545690297948594,0.03976848709368203,-0.04468479278164619
TMEM63C,2.154325081253043,0.03247299741177362,0.025450347625819814
TYMS,2.1505098887818774,0.04380563110532529,0.005525245771434704
ST8SIA4,2.143072855373919,0.036396638155102114,0.00889714408887784
PLAT,2.138926675213041,0.026716620470163144,0.00836050669170939
TSPAN8,2.135712417455639,0.03633413444633811,-0.011557415344910569
DOC2B,2.124544191937678,0.014447555851201381,0.04559739503863346
TNNT1,2.121736404833237,0.0367679206080694,0.005371244373938245
SPINK13,2.120251663480063,0.03205294441698844,-0.006343424932800535
PEG10,2.115862085843027,-0.0004090736113381822,-0.019069759862510263
IRF4,2.113427271704551,0.024493466519104102,0.0064028783462853674
S100A8,2.108991758281097,0.020168458221691506,-0.02407531783585158
AARD,2.1032118517110785,0.00978542429502223,-0.049053301108998186
TRAC,2.1014861382670698,0.04381002538455045,-0.03263446648346593
FABP3,2.101288484159996,0.03777847872293463,0.011587700816670004
AC007906.2,2.0949862353838244,0.010243459508633607,0.02537130230050714
TMEM100,2.094741320038293,-0.0020013798323585785,-0.046825649904043094
FOSL1,2.0893170998444295,0.004101841626428391,0.027344408955815844
B3GNT6,2.083916407674909,0.01895031691796229,0.03221798770788365
ANLN,2.082894250307893,0.041953372205539415,-0.0007225894233118751
THBS1,2.0752298307139663,0.025392573156103396,0.05100441898224436
TPX2,2.0695105133088365,0.03904601466715098,0.0009906867500144964
PPM1N,2.0620961306786767,-0.017792850148503018,-0.013350156524312413
BMP4,2.0594494207944565,0.01627627503601848,-0.049453127529362
APOL4,2.051315019289644,0.022777304105336186,-0.01288269665891601
AHNAK2,2.0473438925316807,0.0433317911745608,0.01689833921302358
ADRA2A,2.0443259839755776,0.03681557645732387,-0.0012739434146207475
MMP19,2.0437100853278736,0.009368825135638609,0.036458986704852585
CLDN1,2.0411755626732027,0.020839143178420175,0.02951792554508208
GEM,2.040375427051129,-0.02362223958575842,0.031674156804686104
ITGB8,2.0319640559889836,0.039986950287321535,0.004519833880920568
C15orf48,2.0316653945314016,0.04095001749634677,0.0019104865671794983
APOE,2.027839467530855,0.04134419454970274,-0.002933201494555457
RND1,2.0153466234358204,-0.023124596767744608,0.051993560813533075
PFKP,2.00707654426271,0.030732845882248536,0.05066041120910867
RASD1,2.0048271005659797,0.024963414654525295,0.02655279107102046
CD24,2.0027895648642686,0.027775117972662074,0.022084897037855017
SPTBN2,1.999832351886223,0.04217371349605116,0.02715083920145889
SERPINA3,1.999561894423996,0.030312739254949123,-0.008060334183250738
TP63,1.9968929313095267,0.01800998585253697,0.00615839304152705
FOXJ1,1.9882229254103025,0.024207474670922484,-0.009850490178975043
PLEKHG4B,1.9778833082027862,0.014540998300586083,0.007522484675777919
AGT,1.9703147048808514,0.028646755468991605,0.020316797668477885
COL25A1,1.9671508336194439,-0.0012944244398220063,0.04443056839468699
ZNF217,1.9664590961658022,0.04606324054260628,0.022920041923801857
SLC6A3,1.9660968762795208,-0.005623207842901132,0.02164025314397251
CX3CL1,1.9639806561537936,0.038814133119779014,-0.005865839509112672
MUC15,1.9592288331023946,0.0018620363449850157,-0.06142290862625405
CD79A,1.958548648447241,0.041739125306157046,-0.0035966932854578464
AMIGO2,1.9583824170742241,0.04159182864321891,0.014599145300972425
HMCN1,1.958367715359378,0.02805091361372036,0.005187390195132323
ARC,1.9582591705256327,-0.011252415119460426,0.034152096005896186
EMB,1.9580851951111513,0.0449930132055789,0.024434022367432223
TNFSF14,1.9575164268288423,-0.026730697669770903,0.04460512968061029
TFF3,1.9571448720389732,0.020939791238062194,-0.00018078006313498602
LYZ,1.9550599514621825,0.03541247878312341,-0.037387878390455265
MFSD4A,1.9503829828607135,0.03930511607731847,0.013220152911615704
DEPTOR,1.9499011022914574,0.02953167084305428,-0.012918439227238931
PRSS12,1.949073169372743,0.014439163796590715,0.0018252045189000937
OAS2,1.946631011324865,0.039980735825255666,-0.00690982387469589
MMP11,1.9464366541703968,0.04589053105148435,0.013820644379718892
BAAT,1.9450162184143496,0.034699424814044665,0.002305541281107039
PLPP2,1.9441426204528405,0.03946877965085367,0.01837720682080914
TUBB2A,1.9408155329818793,0.03433698245128489,0.01698823731577672
EPHA10,1.9395681042941706,0.025160996188537853,0.04646424800238069
C1QA,1.9251519902756133,0.03489891477020654,-0.044640555077692476
KIF26B,1.9210171425953926,0.0321842391466211,0.0368933158035457
FAM181A,1.9153203758558697,0.007643671308538304,-0.013227880273659913
LRRC37A2,1.9121788860889508,-0.00704879677779429,-0.005541458323193333
COL17A1,1.9052687634840244,0.038797847358289506,0.02712239322456647
P2RY6,1.8998080658735477,0.041820822378497706,0.013834125845297343
SLCO1B3,1.8986117507728628,0.01827248898938854,0.02526320035443473
FGFBP1,1.8976219415440383,0.017110396604382377,-0.0004508712132589413
KLK11,1.8974747221816226,0.011541394637266982,0.0009851041657271303
MS4A1,1.894756861086219,0.04312732976683286,0.005441688898751456
AQP5,1.8946444478672018,0.017076478611225215,-0.005931620744261488
AATK,1.889870656671204,-0.014321897271994006,-0.024372255431396213
DAPP1,1.881325689282445,0.04077497811620906,0.017113093615329717
EID3,1.8813094475318202,-0.014000295373186528,0.04770319537933225
ADORA1,1.8769828037801555,0.006520835408417724,0.029330171065582483
BARX1,1.8740708248399909,0.005522520318684323,0.03946070188080505
COL3A1,1.8704282175481795,0.04283109979012176,0.00027890771984091637
CDHR3,1.8700526704890361,-0.015237730447177375,0.03535167958105107
FGL1,1.8666408527796154,0.0060875179848167895,0.0364586935845015
HBB,1.8650441925145351,0.002506776501003295,-0.023422295679844912
KCNE5,1.8637452675276187,-0.02985833785041258,0.02706562046756222
ENPP3,1.8628038819824284,0.016518756800653144,0.010517409065173025
HS3ST1,1.8588262615135358,0.038357754776116595,0.01480561872938027
IGFBP3,1.8587741897130559,0.03530404207737382,0.01354824414036498
TMEM132A,1.8564466771916623,0.04311739499992683,0.017793601155034953
DUSP4,1.852962559390903,0.02875085893811029,0.02735369048760306
PMAIP1,1.8473024449770443,0.014072809115162847,0.051717288079066
GSDMC,1.8462975752820567,0.02053655502545039,0.044539515338666805
HBA2,1.8430409837220907,-0.010293542685354722,-0.021328228073815406
CXCL3,1.8429627230941734,-0.013044086331267263,0.021690979926893204
MSMB,1.8390720227572712,0.010988308357828883,0.002257188562265182
HIST2H2BE,1.8350347205483084,0.00855311156500883,-0.05224740901833028
ADCY8,1.8318983718117992,-0.03672759923332144,-0.01776776767346156
CYB5D1,1.8301812487690945,-0.023851043278226007,0.03876601238659937
PHGDH,1.8284806223156127,-0.006555292371513892,-0.052036179693346146
GREB1,1.8270110025248534,0.015502321836595383,0.03868424318672178
TFAP2A,1.824755720484084,0.038247425791210904,0.01503306622313749
FGL2,1.8231417330870925,0.031179059233470148,-0.029089148245810912
RGS17,1.820908956731728,0.0326568941532054,0.016609689824758612
SCUBE3,1.8201513550496073,0.03502240765993187,0.025952235696971596
TNFRSF12A,1.8197377736677136,0.008143498867458824,0.06323172474186907
GBP5,1.8195626306591135,0.03692025187516407,-0.02449632746205954
COL21A1,1.817958399677501,0.026248142305642146,0.003403101385093244
AOC1,1.8177712543097584,0.033022993380956836,0.023857734423957163
KLRK1,1.8108781712551965,0.032071430031956887,-0.02287543813052022
ZBTB16,1.8084448388867886,-0.008672779437666974,-0.04722900280540833
HMGA2,1.8074570773806777,0.0300954463732698,0.009583336779848718
PCDH7,1.803830556189573,0.03619340844863758,-0.007944224165206671
SEMA3C,1.7999927800970876,0.032577663076936575,-0.000534424180749859
ATP10B,1.7997211299691733,0.03639284190407209,0.015366887557128001
S100B,1.7974414552976998,0.03157185430966161,-0.001524996848490422
NT5E,1.797351604909825,0.036575349335447316,-0.015685324619582382
HAND1,1.7908706033368829,0.010405532115009442,-0.00773531225243213
ITPKA,1.788394408661911,0.03756560936818347,0.014432051005009517
CCL5,1.788205109021258,0.03246252350539192,-0.0412251162786771
CHIA,1.7875184230081915,0.008434694417520433,-0.02094899178849869
ITGB4,1.7866092851127737,0.041767337952032406,0.005880423529725484
ANPEP,1.7842270891951801,0.022634791896282973,-0.0028498647815384938
UHRF1,1.7830767045335147,0.035589527043200266,0.020933732813838438
LUM,1.780824449304435,0.03057787710016033,-0.051645438042201036
SPTB,1.7796493784576066,0.030075946143410862,0.0042218443440044445
PHLDA1,1.7794466047872028,0.03133129314216903,0.04321542001158697
BCO1,1.7786504658745952,0.013078507078930286,-0.0038800467855035193
CITED1,1.7726676640296988,-0.007851169474400569,0.00457805853799255
