compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,gobp,GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT,59,2.677546808530285,0.0,0.0,1.367725014367335,0.16478868705355032,True,False,Not established
macrophages,gobp,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,201,2.6759752313189056,0.0,0.0,1.217671914639341,0.25177155072408497,True,False,Not established
macrophages,gobp,GOBP_RIBOSOME_BIOGENESIS,300,2.669439631803041,0.0,0.0,1.0210141235442018,0.5069691899097012,True,False,Not established
macrophages,gobp,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,95,2.6668448665358784,0.0,0.0,1.430092048666891,0.11730865692551072,True,False,Not established
macrophages,gobp,GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,63,2.633644804040556,0.0,0.0,1.03024983342675,0.49037020882272275,True,False,Not established
macrophages,gobp,GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,51,2.6281200944909697,0.0,0.0,1.2044690624142569,0.25914327338103244,True,False,Not established
macrophages,gobp,GOBP_MITOTIC_NUCLEAR_DIVISION,264,2.5976624902354657,0.0,0.0,1.3913704250109344,0.14971768689658776,True,False,Not established
macrophages,gobp,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,236,2.588209550820087,0.0,0.0,1.7321233888751435,0.023493295506616135,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,23,2.569576548507001,0.0,0.0,1.2349329941717548,0.23415791371449673,True,False,Not established
macrophages,gobp,GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,25,2.550288766122615,0.0,0.0,0.8562308229883543,0.7899079765459964,True,False,Not established
macrophages,gobp,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,21,2.530220545221391,0.0,0.0,1.1885558137643168,0.27033926094820754,True,False,Not established
macrophages,gobp,GOBP_RRNA_PROCESSING,213,2.5298618709018688,0.0,0.0,1.0882729821887518,0.40236536431119135,True,False,Not established
macrophages,gobp,GOBP_SISTER_CHROMATID_SEGREGATION,223,2.514708536865952,0.0,0.0,1.3161032056239066,0.18134362538920426,True,False,Not established
macrophages,gobp,GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,21,2.510157017463139,0.0,0.0,1.9953040497071457,0.0032363213197889574,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_EOSINOPHIL_MIGRATION,25,2.505416878936172,0.0,0.0,2.383118759538005,0.0,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION,125,2.5048789925072117,0.0,0.0,1.0800302168559388,0.40926013318651355,True,False,Not established
macrophages,gobp,GOBP_PROTEIN_MATURATION_BY_IRON_SULFUR_CLUSTER_TRANSFER,17,2.5020601055535856,0.0,0.0,,,False,False,Not established
macrophages,gobp,GOBP_MONOCYTE_CHEMOTAXIS,43,2.49987036871587,0.0,0.0,2.313472144319388,0.0,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,139,2.488398227106273,0.0,0.0,1.5062938231586591,0.08479361630768043,True,False,Not established
